Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,2794959000.0,1579215000.0,1215744000.0,146859000.0,857957000.0,519700000.0,90546000.0,374973000.0,799000.0,479780000.0,67514000.0,412266000.0,412629000.0,8.72,0.435,0.1859,0.1717,0.1476,0.2143,448492000.0,519700000.0,8.71,0.0022,8.8053,0.0123,8.8,412266000.0,363000.0,412266000.0,0.1605,0.1596,TFX
2022-06-30 00:00:00,2808422000.0,1266177000.0,1542245000.0,140905000.0,850835000.0,543577000.0,84404000.0,144232000.0,888000.0,589785000.0,79894000.0,509891000.0,509915000.0,10.76,0.5492,0.1936,0.21,0.1816,0.2302,789554000.0,543577000.0,10.75,-0.0049,10.8881,0.0051,10.89,509891000.0,24000.0,509891000.0,0.2811,0.1741,TFX
2022-03-31 00:00:00,2817353000.0,1266614000.0,1550739000.0,137254000.0,858169000.0,537040000.0,83859000.0,110422000.0,16830000.0,565513000.0,77894000.0,487619000.0,487649000.0,10.31,0.5504,0.1906,0.2007,0.1731,0.2708,787841000.0,537040000.0,10.28,-0.0047,10.4194,0.0053,10.42,487619000.0,30000.0,487584000.0,0.2796,0.2142,TFX
2021-12-31 00:00:00,2809563000.0,1260132000.0,1549431000.0,130841000.0,857385000.0,536938000.0,89991000.0,83332000.0,33406000.0,559468000.0,74349000.0,485119000.0,485374000.0,10.28,0.5515,0.1911,0.1991,0.1728,0.2867,785163000.0,536938000.0,10.23,0.0001,10.377,0.0101,10.37,485119000.0,255000.0,485083000.0,0.2795,0.2321,TFX
2021-09-30 00:00:00,2758828000.0,1245568000.0,1513260000.0,128815000.0,862707000.0,476952100.0,63523000.0,26641000.0,51905000.0,492752000.0,58495000.0,434257000.0,433426000.0,9.21,0.5485,0.1729,0.1786,0.1571,0.2056,720026100.0,476952100.0,9.16,-0.0175,9.2725,-0.0176,9.27,434257000.0,-836000.0,433751000.0,0.261,0.2342,TFX
2021-06-30 00:00:00,2686878000.0,1231917000.0,1454961000.0,126217000.0,831886000.0,459226100.0,77642000.0,-80021000.0,68342000.0,379205000.0,27849000.0,351356000.0,350832000.0,7.52,0.5415,0.1709,0.1411,0.1306,0.179,698062100.0,459226100.0,7.42,-0.0111,7.523,-0.0111,7.52,351356000.0,-529000.0,350832000.0,0.2598,0.2115,TFX
2021-03-31 00:00:00,2540439000.0,1204662000.0,1335777000.0,122298000.0,798920000.0,369416100.0,82084000.0,-66615000.0,67853000.0,302801000.0,23285000.0,279516000.0,279040000.0,5.99,0.5258,0.1454,0.1192,0.1098,0.185,605045100.0,369416100.0,5.9,-0.0099,5.9887,-0.0099,5.99,279516000.0,-472000.0,279040000.0,0.2382,0.2202,TFX
2020-12-31 00:00:00,2537156000.0,1212282000.0,1324874000.0,119747000.0,743568000.0,423068100.0,80999000.0,-65336000.0,66494000.0,357732000.0,21931000.0,335801000.0,335324000.0,7.22,0.5222,0.1667,0.141,0.1322,0.1371,654750100.0,423068100.0,7.1,-0.01,7.2131,-0.01,7.22,335801000.0,-477000.0,335324000.0,0.2581,0.1723,TFX
2020-09-30 00:00:00,2506929100.0,1187887000.0,1319042200.0,117106000.0,730716000.0,448843200.0,79553000.0,-66377000.0,65048000.0,382466000.0,15460000.0,367006000.0,367458000.0,7.93,0.5262,0.179,0.1526,0.1466,0.1274,677121200.0,448843000.0,7.78,0.009,7.9245,0.01,7.93,367006000.0,457000.0,367458000.0,0.2701,0.1553,TFX
2020-06-30 00:00:00,2526947100.0,1182154000.0,1344793200.0,115872000.0,768334000.0,434372200.0,82767000.0,-69014000.0,67941000.0,365358000.0,-113972000.0,479330000.0,479800000.0,10.37,0.5322,0.1719,0.1446,0.1899,0.1352,658324200.0,434372000.0,10.17,0.0094,10.3689,0.0104,10.37,479330000.0,475000.0,479800000.0,0.2605,0.1638,TFX
2020-03-31 00:00:00,2612420100.0,1193761000.0,1418659200.0,114103000.0,792641000.0,503020200.0,,-73781000.0,73017000.0,429239000.0,-121976000.0,551215000.0,551719000.0,11.93,0.543,0.1925,0.1643,0.2112,0.1073,723512200.0,503020000.0,11.7,0.0099,11.9279,0.0199,11.92,551215000.0,500000.0,551719000.0,0.277,0.1399,TFX
2019-12-31 00:00:00,2595362100.0,1186357000.0,1409005200.0,113857000.0,851766000.0,421177200.0,,-81274000.0,80270000.0,339903000.0,-122078000.0,461981000.0,461466000.0,9.99,0.5429,0.1623,0.131,0.1778,0.1344,639546200.0,421177000.0,9.81,-0.01,9.9884,0.0,10.0,461981000.0,-515000.0,461466000.0,0.2464,0.1684,TFX
2019-09-30 00:00:00,2556025000.0,1240547000.0,1315478000.0,110527000.0,768626000.0,419588000.0,,-84803000.0,86252000.0,334785000.0,-106903000.0,441688000.0,443791000.0,9.62,0.5147,0.1642,0.131,0.1736,0.1235,637523000.0,419588100.0,9.38,0.041,9.6213,0.04,9.58,441688000.0,2103000.0,443791000.0,0.2494,0.1648,TFX
2019-06-30 00:00:00,2517378000.0,1214402000.0,1302976000.0,108908000.0,774229000.0,384072000.0,,-92579000.0,93878000.0,291493000.0,22194000.0,269299000.0,271386000.0,5.9,0.5176,0.1526,0.1158,0.1078,0.1244,601383000.0,384072100.0,5.74,0.041,5.9041,0.04,5.86,269299000.0,2087000.0,271386000.0,0.2389,0.1632,TFX
2019-03-31 00:00:00,2474737000.0,1179221000.0,1295516000.0,107331000.0,788646000.0,310104000.0,,-98759000.0,99769000.0,211345000.0,27926000.0,183419000.0,185515000.0,4.04,0.5235,0.1253,0.0854,0.075,0.1297,525567000.0,310104100.0,3.91,0.05,4.0436,0.04,4.0,183419000.0,2096000.0,185515000.0,0.2124,0.165,TFX
2018-12-31 00:00:00,2448383000.0,1145567000.0,1302816000.0,106208000.0,797062000.0,321704000.0,,-102076000.0,103020000.0,219628000.0,23196000.0,196432000.0,200802000.0,4.39,0.5321,0.1314,0.0897,0.082,0.1447,536418000.0,321704100.0,4.2,0.09,4.395,0.09,4.3,196432000.0,4370000.0,200802000.0,0.2191,0.1777,TFX
2018-09-30 00:00:00,2401874100.0,1052522000.0,1349352100.0,103881000.0,873437000.0,293342100.0,,-102494000.0,103425000.0,190848000.0,124776000.0,66072000.0,67554000.0,1.47,0.5618,0.1221,0.0795,0.0281,0.1376,503413100.0,293341900.0,1.42,0.03,1.4683,0.05,1.43,66072000.0,1482000.0,67554000.0,0.2096,0.1705,TFX
2018-06-30 00:00:00,2326905100.0,1024899000.0,1302006100.0,98710000.0,822314000.0,321591100.0,,-96621000.0,97518000.0,224970000.0,136040000.0,88930000.0,88045000.0,1.95,0.5595,0.1382,0.0967,0.0378,0.1426,516548100.0,321590900.0,1.91,-0.02,1.9456,0.0,1.96,88930000.0,-885000.0,88045000.0,0.222,0.1763,TFX
2018-03-31 00:00:00,2245652100.0,998140000.0,1247512100.0,92970000.0,751331000.0,398303100.0,,-89899000.0,90763000.0,308404000.0,138559000.0,169845000.0,168544000.0,3.73,0.5555,0.1774,0.1373,0.0751,0.1523,578096100.0,398302900.0,3.64,-0.03,3.734,-0.02,3.76,169845000.0,-1301000.0,168544000.0,0.2574,0.188,TFX
2017-12-31 00:00:00,2146303100.0,974501000.0,1171802100.0,84770000.0,699963000.0,372279100.0,,-87368000.0,82546000.0,284911000.0,129648000.0,155263000.0,152530000.0,3.38,0.546,0.1735,0.1327,0.0711,0.1656,532617100.0,372278900.0,3.33,-0.06,3.3893,-0.06,3.45,155263000.0,-2733000.0,152530000.0,0.2482,0.1986,TFX
2017-09-30 00:00:00,2065129900.0,951007000.0,1114122900.0,74986000.0,630854000.0,348402900.0,,-80073000.0,75246000.0,268330000.0,9344000.0,258986000.0,256251000.0,5.72,0.5395,0.1687,0.1299,0.1241,0.1714,490790900.0,348402900.0,5.52,-0.06,5.7327,-0.06,5.79,258986000.0,-2735000.0,256251000.0,0.2377,0.2076,TFX
2017-06-30 00:00:00,1986074900.0,925577000.0,1060497900.0,68859000.0,606880000.0,324535900.0,,-71868000.0,66870000.0,252668000.0,6880000.0,245788000.0,245558000.0,5.52,0.534,0.1634,0.1272,0.1236,0.1806,460605900.0,324535900.0,5.22,0.0,5.5284,-0.01,5.53,245788000.0,-230000.0,245558000.0,0.2319,0.2149,TFX
2017-03-31 00:00:00,1931014900.0,904402000.0,1026612900.0,64053000.0,590929000.0,312774900.0,,-83163000.0,58883000.0,229612000.0,2792000.0,226820000.0,226858000.0,5.15,0.5316,0.162,0.1189,0.1175,0.1976,443155900.0,312774900.0,4.8,-0.01,5.1631,0.0,5.15,226820000.0,323000.0,227143000.0,0.2295,0.2251,TFX
2016-12-31 00:00:00,1868026900.0,871827000.0,996199900.0,58579000.0,563308000.0,319452900.0,,-73728000.0,54941000.0,245725000.0,8074000.0,237651000.0,237377000.0,5.48,0.5333,0.171,0.1315,0.1271,0.1914,447798900.0,319452900.0,4.98,,5.4897,,5.47,237651000.0,190000.0,237841000.0,0.2397,0.2198,TFX
2016-09-30 00:00:00,1838594900.0,855131000.0,983463900.0,56113000.0,567345000.0,349171900.0,,-71075000.0,52217000.0,278097000.0,10557000.0,267540000.0,277438000.0,6.52,0.5349,0.1899,0.1513,0.1509,0.2099,478794900.0,349172000.0,5.58,0.234,6.5321,0.27,6.26,267540000.0,10520000.0,278060000.0,0.2604,0.2329,TFX
2016-06-30 00:00:00,1826660900.0,856586000.0,970074900.0,53617000.0,566388000.0,339234900.0,,-72478000.0,53635000.0,266757000.0,3846000.0,262911000.0,271940000.0,6.47,0.5311,0.1857,0.146,0.1489,0.1805,468496900.0,339235000.0,5.45,0.214,6.4892,0.24,6.24,262911000.0,9679000.0,272590000.0,0.2565,0.2055,TFX
2016-03-31 00:00:00,1805152900.0,858240000.0,946912900.0,51588000.0,565633000.0,317779900.0,,-67946000.0,57935000.0,249834000.0,1119000.0,248715000.0,257200000.0,6.18,0.5246,0.176,0.1384,0.1425,0.152,445599900.0,317780000.0,5.13,0.2,6.2039,0.23,5.96,248715000.0,9296000.0,258011000.0,0.2468,0.1817,TFX
2015-12-31 00:00:00,1809689900.0,865287000.0,944402900.0,52119000.0,568982000.0,315890900.0,,-71245000.0,61323000.0,244646000.0,7838000.0,236808000.0,244863000.0,5.88,0.5219,0.1746,0.1352,0.1353,0.1337,441224900.0,315891000.0,4.91,0.19,5.9126,0.21,5.68,236808000.0,8905000.0,245713000.0,0.2438,0.1677,TFX
2015-09-30 00:00:00,1801197100.0,876095000.0,925102100.0,56135000.0,574030000.0,288299100.0,,-74282000.0,64493000.0,214017000.0,15841000.0,198176000.0,194377000.0,4.67,0.5136,0.1601,0.1188,0.1079,0.1046,411050100.0,288299000.0,4.14,-0.0682,4.7069,-0.067,4.75,198176000.0,-2800000.0,195376000.0,0.2282,0.1434,TFX
2015-06-30 00:00:00,1814656100.0,881601000.0,933055100.0,58435000.0,573442000.0,293684100.0,,-77129000.0,67371000.0,216555000.0,24722000.0,191833000.0,188384000.0,4.53,0.5142,0.1618,0.1193,0.1038,0.1143,417531100.0,293684000.0,4.05,-0.054,4.5715,-0.057,4.6,191833000.0,-2352000.0,189481000.0,0.2301,0.1541,TFX
2015-03-31 00:00:00,1830716100.0,886810000.0,943906100.0,59862000.0,578057000.0,291450100.0,,-66538000.0,67226000.0,224912000.0,29448000.0,195464000.0,191073000.0,4.6,0.5156,0.1592,0.1229,0.1044,0.1206,416917200.0,291450000.0,4.16,-0.07,4.6414,-0.077,4.69,195464000.0,-3287000.0,192177000.0,0.2277,0.1588,TFX
2014-12-31 00:00:00,1839832100.0,897404000.0,942428100.0,61040000.0,578657000.0,284862100.0,,-64752000.0,65458000.0,220110000.0,28650000.0,191460000.0,187679000.0,4.53,0.5122,0.1548,0.1196,0.102,0.121,411892200.0,284862000.0,4.1,-0.06,4.563,-0.06,4.6,191460000.0,-2709000.0,188751000.0,0.2239,0.1578,TFX
