Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-10-31 00:00:00,108721000000.0,82822000000.0,25899000000.0,20518000000.0,4784000000.0,,-11000000.0,453000000.0,4392000000.0,944000000.0,3448000000.0,3448000000.0,,0.2382,0.044,0.0404,0.0317,-0.0165,,4784000000.0,7.3327,,7.3887,,7.388,3448000000.0,,3448000000.0,0.0,0.0329,TGT
2022-07-31 00:00:00,107855000000.0,81925000000.0,25930000000.0,20158000000.0,5772000000.0,433000000.0,111000000.0,433000000.0,5394000000.0,1170000000.0,4224000000.0,4224000000.0,8.8,0.2404,0.0535,0.05,0.0392,0.0041,8499000000.0,5772000000.0,8.8337,,8.9112,,8.9105,4224000000.0,,4224000000.0,0.0788,0.0478,TGT
2022-04-30 00:00:00,106978000000.0,79055000000.0,27923000000.0,19966000000.0,7918000000.0,425000000.0,122000000.0,425000000.0,7547000000.0,1689000000.0,5858000000.0,5858000000.0,12.06,0.261,0.074,0.0705,0.0548,0.0201,10640000000.0,7918000000.0,12.0913,,12.1996,,12.1989,5858000000.0,,5858000000.0,0.0995,0.0569,TGT
2022-01-31 00:00:00,106005000000.0,76709000000.0,29296000000.0,19713000000.0,8946000000.0,421000000.0,319000000.0,421000000.0,8907000000.0,1961000000.0,6946000000.0,6946000000.0,14.1,0.2764,0.0844,0.084,0.0655,0.0482,11633000000.0,8946000000.0,14.1001,,14.2308,,14.2301,6946000000.0,,6946000000.0,0.1097,0.0814,TGT
2021-10-31 00:00:00,103348000000.0,73828000000.0,29520000000.0,19626000000.0,8687000000.0,949000000.0,184000000.0,423000000.0,8620000000.0,1838000000.0,6782000000.0,6782000000.0,13.65,0.2856,0.0841,0.0834,0.0656,0.058,11318000000.0,8687000000.0,13.5802,,13.7138,,13.7082,6782000000.0,,6782000000.0,0.1095,0.0878,TGT
2021-07-31 00:00:00,100328000000.0,70554000000.0,29774000000.0,19414000000.0,8612000000.0,966000000.0,-462000000.0,950000000.0,8007000000.0,1699000000.0,6308000000.0,6308000000.0,12.63,0.2968,0.0858,0.0798,0.0629,0.0628,11191000000.0,8612000000.0,12.546,,12.6701,,12.6645,6308000000.0,,6308000000.0,0.1115,0.088,TGT
2021-04-30 00:00:00,98143000000.0,68383000000.0,29760000000.0,19064000000.0,8445000000.0,979000000.0,-619000000.0,968000000.0,7826000000.0,1645000000.0,6181000000.0,6181000000.0,12.36,0.3032,0.086,0.0797,0.063,0.0814,10956000000.0,8445000000.0,12.2442,,12.3645,,12.3589,6181000000.0,,6181000000.0,0.1116,0.1058,TGT
2021-01-31 00:00:00,93561000000.0,66177000000.0,27384000000.0,18615000000.0,6539000000.0,,-993000000.0,977000000.0,5546000000.0,1178000000.0,4368000000.0,4368000000.0,8.73,0.2927,0.0699,0.0593,0.0467,0.0846,9024000000.0,6539000000.0,8.64,,8.7256,,8.72,4368000000.0,,4368000000.0,0.0965,0.1125,TGT
2020-10-31 00:00:00,88620000000.0,62748000000.0,25872000000.0,17672000000.0,5900000000.0,979000000.0,-1033000000.0,989000000.0,4867000000.0,1046000000.0,3821000000.0,3822000000.0,7.61,0.2919,0.0666,0.0549,0.0431,0.0838,8447000000.0,5900000000.0,7.5383,,7.6197,,7.6118,3821000000.0,,3822000000.0,0.0953,0.1129,TGT
2020-07-31 00:00:00,84653000000.0,60174000000.0,24479000000.0,17178000000.0,4967000000.0,,-497000000.0,470000000.0,4470000000.0,957000000.0,3513000000.0,3522000000.0,6.99,0.2892,0.0587,0.0528,0.0416,0.076,7549000000.0,4967000000.0,6.902,,6.9949,,6.9662,3513000000.0,,3522000000.0,0.0892,0.1113,TGT
