Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-10-31 00:00:00,49269290000.0,35651556000.0,13618730000.0,8950295000.0,4808006000.0,,37427000.0,13573000.0,4540211000.0,1140405000.0,3399822900.0,3398806000.0,,0.2764,0.0976,0.0922,0.069,0.0154,,4808006000.0,2.8659,,,3399822900.0,3398806000.0,0.0,0.0444,TJX
2022-07-31 00:00:00,49635000000.0,35879000000.0,13757000000.0,9062349000.0,4848930000.0,84000000.0,30000000.0,15000000.0,4560000000.0,1200000000.0,3360016900.0,3359000000.0,2.8,0.2772,0.0977,0.0919,0.0677,0.0171,5537000000.0,4848930000.0,2.8008,2.8328,2.8328,3360016900.0,3359000000.0,0.1116,0.0432,TJX
2022-04-30 00:00:00,49869000000.0,35841000000.0,14030000000.0,9126488000.0,5077574000.0,93000000.0,260000000.0,6000000.0,4528000000.0,1193000000.0,3336357900.0,3336000000.0,2.75,0.2813,0.1018,0.0908,0.0669,0.0362,5751000000.0,5077574000.0,2.7575,2.7918,2.7918,3336357900.0,3336000000.0,0.1153,0.0589,TJX
2022-01-31 00:00:00,48549660000.0,34788635000.0,13762026000.0,9096898000.0,4754929200.0,118000000.0,58312000.0,47688000.0,4397346000.0,1115416000.0,3282814900.0,3282930000.0,2.7,0.2835,0.0979,0.0906,0.0676,0.0431,5484413200.0,4754929200.0,2.7006,2.7356,2.7356,3282814900.0,3282930000.0,0.113,0.0646,TJX
2021-10-31 00:00:00,45638870000.0,32539209000.0,13100663000.0,8794093000.0,4358520300.0,147000000.0,-207084000.0,93851000.0,3662484000.0,995031000.0,2668133900.0,2668452900.0,2.19,0.2871,0.0955,0.0802,0.0585,0.0315,5232730200.0,4358519300.0,2.2027,2.2197,2.2197,2668133900.0,2668452900.0,0.1147,0.0501,TJX
2021-07-31 00:00:00,43224160000.0,30751494000.0,12473667000.0,8483221000.0,4027688300.0,179000000.0,-252968000.0,145735000.0,3299476000.0,788367000.0,2511789900.0,2512108900.0,2.06,0.2886,0.0932,0.0763,0.0581,0.1077,4910578200.0,4027687300.0,2.075,2.0899,2.0899,2511789900.0,2512108900.0,0.1136,0.124,TJX
2021-04-30 00:00:00,37814735000.0,27374984000.0,10439752000.0,7771989000.0,2667764200.0,208000000.0,-514304000.0,202071000.0,2153457000.0,641568000.0,1511888900.0,1511888900.0,1.24,0.2761,0.0705,0.0569,0.04,0.1774,3592960100.0,2667763200.0,1.2526,1.2592,1.2592,1511888900.0,1511888900.0,0.095,0.1928,TJX
2021-01-31 00:00:00,32136963000.0,24533814000.0,7603149300.0,7020917000.0,582233000.0,194000000.0,-492967000.0,180734000.0,89263000.0,-1207000.0,90469900.0,90469900.0,0.06,0.2366,0.0181,0.0028,0.0028,0.1243,1511509900.0,582232000.0,0.0746,0.0754,0.0754,90469900.0,90469900.0,0.047,0.142,TJX
2020-10-31 00:00:00,33400213000.0,25393045000.0,8007169300.0,6963145000.0,1044027900.0,160000000.0,-136624000.0,136624000.0,907400000.0,157663000.0,749737200.0,749737300.0,0.6,0.2397,0.0313,0.0272,0.0224,0.1738,2047395900.0,1044026900.0,0.6003,0.621,0.621,749737200.0,749737200.0,0.0613,0.1937,TJX
2020-07-31 00:00:00,33734253000.0,25770793000.0,7963466300.0,6862940000.0,1100529900.0,,-86999000.0,86999000.0,1013527000.0,302183000.0,711344300.0,711344300.0,0.57,0.2361,0.0326,0.03,0.0211,0.0714,2104480900.0,1100528900.0,0.563,0.5854,0.5854,711344300.0,711344300.0,0.0624,0.0997,TJX
2020-04-30 00:00:00,36848274000.0,27622360000.0,9225920300.0,7066507000.0,2159416000.0,,-32560000.0,32560000.0,2126853000.0,442327000.0,1684526300.0,1684526300.0,1.37,0.2504,0.0586,0.0577,0.0457,-0.0098,3158935000.0,2159415000.0,1.3593,1.3911,1.3911,1684526300.0,1684526300.0,0.0857,0.0205,TJX
2020-01-31 00:00:00,41716971000.0,29845780000.0,11871197000.0,7454988000.0,4416211800.0,,-10026000.0,10026000.0,4406183000.0,1133990000.0,3272193300.0,3272193300.0,2.68,0.2846,0.1059,0.1056,0.0784,0.0682,5408472000.0,4416210800.0,2.6679,2.7085,2.7085,3272193300.0,3272193300.0,0.1296,0.0975,TJX
2019-10-31 00:00:00,40637851000.0,29137617000.0,11500239000.0,7236286000.0,4263952800.0,,-5468000.0,5468000.0,4258486000.0,1129544900.0,3128941100.0,3128941200.0,2.55,0.283,0.1049,0.1048,0.077,0.0551,5233327000.0,4263951800.0,2.5367,2.5743,2.5743,3128941100.0,3128941100.0,0.1288,0.0857,TJX
2019-07-31 00:00:00,40012280000.0,28681067000.0,11331214000.0,7106811000.0,4188280800.0,,-5397000.0,5397000.0,4182885000.0,1119953900.0,3062930900.0,3062931200.0,2.48,0.2832,0.1047,0.1045,0.0765,0.0574,5093071000.0,4188279800.0,2.4663,2.504,2.504,3062930900.0,3062930900.0,0.1273,0.0856,TJX
