Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,44167000000.0,24846000000.0,19321000000.0,1472000000.0,8972000000.0,9070000000.0,618000000.0,554000000.0,133000000.0,7920000000.0,732000000.0,7187000000.0,-145000000.0,7032000000.0,17.78,0.4375,0.2054,0.1793,0.1592,0.1274,12435000000.0,9070000000.0,17.8134,,17.9386,,17.9386,7045000000.0,,7045000000.0,0.2815,0.1839,TMO
2022-06-30 00:00:00,42820000000.0,23176000000.0,19644000000.0,1472000000.0,8709000000.0,9638000000.0,573000000.0,659000000.0,74000000.0,8492000000.0,972000000.0,7523000000.0,-76000000.0,7439000000.0,18.79,0.4588,0.2251,0.1983,0.1737,0.1486,12816000000.0,9638000000.0,18.8145,,18.9471,,18.9471,7450000000.0,,7449000000.0,0.2993,0.2064,TMO
2022-03-31 00:00:00,41123000000.0,21541000000.0,19582000000.0,1450000000.0,8399000000.0,9800000000.0,547000000.0,611000000.0,160000000.0,8624000000.0,993000000.0,7634000000.0,-26000000.0,7603000000.0,19.22,0.4762,0.2383,0.2097,0.1849,0.1707,12862000000.0,9800000000.0,19.1997,,19.3459,,19.3459,7611000000.0,,7610000000.0,0.3128,0.2319,TMO
2021-12-31 00:00:00,39211000000.0,19904000000.0,19307000000.0,1406000000.0,7948000000.0,10028000000.0,536000000.0,407000000.0,267000000.0,8837000000.0,1108000000.0,7732000000.0,,7725000000.0,19.54,0.4924,0.2557,0.2254,0.197,0.1737,12831000000.0,10028000000.0,19.4661,,19.6141,,19.6141,7728000000.0,,7727000000.0,0.3272,0.2375,TMO
2021-09-30 00:00:00,39059000000.0,19126000000.0,19933000000.0,1390000000.0,7747000000.0,10561000000.0,521000000.0,-488000000.0,402000000.0,9872000000.0,1300000000.0,8576000000.0,,8565000000.0,21.67,0.5103,0.2704,0.2527,0.2193,0.2029,13142000000.0,10561000000.0,21.5622,,21.7261,,21.7261,8569000000.0,,8568000000.0,0.3365,0.261,TMO
2021-06-30 00:00:00,38250000000.0,18630000000.0,19620000000.0,1335000000.0,7394000000.0,10709000000.0,537000000.0,-758000000.0,537000000.0,9951000000.0,1348000000.0,8603000000.0,,8596000000.0,21.76,0.5129,0.28,0.2602,0.2247,0.2128,13167000000.0,10709000000.0,21.6133,,21.7775,,21.7775,8599000000.0,,8599000000.0,0.3442,0.268,TMO
2021-03-31 00:00:00,35894000000.0,17421000000.0,18473000000.0,1256000000.0,7205000000.0,9937000000.0,552000000.0,-782000000.0,552000000.0,9155000000.0,1226000000.0,7929000000.0,,7924000000.0,20.03,0.5147,0.2768,0.2551,0.2208,0.2249,12309000000.0,9937000000.0,19.8991,,20.0502,,20.0502,7926000000.0,,7926000000.0,0.3429,0.2761,TMO
2020-12-31 00:00:00,32218000000.0,16214000000.0,16004000000.0,1181000000.0,6930000000.0,7794000000.0,553000000.0,-564000000.0,553000000.0,7230000000.0,850000000.0,6380000000.0,,6375000000.0,16.09,0.4967,0.2419,0.2244,0.1979,0.2118,10119000000.0,7794000000.0,15.9824,,16.1036,,16.1036,6377000000.0,,6377000000.0,0.3141,0.2573,TMO
2020-09-30 00:00:00,28497000000.0,15014000000.0,13483000000.0,1067000000.0,6365000000.0,5955000000.0,549000000.0,-582000000.0,549000000.0,5373000000.0,492000000.0,4881000000.0,,4879000000.0,12.3,0.4731,0.209,0.1885,0.1712,0.2004,8254000000.0,5955000000.0,12.2151,,12.3075,,12.3075,4881000000.0,,4881000000.0,0.2896,0.2408,TMO
2020-06-30 00:00:00,26248000000.0,14333000000.0,11915000000.0,1018000000.0,6312000000.0,4475000000.0,,-532000000.0,569000000.0,3943000000.0,235000000.0,3708000000.0,,3706000000.0,9.31,0.4539,0.1705,0.1502,0.1412,0.1629,6774000000.0,4475000000.0,9.2517,,9.3215,,9.3215,3708000000.0,,3708000000.0,0.2581,0.2009,TMO
