Date,Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,6926000000.0,6925900000.0,3628800000.0,2983099500.0,-74900000.0,37000000.0,2473000000.0,578400000.0,1893600200.0,1984000000.0,8.71,1.0,0.4307,0.3571,0.2865,0.3447,3361199500.0,2983099500.0,8.3169,8.3749,8.3749,1893600200.0,1845000000.0,0.4853,0.379,TROW
2022-06-30 00:00:00,7292000000.0,7291800000.0,3578400000.0,3404699600.0,-56400000.0,,2966000000.0,671700000.0,2293200200.0,2367000000.0,10.36,1.0,0.4669,0.4067,0.3246,0.3689,3725999500.0,3404699600.0,10.0418,10.1248,10.1248,2293200200.0,2234000000.0,0.511,0.4018,TROW
2022-03-31 00:00:00,7708300000.0,7708100000.0,3738200000.0,3694199600.0,137500000.0,50000000.0,3679000000.0,830100000.0,2848100200.0,2828500000.0,12.4,1.0,0.4792,0.4773,0.3669,0.3864,3958399500.0,3694199600.0,12.4557,12.5693,12.5693,2848100200.0,2796700000.0,0.5135,0.4169,TROW
2021-12-31 00:00:00,7672100000.0,7671900000.0,3725599900.0,3709999800.0,284600000.0,58000000.0,3995300000.0,896100000.0,3098500200.0,3003000000.0,13.19,1.0,0.4836,0.5208,0.3914,0.3978,3914799700.0,3709999800.0,13.5424,13.6739,13.6739,3098500200.0,3060500000.0,0.5103,0.429,TROW
2021-09-30 00:00:00,7443001000.0,7443101000.0,3647599700.0,3603400600.0,624600000.0,315000000.0,4228300000.0,933500000.0,3294499900.0,3043199900.0,13.37,1.0,0.4841,0.5681,0.4089,0.3494,3800100500.0,3603400300.0,14.2987,14.4464,14.4464,3294499900.0,3275100100.0,0.5106,0.3814,TROW
2021-06-30 00:00:00,7084801000.0,7084801000.0,3590099800.0,3336100600.0,827700000.0,312000000.0,4163800000.0,928100000.0,3235699900.0,2910499900.0,12.81,1.0,0.4709,0.5877,0.4108,0.261,3530800600.0,3336100300.0,14.038,14.1859,14.1859,3235699900.0,3235700100.0,0.4984,0.2936,TROW
2021-03-31 00:00:00,6570901000.0,6570901000.0,3484299800.0,2931700600.0,1098900000.0,305000000.0,4030600000.0,909100000.0,3121499900.0,2703199900.0,11.89,1.0,0.4462,0.6134,0.4114,0.2889,3124200600.0,2931700300.0,13.5356,13.6755,13.6755,3121499900.0,3121500100.0,0.4755,0.3235,TROW
2020-12-31 00:00:00,6206701000.0,6206701000.0,3305499800.0,2745700500.0,496500000.0,387000000.0,3242200000.0,718900000.0,2523299900.0,2307399900.0,10.12,1.0,0.4424,0.5224,0.3718,0.2746,2935300400.0,2745700200.0,10.9139,11.0284,11.0284,2523299900.0,2523300100.0,0.4729,0.3092,TROW
2020-09-30 00:00:00,5942500000.0,5942500000.0,3216800100.0,2570100600.0,276400000.0,,2846500200.0,658900000.0,2187599900.0,2075900100.0,9.03,1.0,0.4325,0.479,0.3493,0.2908,2773200500.0,2570100200.0,9.4239,9.5278,9.5278,2187599900.0,2187599900.0,0.4667,0.3263,TROW
2020-06-30 00:00:00,5773400000.0,5773400000.0,3116300100.0,2500300500.0,127800000.0,,2628100200.0,594000000.0,2034099900.0,1982600100.0,8.54,1.0,0.4331,0.4552,0.3434,0.3463,2699400400.0,2500300100.0,8.667,8.7709,8.7709,2034099900.0,2034099900.0,0.4676,0.3836,TROW
