Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,36268000000.0,21749000000.0,14510000000.0,10142000000.0,4368000000.0,-351000000.0,351000000.0,4017000000.0,661000000.0,3356000000.0,3331000000.0,13.7,0.4001,0.1204,0.1108,0.0918,0.1879,10597000000.0,4368000000.0,13.7505,13.8963,13.8963,3356000000.0,3331000000.0,0.2922,0.188,TRV
2022-06-30 00:00:00,35761000000.0,21125000000.0,14636000000.0,10011000000.0,4625000000.0,-350000000.0,350000000.0,4275000000.0,711000000.0,3564000000.0,3538000000.0,14.44,0.4093,0.1293,0.1195,0.0989,0.1923,10746000000.0,4625000000.0,14.489,14.6403,14.6403,3564000000.0,3538000000.0,0.3005,0.1923,TRV
2022-03-31 00:00:00,35312000000.0,20367000000.0,14945000000.0,9851000000.0,5094000000.0,-345000000.0,345000000.0,4749000000.0,802000000.0,3947000000.0,3918000000.0,15.85,0.4232,0.1443,0.1345,0.111,0.2081,11109000000.0,5094000000.0,15.8938,16.0547,16.0547,3947000000.0,3925000000.0,0.3146,0.2081,TRV
2021-12-31 00:00:00,34816000000.0,20298000000.0,14518000000.0,9720000000.0,4798000000.0,-340000000.0,340000000.0,4458000000.0,796000000.0,3662000000.0,3635000000.0,14.59,0.417,0.1378,0.128,0.1044,0.209,10711000000.0,4798000000.0,14.6012,14.7365,14.7365,3662000000.0,3647000000.0,0.3076,0.2089,TRV
2021-09-30 00:00:00,34202000000.0,19820000000.0,14382000000.0,9623000000.0,4759000000.0,-335000000.0,335000000.0,4424000000.0,785000000.0,3639000000.0,3615000000.0,14.35,0.4205,0.1391,0.1293,0.1057,0.2104,10590000000.0,4759000000.0,14.3771,14.4804,14.4804,3639000000.0,3634000000.0,0.3096,0.2188,TRV
2021-06-30 00:00:00,33672000000.0,19242000000.0,14430000000.0,9471000000.0,4959000000.0,-335000000.0,335000000.0,4624000000.0,820000000.0,3804000000.0,3779000000.0,14.96,0.4285,0.1473,0.1373,0.1122,0.2127,10690000000.0,4959000000.0,14.9823,15.0727,15.0727,3804000000.0,3804000000.0,0.3175,0.2158,TRV
2021-03-31 00:00:00,32386000000.0,19304000000.0,13082000000.0,9337000000.0,4549000000.0,-337000000.0,337000000.0,3408000000.0,578000000.0,2830000000.0,2811000000.0,11.1,0.4039,0.1405,0.1052,0.0868,0.2155,9368000000.0,4549000000.0,11.1331,11.1881,11.1881,2830000000.0,2830000000.0,0.2893,0.2186,TRV
2020-12-31 00:00:00,31981000000.0,19123000000.0,12858000000.0,9282000000.0,4733000000.0,-339000000.0,339000000.0,3237000000.0,540000000.0,2697000000.0,2678000000.0,10.55,0.4021,0.148,0.1012,0.0837,0.2003,9138000000.0,4733000000.0,10.5931,10.639,10.639,2697000000.0,2697000000.0,0.2857,0.2038,TRV
2020-09-30 00:00:00,31647000000.0,19422000000.0,12225000000.0,9191000000.0,3550000000.0,-339000000.0,339000000.0,2695000000.0,435000000.0,2260000000.0,2241000000.0,8.79,0.3863,0.1122,0.0852,0.0708,0.1949,8532000000.0,3550000000.0,8.8031,8.8618,8.8618,2260000000.0,2260000000.0,0.2696,0.1905,TRV
2020-06-30 00:00:00,31385000000.0,19766000000.0,11619000000.0,9142000000.0,,-336000000.0,336000000.0,2141000000.0,312000000.0,1829000000.0,1813000000.0,7.07,0.3702,0.0,0.0682,0.0578,0.1803,7931000000.0,,7.0636,7.1247,7.1247,1829000000.0,1829000000.0,0.2527,0.1818,TRV
