Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,74863000000.0,54940000000.0,19923000000.0,3005000000.0,4408000000.0,12368000000.0,229000000.0,3000000.0,229000000.0,12371000000.0,1148000000.0,11223000000.0,11190000000.0,3.6067,0.2661,0.1652,0.1652,0.1495,0.1315,15974000000.0,12368000000.0,3.2468,3.6339,3.6339,11223000000.0,11223000000.0,0.2134,0.2141,TSLA
2022-06-30 00:00:00,67166000000.0,48965000000.0,18201000000.0,2883000000.0,4441000000.0,10684000000.0,302000000.0,-67000000.0,302000000.0,10617000000.0,1066000000.0,9551000000.0,9516000000.0,3.0967,0.271,0.1591,0.1581,0.1417,0.1172,14095000000.0,10684000000.0,2.7787,3.1294,3.1294,9551000000.0,9551000000.0,0.2099,0.2096,TSLA
2022-03-31 00:00:00,62190000000.0,45339000000.0,16851000000.0,2792000000.0,4453000000.0,9532000000.0,333000000.0,-96000000.0,333000000.0,9436000000.0,976000000.0,8460000000.0,8399000000.0,2.7633,0.271,0.1533,0.1517,0.1351,0.1114,12702000000.0,9532000000.0,2.4748,2.8045,2.8045,8460000000.0,8460000000.0,0.2042,0.2227,TSLA
2021-12-31 00:00:00,53823000000.0,40217000000.0,13606000000.0,2593000000.0,4517000000.0,6523000000.0,371000000.0,-180000000.0,371000000.0,6343000000.0,699000000.0,5644000000.0,5519000000.0,1.8499,0.2528,0.1212,0.1178,0.1025,0.0704,9434000000.0,6523000000.0,1.6663,1.908,1.908,5644000000.0,5644000000.0,0.1753,0.2136,TSLA
2021-09-30 00:00:00,46848000000.0,36023000000.0,10825000000.0,2375000000.0,3992000000.0,4485000000.0,546000000.0,-398000000.0,546000000.0,4087000000.0,490000000.0,3597000000.0,3499000000.0,1.1799,0.2311,0.0957,0.0872,0.0747,0.0613,7166000000.0,4485000000.0,1.0695,1.2252,1.2252,3597000000.0,3597000000.0,0.153,0.212,TSLA
2021-06-30 00:00:00,41862000000.0,32634000000.0,9228000000.0,2130000000.0,3886000000.0,3290000000.0,583000000.0,-530000000.0,583000000.0,2760000000.0,453000000.0,2307000000.0,2181000000.0,0.7466,0.2204,0.0786,0.0659,0.0521,0.0704,5794000000.0,3290000000.0,0.6884,0.8022,0.8022,2307000000.0,2307000000.0,0.1384,0.2194,TSLA
2021-03-31 00:00:00,35940000000.0,28329000000.0,7611000000.0,1833000000.0,3574000000.0,2305000000.0,678000000.0,-688000000.0,678000000.0,1617000000.0,359000000.0,1258000000.0,1143000000.0,0.3906,0.2118,0.0641,0.045,0.0318,0.0764,4695000000.0,2305000000.0,0.379,0.4441,0.4441,1258000000.0,1258000000.0,0.1306,0.2233,TSLA
2020-12-31 00:00:00,31536000000.0,24906000000.0,6630000000.0,1491000000.0,3145000000.0,1994000000.0,748000000.0,-840000000.0,748000000.0,1154000000.0,292000000.0,862000000.0,721000000.0,0.2433,0.2102,0.0632,0.0366,0.0229,0.088,4316000000.0,1994000000.0,0.2653,0.308,0.308,862000000.0,862000000.0,0.1369,0.1885,TSLA
2020-09-30 00:00:00,28176000000.0,22221000000.0,5955000000.0,1314000000.0,2875000000.0,1778000000.0,672000000.0,-829000000.0,672000000.0,949000000.0,251000000.0,698000000.0,533000000.0,0.1887,0.2114,0.0631,0.0337,0.0189,0.0682,3921000000.0,1778000000.0,0.2341,0.2593,0.2593,698000000.0,698000000.0,0.1392,0.1544,TSLA
2020-06-30 00:00:00,25708000000.0,20625000000.0,5083000000.0,1282000000.0,2583000000.0,1230000000.0,,-660000000.0,694000000.0,570000000.0,91000000.0,479000000.0,376000000.0,0.1353,0.1977,0.0478,0.0222,0.0146,0.0353,3375000000.0,1230000000.0,0.177,0.1837,0.1837,479000000.0,479000000.0,0.1313,0.1052,TSLA
2020-03-31 00:00:00,26022000000.0,21285000000.0,4737000000.0,1327000000.0,2569000000.0,736000000.0,,-686000000.0,696000000.0,50000000.0,89000000.0,-39000000.0,-136000000.0,-0.056,0.182,0.0283,0.0019,-0.0052,0.0424,2935000000.0,736000000.0,-0.011,-0.0091,-0.0091,-39000000.0,-39000000.0,0.1128,0.1001,TSLA
2019-12-31 00:00:00,24578000000.0,20509000000.0,4069000000.0,1343000000.0,2646000000.0,-69000000.0,,-596000000.0,685000000.0,-665000000.0,110000000.0,-775000000.0,-862000000.0,-0.3353,0.1656,-0.0028,-0.0271,-0.0351,0.0437,2085000000.0,-69000000.0,-0.2912,-0.2913,-0.2913,-775000000.0,-775000000.0,0.0848,0.0979,TSLA
2019-09-30 00:00:00,24420019000.0,20299474000.0,4120544000.0,1353775000.0,2614837000.0,-13633300.0,,-593345000.0,689872000.0,-606979000.0,89688000.0,-696667100.0,-834910000.0,-0.32,0.1687,-0.0006,-0.0249,-0.0342,0.0399,2236366700.0,-13633800.0,-0.2597,-0.2621,-0.2621,-696667100.0,-696667000.0,0.0916,0.0907,TSLA
2019-06-30 00:00:00,24941019000.0,20487474000.0,4453544000.0,1370775000.0,2748837000.0,141366700.0,,-653345000.0,679872000.0,-511979000.0,80688000.0,-592667100.0,-666910000.0,-0.252,0.1786,0.0057,-0.0205,-0.0267,0.0595,2354459700.0,141366200.0,-0.2188,-0.2188,-0.2188,-592667100.0,-592667000.0,0.0944,0.1143,TSLA
2019-03-31 00:00:00,22593250000.0,18441775000.0,4151473900.0,1432904000.0,2852596000.0,-313025400.0,,-557952000.0,671454000.0,-870978000.0,75395000.0,-946373100.0,-976449000.0,-0.3793,0.1837,-0.0139,-0.0386,-0.0432,0.0058,1799396600.0,-313025900.0,-0.3636,-0.3636,-0.3636,-946373100.0,-946373000.0,0.0796,0.0822,TSLA
2018-12-31 00:00:00,21461001000.0,17419000000.0,4041999800.0,1460000000.0,2835000000.0,-387999500.0,,-617000000.0,663000000.0,-1005000000.0,58000000.0,-1063000100.0,-976000000.0,-0.3853,0.1883,-0.0181,-0.0468,-0.0455,-0.0001,1672000500.0,-388000000.0,-0.4155,-0.4155,-0.4155,-1063000100.0,-1063000000.0,0.0779,0.0978,TSLA
2018-09-30 00:00:00,17523481000.0,14484725000.0,3038755400.0,1458788900.0,2849952900.0,-1400420600.0,,-616469000.0,634232000.0,-2016890000.0,27672000.0,-2044561900.0,-1792040100.0,-0.7066,0.1734,-0.0799,-0.1151,-0.1023,-0.0679,624569300.0,-1400420900.0,-0.8127,-0.8088,-0.8088,-2044561900.0,-2044561900.0,0.0356,0.0783,TSLA
2018-06-30 00:00:00,13684156000.0,11720260000.0,1963895300.0,1439410900.0,2772950900.0,-2351900800.0,,-607437000.0,576341000.0,-2959338000.0,10387000.0,-2969724900.0,-2722416100.0,-1.0746,0.1435,-0.1719,-0.2163,-0.1989,-0.2549,-482171900.0,-2351901100.0,-1.1753,-1.1753,-1.1753,-2969724900.0,-2969724900.0,-0.0352,-0.0233,TSLA
2018-03-31 00:00:00,12471482000.0,10459901000.0,2011580400.0,1423055900.0,2559948900.0,-1971424700.0,,-644694000.0,521200000.0,-2616119000.0,12327000.0,-2628445900.0,-2341274100.0,-0.9293,0.1613,-0.1581,-0.2098,-0.1877,-0.3133,-197195800.0,-1971425000.0,-1.046,-1.046,-1.046,-2628445900.0,-2628445900.0,-0.0158,-0.0312,TSLA
2017-12-31 00:00:00,11759001000.0,9536000000.0,2223000500.0,1377999900.0,2476999900.0,-1631999700.0,,-577000000.0,471000000.0,-2209000000.0,32000000.0,-2240999900.0,-1962000100.0,-0.786,0.189,-0.1388,-0.1879,-0.1669,-0.2956,95000200.0,-1632000000.0,-0.9,-0.9,-0.9,-2240999900.0,-2240999900.0,0.0081,-0.0052,TSLA
2017-09-30 00:00:00,10755133000.0,8536154000.0,2218978900.0,1269396000.0,2250226000.0,-1300643500.0,,-336887000.0,390000000.0,-1637530000.0,51710000.0,-1689240000.0,-1407387000.0,-0.5707,0.2063,-0.1209,-0.1523,-0.1309,-0.3876,278134500.0,-1300643700.0,-0.678,-0.6785,-0.6785,-1689240000.0,-1689240000.0,0.0259,-0.0947,TSLA
2017-06-30 00:00:00,10068894000.0,7662320000.0,2406574000.0,1152076000.0,1934039000.0,-679541200.0,,-256530000.0,319604000.0,-936071000.0,60128000.0,-996199000.0,-766133000.0,-0.314,0.239,-0.0675,-0.093,-0.0761,-0.2558,814037800.0,-679541400.0,-0.4012,-0.4012,-0.4012,-996199000.0,-996199000.0,0.0808,-0.0293,TSLA
2017-03-31 00:00:00,8549354000.0,6534619000.0,2014734900.0,973966000.0,1717434000.0,-676665200.0,,-163165000.0,257531000.0,-839830000.0,48130000.0,-887960000.0,-722924000.0,-0.3173,0.2357,-0.0791,-0.0982,-0.0846,-0.1825,596399700.0,-676665400.0,-0.3788,-0.3788,-0.3788,-887960000.0,-887960000.0,0.0698,0.0065,TSLA
