Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,4329000000.0,2077000000.0,2253000000.0,620000000.0,1723384100.0,-6904800.0,99000000.0,-5000000.0,,-133000000.0,-27000000.0,-105478000.0,-106000000.0,-0.11,0.5204,-0.0016,-0.0307,-0.0245,-0.004,710000000.0,-6905000.0,-0.1099,,-0.0864,,-0.0864,-105478000.0,,-106000000.0,0.164,0.03,TTWO
2022-06-30 00:00:00,3793000000.0,1647000000.0,2148000000.0,488000000.0,1327384100.0,265695200.0,54000000.0,37000000.0,,188000000.0,27000000.0,161722000.0,161000000.0,1.52,0.5663,0.07,0.0496,0.0424,0.0253,694000000.0,265695000.0,1.5172,,1.5415,,1.5415,161722000.0,,161000000.0,0.183,0.0555,TTWO
2022-03-31 00:00:00,3504300000.0,1523700000.0,1982600000.0,407300000.0,1026484100.0,473595200.0,25000000.0,60000000.0,,465500000.0,48200000.0,418022000.0,417300000.0,3.6,0.5658,0.1351,0.1328,0.1191,0.0283,751700000.0,473595000.0,3.5797,,3.6197,,3.6197,418022000.0,,417300000.0,0.2145,0.0736,TTWO
2021-12-31 00:00:00,3413731000.0,1393346900.0,2022384100.0,394859000.0,942354000.0,600523100.0,21487000.0,57774000.0,,597091000.0,71979000.0,525809000.0,525112000.0,4.55,0.5924,0.1759,0.1749,0.1538,-0.0054,864142100.0,600523000.0,4.5138,,4.5667,,4.5667,525809000.0,,525112000.0,0.2531,0.0421,TTWO
2021-09-30 00:00:00,3371620000.0,1373590900.0,1999029100.0,364287000.0,914892000.0,622474100.0,,94163000.0,,661537000.0,98177000.0,563560000.0,563360000.0,4.89,0.5929,0.1846,0.1962,0.1671,0.1228,902791100.0,622474000.0,4.8452,,4.8978,,4.8978,563560000.0,,563360000.0,0.2678,0.1688,TTWO
2021-06-30 00:00:00,3354762000.0,1388095900.0,1966666100.0,336503000.0,857016000.0,717741100.0,,41214000.0,,758955000.0,106274000.0,652681000.0,652681000.0,5.67,0.5862,0.2139,0.2262,0.1946,0.1397,928029100.0,717741000.0,5.6185,,5.6776,,5.6776,652681000.0,,652681000.0,0.2766,0.1833,TTWO
2021-03-31 00:00:00,3372772000.0,1535084900.0,1837687100.0,317311000.0,835668000.0,629384100.0,,48432000.0,,677816000.0,88930000.0,588886000.0,588886000.0,5.13,0.5449,0.1866,0.201,0.1746,0.2501,862197100.0,629384000.0,5.0878,,5.1386,,5.1386,588886000.0,,588886000.0,0.2556,0.2705,TTWO
2020-12-31 00:00:00,3293881800.0,1651078000.0,1642803800.0,302470000.0,792787000.0,495450900.0,,53408000.0,25428000.0,548859000.0,56063000.0,492796000.0,492796000.0,4.31,0.4987,0.1504,0.1666,0.1496,0.2959,757112900.0,495451100.0,4.2749,,4.3154,,4.3154,492796000.0,,492796000.0,0.2299,0.3137,TTWO
2020-09-30 00:00:00,3363121800.0,1741927000.0,1621194800.0,298562000.0,775856000.0,496226900.0,,24962000.0,30397000.0,521189000.0,46999000.0,474190000.0,474190000.0,4.17,0.4821,0.1475,0.155,0.141,0.3317,737196900.0,496227100.0,4.1377,,4.1757,,4.1757,474190000.0,,474190000.0,0.2192,0.3474,TTWO
2020-06-30 00:00:00,3379820800.0,1777670000.0,1602150800.0,300543000.0,796957000.0,455679900.0,,30965000.0,31877000.0,486645000.0,39961000.0,446684000.0,446684000.0,3.93,0.474,0.1348,0.144,0.1322,0.2871,719755900.0,455680100.0,3.9066,,3.9427,,3.9427,446684000.0,,446684000.0,0.213,0.3026,TTWO
