Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,15487000000.0,10704000000.0,4784000000.0,2512700000.0,2274000900.0,224000000.0,10000000.0,6000000.0,2045000000.0,369000000.0,1676299900.0,1635000000.0,6.92,0.3089,0.1468,0.132,0.1056,0.0517,2607000000.0,2274000400.0,7.04,-0.1292,7.0616,-0.1129,7.1,1676299900.0,-24500000.0,1676000000.0,0.1683,0.0704,TT
2022-06-30 00:00:00,14835000000.0,10286000000.0,4550000000.0,2433400000.0,2117901000.0,226000000.0,19000000.0,5000000.0,1899000000.0,361000000.0,1537999900.0,1493000000.0,6.28,0.3067,0.1428,0.128,0.1006,0.0496,2430000000.0,2117900500.0,6.39,-0.1392,6.3953,-0.1329,6.46,1537999900.0,-29900000.0,1538000000.0,0.1638,0.0681,TT
2022-03-31 00:00:00,14474700000.0,9973000000.0,4501700000.0,2440300000.0,2058301100.0,229000000.0,-42000000.0,62300000.0,1838000000.0,346800000.0,1490699900.0,1448700000.0,6.03,0.311,0.1422,0.127,0.1001,0.0584,2365800000.0,2058300600.0,6.13,-0.13,6.148,-0.1237,6.21,1490699900.0,-28500000.0,1490000000.0,0.1634,0.0749,TT
2021-12-31 00:00:00,14136300000.0,9670400000.0,4465900200.0,2439500000.0,2023301300.0,234000000.0,-124900000.0,122000000.0,1791300000.0,334200000.0,1457199900.0,1423900000.0,5.9,0.3159,0.1431,0.1267,0.1007,0.0937,2329000200.0,2023300800.0,5.96,-0.09,6.0185,-0.0899,6.05,1457199900.0,-20600000.0,1457800000.0,0.1648,0.1084,TT
2021-09-30 00:00:00,13746400000.0,9376600000.0,4369800600.0,2393600000.0,1975600300.0,240000000.0,-186300000.0,182900000.0,1718900000.0,340600000.0,1378299900.0,1350600000.0,5.59,0.3179,0.1437,0.125,0.0983,0.1157,2269600400.0,1975599900.0,5.6,-0.0308,5.704,-0.067,5.7,1378300100.0,-13600000.0,1378000000.0,0.1651,0.1287,TT
2021-06-30 00:00:00,13521900000.0,9215400000.0,4306500600.0,2347400000.0,1959100300.0,245000000.0,-259200000.0,244300000.0,1699900000.0,333500000.0,1366399900.0,1345200000.0,5.53,0.3185,0.1449,0.1257,0.0995,0.1586,2255000300.0,1959099900.0,5.54,-0.0108,5.6712,-0.027,5.63,1366400100.0,-5800000.0,1360600000.0,0.1668,0.1707,TT
2021-03-31 00:00:00,12831000000.0,8816900000.0,4014100600.0,2282500000.0,1731600300.0,247000000.0,-261900000.0,246300000.0,1469700000.0,294200000.0,1175499900.0,1119300000.0,4.61,0.3128,0.135,0.1145,0.0872,0.1455,2026900300.0,1731599900.0,4.77,-0.16,4.725,-0.1762,4.84,1175500100.0,-41800000.0,1133700000.0,0.158,0.1576,TT
2020-12-31 00:00:00,12454700000.0,8651300000.0,3803400400.0,2270600000.0,1532800200.0,249000000.0,-244600000.0,248700000.0,1288200000.0,296800000.0,991399900.0,854900000.0,3.52,0.3054,0.1231,0.1034,0.0686,0.1035,1827100200.0,1532799800.0,4.02,-0.5,3.6236,-0.51,4.07,991400100.0,-121400000.0,870000000.0,0.1467,0.1152,TT
2020-09-30 00:00:00,12459300000.0,8687000000.0,3772300300.0,2297300000.0,1475000700.0,251000000.0,-249300000.0,250200000.0,1225700000.0,270400000.0,955300100.0,906300000.0,3.73,0.3028,0.1184,0.0984,0.0727,0.1231,1771700700.0,1475000900.0,3.88,-0.16,3.8378,-0.14,3.93,955300100.0,-33400000.0,921900000.0,0.1422,0.1344,TT
2020-06-30 00:00:00,12434700000.0,8692800000.0,3741900300.0,2297300000.0,1444600600.0,,-252100000.0,251700000.0,1192500000.0,261000000.0,931500100.0,964500000.0,3.97,0.3009,0.1162,0.0959,0.0776,0.0992,1739500600.0,1444600800.0,3.78,0.18,4.0721,0.2,3.82,931500100.0,49200000.0,980700000.0,0.1399,0.1129,TT
