Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,1465937900.0,528222000.0,937715900.0,61201000.0,285486000.0,-113042000.0,149071000.0,172444000.0,1188000.0,171256000.0,155490000.0,0.5,0.6397,0.1947,0.1176,0.1061,0.303,961462000.0,285486000.0,0.5569,,0.5589,,0.5589,171256000.0,,171256000.0,0.6559,0.5895,UDR
2022-06-30 00:00:00,1404410900.0,510113000.0,894297900.0,61171000.0,255737000.0,-89246000.0,145455000.0,166491000.0,1340000.0,165151000.0,149664000.0,0.49,0.6368,0.1821,0.1185,0.1066,0.2911,917407000.0,255737000.0,0.5429,,0.5454,,0.5454,165151000.0,,165151000.0,0.6532,0.5779,UDR
2022-03-31 00:00:00,1346591900.0,494067000.0,852524900.0,59713000.0,240788000.0,-67303000.0,144027000.0,173485000.0,1163000.0,172322000.0,156352000.0,0.52,0.6331,0.1788,0.1288,0.1161,0.2912,880629000.0,240788000.0,0.5682,,0.5709,,0.5709,172322000.0,,172322000.0,0.654,0.5745,UDR
2021-12-31 00:00:00,1290766900.0,477729000.0,813037900.0,57541000.0,267967900.0,-105536000.0,186267000.0,162432000.0,1439000.0,160993000.0,145787000.0,0.49,0.6299,0.2076,0.1258,0.1129,0.2506,887800900.0,267967900.0,0.5335,,0.536,,0.536,160993000.0,,160993000.0,0.6878,0.5175,UDR
2021-09-30 00:00:00,1244943000.0,460777000.0,784166000.0,55651000.0,232284000.0,-166933000.0,212373000.0,65351000.0,1951000.0,63400000.0,54865000.0,0.2,0.6299,0.1866,0.0525,0.0441,0.2411,831858000.0,232284000.0,0.2132,,0.2142,,0.2142,63400000.0,,63400000.0,0.6682,0.5077,UDR
2021-06-30 00:00:00,1225217000.0,449595000.0,775622000.0,51799000.0,229229000.0,-210477000.0,238352000.0,18752000.0,1609000.0,17143000.0,11883000.0,0.05,0.633,0.1871,0.0153,0.0097,0.252,828734000.0,229229000.0,0.0577,,0.0579,,0.0579,17143000.0,,17143000.0,0.6764,0.504,UDR
2021-03-31 00:00:00,1221125000.0,444095000.0,777030000.0,47643000.0,285219000.0,-215515000.0,241545000.0,69704000.0,3000000.0,66704000.0,57929000.0,0.2,0.6363,0.2336,0.0571,0.0474,0.2387,893036000.0,285219000.0,0.226,,0.2263,,0.2263,66704000.0,,66704000.0,0.7313,0.4852,UDR
2020-12-31 00:00:00,1241165000.0,440694000.0,800471000.0,49885000.0,249103000.0,-177588000.0,202706000.0,71515000.0,2545000.0,68970000.0,60036000.0,0.2,0.6449,0.2007,0.0576,0.0484,0.2489,867732000.0,249103000.0,0.2338,,0.2341,,0.2341,68970000.0,,68970000.0,0.6991,0.4869,UDR
2020-09-30 00:00:00,1243599000.0,428570000.0,815029000.0,52438000.0,205628000.0,-58093000.0,200617000.0,147535000.0,1879000.0,145656000.0,131163000.0,0.44,0.6554,0.1653,0.1186,0.1055,0.2893,821225000.0,205627900.0,0.5016,,0.5029,,0.5029,145656000.0,,145656000.0,0.6604,0.5069,UDR
2020-06-30 00:00:00,1228949000.0,412854000.0,816095000.0,52677000.0,234369000.0,-28883000.0,180872000.0,205486000.0,3191000.0,202295000.0,183645000.0,0.62,0.6641,0.1907,0.1672,0.1494,0.3294,823140000.0,234368900.0,0.6955,,0.6972,,0.6972,202295000.0,,202295000.0,0.6698,0.5381,UDR
2020-03-31 00:00:00,1203001000.0,393697000.0,809304000.0,54044000.0,207517000.0,-27210000.0,176692000.0,180307000.0,1790000.0,178517000.0,161524000.0,0.55,0.6727,0.1725,0.1499,0.1343,0.3336,758817000.0,207516900.0,0.6207,,0.6224,,0.6224,178517000.0,,178517000.0,0.6308,0.5227,UDR
2019-12-31 00:00:00,1152193000.0,376488000.0,775705000.0,51533000.0,221057000.0,-17640000.0,170917000.0,203417000.0,3838000.0,199579000.0,180861000.0,0.62,0.6732,0.1919,0.1765,0.157,0.3654,728980000.0,221056900.0,0.6977,,0.6996,,0.6996,199579000.0,,199579000.0,0.6327,0.5474,UDR
2019-09-30 00:00:00,1115041900.0,366028000.0,749013900.0,47957000.0,302489900.0,-114627000.0,148708000.0,187863000.0,3906000.0,183957000.0,165421000.0,0.59,0.6717,0.2713,0.1685,0.1484,0.3721,773320900.0,302489900.0,0.6648,,0.6668,,0.6668,183957000.0,,183957000.0,0.6935,0.5478,UDR
2019-06-30 00:00:00,1085791900.0,358605000.0,727186900.0,47656000.0,298644900.0,-121287000.0,140586000.0,177358000.0,2565000.0,174793000.0,156887000.0,0.57,0.6697,0.275,0.1633,0.1445,0.3602,750028900.0,298644900.0,0.6385,,0.6406,,0.6406,174793000.0,,174793000.0,0.6908,0.5452,UDR
2019-03-31 00:00:00,1064226900.0,352377000.0,711849900.0,47691000.0,288898900.0,-127307000.0,137767000.0,161592000.0,2673000.0,158919000.0,141929000.0,0.52,0.6689,0.2715,0.1518,0.1334,0.3161,728874900.0,288898900.0,0.5864,,0.5887,,0.5887,158919000.0,,158919000.0,0.6849,0.5316,UDR
2018-12-31 00:00:00,1046858900.0,343555000.0,703303900.0,46983000.0,354717900.0,-132488000.0,134168000.0,222230000.0,688000.0,221542000.0,199238000.0,0.74,0.6718,0.3388,0.2123,0.1903,0.2801,790396900.0,354717900.0,0.822,,0.8262,,0.8262,221542000.0,,221542000.0,0.755,0.5356,UDR
2018-09-30 00:00:00,1032072000.0,337371000.0,694701000.0,47618000.0,319194000.0,-109955000.0,130153000.0,209239000.0,-447000.0,209686000.0,186390000.0,0.7,0.6731,0.3093,0.2027,0.1806,0.2243,757837100.0,319194000.0,0.7795,,0.7763,,0.7843,209686000.0,,207554000.0,0.7343,0.5197,UDR
2018-06-30 00:00:00,1017019000.0,330695000.0,686324000.0,48189000.0,309675000.0,-103155000.0,125847000.0,206520000.0,-478000.0,206998000.0,184015000.0,0.69,0.6748,0.3045,0.2031,0.1809,0.1841,747511100.0,309675000.0,0.7695,,0.7664,,0.7744,206998000.0,,204866000.0,0.735,0.5255,UDR
2018-03-31 00:00:00,1005255000.0,326586000.0,678669000.0,47250000.0,300701000.0,-105430000.0,128115000.0,195271000.0,-345000.0,195616000.0,173613000.0,0.65,0.6751,0.2991,0.1943,0.1727,0.1627,740350100.0,300701000.0,0.7271,,0.7238,,0.7318,195616000.0,,193484000.0,0.7365,0.5281,UDR
2017-12-31 00:00:00,995791000.0,321934000.0,673857000.0,48566000.0,227898000.0,-95483000.0,128711000.0,132415000.0,-240000.0,132655000.0,117850000.0,0.44,0.6767,0.2289,0.133,0.1183,0.1449,664360100.0,227898000.0,0.4934,,0.4967,,0.4967,132655000.0,,132655000.0,0.6672,0.5211,UDR
2017-09-30 00:00:00,985919000.0,317339000.0,668580000.0,50232000.0,412492000.0,-74355000.0,123795000.0,338137000.0,13110000.0,325027000.0,286023000.0,1.07,0.6781,0.4184,0.343,0.2901,0.1863,841900000.0,412492100.0,1.2148,,1.1925,,1.2237,325027000.0,,316774000.0,0.8539,0.5505,UDR
2017-06-30 00:00:00,978080000.0,313161000.0,664919000.0,49591000.0,412751000.0,-62751000.0,125654000.0,350000000.0,13077000.0,336923000.0,296786000.0,1.11,0.6798,0.422,0.3578,0.3034,0.2154,840731000.0,412751100.0,1.2593,,1.2373,,1.2685,336923000.0,,328670000.0,0.8596,0.562,UDR
2017-03-31 00:00:00,968887000.0,311268000.0,657619000.0,48992000.0,408206000.0,-57787000.0,122466000.0,350419000.0,12309000.0,338110000.0,304575000.0,1.14,0.6787,0.4213,0.3617,0.3144,0.2529,833592000.0,408206100.0,1.2639,,1.2694,,1.2731,338110000.0,,337172000.0,0.8604,0.5615,UDR
2016-12-31 00:00:00,959861000.0,309108000.0,650753000.0,49761000.0,400821000.0,-68867000.0,123031000.0,331954000.0,11574000.0,320380000.0,289001000.0,1.09,0.678,0.4176,0.3458,0.3011,0.2731,826459000.0,400821100.0,1.1985,,1.2072,,1.2072,320380000.0,,320380000.0,0.861,0.559,UDR
2016-09-30 00:00:00,954458000.0,309369000.0,645089000.0,54498000.0,160351000.0,-107709000.0,126906000.0,52642000.0,-2135000.0,54777000.0,217993000.0,0.82,0.6759,0.168,0.0552,0.2284,0.3025,588802000.0,160351000.0,0.1986,,0.9101,,0.2045,54777000.0,,237797000.0,0.6169,0.5615,UDR
2016-06-30 00:00:00,932624000.0,304054000.0,628570000.0,58496000.0,154801000.0,-118657000.0,125184000.0,36144000.0,-2862000.0,39006000.0,204327000.0,0.77,0.674,0.166,0.0388,0.2191,0.2632,567949000.0,154801000.0,0.1412,,0.8524,,0.1468,39006000.0,,222026000.0,0.609,0.5019,UDR
2016-03-31 00:00:00,909700000.0,296767000.0,612933000.0,61382000.0,152443000.0,-118708000.0,124179000.0,33735000.0,-3864000.0,37599000.0,273234000.0,1.04,0.6738,0.1676,0.0371,0.3004,0.2831,550212000.0,152443000.0,0.1368,,1.1275,,0.1428,37599000.0,,292346000.0,0.6048,0.5226,UDR
2015-12-31 00:00:00,894638000.0,291745000.0,602893000.0,59690000.0,159591000.0,-57995000.0,121875000.0,101596000.0,-3886000.0,105482000.0,336661000.0,1.28,0.6739,0.1784,0.1136,0.3763,0.266,540868000.0,159591000.0,0.3999,,1.3808,,0.4078,105482000.0,,357159000.0,0.6046,0.5126,UDR
2015-09-30 00:00:00,866582000.0,283666000.0,582916000.0,53419000.0,159084000.0,-61194000.0,121497000.0,97890000.0,-9549000.0,107439000.0,235662000.0,0.91,0.6727,0.1836,0.113,0.2719,0.1622,527077000.0,159084000.0,0.1033,,0.9674,,0.107,107439000.0,,247748000.0,0.6082,0.486,UDR
2015-06-30 00:00:00,851916000.0,282229000.0,569687000.0,49149000.0,151967000.0,-59020000.0,124352000.0,92947000.0,-11408000.0,104355000.0,262919000.0,1.02,0.6687,0.1784,0.1091,0.3086,0.1593,518658000.0,151967000.0,0.2109,,1.0814,,0.2141,104355000.0,,276045000.0,0.6088,0.5025,UDR
2015-03-31 00:00:00,839760000.0,280522000.0,559238000.0,47958000.0,145527000.0,-59849000.0,126370000.0,85678000.0,-12194000.0,97872000.0,206071000.0,0.81,0.6659,0.1733,0.102,0.2454,0.0955,510243000.0,145527000.0,0.2896,,0.857,,0.2921,97872000.0,,217247000.0,0.6076,0.4892,UDR
2014-12-31 00:00:00,818046000.0,279012000.0,539034000.0,47800000.0,126764000.0,-125602000.0,130454000.0,1162000.0,-15098000.0,16260000.0,150610000.0,0.6,0.6589,0.155,0.0014,0.1841,0.0533,490693000.0,126764000.0,0.0642,0.0001,0.6355,0.0001,0.0646,16260000.0,10000.0,159842000.0,0.5998,0.4857,UDR
2014-09-30 00:00:00,801913000.0,276351000.0,525562000.0,47610000.0,115464000.0,-117058000.0,131022000.0,-1594000.0,-7996000.0,6402000.0,121893000.0,0.49,0.6554,0.144,-0.002,0.152,0.025,477801000.0,115464000.0,0.33,0.1667,0.5191,0.1667,0.33,6402000.0,41385000.0,130092000.0,0.5958,0.4497,UDR
2014-06-30 00:00:00,786285000.0,272670000.0,513615000.0,47420000.0,115977000.0,-125997000.0,128874000.0,-10020000.0,-8162000.0,-1858000.0,84532000.0,0.34,0.6532,0.1475,-0.0127,0.1075,-0.0074,473033000.0,115977000.0,0.18,0.1664,0.3651,0.1664,0.18,-1858000.0,42190000.0,91335000.0,0.6016,0.4499,UDR
2014-03-31 00:00:00,772081000.0,270417000.0,501664000.0,44756000.0,113798000.0,-124146000.0,127986000.0,-10348000.0,-8655000.0,-1693000.0,59717000.0,0.24,0.6498,0.1474,-0.0134,0.0773,-0.0795,467054000.0,113798000.0,0.07,0.1663,0.2623,0.1663,0.07,-1693000.0,43002000.0,65603000.0,0.6049,0.4608,UDR
2013-12-31 00:00:00,758926000.0,265748000.0,493178000.0,42238000.0,116920000.0,-121879000.0,126083000.0,-4959000.0,-7299000.0,2340000.0,41088000.0,0.17,0.6498,0.1541,-0.0065,0.0541,-0.1344,465151000.0,116920000.0,-0.01,0.17,0.1851,0.17,-0.01,2340000.0,43942000.0,46282000.0,0.6129,0.4479,UDR
2013-09-30 00:00:00,741613000.0,258675000.0,482938000.0,41359000.0,108232000.0,-150717000.0,123383000.0,-42485000.0,-31818000.0,-10667000.0,-7912000.0,-0.02,0.6512,0.1459,-0.0573,-0.0107,-0.1726,449079000.0,108232000.0,-0.03,-0.0421,-0.0648,-0.0421,-0.03,-10667000.0,5992000.0,-4675000.0,0.6055,0.4568,UDR
2013-06-30 00:00:00,735575000.0,256903000.0,478672000.0,40017000.0,94461000.0,-148142000.0,124289000.0,-53681000.0,-32120000.0,-21561000.0,-20131000.0,-0.07,0.6507,0.1284,-0.073,-0.0274,-0.1851,439167000.0,94461000.0,-0.08,-0.0466,-0.1164,-0.0466,-0.08,-21561000.0,3975000.0,-17586000.0,0.597,0.4729,UDR
2013-03-31 00:00:00,726265000.0,254367000.0,471898000.0,43889000.0,81285000.0,-162748000.0,135028000.0,-81463000.0,-32255000.0,-49208000.0,121329000.0,0.53,0.6498,0.1119,-0.1122,0.1671,-0.1442,425213000.0,81285000.0,-0.21,0.6934,0.5301,0.6934,-0.21,-49208000.0,182574000.0,133366000.0,0.5855,0.4459,UDR
2012-12-31 00:00:00,716612000.0,251034000.0,465578000.0,43792000.0,67260000.0,-143847000.0,138792000.0,-76587000.0,,-46305000.0,203376000.0,0.89,0.6497,0.0939,-0.1069,0.2838,-0.1013,421765000.0,67260000.0,-0.22,1.07,0.9224,1.07,-0.22,-46305000.0,266608000.0,220303000.0,0.5886,0.4566,UDR
