Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,7189000000.0,5630000000.0,1560000000.0,513200000.0,971400400.0,155000000.0,77000000.0,158400000.0,807000000.0,195000000.0,610900000.0,594000000.0,4.45,0.217,0.1351,0.1123,0.0826,0.0715,1686000000.0,971400200.0,4.57,-0.12,4.4691,-0.13,4.6,610900000.0,-16600000.0,611000000.0,0.2345,0.144,VMC
2022-06-30 00:00:00,6618000000.0,5157000000.0,1461000000.0,481900000.0,928400300.0,145000000.0,-21000000.0,149100000.0,775000000.0,165000000.0,609600000.0,594000000.0,4.44,0.2208,0.1403,0.1171,0.0898,0.0643,1582000000.0,928400100.0,4.57,-0.13,4.4688,-0.12,4.59,609600000.0,-15600000.0,610000000.0,0.239,0.142,VMC
2022-03-31 00:00:00,6025000000.0,4611600000.0,1413400000.0,448200000.0,908300300.0,148000000.0,-45400000.0,152100000.0,765100000.0,158300000.0,605900000.0,602300000.0,4.51,0.2346,0.1508,0.127,0.1,0.0902,1502600100.0,908300100.0,4.54,-0.04,4.5304,-0.03,4.56,605900000.0,-4000000.0,604300000.0,0.2494,0.169,VMC
2021-12-31 00:00:00,5552300000.0,4178600000.0,1373700000.0,417800000.0,1010800500.0,146000000.0,-74600000.0,149300000.0,874400000.0,199900000.0,673700000.0,670900000.0,5.03,0.2474,0.1821,0.1575,0.1208,0.14,1545500200.0,1010800300.0,5.05,-0.04,5.0481,-0.03,5.08,673700000.0,-3300000.0,670900000.0,0.2784,0.1822,VMC
2021-09-30 00:00:00,5121393000.0,3795932900.0,1324459800.0,391954000.0,995799000.0,143000000.0,-128809000.0,147091000.0,846590000.0,195170000.0,651420000.0,647438000.0,4.86,0.2586,0.1944,0.1653,0.1264,0.1562,1457787100.0,995799000.0,4.88,-0.04,4.8749,-0.03,4.91,651420000.0,-4182000.0,647438000.0,0.2846,0.1986,VMC
2021-06-30 00:00:00,4914283000.0,3603324900.0,1310957800.0,371465000.0,1021503100.0,142000000.0,-145804000.0,146073000.0,875699000.0,200154000.0,675545000.0,670226000.0,5.05,0.2668,0.2079,0.1782,0.1364,0.1853,1426852100.0,1021503100.0,5.06,-0.04,5.0506,-0.04,5.1,675545000.0,-5319000.0,670226000.0,0.2903,0.2122,VMC
2021-03-31 00:00:00,4875858000.0,3566780900.0,1309076700.0,361970000.0,1032898900.0,135000000.0,-138991000.0,138327000.0,893908000.0,204206000.0,689702000.0,684842000.0,5.16,0.2685,0.2118,0.1833,0.1405,0.2117,1434618900.0,1032898900.0,5.17,-0.03,5.1637,-0.04,5.21,689702000.0,-4860000.0,684842000.0,0.2942,0.2373,VMC
2020-12-31 00:00:00,4856800000.0,3575299900.0,1281499700.0,359800000.0,895699800.0,132000000.0,-151900000.0,136000000.0,743800000.0,155800000.0,588000000.0,584500000.0,4.4,0.2639,0.1844,0.1531,0.1203,0.1482,1292499800.0,895699800.0,4.41,-0.02,4.408,-0.03,4.44,588000000.0,-3500000.0,584500000.0,0.2661,0.2204,VMC
2020-09-30 00:00:00,4867856000.0,3596036000.0,1271820000.0,356900000.0,892918300.0,130000000.0,-124279000.0,132543000.0,768639000.0,153967000.0,614672000.0,611092000.0,4.61,0.2613,0.1834,0.1579,0.1255,0.1622,1284505300.0,892918200.0,4.62,-0.04,4.6121,-0.03,4.64,614672000.0,-3580000.0,611092000.0,0.2639,0.2292,VMC
2020-06-30 00:00:00,4976724000.0,3684759000.0,1291965100.0,362178000.0,908190300.0,,-126122000.0,128958000.0,782068000.0,150455000.0,631613000.0,627017000.0,4.73,0.2596,0.1825,0.1571,0.126,0.1489,1295064300.0,908190200.0,4.74,-0.04,4.7342,-0.04,4.77,631613000.0,-4596000.0,627017000.0,0.2602,0.2226,VMC
