Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,1774135000.0,868112000.0,906022900.0,136496000.0,277074700.0,-53329000.0,13043000.0,199094000.0,24741000.0,174353000.0,95912000.0,0.5,0.5107,0.1562,0.1122,0.0541,0.0049,791518700.0,277074900.0,0.9081,,0.9094,,0.9094,174353000.0,,174331000.0,0.4461,0.4871,VNO
2022-06-30 00:00:00,1725916000.0,867900000.0,858015900.0,132875000.0,264948700.0,4268000.0,4766000.0,221660000.0,-4346000.0,226006000.0,125828000.0,0.66,0.4971,0.1535,0.1284,0.0729,-0.0782,743913700.0,264948900.0,1.1771,,1.1791,,1.1791,226006000.0,,225980000.0,0.431,0.4228,VNO
2022-03-31 00:00:00,1651363000.0,833657000.0,817705900.0,131575000.0,243851800.0,32571000.0,55352000.0,228866000.0,-5069000.0,233935000.0,123460000.0,0.65,0.4952,0.1477,0.1386,0.0748,-0.0664,691682800.0,243852000.0,1.2177,,1.221,,1.221,233935000.0,,233914000.0,0.4189,0.4291,VNO
2021-12-31 00:00:00,1589210000.0,807945000.0,781264900.0,134545000.0,221340800.0,15173000.0,103509000.0,197057000.0,-10496000.0,207553000.0,101070000.0,0.53,0.4916,0.1393,0.124,0.0636,0.0166,644685800.0,221341000.0,1.0804,,1.0836,,1.0836,207553000.0,,207537000.0,0.4057,0.4794,VNO
2021-09-30 00:00:00,1544561000.0,794217000.0,750344000.0,161595000.0,-61338900.0,28756000.0,157224000.0,-55488000.0,-22352000.0,-33136000.0,-119318000.0,-0.62,0.4858,-0.0397,-0.0359,-0.0773,-0.0282,338684000.0,-61338900.0,-0.1779,,-0.1746,,-0.1746,-33136000.0,,-33144000.0,0.2193,0.4603,VNO
2021-06-30 00:00:00,1499311000.0,768066000.0,731245000.0,168449000.0,-96979900.0,87620000.0,213962000.0,-9360000.0,26805000.0,-36165000.0,-103829000.0,-0.54,0.4877,-0.0647,-0.0062,-0.0693,-0.0556,308078000.0,-96979900.0,-0.192,,-0.1896,,-0.1896,-36165000.0,,-36165000.0,0.2055,0.4197,VNO
2021-03-31 00:00:00,1463396000.0,682244000.0,781152000.0,172861000.0,-57490900.0,-247057000.0,220473000.0,-304548000.0,25801000.0,-330349000.0,-349624000.0,-1.82,0.5338,-0.0393,-0.2081,-0.2389,-0.0679,347734000.0,-57490900.0,-1.7287,,-1.7281,,-1.7281,-330349000.0,,-330349000.0,0.2376,0.4079,VNO
2020-12-31 00:00:00,1527951000.0,720500000.0,807451000.0,181509000.0,-22788900.0,-402426000.0,229251000.0,-425215000.0,36630000.0,-461845000.0,-348744000.0,-1.81,0.5285,-0.0149,-0.2783,-0.2282,-0.2182,378275000.0,-22788900.0,-2.4161,,-2.4161,,-2.4161,-461845000.0,,-461845000.0,0.2476,0.2777,VNO
2020-09-30 00:00:00,1612488000.0,755486000.0,857002000.0,160046000.0,304856900.0,-336027000.0,234301000.0,-31170100.0,61328000.0,-92498000.0,53599800.0,0.29,0.5315,0.1891,-0.0193,0.0332,-0.2171,690420900.0,304856900.0,-0.4841,,-0.4845,,-0.4848,-92498000.0,,-92443000.0,0.4282,0.2827,VNO
2020-06-30 00:00:00,1714487000.0,787192000.0,927295000.0,160876000.0,388262900.0,-124208000.0,238378000.0,264054900.0,61432000.0,202623000.0,323335800.0,1.7,0.5409,0.2265,0.154,0.1886,-0.1401,762181900.0,388262900.0,1.0611,,1.0627,,1.0625,202623000.0,107000.0,202670000.0,0.4446,0.3718,VNO
2020-03-31 00:00:00,1834564000.0,1004330000.0,830234000.0,164734000.0,272154900.0,2830962000.0,243002000.0,3103116900.0,86509000.0,3016608000.0,2921280800.0,15.31,0.4526,0.1483,1.6915,1.5924,-0.1378,667354900.0,272154900.0,15.7892,,15.8109,,15.8103,3016608000.0,,3016715000.0,0.3638,0.3542,VNO
2019-12-31 00:00:00,1924700000.0,1021296000.0,903404000.0,169920000.0,299544900.0,3138186000.0,286623000.0,3437730900.0,103439000.0,3334292000.0,3097805800.0,16.23,0.4694,0.1556,1.7861,1.6095,-0.1144,718647900.0,299544900.0,17.4522,-0.0001,17.4751,-0.0001,17.4753,3334292000.0,-30000.0,3334262000.0,0.3734,0.3442,VNO
2019-09-30 00:00:00,2007149000.0,1051641000.0,955508000.0,163063000.0,337858000.0,3046588000.0,310115000.0,3384446000.0,113211000.0,3271235000.0,3005083000.0,15.75,0.4761,0.1683,1.6862,1.4972,-0.0699,776179000.0,337857900.0,17.1217,0.001,17.1493,0.001,17.1484,3271235000.0,172000.0,3271407000.0,0.3867,0.355,VNO
