Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,3033100000.0,1407200000.0,1625900000.0,463500000.0,1382100000.0,127800000.0,670200000.0,127800000.0,1262300000.0,227400000.0,1034900000.0,1034700000.0,6.44,0.5361,0.4557,0.4162,0.3411,0.6067,1511400000.0,1382100000.0,6.4409,,6.486,,6.486,1034900000.0,,1034900000.0,0.4983,0.3452,VRSK
2022-06-30 00:00:00,3046800000.0,1427200000.0,1619600000.0,452600000.0,1394400000.0,123200000.0,667200000.0,123200000.0,1276200000.0,225900000.0,1050300000.0,1047000000.0,6.48,0.5316,0.4577,0.4189,0.3436,0.6046,1525100000.0,1394400000.0,6.5001,,6.5483,,6.5483,1050300000.0,,1050300000.0,0.5006,0.3429,VRSK
2022-03-31 00:00:00,3048000000.0,1356400000.0,1691600000.0,438100000.0,1392700000.0,122900000.0,630200000.0,122900000.0,1269600000.0,265500000.0,1004100000.0,1003300000.0,6.19,0.555,0.4569,0.4165,0.3292,0.4736,1537600000.0,1392700000.0,6.1868,,6.232,,6.232,1004100000.0,,1004100000.0,0.5045,0.3733,VRSK
2021-12-31 00:00:00,2998600000.0,1244100000.0,1754500000.0,422600000.0,1000500000.0,127000000.0,71000000.0,127000000.0,875400000.0,209100000.0,666300000.0,666200000.0,4.1,0.5851,0.3337,0.2919,0.2222,0.3028,1520800000.0,1000500000.0,4.0793,,4.117,,4.117,666300000.0,,666300000.0,0.5072,0.3923,VRSK
2021-09-30 00:00:00,2945900100.0,1142700000.0,1803200100.0,455200000.0,1057400200.0,132200000.0,-100200000.0,132000000.0,927200000.0,226500000.0,700700000.0,700500000.0,4.31,0.6121,0.3589,0.3147,0.2378,0.3296,1438900100.0,1057400100.0,4.2799,,4.3215,,4.3215,700700000.0,,700700000.0,0.4884,0.4164,VRSK
2021-06-30 00:00:00,2889600100.0,1027700000.0,1861900100.0,436600000.0,1043900200.0,137600000.0,-135800000.0,137400000.0,908100000.0,226500000.0,681600000.0,684600000.0,4.21,0.6443,0.3613,0.3143,0.2369,0.3042,1427000100.0,1043900100.0,4.1423,,4.1951,,4.1951,681600000.0,,681600000.0,0.4938,0.3938,VRSK
2021-03-31 00:00:00,2820900100.0,998600000.0,1822300100.0,421600000.0,1036200200.0,140300000.0,-138700000.0,140100000.0,897500000.0,188500000.0,709000000.0,709600000.0,4.36,0.646,0.3673,0.3182,0.2516,0.3195,1402600100.0,1036200100.0,4.2967,,4.3617,,4.3617,709000000.0,,709000000.0,0.4972,0.4092,VRSK
2020-12-31 00:00:00,2784600100.0,993900000.0,1790700100.0,413900000.0,1038100200.0,138400000.0,-140600000.0,138200000.0,897500000.0,184800000.0,712700000.0,712700000.0,4.37,0.6431,0.3728,0.3223,0.2559,0.3033,1398000100.0,1038100100.0,4.3111,,4.3829,,4.3829,712700000.0,,712700000.0,0.502,0.3836,VRSK
2020-09-30 00:00:00,2748100200.0,993300000.0,1754800200.0,429700000.0,994100200.0,136100000.0,-140500000.0,136100000.0,853600000.0,184900000.0,668700000.0,668700000.0,4.1,0.6386,0.3617,0.3106,0.2433,0.2839,1346300100.0,994100200.0,4.036,,4.1095,,4.1095,668700000.0,,668700000.0,0.4899,0.3623,VRSK
2020-06-30 00:00:00,2698100200.0,996200000.0,1701900200.0,588300000.0,788200200.0,,-135700000.0,132100000.0,652500000.0,136700000.0,515800000.0,515800000.0,3.16,0.6308,0.2921,0.2418,0.1912,0.2931,1129600100.0,788200200.0,3.1122,,3.1672,,3.1672,515800000.0,,515800000.0,0.4187,0.3714,VRSK
2020-03-31 00:00:00,2671900200.0,1003100000.0,1668800200.0,604200000.0,746800200.0,,-131800000.0,128400000.0,615000000.0,127800000.0,487200000.0,487200000.0,2.98,0.6246,0.2795,0.2302,0.1823,0.2812,1081100100.0,746800200.0,2.9302,,2.9833,,2.9833,487200000.0,,487200000.0,0.4046,0.3566,VRSK
2019-12-31 00:00:00,2607100200.0,976800000.0,1630300200.0,603500000.0,696900200.0,,-128500000.0,126800000.0,568400000.0,118500000.0,449900000.0,449900000.0,2.75,0.6253,0.2673,0.218,0.1726,0.2836,1024500100.0,696900200.0,2.7011,,2.7511,,2.7511,449900000.0,,449900000.0,0.393,0.3668,VRSK
2019-09-30 00:00:00,2544200100.0,940400000.0,1603800100.0,576900000.0,706400100.0,,-130500000.0,126300000.0,575900000.0,112000000.0,463900000.0,463900000.0,2.83,0.6304,0.2777,0.2264,0.1823,0.2846,1025100000.0,706400100.0,2.7798,,2.831,,2.831,463900000.0,,463900000.0,0.4029,0.3747,VRSK
2019-06-30 00:00:00,2490200100.0,916700000.0,1573500100.0,417600000.0,848000100.0,,-118200000.0,127400000.0,729800000.0,132800000.0,597000000.0,597000000.0,3.64,0.6319,0.3405,0.2931,0.2397,0.2983,1160000100.0,848000100.0,3.5694,,3.637,,3.637,597000000.0,,597000000.0,0.4658,0.3882,VRSK
2019-03-31 00:00:00,2438900100.0,896400000.0,1542500100.0,398300000.0,842000100.0,,-114500000.0,128800000.0,727500000.0,127400000.0,600100000.0,600100000.0,3.65,0.6325,0.3452,0.2983,0.2461,0.3036,1148300100.0,842000100.0,3.5774,,3.6487,,3.6487,600100000.0,,600100000.0,0.4708,0.3992,VRSK
2018-12-31 00:00:00,2395100100.0,886200000.0,1508900100.0,378700000.0,834100100.0,,-114400000.0,129700000.0,719700000.0,121000000.0,598700000.0,598700000.0,3.64,0.63,0.3483,0.3005,0.25,0.2937,1134400100.0,834100100.0,3.5574,,3.6327,,3.6327,598700000.0,,598700000.0,0.4736,0.3901,VRSK
2018-09-30 00:00:00,2351499900.0,871500000.0,1479999900.0,367700000.0,827999900.0,,-108700000.0,129300000.0,719300000.0,62200000.0,657100000.0,657100000.0,3.99,0.6294,0.3521,0.3059,0.2794,0.2927,1116700000.0,827999900.0,3.8978,,3.9833,,3.9833,657100000.0,,657100000.0,0.4749,0.388,VRSK
2018-06-30 00:00:00,2301899900.0,850800000.0,1451099900.0,352900000.0,825299900.0,,-118100000.0,127200000.0,707200000.0,95400000.0,611800000.0,611800000.0,3.71,0.6304,0.3585,0.3072,0.2658,0.277,1102299900.0,825299900.0,3.6295,,3.7096,,3.7096,611800000.0,,611800000.0,0.4789,0.3683,VRSK
2018-03-31 00:00:00,2223799900.0,822100000.0,1401699900.0,338700000.0,807999900.0,,-115900000.0,123800000.0,692100000.0,112800000.0,579300000.0,579300000.0,3.51,0.6303,0.3633,0.3112,0.2605,0.2505,1067099900.0,807999900.0,3.4382,,3.5131,,3.5131,579300000.0,,579300000.0,0.4799,0.3384,VRSK
2017-12-31 00:00:00,2145199900.0,783800000.0,1361399900.0,322800000.0,801199900.0,,-110200000.0,119400000.0,691000000.0,135900000.0,555100000.0,555100000.0,3.35,0.6346,0.3735,0.3221,0.2588,0.261,1042799900.0,801199900.0,3.2906,,3.3609,,3.3609,555100000.0,,555100000.0,0.4861,0.3466,VRSK
2017-09-30 00:00:00,2081000000.0,768100000.0,1312900000.0,312800000.0,776500100.0,,-104600000.0,115600000.0,671900000.0,214000000.0,457900000.0,459700000.0,2.76,0.6309,0.3731,0.3229,0.2209,0.2468,1004200100.0,776500000.0,2.7169,,2.7738,,2.7508,457900000.0,,459700000.0,0.4826,0.3293,VRSK
2017-06-30 00:00:00,2030000000.0,739300000.0,1290700000.0,309700000.0,766500100.0,,-102900000.0,113400000.0,663600000.0,198800000.0,464800000.0,466600000.0,2.79,0.6358,0.3776,0.3269,0.2299,0.2243,985600100.0,766500000.0,2.7383,,2.796,,2.7774,464800000.0,,466600000.0,0.4855,0.3065,VRSK
2017-03-31 00:00:00,2005100000.0,724000000.0,1281100000.0,306500000.0,762700100.0,,-108400000.0,116400000.0,654300000.0,203700000.0,450600000.0,607400000.0,3.62,0.6389,0.3804,0.3263,0.3029,0.2168,979700100.0,762700000.0,2.6394,,3.6179,,2.6837,450600000.0,,607400000.0,0.4886,0.295,VRSK
2016-12-31 00:00:00,1995200000.0,714400000.0,1280800000.0,301600000.0,767600100.0,,-113900000.0,120000000.0,653700000.0,202200000.0,451500000.0,591200000.0,3.52,0.6419,0.3847,0.3276,0.2963,0.211,997200100.0,767600000.0,2.64,0.86,3.5139,0.88,2.68,451500000.0,145451000.0,591200000.0,0.4998,0.2894,VRSK
2016-09-30 00:00:00,2049662000.0,735095000.0,1314567000.0,308182000.0,777868000.0,,-121139000.0,123989000.0,656729000.0,198872000.0,457857000.0,595757000.0,3.54,0.6414,0.3795,0.3204,0.2907,0.2289,1024331000.0,777868000.0,2.66,,3.5325,,2.72,457857000.0,,595757000.0,0.4998,0.3065,VRSK
