Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,25998000000.0,20145000000.0,5853000000.0,8236000000.0,-4968000000.0,1408000000.0,3623000000.0,1082000000.0,-6236000000.0,-1109000000.0,-5127000000.0,-5271000000.0,-1.68,0.2251,-0.1911,-0.2399,-0.2027,0.0623,4309000000.0,-4968000000.0,-1.5797,,-1.1285,,-1.1285,-5127000000.0,-5127000000.0,0.1657,0.0901,WBD
2022-06-30 00:00:00,19320000000.0,14147000000.0,5173000000.0,6591000000.0,-2449000000.0,1007000000.0,2026000000.0,528000000.0,-3152000000.0,-507000000.0,-2645000000.0,-2824000000.0,-0.49,0.2678,-0.1268,-0.1631,-0.1462,0.1302,3323000000.0,-2449000000.0,-0.3415,,0.1471,,0.1471,-2645000000.0,-2645000000.0,0.172,0.1568,WBD
2022-03-31 00:00:00,12557000000.0,6293000000.0,6264000000.0,4005000000.0,1969000000.0,647000000.0,-208000000.0,174000000.0,1812000000.0,331000000.0,1481000000.0,1266000000.0,2.03,0.4988,0.1568,0.1443,0.1008,0.1978,4589000000.0,1969000000.0,2.2306,,2.8569,,2.8569,1481000000.0,1481000000.0,0.3655,0.2271,WBD
2021-12-31 00:00:00,12185000000.0,5500000000.0,6685000000.0,4016000000.0,2012000000.0,642000000.0,56000000.0,335000000.0,1433000000.0,236000000.0,1197000000.0,999000000.0,1.55,0.5486,0.1651,0.1176,0.082,0.199,5115000000.0,2012000000.0,1.8027,,2.3797,,2.3797,1197000000.0,1197000000.0,0.4198,0.2296,WBD
2021-09-30 00:00:00,11887000000.0,5023000000.0,6864000000.0,3756000000.0,1992000000.0,652000000.0,-237000000.0,484000000.0,1666000000.0,242000000.0,1424000000.0,1222000000.0,1.89,0.5774,0.1676,0.1402,0.1028,0.1751,5837000000.0,1992000000.0,2.1508,,2.5319,,2.5319,1424000000.0,1424000000.0,0.491,0.2075,WBD
2021-06-30 00:00:00,11301000000.0,4156000000.0,7145000000.0,3445000000.0,2194000000.0,664000000.0,-442000000.0,644000000.0,1752000000.0,195000000.0,1557000000.0,1383000000.0,2.09,0.6322,0.1941,0.155,0.1224,0.1915,6798000000.0,2194000000.0,2.3448,,2.8509,,2.8509,1557000000.0,1557000000.0,0.6015,0.2226,WBD
2021-03-31 00:00:00,10780000000.0,3911000000.0,6869000000.0,3128000000.0,2132000000.0,679000000.0,-644000000.0,648000000.0,1488000000.0,349000000.0,1139000000.0,982000000.0,1.47,0.6372,0.1978,0.138,0.0911,0.2121,6645000000.0,2132000000.0,1.7086,,2.2225,,2.2225,1139000000.0,1139000000.0,0.6164,0.248,WBD
2020-12-31 00:00:00,10671000000.0,3860000000.0,6811000000.0,2722000000.0,2515000000.0,691000000.0,-787000000.0,648000000.0,1728000000.0,373000000.0,1355000000.0,1219000000.0,1.81,0.6383,0.2357,0.1619,0.1142,0.219,6954000000.0,2515000000.0,2.0164,,2.6832,,2.6832,1355000000.0,1355000000.0,0.6517,0.2567,WBD
2020-09-30 00:00:00,10659000000.0,3768000000.0,6891000000.0,2706000000.0,2732000000.0,690000000.0,-857000000.0,656000000.0,1875000000.0,327000000.0,1548000000.0,1424000000.0,2.07,0.6465,0.2563,0.1759,0.1336,0.2841,6997000000.0,2732000000.0,2.2624,,2.9925,,2.9925,1548000000.0,1548000000.0,0.6564,0.3207,WBD
2020-06-30 00:00:00,10776000000.0,3679000000.0,7097000000.0,2733000000.0,2820000000.0,,-820000000.0,658000000.0,2000000000.0,485000000.0,1515000000.0,1386000000.0,1.98,0.6586,0.2617,0.1856,0.1286,0.29,7158000000.0,2820000000.0,2.1878,,2.8941,,2.8941,1515000000.0,1515000000.0,0.6643,0.3256,WBD
