Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,63187000000.0,5573000000.0,74981000000.0,54332000000.0,20649000000.0,,20578000000.0,3925000000.0,16653000000.0,14952000000.0,3.85,1.1867,0.0,0.3257,0.2366,0.3896,4.2752,4.3133,4.3133,16653000000.0,16653000000.0,0.0,0.3896,WFC
2022-06-30 00:00:00,67434000000.0,4102000000.0,74310000000.0,51128000000.0,23182000000.0,,23110000000.0,4552000000.0,18558000000.0,16489000000.0,4.17,1.102,0.0,0.3427,0.2445,0.1156,4.6816,4.7239,4.7239,18558000000.0,18558000000.0,0.0,0.1156,WFC
2022-03-31 00:00:00,76224000000.0,3637000000.0,77552000000.0,49750000000.0,27802000000.0,205000000.0,27734000000.0,5384000000.0,22350000000.0,19393000000.0,4.82,1.0174,0.0,0.3638,0.2544,-0.1031,5.5314,5.5809,5.5809,22350000000.0,22350000000.0,0.0,-0.1031,WFC
2021-12-31 00:00:00,79790000000.0,3915000000.0,78492000000.0,49600000000.0,28892000000.0,187000000.0,28816000000.0,5578000000.0,23238000000.0,20256000000.0,4.99,0.9837,0.0,0.3611,0.2539,-0.1444,5.6731,5.721,5.721,23238000000.0,23238000000.0,0.0,-0.1444,WFC
2021-09-30 00:00:00,81453000000.0,4251000000.0,76581000000.0,50762000000.0,25819000000.0,-781000000.0,25028000000.0,4635000000.0,20393000000.0,17789000000.0,4.25,0.9402,0.0,0.3073,0.2184,-0.4801,4.9342,4.9667,4.9667,20393000000.0,20393000000.0,0.0,-0.4801,WFC
2021-06-30 00:00:00,81821000000.0,4758000000.0,77063000000.0,54135000000.0,22928000000.0,-1508000000.0,21420000000.0,3031000000.0,18389000000.0,15903000000.0,3.5,0.9418,0.0,0.2618,0.1944,-0.524,4.4358,4.4589,4.4589,18389000000.0,18389000000.0,0.0,-0.524,WFC
2021-03-31 00:00:00,80865000000.0,5786000000.0,75079000000.0,66135000000.0,8944000000.0,-1406000000.0,7432000000.0,-415000000.0,7847000000.0,6000000000.0,1.45,0.9284,0.0,0.0919,0.0742,-0.2312,1.888,1.8987,1.8987,7847000000.0,7847000000.0,0.0,-0.2312,WFC
2020-12-31 00:00:00,82227000000.0,7963000000.0,74264000000.0,70260000000.0,4004000000.0,-1378000000.0,2505000000.0,-1157000000.0,3662000000.0,1786000000.0,0.41,0.9032,0.0,0.0305,0.0217,0.0249,0.8857,0.8892,0.8892,3662000000.0,3662000000.0,0.0,0.0249,WFC
2020-09-30 00:00:00,88111000000.0,11163000000.0,76948000000.0,73034000000.0,3914000000.0,,3554000000.0,357000000.0,3197000000.0,1494000000.0,0.38,0.8733,0.0,0.0403,0.017,0.4226,0.778,0.789,0.789,3197000000.0,3197000000.0,0.0,0.4226,WFC
2020-06-30 00:00:00,94247000000.0,14605000000.0,79642000000.0,73648000000.0,5994000000.0,,6352000000.0,1744000000.0,4608000000.0,2630000000.0,0.89,0.845,0.0,0.0674,0.0279,0.3484,1.0512,1.0684,1.0684,4608000000.0,4608000000.0,0.0,0.3484,WFC
2020-03-31 00:00:00,100515000000.0,17575000000.0,82940000000.0,63488000000.0,19425000000.0,,19783000000.0,5039000000.0,14744000000.0,12638000000.0,2.86,0.8252,0.0,0.1968,0.1257,0.1597,3.3863,3.4116,3.4116,14744000000.0,14744000000.0,0.0,0.1597,WFC
2019-12-31 00:00:00,105684000000.0,18852000000.0,86832000000.0,61168000000.0,25609000000.0,,25967000000.0,5761000000.0,20206000000.0,18103000000.0,4.06,0.8216,0.0,0.2457,0.1713,0.0637,4.5659,4.5996,4.5996,20206000000.0,20206000000.0,0.0,0.0637,WFC
2019-09-30 00:00:00,104917000000.0,18734000000.0,86183000000.0,60163000000.0,25965000000.0,,27716000000.0,4445000000.0,23271000000.0,21103000000.0,4.67,0.8214,0.0,0.2642,0.2011,0.089,5.1102,5.1458,5.1458,23271000000.0,23271000000.0,0.0,0.089,WFC
2019-06-30 00:00:00,103766000000.0,17652000000.0,86114000000.0,58348000000.0,27447000000.0,,29198000000.0,4653000000.0,24545000000.0,22519000000.0,4.88,0.8299,0.0,0.2814,0.217,0.2792,5.2758,5.3139,5.3139,24545000000.0,24545000000.0,0.0,0.2792,WFC
2019-03-31 00:00:00,102318000000.0,16235000000.0,86083000000.0,58592000000.0,26934000000.0,,28685000000.0,5169000000.0,23516000000.0,21463000000.0,4.55,0.8413,0.0,0.2804,0.2098,0.2814,4.9493,4.9869,4.9869,23516000000.0,23516000000.0,0.0,0.2814,WFC
2018-12-31 00:00:00,101060000000.0,14652000000.0,86408000000.0,58827000000.0,26787000000.0,,28538000000.0,5662000000.0,22876000000.0,20689000000.0,4.47,0.855,0.0,0.2824,0.2047,0.3569,4.728,4.7662,4.7662,22876000000.0,22876000000.0,0.0,0.3569,WFC
2018-09-30 00:00:00,100498000000.0,13020000000.0,87478000000.0,60379000000.0,26017000000.0,,26017000000.0,3054000000.0,22963000000.0,20718000000.0,4.42,0.8704,0.0,0.2589,0.2062,0.2121,4.6825,4.7239,4.7239,22963000000.0,22963000000.0,0.0,0.2121,WFC
