Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,11249000000.0,7781000000.0,3468000000.0,2391000000.0,2883000000.0,1153000000.0,29000000.0,5000000.0,2419000000.0,367000000.0,2052000000.0,1999000000.0,1.64,0.3083,0.2563,0.215,0.1777,0.271,4831000000.0,2883000000.0,1.638,,1.6854,,1.6501,2052000000.0,,2052000000.0,0.4295,0.4275,WMB
2022-06-30 00:00:00,10699000000.0,7755000000.0,2944000000.0,1891000000.0,2418000000.0,1154000000.0,136000000.0,6000000.0,1928000000.0,324000000.0,1604000000.0,1564000000.0,1.28,0.2752,0.226,0.1802,0.1462,0.2784,4308000000.0,2418000000.0,1.272,,1.3183,,1.283,1604000000.0,,1604000000.0,0.4027,0.3882,WMB
2022-03-31 00:00:00,10492000000.0,6571000000.0,3921000000.0,1759000000.0,2546000000.0,1171000000.0,-52000000.0,302000000.0,2007000000.0,488000000.0,1519000000.0,1468000000.0,1.2,0.3737,0.2427,0.1913,0.1399,0.2696,4422000000.0,2546000000.0,1.2036,,1.2493,,1.214,1519000000.0,,1519000000.0,0.4215,0.3919,WMB
2021-12-31 00:00:00,10580000000.0,5767000000.0,4813000000.0,1694000000.0,2631000000.0,1179000000.0,-240000000.0,595000000.0,2073000000.0,511000000.0,1562000000.0,1514000000.0,1.24,0.4549,0.2487,0.1959,0.1431,0.255,4476000000.0,2631000000.0,1.24,,1.2853,,1.25,1562000000.0,,1562000000.0,0.4231,0.3729,WMB
2021-09-30 00:00:00,9442000000.0,4106000000.0,5336000000.0,1570000000.0,2212000000.0,1174000000.0,-617000000.0,884000000.0,1428000000.0,368000000.0,1060000000.0,1008000000.0,0.82,0.5651,0.2343,0.1512,0.1068,0.2818,4020000000.0,2212000000.0,0.8787,,0.8728,,0.8797,1060000000.0,,1060000000.0,0.4258,0.4152,WMB
2021-06-30 00:00:00,8920000000.0,2507000000.0,6413000000.0,1871000000.0,2498000000.0,1174000000.0,-862000000.0,1174000000.0,1636000000.0,426000000.0,1210000000.0,1152000000.0,0.94,0.7189,0.28,0.1834,0.1291,0.2469,4276000000.0,2498000000.0,1.0025,,0.9966,,1.0035,1210000000.0,,1210000000.0,0.4794,0.3966,WMB
2021-03-31 00:00:00,8418000000.0,2081000000.0,6337000000.0,1825000000.0,2510000000.0,1170000000.0,-883000000.0,1170000000.0,1627000000.0,424000000.0,1203000000.0,1151000000.0,0.94,0.7528,0.2982,0.1933,0.1367,0.2847,4251000000.0,2510000000.0,0.9973,,0.9912,,0.9981,1203000000.0,,1203000000.0,0.505,0.4305,WMB
2020-12-31 00:00:00,7719000000.0,1545000000.0,6174000000.0,1792000000.0,2202000000.0,1172000000.0,-1925000000.0,1172000000.0,277000000.0,79000000.0,198000000.0,208000000.0,0.16,0.7998,0.2853,0.0359,0.0269,0.2877,4110000000.0,2202000000.0,0.17,,0.1632,,0.1701,198000000.0,,198000000.0,0.5325,0.4529,WMB
2020-09-30 00:00:00,7734000000.0,1566000000.0,6168000000.0,1872000000.0,1918000000.0,1180000000.0,-1786000000.0,1180000000.0,132000000.0,115000000.0,17000000.0,216000000.0,0.18,0.7975,0.248,0.0171,0.0279,0.2577,3868000000.0,1918000000.0,0.1227,,0.0013,,0.1222,17000000.0,,2000000.0,0.5001,0.4361,WMB
2020-06-30 00:00:00,7800000000.0,1620000000.0,6180000000.0,1916000000.0,1905000000.0,,-1888000000.0,1184000000.0,17000000.0,81000000.0,-64000000.0,128000000.0,0.11,0.7923,0.2442,0.0022,0.0164,0.2481,3819000000.0,1905000000.0,0.0562,,-0.0652,,0.0557,-64000000.0,,-79000000.0,0.4896,0.4845,WMB
2020-03-31 00:00:00,8060000000.0,1832000000.0,6228000000.0,2008000000.0,1791000000.0,,-1784000000.0,1186000000.0,7000000.0,62000000.0,-55000000.0,135000000.0,0.12,0.7727,0.2222,0.0009,0.0167,0.2076,3700000000.0,1791000000.0,0.0638,,-0.0575,,0.0634,-55000000.0,,-70000000.0,0.4591,0.4597,WMB
2019-12-31 00:00:00,8201000000.0,1961000000.0,6240000000.0,2026000000.0,1921000000.0,,-857000000.0,1186000000.0,1064000000.0,335000000.0,729000000.0,847000000.0,0.71,0.7609,0.2342,0.1297,0.1033,0.1883,3635000000.0,1921000000.0,0.71,,0.589,,0.7099,729000000.0,,714000000.0,0.4432,0.4503,WMB
2019-09-30 00:00:00,8298000000.0,2110000000.0,6188000000.0,2007000000.0,1053000000.0,,-734000000.0,1182000000.0,319000000.0,85000000.0,234000000.0,152000000.0,0.13,0.7457,0.1269,0.0384,0.0183,0.1597,2775000000.0,1053000000.0,-0.3616,,-0.0049,,-0.3631,234000000.0,,234000000.0,0.3344,0.4416,WMB
2019-06-30 00:00:00,8602000000.0,2466000000.0,6136000000.0,2076000000.0,926000000.0,,-536000000.0,1156000000.0,390000000.0,198000000.0,192000000.0,61000000.0,0.08,0.7133,0.1076,0.0453,0.0071,0.1444,2711000000.0,926000000.0,-0.3661,,-0.0091,,-0.3673,192000000.0,,192000000.0,0.3152,0.4129,WMB
2019-03-31 00:00:00,8652000000.0,2619000000.0,6033000000.0,2055000000.0,838000000.0,,-549000000.0,1135000000.0,289000000.0,152000000.0,137000000.0,-114000000.0,-0.02,0.6973,0.0969,0.0334,-0.0132,0.0743,2603000000.0,838000000.0,-0.3089,,0.0485,,-0.3097,137000000.0,,137000000.0,0.3009,0.39,WMB
2018-12-31 00:00:00,8686000000.0,2707000000.0,5979000000.0,2076000000.0,768000000.0,,-437000000.0,1112000000.0,331000000.0,138000000.0,193000000.0,-156000000.0,0.0,0.6883,0.0884,0.0381,-0.018,0.0035,2548000000.0,768000000.0,-0.16,,0.1982,,-0.16,193000000.0,,193000000.0,0.2933,0.3791,WMB
2018-09-30 00:00:00,8710000000.0,2719000000.0,5991000000.0,2122000000.0,1247000000.0,,-689000000.0,1083000000.0,558000000.0,-1803000000.0,2361000000.0,2103000000.0,2.5,0.6878,0.1432,0.0641,0.2414,-0.0212,3025000000.0,1247000000.0,2.392,,2.8087,,2.4018,2361000000.0,,2361000000.0,0.3473,0.3661,WMB
2018-06-30 00:00:00,8298000000.0,2433000000.0,5865000000.0,2100000000.0,1020000000.0,,-703000000.0,1080000000.0,317000000.0,-1969000000.0,2286000000.0,2007000000.0,2.41,0.7068,0.1229,0.0382,0.2419,-0.0131,2780000000.0,1020000000.0,2.3479,,2.7645,,2.3576,2286000000.0,,2286000000.0,0.335,0.3794,WMB
2018-03-31 00:00:00,8131000000.0,2334000000.0,5797000000.0,2127000000.0,988000000.0,,-734000000.0,1076000000.0,254000000.0,-1956000000.0,2210000000.0,1953000000.0,2.35,0.713,0.1215,0.0312,0.2402,0.021,2784000000.0,988000000.0,2.2567,,2.6731,,2.2662,2210000000.0,,2210000000.0,0.3424,0.3758,WMB
2017-12-31 00:00:00,8031000000.0,2300000000.0,5731000000.0,2170000000.0,927000000.0,,-392000000.0,1083000000.0,535000000.0,-1974000000.0,2509000000.0,2174000000.0,2.62,0.7136,0.1154,0.0666,0.2707,0.0808,2741000000.0,927000000.0,2.62,,3.0369,,2.63,2509000000.0,,2509000000.0,0.3413,0.3846,WMB
2017-09-30 00:00:00,8001000000.0,2165000000.0,5836000000.0,2197000000.0,1652000000.0,,-553000000.0,1111000000.0,1099000000.0,175000000.0,924000000.0,472000000.0,0.57,0.7294,0.2065,0.1374,0.059,0.2611,3476000000.0,1652000000.0,1.1217,,1.1241,,1.1241,924000000.0,,924000000.0,0.4344,0.5361,WMB
2017-06-30 00:00:00,8015000000.0,2122000000.0,5893000000.0,2227000000.0,1723000000.0,,-573000000.0,1141000000.0,1150000000.0,220000000.0,930000000.0,500000000.0,0.61,0.7352,0.215,0.1435,0.0624,0.2694,3553000000.0,1723000000.0,1.1452,,1.1474,,1.1474,930000000.0,,930000000.0,0.4433,0.5255,WMB
2017-03-31 00:00:00,7827000000.0,1986000000.0,5841000000.0,2234000000.0,857000000.0,,-615000000.0,1168000000.0,242000000.0,10000000.0,232000000.0,14000000.0,-0.03,0.7463,0.1095,0.0309,0.0018,0.2624,2690000000.0,857000000.0,0.2395,,0.2411,,0.2411,232000000.0,,232000000.0,0.3437,0.5237,WMB
2016-12-31 00:00:00,7499000000.0,1725000000.0,5774000000.0,2314000000.0,689000000.0,,-1064000000.0,1179000000.0,-375000000.0,-25000000.0,-350000000.0,-424000000.0,-0.57,0.77,0.0919,-0.05,-0.0565,0.2846,2525000000.0,689000000.0,-0.4663,,-0.4663,,-0.4663,-350000000.0,,-350000000.0,0.3367,0.5541,WMB
2016-09-30 00:00:00,7307000000.0,1577000000.0,5730000000.0,2357000000.0,-630000000.0,,-1615000000.0,1154000000.0,-2245000000.0,-521000000.0,-1724000000.0,-1124000000.0,-1.49,0.7842,-0.0862,-0.3072,-0.1538,0.0587,2235000000.0,-630000000.0,-2.2993,,-2.3002,,-2.3002,-1724000000.0,,-1724000000.0,0.3059,0.3721,WMB
2016-06-30 00:00:00,7201000000.0,1542000000.0,5659000000.0,2366000000.0,-619000000.0,,-2064000000.0,1120000000.0,-2683000000.0,-655000000.0,-2028000000.0,-1225000000.0,-1.62,0.7859,-0.086,-0.3726,-0.1701,0.0194,2241000000.0,-619000000.0,-2.7042,,-2.7054,,-2.7054,-2028000000.0,,-2028000000.0,0.3112,0.3741,WMB
2016-03-31 00:00:00,7304000000.0,1635000000.0,5669000000.0,2425000000.0,261000000.0,,-2028000000.0,1084000000.0,-1767000000.0,-427000000.0,-1340000000.0,-706000000.0,-0.93,0.7762,0.0357,-0.2419,-0.0967,0.0001,3113000000.0,261000000.0,-1.7883,,-1.7884,,-1.7884,-1340000000.0,,-1340000000.0,0.4262,0.3864,WMB
2015-12-31 00:00:00,7360000000.0,1779000000.0,5581000000.0,2396000000.0,226000000.0,,-1939000000.0,1044000000.0,-1713000000.0,-399000000.0,-1314000000.0,-571000000.0,-0.75,0.7583,0.0307,-0.2327,-0.0776,-0.062,3062000000.0,226000000.0,-1.7537,,-1.7537,,-1.7537,-1314000000.0,,-1314000000.0,0.416,0.3679,WMB
2015-09-30 00:00:00,7495000000.0,2098000000.0,5397000000.0,2452000000.0,1506000000.0,,-1011000000.0,1010000000.0,495000000.0,164000000.0,331000000.0,337000000.0,0.45,0.7201,0.2009,0.066,0.045,-0.0552,3254000000.0,1506000000.0,0.2952,,0.5288,,0.2947,331000000.0,,331000000.0,0.4342,0.4132,WMB
2015-06-30 00:00:00,7765000000.0,2479000000.0,5286000000.0,2455000000.0,1457000000.0,,1982000000.0,957000000.0,3439000000.0,1227000000.0,2212000000.0,2055000000.0,2.72,0.6807,0.1876,0.4429,0.2646,-0.1281,3136000000.0,1457000000.0,2.7459,,3.0447,,2.7654,2212000000.0,,2212000000.0,0.4039,0.3656,WMB
2015-03-31 00:00:00,7604000000.0,2709000000.0,4895000000.0,2288000000.0,1376000000.0,,2004000000.0,858000000.0,3380000000.0,1228000000.0,2152000000.0,2044000000.0,2.72,0.6437,0.181,0.4445,0.2688,-0.2241,2830000000.0,1376000000.0,2.6428,,2.9828,,2.6612,2152000000.0,,2156000000.0,0.3722,0.3075,WMB
2014-12-31 00:00:00,7637000000.0,3016000000.0,4621000000.0,2153000000.0,1569000000.0,,2015000000.0,747000000.0,3584000000.0,1249000000.0,2335000000.0,2114000000.0,2.83,0.6051,0.2054,0.4693,0.2768,-0.2464,2798000000.0,1569000000.0,2.91,,3.2516,,2.93,2335000000.0,,2339000000.0,0.3664,0.2769,WMB
2014-09-30 00:00:00,7156000000.0,3026000000.0,4130000000.0,1879000000.0,1301000000.0,,2050000000.0,644000000.0,3351000000.0,1274000000.0,2077000000.0,1907000000.0,2.55,0.5771,0.1818,0.4683,0.2665,-0.3236,2315000000.0,1301000000.0,2.6345,,2.8251,,2.6462,2077000000.0,,2080000000.0,0.3235,0.2262,WMB
2014-06-30 00:00:00,6710000000.0,2929000000.0,3781000000.0,1695000000.0,1330000000.0,,-425000000.0,558000000.0,905000000.0,338000000.0,567000000.0,370000000.0,0.53,0.5635,0.1982,0.1349,0.0551,-0.3036,2177000000.0,1330000000.0,0.6145,-0.0085,0.8282,-0.0086,0.6162,567000000.0,-6000000.0,569000000.0,0.3244,0.2702,WMB
2014-03-31 00:00:00,6799000000.0,3006000000.0,3793000000.0,1665000000.0,1369000000.0,,-369000000.0,522000000.0,1000000000.0,356000000.0,644000000.0,409000000.0,0.59,0.5579,0.2014,0.1471,0.0602,-0.2169,2199000000.0,1369000000.0,0.6945,,0.9271,,0.6962,644000000.0,,634000000.0,0.3234,0.3189,WMB
2013-12-31 00:00:00,6860000000.0,3027000000.0,3833000000.0,1609000000.0,1375000000.0,,-295000000.0,510000000.0,1080000000.0,401000000.0,679000000.0,430000000.0,0.63,0.5587,0.2004,0.1574,0.0627,-0.1971,2190000000.0,1375000000.0,0.64,-0.02,0.9781,-0.0201,0.65,679000000.0,-11000000.0,668000000.0,0.3192,0.3232,WMB
2013-09-30 00:00:00,7069000000.0,3169000000.0,3900000000.0,1622000000.0,1492000000.0,,-320000000.0,500000000.0,1172000000.0,339000000.0,833000000.0,593000000.0,0.88,0.5517,0.2111,0.1658,0.0839,-0.1657,2346000000.0,1492000000.0,0.87,-0.0215,1.2012,-0.023,0.8309,833000000.0,-12000000.0,821000000.0,0.3319,0.318,WMB
2013-06-30 00:00:00,7198000000.0,3230000000.0,3968000000.0,1621000000.0,1529000000.0,,-340000000.0,505000000.0,1189000000.0,354000000.0,835000000.0,607000000.0,0.93,0.5513,0.2124,0.1652,0.0843,-0.1385,2373000000.0,1529000000.0,0.92,-0.0215,1.2368,-0.0215,0.94,835000000.0,-8000000.0,827000000.0,0.3297,0.2973,WMB
2013-03-31 00:00:00,7277000000.0,3329000000.0,3948000000.0,1631000000.0,1511000000.0,,-387000000.0,506000000.0,1124000000.0,323000000.0,801000000.0,597000000.0,0.93,0.5425,0.2076,0.1545,0.082,-0.1398,2336000000.0,1511000000.0,0.91,-0.0115,1.2211,-0.0115,0.93,801000000.0,-1000000.0,800000000.0,0.321,0.2605,WMB
2012-12-31 00:00:00,7486000000.0,3496000000.0,3990000000.0,1598000000.0,1612000000.0,,-323000000.0,509000000.0,1289000000.0,360000000.0,929000000.0,859000000.0,1.39,0.533,0.2153,0.1722,0.1147,-0.0927,2404000000.0,1612000000.0,1.15,0.22,1.7183,0.22,1.17,929000000.0,136000000.0,1065000000.0,0.3211,0.2451,WMB
