Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,19441000000.0,14159000000.0,5282000000.0,1943000000.0,3318000000.0,352000000.0,-9000000.0,352000000.0,2917000000.0,671000000.0,2246000000.0,2245000000.0,5.38,0.2717,0.1707,0.15,0.1155,0.1018,5455000000.0,3318000000.0,5.3808,5.4132,5.4132,2246000000.0,2246000000.0,0.2806,0.2303,WM
2022-06-30 00:00:00,19031000000.0,13923000000.0,5108000000.0,1939000000.0,3182000000.0,348000000.0,32000000.0,348000000.0,2795000000.0,649000000.0,2146000000.0,2144000000.0,5.11,0.2684,0.1672,0.1469,0.1127,0.1195,5299000000.0,3182000000.0,5.1157,5.1471,5.1471,2146000000.0,2146000000.0,0.2784,0.2354,WM
2022-03-31 00:00:00,18480000000.0,13009000000.0,5471000000.0,1897000000.0,3083000000.0,353000000.0,-299000000.0,353000000.0,2475000000.0,565000000.0,1910000000.0,1908000000.0,4.53,0.296,0.1668,0.1339,0.1032,0.1312,5192000000.0,3083000000.0,4.5346,4.5631,4.5631,1910000000.0,1910000000.0,0.281,0.2422,WM
2021-12-31 00:00:00,17931000000.0,12138000000.0,5793000000.0,1864000000.0,2965000000.0,365000000.0,-390000000.0,365000000.0,2349000000.0,532000000.0,1817000000.0,1816000000.0,4.3,0.3231,0.1654,0.131,0.1013,0.1357,5045000000.0,2965000000.0,4.2965,4.3221,4.3221,1817000000.0,1817000000.0,0.2814,0.2419,WM
2021-09-30 00:00:00,17320000000.0,11173000000.0,6147000000.0,1882000000.0,2901000000.0,379000000.0,-511000000.0,379000000.0,2254000000.0,505000000.0,1749000000.0,1748000000.0,4.14,0.3549,0.1675,0.1301,0.1009,0.1487,4903000000.0,2901000000.0,4.1279,4.1489,4.1489,1749000000.0,1749000000.0,0.2831,0.2367,WM
2021-06-30 00:00:00,16516000000.0,10082000000.0,6434000000.0,1829000000.0,2775000000.0,389000000.0,-711000000.0,389000000.0,2064000000.0,464000000.0,1600000000.0,1600000000.0,3.79,0.3896,0.168,0.125,0.0969,0.1539,4709000000.0,2775000000.0,3.7691,3.7866,3.7866,1600000000.0,1600000000.0,0.2851,0.2389,WM
2021-03-31 00:00:00,15601000000.0,9526000000.0,6075000000.0,1761000000.0,2511000000.0,410000000.0,-508000000.0,410000000.0,2003000000.0,447000000.0,1556000000.0,1556000000.0,3.69,0.3894,0.161,0.1284,0.0997,0.1484,4357000000.0,2511000000.0,3.6647,3.6811,3.6811,1556000000.0,1556000000.0,0.2793,0.2409,WM
2020-12-31 00:00:00,15218000000.0,9341000000.0,5877000000.0,1728000000.0,2434000000.0,425000000.0,-541000000.0,425000000.0,1893000000.0,397000000.0,1496000000.0,1496000000.0,3.54,0.3862,0.1599,0.1244,0.0983,0.1164,4208000000.0,2434000000.0,3.5191,3.5366,3.5366,1496000000.0,1496000000.0,0.2765,0.2236,WM
2020-09-30 00:00:00,14997000000.0,9155000000.0,5842000000.0,1663000000.0,2435000000.0,438000000.0,-558000000.0,438000000.0,1877000000.0,372000000.0,1505000000.0,1505000000.0,3.55,0.3895,0.1624,0.1252,0.1004,0.1432,4166000000.0,2435000000.0,3.5335,3.5533,3.5533,1505000000.0,1505000000.0,0.2778,0.2448,WM
2020-06-30 00:00:00,15103000000.0,9264000000.0,5839000000.0,1633000000.0,2489000000.0,,-513000000.0,446000000.0,1976000000.0,366000000.0,1610000000.0,1610000000.0,3.8,0.3866,0.1648,0.1308,0.1066,0.1279,4204000000.0,2489000000.0,3.7732,3.7968,3.7968,1610000000.0,1610000000.0,0.2784,0.238,WM
