Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,2906700000.0,1742000000.0,1164700000.0,56300000.0,329200000.0,788299900.0,9100000.0,-40900000.0,2500000.0,733100000.0,120000000.0,613100000.0,24000000.0,630600000.0,8.3,0.4007,0.2712,0.2522,0.2169,0.1334,903100000.0,788300000.0,8.2609,8.4389,8.4389,630600000.0,630600000.0,0.3107,0.225,WST
2022-06-30 00:00:00,2926900000.0,1741200000.0,1185700000.0,55800000.0,354800000.0,783499900.0,8700000.0,16400000.0,1400000.0,778000000.0,111600000.0,666400000.0,27800000.0,685600000.0,9.02,0.4051,0.2677,0.2658,0.2342,0.1372,899200000.0,783500000.0,8.9783,9.1877,9.1877,685600000.0,685600000.0,0.3072,0.2307,WST
2022-03-31 00:00:00,2878900000.0,1697900000.0,1181000000.0,55200000.0,366000000.0,766399900.0,8700000.0,12200000.0,2900000.0,761800000.0,99700000.0,662100000.0,27300000.0,684400000.0,9.06,0.4102,0.2662,0.2646,0.2377,0.1327,885300000.0,766400000.0,8.9657,9.1852,9.1852,684400000.0,684400000.0,0.3075,0.2246,WST
2021-12-31 00:00:00,2829900000.0,1661800000.0,1168100000.0,52800000.0,362800000.0,752299900.0,8400000.0,7900000.0,4500000.0,748900000.0,107200000.0,641700000.0,,661800000.0,8.81,0.4128,0.2658,0.2646,0.2339,0.1168,873600000.0,752300000.0,8.6736,8.8952,8.8952,661800000.0,661800000.0,0.3087,0.2064,WST
2021-09-30 00:00:00,2681100000.0,1594500000.0,1086600000.0,52000000.0,341100000.0,684400000.0,8000000.0,9700000.0,6300000.0,682100000.0,93400000.0,588700000.0,23800000.0,612500000.0,8.21,0.4053,0.2553,0.2544,0.2285,0.1244,802900000.0,684399900.0,8.0689,8.2768,8.2768,612500000.0,612500000.0,0.2995,0.2133,WST
2021-06-30 00:00:00,2522500000.0,1529800000.0,992700000.0,51400000.0,325400000.0,602200000.0,8300000.0,-3500000.0,8000000.0,598700000.0,102500000.0,496200000.0,23000000.0,519200000.0,7.01,0.3935,0.2387,0.2373,0.2058,0.1124,717000000.0,602199900.0,6.8442,7.0207,7.0207,519200000.0,519200000.0,0.2842,0.1984,WST
2021-03-31 00:00:00,2326100000.0,1453400000.0,872700000.0,48400000.0,310400000.0,494500000.0,8400000.0,-4800000.0,8100000.0,489700000.0,86200000.0,403500000.0,19600000.0,423100000.0,5.72,0.3752,0.2126,0.2105,0.1819,0.132,606700000.0,494499900.0,5.5779,5.7254,5.7254,423100000.0,423100000.0,0.2608,0.2167,WST
2020-12-31 00:00:00,2146900000.0,1379100000.0,767800000.0,46900000.0,302000000.0,406900000.0,8600000.0,-5600000.0,8200000.0,401300000.0,72500000.0,328800000.0,17400000.0,346200000.0,4.69,0.3576,0.1895,0.1869,0.1613,0.1389,516000000.0,406899900.0,4.5673,4.6848,4.6848,346200000.0,346200000.0,0.2403,0.2201,WST
2020-09-30 00:00:00,2037300000.0,1327400000.0,709900100.0,44200000.0,294700000.0,368900000.0,7800000.0,-5300000.0,8200000.0,363600000.0,68600000.0,295000000.0,16700000.0,311700000.0,4.22,0.3485,0.1811,0.1785,0.153,0.1336,475799900.0,368900000.0,4.1218,4.2158,4.2158,311700000.0,311700000.0,0.2335,0.2112,WST
2020-06-30 00:00:00,1945400000.0,1282300000.0,663100100.0,41000000.0,283300000.0,337000100.0,,-6200000.0,8200000.0,330800000.0,58400000.0,272400000.0,13300000.0,285700000.0,3.87,0.3409,0.1732,0.17,0.1469,0.1425,440800000.0,337000100.0,3.7817,3.8629,3.8629,285700000.0,285700000.0,0.2266,0.2157,WST
