Date,Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,Income (Other),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,8866000000.0,8850000000.0,5064000000.0,1160000000.0,276000000.0,204000000.0,,1245000000.0,213000000.0,1032000000.0,2823000000.0,22.93,0.9982,0.1308,0.1404,0.3184,0.0468,1742000000.0,1160000000.0,8.47,14.0,22.7931,14.05,8.48,1032000000.0,1806000000.0,1032000000.0,0.1965,0.0696,WTW
2022-06-30 00:00:00,8893000000.0,8870000000.0,5094000000.0,2137000000.0,-735000000.0,200000000.0,,2246000000.0,479000000.0,1767000000.0,3536000000.0,28.22,0.9974,0.2403,0.2526,0.3976,0.198,2742000000.0,2137000000.0,13.9,13.84,28.0786,13.89,13.93,1767000000.0,1786000000.0,1767000000.0,0.3083,0.2192,WTW
2022-03-31 00:00:00,8949000000.0,8930000000.0,5152000000.0,2170000000.0,-807000000.0,201000000.0,,2259000000.0,535000000.0,1724000000.0,3611000000.0,28.67,0.9979,0.2425,0.2524,0.4035,0.2246,2797000000.0,2170000000.0,13.4,14.78,28.4915,14.83,13.44,1724000000.0,1901000000.0,1793000000.0,0.3125,0.2465,WTW
2021-12-31 00:00:00,9011000000.0,8998000000.0,5253000000.0,2202000000.0,-454000000.0,211000000.0,,2692000000.0,536000000.0,2156000000.0,4222000000.0,33.28,0.9986,0.2444,0.2987,0.4685,0.206,2852000000.0,2202000000.0,16.63,16.15,33.0937,16.2,16.68,2156000000.0,2080000000.0,2415000000.0,0.3165,0.2283,WTW
2021-09-30 00:00:00,8439000000.0,8431000000.0,5153000000.0,1782000000.0,-539000000.0,221000000.0,,2250000000.0,440000000.0,1810000000.0,2296000000.0,17.73,0.9991,0.2112,0.2666,0.2721,0.2657,2464000000.0,1782000000.0,13.6977,3.86,17.8326,3.87,13.7516,1810000000.0,502000000.0,2324000000.0,0.292,0.2897,WTW
2021-06-30 00:00:00,8355000000.0,8355000000.0,5136000000.0,717000000.0,508000000.0,232000000.0,,1225000000.0,215000000.0,1010000000.0,1514000000.0,11.66,1.0,0.0858,0.1466,0.1812,0.1473,1426000000.0,717000000.0,7.5277,3.97,11.7401,3.98,7.5616,1010000000.0,517000000.0,1527000000.0,0.1707,0.1741,WTW
2021-03-31 00:00:00,8377000000.0,8377000000.0,5182000000.0,710000000.0,500000000.0,242000000.0,,1210000000.0,215000000.0,995000000.0,1424000000.0,10.97,1.0,0.0848,0.1444,0.17,0.1632,1435000000.0,710000000.0,7.4323,3.4551,11.1,3.4653,7.4623,995000000.0,449000000.0,1443000000.0,0.1713,0.1937,WTW
2020-12-31 00:00:00,8615000000.0,8615000000.0,5157000000.0,859000000.0,152000000.0,244000000.0,,1011000000.0,249000000.0,762000000.0,996000000.0,7.69,1.0,0.0997,0.1174,0.1156,0.1727,1629000000.0,859000000.0,5.67,2.0218,7.8462,2.0319,5.69,762000000.0,260000000.0,1020000000.0,0.1891,0.2059,WTW
2020-09-30 00:00:00,8497000000.0,8497000000.0,5015000000.0,1001000000.0,127000000.0,246000000.0,,1128000000.0,267000000.0,861000000.0,1064000000.0,8.22,1.0,0.1178,0.1328,0.1252,0.1586,1777000000.0,1001000000.0,6.3869,0.0618,8.3754,0.0619,6.413,861000000.0,5000000.0,1088000000.0,0.2091,0.1962,WTW
2020-06-30 00:00:00,8589000000.0,8589000000.0,5060000000.0,1042000000.0,25000000.0,247000000.0,,1067000000.0,245000000.0,822000000.0,1018000000.0,7.87,1.0,0.1213,0.1242,0.1185,0.1332,1813000000.0,1042000000.0,6.0923,,8.0523,,6.1184,822000000.0,,1046000000.0,0.2111,0.1703,WTW
