Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,3805000000.0,3163000000.0,641000000.0,820356000.0,-305508100.0,624000000.0,-68000000.0,12000000.0,-930000000.0,1000000.0,-932254000.0,-633000000.0,-5.54,0.1685,-0.0803,-0.2444,-0.1664,-0.1469,399000000.0,-305508200.0,-8.1299,-8.1299,-8.1299,-932254000.0,-932000000.0,0.1049,-0.0426,WYNN
2022-06-30 00:00:00,3910000000.0,3290000000.0,620000000.0,816081000.0,-336181100.0,609000000.0,-68000000.0,6000000.0,-969000000.0,1000000.0,-970446000.0,-656000000.0,-5.72,0.1586,-0.086,-0.2478,-0.1678,-0.1463,368000000.0,-336181200.0,-8.4317,-8.4317,-8.4317,-970446000.0,-970000000.0,0.0941,-0.04,WYNN
2022-03-31 00:00:00,3991113000.0,3187195000.0,803918000.0,813248000.0,-313674000.0,604000000.0,-194179000.0,153424000.0,-928700000.0,697000.0,-930421000.0,-657369000.0,-5.73,0.2014,-0.0786,-0.2327,-0.1647,-0.1195,413375000.0,-313674100.0,-8.0811,-8.0811,-8.0811,-930421000.0,-930397000.0,0.1036,-0.0216,WYNN
2021-12-31 00:00:00,3774795000.0,2917103000.0,857692000.0,796242000.0,-394541000.0,605000000.0,-329133000.0,305276000.0,-1011386000.0,190000.0,-1011990000.0,-755347000.0,-6.67,0.2272,-0.1045,-0.2679,-0.2001,-0.1497,337415900.0,-394541100.0,-8.8958,-8.8958,-8.8958,-1011990000.0,-1011576000.0,0.0894,-0.059,WYNN
2021-09-30 00:00:00,3407790100.0,2506688000.0,901102000.0,747863000.0,-467528000.0,602000000.0,-447245100.0,453563000.0,-1063109000.0,2758000.0,-1065850100.0,-847849000.0,-7.66,0.2644,-0.1372,-0.312,-0.2488,-0.2202,283971000.0,-467527900.0,-9.5916,-9.5916,-9.5916,-1065850100.0,-1065867100.0,0.0833,-0.1491,WYNN
2021-06-30 00:00:00,2783242100.0,1928395000.0,854847000.0,711759000.0,-666871000.0,597142000.0,-575406100.0,597705000.0,-1242277000.0,409123000.0,-1651400100.0,-1439991000.0,-13.31,0.3071,-0.2396,-0.4463,-0.5174,-0.3219,97065000.0,-666870900.0,-15.2333,-15.2333,-15.2333,-1651400100.0,-1651400100.0,0.0349,-0.2484,WYNN
2021-03-31 00:00:00,1878827100.0,1538467000.0,340360000.0,666295000.0,-1160366000.0,580360000.0,-563142100.0,580499000.0,-1723508000.0,489364000.0,-2212872100.0,-1946186000.0,-18.13,0.1812,-0.6176,-0.9173,-1.0359,-0.7088,-399849000.0,-1160365900.0,-20.6059,-20.6059,-20.6059,-2212872100.0,-2212872100.0,-0.2128,-0.612,WYNN
2020-12-31 00:00:00,2095861100.0,1743219000.0,352642000.0,720849000.0,-1232044800.0,556187000.0,-530230100.0,556474000.0,-1762275000.0,564671000.0,-2326946100.0,-2067245000.0,-19.37,0.1683,-0.5878,-0.8408,-0.9863,-0.6407,-477610900.0,-1232044700.0,-21.7991,-21.7991,-21.7991,-2326946100.0,-2326946100.0,-0.2279,-0.5117,WYNN
2020-09-30 00:00:00,3063325000.0,2271757000.0,791567800.0,777987000.0,-826855500.0,520187000.0,-485747000.0,520236000.0,-1312603000.0,721522000.0,-2034125000.0,-1870685000.0,-17.52,0.2584,-0.2699,-0.4285,-0.6107,-0.3596,-81750700.0,-826855500.0,-19.0556,-19.0563,-19.0563,-2034125000.0,-2034125000.0,-0.0267,-0.2154,WYNN
2020-06-30 00:00:00,4340635000.0,3021669000.0,1318965700.0,863533000.0,-366013700.0,,-475811000.0,489746000.0,-841825000.0,333884000.0,-1175709000.0,-1116039000.0,-10.45,0.3039,-0.0843,-0.1939,-0.2571,-0.1927,368297100.0,-366013700.0,-11.0166,-11.0173,-11.0173,-1175709000.0,-1175709000.0,0.0848,-0.0498,WYNN
