Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,14612000000.0,6516000000.0,8096000000.0,3077000000.0,2336000000.0,895000000.0,-797000000.0,919000000.0,1539000000.0,-133000000.0,1672000000.0,1672000000.0,3.07,0.5541,0.1599,0.1053,0.1144,-0.052,4822000000.0,2336000000.0,3.0611,3.0654,3.0654,1672000000.0,1672000000.0,0.33,0.2585,XEL
2022-06-30 00:00:00,13997000000.0,6142000000.0,7855000000.0,3013000000.0,2237000000.0,865000000.0,-739000000.0,886000000.0,1498000000.0,-134000000.0,1632000000.0,1632000000.0,3.01,0.5612,0.1598,0.107,0.1166,-0.0449,4666000000.0,2237000000.0,3.0067,3.011,3.011,1632000000.0,1632000000.0,0.3334,0.2635,XEL
2022-03-31 00:00:00,13641000000.0,5973000000.0,7668000000.0,2977000000.0,2206000000.0,832000000.0,-689000000.0,851000000.0,1517000000.0,-98000000.0,1615000000.0,1615000000.0,2.99,0.5621,0.1617,0.1112,0.1184,-0.0511,4513000000.0,2206000000.0,2.983,2.9873,2.9873,1615000000.0,1615000000.0,0.3308,0.254,XEL
2021-12-31 00:00:00,13431000000.0,5852000000.0,7579000000.0,2951000000.0,2203000000.0,823000000.0,-676000000.0,842000000.0,1527000000.0,-70000000.0,1597000000.0,1597000000.0,2.96,0.5643,0.164,0.1137,0.1189,-0.153,4460000000.0,2203000000.0,2.9574,2.963,2.963,1597000000.0,1597000000.0,0.3321,0.163,XEL
2021-09-30 00:00:00,13023000000.0,5448000000.0,7575000000.0,2999000000.0,2196000000.0,821000000.0,-673000000.0,835000000.0,1523000000.0,-47000000.0,1570000000.0,1570000000.0,2.92,0.5817,0.1686,0.1169,0.1206,-0.1894,4408000000.0,2196000000.0,2.9219,2.9231,2.9231,1570000000.0,1570000000.0,0.3385,0.173,XEL
2021-06-30 00:00:00,12738000000.0,5187000000.0,7551000000.0,3016000000.0,2184000000.0,826000000.0,-667000000.0,845000000.0,1517000000.0,-47000000.0,1564000000.0,1564000000.0,2.94,0.5928,0.1715,0.1191,0.1228,-0.2024,4358000000.0,2184000000.0,2.934,2.9396,2.9396,1564000000.0,1564000000.0,0.3421,0.1718,XEL
2021-03-31 00:00:00,12256000000.0,4840000000.0,7416000000.0,2955000000.0,2168000000.0,816000000.0,-650000000.0,841000000.0,1518000000.0,-22000000.0,1540000000.0,1540000000.0,2.9,0.6051,0.1769,0.1239,0.1257,-0.2238,4298000000.0,2168000000.0,2.9016,2.9072,2.9072,1540000000.0,1540000000.0,0.3507,0.1667,XEL
2020-12-31 00:00:00,11526000000.0,4238000000.0,7288000000.0,2936000000.0,2116000000.0,805000000.0,-649000000.0,840000000.0,1467000000.0,-6000000.0,1473000000.0,1473000000.0,2.79,0.6323,0.1836,0.1273,0.1278,-0.2187,4198000000.0,2116000000.0,2.7898,2.7951,2.7951,1473000000.0,1473000000.0,0.3642,0.2471,XEL
2020-09-30 00:00:00,11377000000.0,4178000000.0,7199000000.0,2876000000.0,2140000000.0,784000000.0,-632000000.0,824000000.0,1508000000.0,31000000.0,1477000000.0,1477000000.0,2.81,0.6328,0.1881,0.1325,0.1298,-0.1765,4176000000.0,2140000000.0,2.8034,2.807,2.807,1477000000.0,1477000000.0,0.3671,0.2531,XEL
2020-06-30 00:00:00,11208000000.0,4148000000.0,7060000000.0,2856000000.0,2085000000.0,,-624000000.0,802000000.0,1461000000.0,60000000.0,1401000000.0,1401000000.0,2.68,0.6299,0.186,0.1304,0.125,-0.1809,4057000000.0,2085000000.0,2.6729,2.676,2.676,1401000000.0,1401000000.0,0.362,0.2745,XEL
