,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin
2022-09-30 00:00:00,394328000000.0,223546000000.0,170782000000.0,26251000000.0,25094000000.0,119437000000.0,2931000000.0,-228000000.0,2825000000.0,119103000000.0,19300000000.0,99803000000.0,99803000000.0,6.11,0.4331,0.3029,0.302,0.2531,0.2826,130541000000.0,119437000000.0,6.1131,6.1547,6.1547,99803000000.0,99803000000.0,0.331,0.3098
2022-06-30 00:00:00,387542000000.0,219681000000.0,167861000000.0,25262000000.0,24270000000.0,118329000000.0,2776000000.0,-590000000.0,2731000000.0,117694000000.0,18061000000.0,99633000000.0,99633000000.0,6.06,0.4331,0.3053,0.3037,0.2571,0.2776,129557000000.0,118329000000.0,6.0588,6.1051,6.1051,99633000000.0,99633000000.0,0.3343,0.3051
2022-03-31 00:00:00,386017000000.0,218786000000.0,167231000000.0,24182000000.0,23670000000.0,119379000000.0,2722000000.0,-334000000.0,2728000000.0,118997000000.0,17062000000.0,101935000000.0,101935000000.0,6.17,0.4332,0.3093,0.3083,0.2641,0.2741,130634000000.0,119379000000.0,6.159,6.2098,6.2098,101935000000.0,101935000000.0,0.3384,0.3016
2021-12-31 00:00:00,378323000000.0,215572000000.0,162751000000.0,23057000000.0,22791000000.0,116903000000.0,2701000000.0,23000000.0,2746000000.0,116869000000.0,16314000000.0,100555000000.0,100555000000.0,6.06,0.4302,0.309,0.3089,0.2658,0.2692,128218000000.0,116903000000.0,6.0301,6.0839,6.0839,100555000000.0,100555000000.0,0.3389,0.2967
2021-09-30 00:00:00,365817000000.0,212981000000.0,152836000000.0,21914000000.0,21973000000.0,108949000000.0,2645000000.0,271000000.0,2843000000.0,109207000000.0,14527000000.0,94680000000.0,94680000000.0,5.66,0.4178,0.2978,0.2985,0.2588,0.2541,120233000000.0,108949000000.0,5.614,5.6692,5.6692,94680000000.0,94680000000.0,0.3287,0.2844
2021-06-30 00:00:00,347155000000.0,204804000000.0,142351000000.0,21120000000.0,21293000000.0,99938000000.0,2607000000.0,922000000.0,2952000000.0,100860000000.0,14058000000.0,86802000000.0,86802000000.0,5.16,0.4101,0.2879,0.2905,0.25,0.273,110935000000.0,99938000000.0,5.1146,5.1682,5.1682,86802000000.0,86802000000.0,0.3196,0.3008
2021-03-31 00:00:00,325406000000.0,195630000000.0,129776000000.0,20161000000.0,20712000000.0,88903000000.0,2639000000.0,725000000.0,3134000000.0,89628000000.0,13317000000.0,76311000000.0,76311000000.0,4.5025,0.3988,0.2732,0.2754,0.2345,0.278,99820000000.0,88903000000.0,4.4649,4.5129,4.5129,76311000000.0,76311000000.0,0.3068,0.3061
2020-12-31 00:00:00,294135000000.0,180068000000.0,114067000000.0,19464000000.0,20350000000.0,74253000000.0,2726000000.0,499000000.0,3465000000.0,74752000000.0,10822000000.0,63930000000.0,63930000000.0,3.7375,0.3878,0.2524,0.2541,0.2173,0.2727,85159000000.0,74253000000.0,3.7076,3.7474,3.7474,63930000000.0,63930000000.0,0.2895,0.3023
2020-09-30 00:00:00,274515000000.0,169559000000.0,104956000000.0,18752000000.0,19916000000.0,66288000000.0,2873000000.0,803000000.0,3763000000.0,67091000000.0,9680000000.0,57411000000.0,57411000000.0,3.2975,0.3823,0.2415,0.2444,0.2091,0.2673,77344000000.0,66288000000.0,3.2753,3.3085,3.3085,57411000000.0,57411000000.0,0.2817,0.2939
2020-06-30 00:00:00,273857000000.0,169277000000.0,104580000000.0,17884000000.0,19558000000.0,67138000000.0,,1179000000.0,,68317000000.0,9893000000.0,58424000000.0,58424000000.0,3.32,0.3819,0.2452,0.2495,0.2133,0.2618,78671000000.0,67138000000.0,3.2976,3.3262,3.3262,58424000000.0,58424000000.0,0.2873,0.2922
2020-03-31 00:00:00,267981000000.0,165854000000.0,102127000000.0,17383000000.0,19153000000.0,65591000000.0,,1500000000.0,,67091000000.0,9876000000.0,57215000000.0,57215000000.0,3.2175,0.3811,0.2448,0.2504,0.2135,0.2487,77305000000.0,65591000000.0,3.1973,3.2233,3.2233,57215000000.0,57215000000.0,0.2885,0.2813
2019-12-31 00:00:00,267683000000.0,166105000000.0,101578000000.0,16766000000.0,18659000000.0,66153000000.0,,1596000000.0,,67749000000.0,10222000000.0,57527000000.0,57527000000.0,3.19,0.3795,0.2471,0.2531,0.2149,0.239,78121000000.0,66153000000.0,3.1737,3.1967,3.1967,57527000000.0,57527000000.0,0.2918,0.2735
2019-09-30 00:00:00,260174000000.0,161782000000.0,98392000000.0,16217000000.0,18245000000.0,63930000000.0,,1807000000.0,,65737000000.0,10481000000.0,55256000000.0,55256000000.0,2.985,0.3782,0.2457,0.2527,0.2124,0.2264,76477000000.0,63930000000.0,2.9715,2.9915,2.9915,55256000000.0,55256000000.0,0.2939,0.2667
2019-06-30 00:00:00,259034000000.0,160871000000.0,98163000000.0,15857000000.0,17883000000.0,64423000000.0,,1608000000.0,,66031000000.0,10336000000.0,55695000000.0,55695000000.0,2.9575,0.379,0.2487,0.2549,0.215,0.2249,76545000000.0,64423000000.0,2.9439,2.9664,2.9664,55695000000.0,55695000000.0,0.2955,0.2664
2019-03-31 00:00:00,258490000000.0,160133000000.0,98357000000.0,15301000000.0,17565000000.0,65491000000.0,,1913000000.0,,67404000000.0,10234000000.0,57170000000.0,57170000000.0,2.9975,0.3805,0.2534,0.2608,0.2212,0.2315,77345000000.0,65491000000.0,2.9827,3.0069,3.0069,57170000000.0,57170000000.0,0.2992,0.278
2018-12-31 00:00:00,261612000000.0,161654000000.0,99958000000.0,14731000000.0,17257000000.0,67970000000.0,,1809000000.0,,69779000000.0,10348000000.0,59431000000.0,59431000000.0,3.0675,0.3821,0.2598,0.2667,0.2272,0.2369,79523000000.0,67970000000.0,3.0496,3.0762,3.0762,59431000000.0,59431000000.0,0.304,0.2899
2018-09-30 00:00:00,265595000000.0,163756000000.0,101839000000.0,14236000000.0,16705000000.0,70898000000.0,,2005000000.0,,72903000000.0,13372000000.0,59531000000.0,59531000000.0,2.9925,0.3834,0.2669,0.2745,0.2241,0.2414,81801000000.0,70898000000.0,2.9765,3.0034,3.0034,59531000000.0,59531000000.0,0.308,0.2915
2018-06-30 00:00:00,255274000000.0,157588000000.0,97686000000.0,13483000000.0,16303000000.0,67900000000.0,,2499000000.0,,70399000000.0,14279000000.0,56120000000.0,56120000000.0,2.7775,0.3827,0.266,0.2758,0.2198,0.2332,78533000000.0,67900000000.0,2.7607,2.7844,2.7844,56120000000.0,56120000000.0,0.3076,0.2886
2018-03-31 00:00:00,247417000000.0,152664000000.0,94753000000.0,12719000000.0,15978000000.0,66056000000.0,,2367000000.0,,68423000000.0,15105000000.0,53318000000.0,53318000000.0,2.6075,0.383,0.267,0.2765,0.2155,0.2211,76378000000.0,66056000000.0,2.5926,2.614,2.614,53318000000.0,53318000000.0,0.3087,0.2742
