Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,238587010000.0,230290640000.0,8296367000.0,5073220000.0,2366379000.0,222000000.0,-183321000.0,210673000.0,2183057000.0,516517000.0,1666540000.0,1698820000.0,8.14,0.0348,0.0099,0.0091,0.0071,0.0092,3245361400.0,2366379000.0,7.8852,,7.9886,,7.9886,1666540000.0,,1666540000.0,0.0136,0.0113,ABC
2022-06-30 00:00:00,236325290000.0,227945060000.0,8380226000.0,5106832000.0,2473773600.0,230000000.0,-119101000.0,213746000.0,2354652900.0,550341000.0,1804311900.0,1841781100.0,8.83,0.0355,0.0105,0.01,0.0078,0.0088,3259572500.0,2473761800.0,8.5332,,8.647,,8.647,1804311900.0,,1804312000.0,0.0138,0.0108,ABC
2022-03-31 00:00:00,229666390000.0,221413320000.0,8253062000.0,4967188000.0,2607203300.0,225000000.0,-155324000.0,212222000.0,2451859900.0,715303000.0,1736556900.0,1726939100.0,8.3,0.0359,0.0114,0.0107,0.0075,0.0125,3272660200.0,2607191500.0,8.2321,,8.3413,,8.3413,1736556900.0,,1736557000.0,0.0142,0.0146,ABC
2021-12-31 00:00:00,221101110000.0,213549740000.0,7551367000.0,4495792000.0,2451394700.0,205000000.0,-161192000.0,193832000.0,2290181900.0,674865000.0,1615316900.0,1614192100.0,7.8,0.0342,0.0111,0.0104,0.0073,0.0099,3042299600.0,2451382900.0,7.7064,,7.8057,,7.8057,1615316900.0,,1615317000.0,0.0138,0.0119,ABC
2021-09-30 00:00:00,213988850000.0,207045610000.0,6943238000.0,4066162000.0,2354215000.0,183000000.0,-132338000.0,174074000.0,2221858900.0,677251000.0,1544607900.0,1539932100.0,7.48,0.0324,0.011,0.0104,0.0072,0.0105,2869001000.0,2354203200.0,7.4095,,7.501,,7.501,1544607900.0,,1544608000.0,0.0134,0.0125,ABC
2021-06-30 00:00:00,204321180000.0,198100530000.0,6220652000.0,10116711000.0,-4320855100.0,159000000.0,-154699000.0,154185000.0,-4475534000.0,-739189000.0,-3736345000.0,-3743838000.0,-18.37,0.0304,-0.0211,-0.0219,-0.0183,0.0127,-3881306100.0,-4320859100.0,-18.2484,,-18.2443,,-18.2443,-3736345000.0,,-3736345000.0,-0.019,0.0145,ABC
2021-03-31 00:00:00,196282260000.0,190724100000.0,5558160000.0,9701803000.0,-4536749700.0,145000000.0,-168498000.0,140595000.0,-4705229000.0,-960704000.0,-3744525000.0,-3746521000.0,-18.37,0.0283,-0.0231,-0.024,-0.0191,0.0067,-4129539700.0,-4536753700.0,-18.265,,-18.2668,,-18.2668,-3744525000.0,,-3744525000.0,-0.021,0.0085,ABC
2020-12-31 00:00:00,194545730000.0,189132840000.0,5412886000.0,9654711000.0,-4851581800.0,152000000.0,-143974000.0,140490000.0,-4995537000.0,-1788118000.0,-3207419000.0,-3221511000.0,-15.81,0.0278,-0.0249,-0.0257,-0.0166,0.0135,-4448630800.0,-4851585800.0,-15.6685,,-15.6562,,-15.6562,-3207419000.0,,-3207419000.0,-0.0229,0.0153,ABC
2020-09-30 00:00:00,189893920000.0,184702050000.0,5191871000.0,9574524000.0,-5135370900.0,159000000.0,-158477000.0,137883000.0,-5293831000.0,-1894273000.0,-3399558000.0,-3408716000.0,-16.73,0.0273,-0.027,-0.0279,-0.018,0.0099,-4727357900.0,-5135374900.0,-16.6008,,-16.6008,,-16.6008,-3399558000.0,,-3399558000.0,-0.0249,0.0116,ABC
2020-06-30 00:00:00,186286960000.0,181257190000.0,5029777000.0,3108227900.0,1157632800.0,,-163347000.0,139579000.0,994277000.0,-582977000.0,1577254100.0,1569975000.0,7.65,0.027,0.0062,0.0053,0.0084,0.0067,1579972700.0,1157628900.0,7.6254,,7.6883,,7.6883,1577254100.0,,1577254000.0,0.0085,0.0085,ABC
