Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-08-31 00:00:00,61595000000.0,41801000000.0,19794000000.0,10334357000.0,9367179000.0,47000000.0,-262000000.0,45000000.0,9196000000.0,2207000000.0,6988960000.0,6877000000.0,10.71,0.3214,0.1521,0.1493,0.1116,0.1432,11353000000.0,9367179000.0,10.872,11.0452,11.0452,6988960000.0,6989000000.0,0.1843,0.1549,ACN
2022-05-31 00:00:00,59590000000.0,40257000000.0,19335000000.0,10164490000.0,9057679000.0,47000000.0,-286000000.0,32000000.0,8869000000.0,2134000000.0,6733998000.0,6628000000.0,10.31,0.3245,0.152,0.1488,0.1112,0.1243,11210000000.0,9057681000.0,10.4618,10.637,10.637,6733998000.0,6734000000.0,0.1881,0.1374,ACN
2022-02-28 00:00:00,56694790000.0,38299411000.0,18397384000.0,9738602000.0,8573218000.0,64000000.0,-177655000.0,51739000.0,8468001000.0,1983429000.0,6484254000.0,6391426000.0,9.96,0.3245,0.1512,0.1494,0.1127,0.1196,10652642000.0,8573220000.0,10.0553,10.2327,10.2327,6484254000.0,6484572000.0,0.1879,0.1327,ACN
2021-11-30 00:00:00,53735920000.0,36292304000.0,17445616000.0,9217940000.0,8165154000.0,62000000.0,-38727000.0,53661000.0,8180444000.0,1891379000.0,6288218000.0,6197285000.0,9.69,0.3247,0.1519,0.1522,0.1153,0.1346,10150933000.0,8165156000.0,9.7432,9.9161,9.9161,6288218000.0,6288065000.0,0.1889,0.1471,ACN
2021-08-31 00:00:00,50533100000.0,34135193000.0,16398911000.0,8743072000.0,7621529000.0,60000000.0,108471000.0,56515000.0,7761311000.0,1770189000.0,5990545000.0,5906561000.0,9.28,0.3245,0.1508,0.1536,0.1169,0.1661,9546802000.0,7621531000.0,9.2745,9.4378,9.4378,5990545000.0,5990122000.0,0.1889,0.1776,ACN
2021-05-31 00:00:00,47949370000.0,32610923000.0,15338453000.0,8130909000.0,7207547000.0,61000000.0,419123000.0,60584000.0,7626666000.0,1768119900.0,5858546000.0,5778490000.0,9.11,0.3199,0.1503,0.1591,0.1205,0.1911,9099398000.0,7207545000.0,9.0627,9.2215,9.2215,5858546000.0,5858546000.0,0.1898,0.2022,ACN
2021-02-28 00:00:00,45676880000.0,31214129000.0,14462757000.0,7661136000.0,6801623000.0,37000000.0,411818000.0,36806000.0,7213438000.0,1671824900.0,5541613000.0,5457266000.0,8.6,0.3166,0.1489,0.1579,0.1195,0.2082,8659149000.0,6801621000.0,8.5712,8.7196,8.7196,5541613000.0,5541613000.0,0.1896,0.2197,ACN
2020-11-30 00:00:00,44730250000.0,30503570000.0,14226696000.0,7589645000.0,6637052000.0,37000000.0,323501000.0,36451000.0,6960551000.0,1628348900.0,5332202000.0,5251147000.0,8.27,0.3181,0.1484,0.1556,0.1174,0.1886,8478919000.0,6637050000.0,8.2397,8.3857,8.3857,5332202000.0,5332202000.0,0.1896,0.2019,ACN
2020-08-31 00:00:00,44327030000.0,30350880000.0,13976160000.0,7462514000.0,6513646000.0,,260687000.0,33071000.0,6774331000.0,1589017900.0,5185313000.0,5107839000.0,8.03,0.3153,0.1469,0.1528,0.1152,0.1718,8286771000.0,6513644000.0,8.0044,8.1492,8.1492,5185313000.0,5185313000.0,0.1869,0.1853,ACN
2020-05-31 00:00:00,44547410000.0,30577183000.0,13970234000.0,7429800000.0,6540436000.0,,11294000.0,26493000.0,6551728000.0,1526291100.0,5025437000.0,4950337000.0,7.77,0.3136,0.1468,0.1471,0.1111,0.1464,8066839000.0,6540433000.0,7.7497,7.8948,7.8948,5025437000.0,5025437000.0,0.1811,0.1611,ACN
