Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-08-31 00:00:00,17078000000.0,2271000000.0,14807000000.0,2871000000.0,5955000000.0,6094000000.0,112000000.0,90000000.0,112000000.0,5959000000.0,1146000000.0,4813000000.0,4813000000.0,10.15,0.867,0.3568,0.3489,0.2818,0.4174,6910000000.0,6094000000.0,10.1523,10.1953,10.1953,4813000000.0,4813000000.0,0.4046,0.4438,ADBE
2022-05-31 00:00:00,16639000000.0,2192000000.0,14447000000.0,2747000000.0,5703000000.0,6051000000.0,111000000.0,35000000.0,111000000.0,5921000000.0,1032000000.0,4889000000.0,4889000000.0,10.25,0.8683,0.3637,0.3559,0.2938,0.4122,6882000000.0,6051000000.0,10.2499,10.314,10.314,4889000000.0,4889000000.0,0.4136,0.4375,ADBE
2022-02-28 00:00:00,16121000000.0,2055000000.0,14066000000.0,2621000000.0,5494000000.0,5928000000.0,111000000.0,-9000000.0,111000000.0,5815000000.0,988000000.0,4827000000.0,4827000000.0,10.1,0.8725,0.3677,0.3607,0.2994,0.4242,6754000000.0,5928000000.0,10.0796,10.1529,10.1529,4827000000.0,4827000000.0,0.419,0.4483,ADBE
2021-11-30 00:00:00,15780000000.0,1948000000.0,13832000000.0,2540000000.0,5406000000.0,5802000000.0,113000000.0,-37000000.0,113000000.0,5705000000.0,883000000.0,4822000000.0,4822000000.0,10.06,0.8766,0.3677,0.3615,0.3056,0.4361,6605000000.0,5802000000.0,10.0251,10.109,10.109,4822000000.0,4822000000.0,0.4186,0.4582,ADBE
2021-08-31 00:00:00,15104000000.0,1829000000.0,13275000000.0,2441000000.0,5185000000.0,5516000000.0,113000000.0,-60000000.0,112000000.0,5434000000.0,-405000000.0,5839000000.0,5839000000.0,12.18,0.8789,0.3652,0.3598,0.3866,0.4366,6294000000.0,5516000000.0,12.1021,12.1859,12.1859,5839000000.0,5839000000.0,0.4167,0.4599,ADBE
2021-05-31 00:00:00,14389000000.0,1746000000.0,12643000000.0,2356000000.0,4974000000.0,5144000000.0,113000000.0,-68000000.0,113000000.0,5076000000.0,-506000000.0,5582000000.0,5582000000.0,11.65,0.8787,0.3575,0.3528,0.3879,0.4583,5915000000.0,5144000000.0,11.5514,11.6346,11.6346,5582000000.0,5582000000.0,0.4111,0.485,ADBE
2021-02-28 00:00:00,13682000000.0,1717000000.0,11965000000.0,2276000000.0,4770000000.0,4754000000.0,112000000.0,-64000000.0,113000000.0,4690000000.0,-876000000.0,5566000000.0,5566000000.0,11.59,0.8745,0.3475,0.3428,0.4068,0.4232,5519000000.0,4754000000.0,11.4992,11.5868,11.5868,5566000000.0,5566000000.0,0.4034,0.4512,ADBE
2020-11-30 00:00:00,12868000000.0,1722000000.0,11146000000.0,2188000000.0,4559000000.0,4237000000.0,115000000.0,-61000000.0,116000000.0,4176000000.0,-1084000000.0,5260000000.0,5260000000.0,10.94,0.8662,0.3293,0.3245,0.4088,0.4125,4994000000.0,4237000000.0,10.8454,10.9355,10.9355,5260000000.0,5260000000.0,0.3881,0.4451,ADBE
2020-08-31 00:00:00,12436000000.0,1747000000.0,10689000000.0,2129000000.0,4404000000.0,3991000000.0,,-55000000.0,125000000.0,3936000000.0,75000000.0,3861000000.0,3861000000.0,8.01,0.8595,0.3209,0.3165,0.3105,0.3949,4749000000.0,3991000000.0,7.926,8.0199,8.0199,3861000000.0,3861000000.0,0.3819,0.428,ADBE
2020-05-31 00:00:00,12045000000.0,1736000000.0,10309000000.0,2053000000.0,4313000000.0,3776000000.0,,-65000000.0,137000000.0,3711000000.0,12000000.0,3699000000.0,3699000000.0,7.65,0.8559,0.3135,0.3081,0.3071,0.3681,4536000000.0,3776000000.0,7.572,7.662,7.662,3699000000.0,3699000000.0,0.3766,0.3992,ADBE
2020-02-29 00:00:00,11661000000.0,1728000000.0,9933000000.0,1997000000.0,4256000000.0,3510000000.0,,-88000000.0,149000000.0,3422000000.0,190000000.0,3232000000.0,3232000000.0,6.67,0.8518,0.301,0.2935,0.2772,0.3696,4269000000.0,3510000000.0,6.5906,6.6722,6.6722,3232000000.0,3232000000.0,0.3661,0.406,ADBE
2019-11-30 00:00:00,11171000000.0,1673000000.0,9498000000.0,1930000000.0,4125000000.0,3268000000.0,,-63000000.0,157000000.0,3205000000.0,254000000.0,2951000000.0,2951000000.0,6.07,0.8502,0.2925,0.2869,0.2642,0.3605,4025000000.0,3268000000.0,5.998,6.072,6.072,2951000000.0,2951000000.0,0.3603,0.3958,ADBE
2019-08-31 00:00:00,10643616000.0,1579262000.0,9064354000.0,1847146000.0,4032201000.0,3019176100.0,,-71836000.0,148631000.0,2947341000.0,168875000.0,2778466000.0,2778466000.0,5.7,0.8516,0.2837,0.2769,0.261,0.3561,3691404200.0,3019176900.0,5.6295,5.6941,5.6941,2778466000.0,2778466000.0,0.3468,0.3902,ADBE
2019-05-31 00:00:00,10100692000.0,1458754000.0,8641938000.0,1756103000.0,3855348000.0,2883782100.0,,-70084000.0,129738000.0,2813699000.0,161942000.0,2651757000.0,2651757000.0,5.43,0.8556,0.2855,0.2786,0.2625,0.381,3449900200.0,2883782900.0,5.3554,5.4221,5.4221,2651757000.0,2651757000.0,0.3416,0.4144,ADBE
2019-02-28 00:00:00,9552052000.0,1333098000.0,8218954000.0,1654231000.0,3611603000.0,2832266200.0,,-38769000.0,110101000.0,2793498000.0,111574000.0,2681924000.0,2681924000.0,5.48,0.8604,0.2965,0.2925,0.2808,0.3994,3287744300.0,2832267000.0,5.3998,5.4731,5.4731,2681924000.0,2681924000.0,0.3442,0.4242,ADBE
2018-11-30 00:00:00,9029999000.0,1195000000.0,7834999000.0,1538000000.0,3366000000.0,2839999200.0,,-46000000.0,89000000.0,2794000000.0,203000000.0,2591000000.0,2591000000.0,5.28,0.8677,0.3145,0.3094,0.2869,0.4166,3185999300.0,2840000000.0,5.2029,5.277,5.277,2591000000.0,2591000000.0,0.3528,0.4462,ADBE
2018-08-31 00:00:00,8571978000.0,1106610000.0,7465368000.0,1445880000.0,3173470100.0,2769162500.0,,-31492000.0,80485000.0,2737671100.0,323588000.0,2414083000.0,2414083000.0,4.91,0.8709,0.323,0.3194,0.2816,0.4098,3090168500.0,2769162900.0,4.8376,4.9112,4.9112,2414083000.0,2414083000.0,0.3605,0.438,ADBE
2018-05-31 00:00:00,8121976000.0,1074040000.0,7047936000.0,1362478000.0,3016818100.0,2596230500.0,,-18539000.0,78187000.0,2577692100.0,410331000.0,2167361000.0,2167361000.0,4.4,0.8678,0.3197,0.3174,0.2669,0.4028,2912665400.0,2596230900.0,4.3351,4.4018,4.4018,2167361000.0,2167361000.0,0.3586,0.4314,ADBE
2018-02-28 00:00:00,7698806000.0,1032056000.0,6666750000.0,1287751000.0,2902590100.0,2401828300.0,,-22318000.0,76171000.0,2379511100.0,500927000.0,1878584000.0,1878584000.0,3.81,0.8659,0.312,0.3091,0.244,0.3805,2723538200.0,2401828700.0,3.7524,3.811,3.811,1878584000.0,1878584000.0,0.3538,0.412,ADBE
2017-11-30 00:00:00,7301505000.0,1010491000.0,6291014000.0,1224059000.0,2822298100.0,2168094300.0,,-30454000.0,74402000.0,2137641100.0,443687000.0,1693954000.0,1693954000.0,3.44,0.8616,0.2969,0.2928,0.232,0.3745,2494091200.0,2168094700.0,3.3804,3.4316,3.4316,1693954000.0,1693954000.0,0.3416,0.3989,ADBE
2017-08-31 00:00:00,6903329000.0,956175100.0,5947154000.0,1157882000.0,2721860900.0,1991034700.0,,-39706000.0,72804000.0,1951329000.0,359311000.0,1592018000.0,1592018000.0,3.23,0.8615,0.2884,0.2827,0.2306,0.3746,2317657600.0,1991034800.0,3.1758,3.2177,3.2177,1592018000.0,1592018000.0,0.3357,0.402,ADBE
2017-05-31 00:00:00,6526222000.0,895954100.0,5630268000.0,1090777000.0,2645204900.0,1814685800.0,,-48435000.0,71276000.0,1766251000.0,323014000.0,1443237000.0,1443237000.0,2.92,0.8627,0.2781,0.2706,0.2211,0.3675,2143003800.0,1814685900.0,2.8749,2.9105,2.9105,1443237000.0,1443237000.0,0.3284,0.3967,ADBE
2017-02-28 00:00:00,6152741000.0,858673100.0,5294068000.0,1023860000.0,2536096900.0,1654842900.0,,-51380000.0,70103000.0,1603463000.0,290542000.0,1312921000.0,1312921000.0,2.65,0.8604,0.269,0.2606,0.2134,0.3647,1985986900.0,1654843000.0,2.6102,2.6414,2.6414,1312921000.0,1312921000.0,0.3228,0.3954,ADBE
2016-11-30 00:00:00,5854430000.0,819908100.0,5034522000.0,975987000.0,2486398900.0,1493602000.0,,-58464000.0,70442000.0,1435138000.0,266356000.0,1168782000.0,1168782000.0,2.35,0.86,0.2551,0.2451,0.1996,0.3409,1825137000.0,1493602100.0,2.3176,2.3453,2.3453,1168782000.0,1168782000.0,0.3118,0.3757,ADBE
