Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,10116000000.0,2279399800.0,7835700000.0,3480300000.0,411199200.0,107500000.0,,412000000.0,79300000.0,331900000.0,333000000.0,5.82,0.7746,0.0513,0.0407,0.0329,0.038,704499100.0,518698900.0,5.884,,5.898,,6.0235,331900000.0,,332000000.0,0.0696,0.0568,AIZ
2022-06-30 00:00:00,10206000000.0,2226299800.0,7978800000.0,3421800000.0,590899400.0,108700000.0,145000000.0,595000000.0,115300000.0,475600000.0,282000000.0,20.52,0.7818,0.0685,0.0583,0.0276,-0.026,882499300.0,699599100.0,8.284,,20.6421,,8.4435,475600000.0,,479000000.0,0.0865,-0.0074,AIZ
2022-03-31 00:00:00,10238300000.0,2161499800.0,8076200000.0,3348700000.0,760699200.0,110300000.0,,764700000.0,150200000.0,610500000.0,435800000.0,22.9,0.7888,0.0851,0.0747,0.0426,0.0499,1048499200.0,870998900.0,10.384,,23.0638,,10.5535,610500000.0,,633000000.0,0.1024,0.0683,AIZ
2021-12-31 00:00:00,10187900000.0,2195699800.0,7991900000.0,3240600000.0,782999300.0,111800000.0,,786800000.0,169500000.0,613500000.0,448100000.0,22.98,0.7845,0.0878,0.0772,0.044,0.0583,1066399300.0,894799000.0,10.204,12.6223,23.2056,12.8321,10.3735,613500000.0,758900000.0,649800000.0,0.1047,0.0767,AIZ
2021-09-30 00:00:00,10031000000.0,2248899900.0,7781900000.0,6863900000.0,785800800.0,111500000.0,142000000.0,783700000.0,174200000.0,605699900.0,454600000.0,23.11,0.7758,0.0895,0.0781,0.0453,0.0794,1061400800.0,897300700.0,9.9213,13.1908,23.3526,13.2017,10.1463,605700000.0,781900000.0,661800000.0,0.1058,0.0964,AIZ
2021-06-30 00:00:00,9769700000.0,2269999900.0,7499700000.0,6680100000.0,710100400.0,109500000.0,,704200000.0,161500000.0,542699900.0,463700000.0,7.69,0.7676,0.0839,0.0721,0.0475,0.1452,981300400.0,819600300.0,8.7613,-1.0192,7.9659,-1.0883,8.9763,542700000.0,-65400000.0,477300000.0,0.1004,0.1616,AIZ
2021-03-31 00:00:00,9579400000.0,2258399900.0,7321000000.0,6533900000.0,679700400.0,107400000.0,,673800000.0,153500000.0,520299900.0,431400000.0,7.23,0.7642,0.0822,0.0703,0.045,0.0946,938300400.0,787100400.0,8.3113,-1.1129,7.5437,-1.1713,8.6348,520300000.0,-70600000.0,449700000.0,0.0979,0.1093,AIZ
2020-12-31 00:00:00,9595500000.0,2264899900.0,7330600000.0,6639400000.0,586700200.0,104500000.0,119600000.0,580800000.0,60400000.0,520399900.0,423100000.0,7.04,0.764,0.072,0.0605,0.0441,0.1272,833500200.0,691200200.0,8.2368,-1.2297,7.3642,-1.2925,8.6568,520400000.0,-77700000.0,442700000.0,0.0869,0.1399,AIZ
2020-09-30 00:00:00,9266100000.0,2076100000.0,7190000000.0,6553500000.0,533398700.0,103100000.0,87100000.0,500900000.0,51200000.0,449700000.0,411500000.0,6.78,0.7759,0.0687,0.0541,0.0444,0.1107,795698700.0,636498400.0,7.346,,7.1394,,7.3925,449700000.0,,432500000.0,0.0859,0.1238,AIZ
2020-06-30 00:00:00,9388700000.0,2142800000.0,7245900000.0,6587300000.0,517399100.0,109800000.0,-157000000.0,363800000.0,55300000.0,308500000.0,386900000.0,6.4,0.7718,0.0668,0.0387,0.0412,0.0939,769799200.0,627198800.0,5.1052,,6.7853,,5.1417,308500000.0,,409800000.0,0.082,0.1044,AIZ
2020-03-31 00:00:00,9582200000.0,2306200000.0,7276000000.0,6634400000.0,500599100.0,109600000.0,-164200000.0,337800000.0,51400000.0,286400000.0,352900000.0,5.77,0.7593,0.0637,0.0353,0.0368,0.0986,746299200.0,610198800.0,4.6894,,6.1217,,4.705,286400000.0,,374000000.0,0.0779,0.1088,AIZ
2019-12-31 00:00:00,9569100000.0,2385700000.0,7183400000.0,6423700000.0,617699400.0,110600000.0,-163000000.0,454700000.0,148300000.0,306400000.0,363900000.0,5.86,0.7507,0.0761,0.0475,0.038,0.1362,853799500.0,728299100.0,4.9171,,6.2444,,4.9465,306400000.0,,386800000.0,0.0892,0.1477,AIZ
2019-09-30 00:00:00,9797400000.0,2763400100.0,7034000000.0,6342000000.0,549100300.0,111500000.0,,418600000.0,134000000.0,284600000.0,261300000.0,4.17,0.7179,0.0674,0.0427,0.0267,0.1302,756700400.0,660600400.0,4.1719,,4.3876,,4.3876,284600000.0,,284600000.0,0.0772,0.1398,AIZ
2019-06-30 00:00:00,9568400000.0,2739100100.0,6829300000.0,6195100000.0,528400200.0,105800000.0,,519000000.0,128200000.0,390800000.0,369100000.0,5.89,0.7137,0.0663,0.0542,0.0386,0.1158,730400100.0,634200200.0,5.8634,,6.0815,,6.0815,390800000.0,,390800000.0,0.0763,0.1265,AIZ
2019-03-31 00:00:00,8854600000.0,2542700100.0,6311900000.0,5792400000.0,414200100.0,105300000.0,,414000000.0,98800000.0,315200000.0,291800000.0,4.74,0.7128,0.0587,0.0468,0.033,0.0994,599900000.0,519500100.0,4.8492,,4.9639,,4.9639,315200000.0,,315200000.0,0.0678,0.1106,AIZ
2018-12-31 00:00:00,8057600000.0,2342600100.0,5715000000.0,5281200000.0,333499900.0,100300000.0,,333500000.0,80900000.0,252600000.0,236800000.0,4.16,0.7093,0.0538,0.0414,0.0294,0.0712,503799800.0,433799900.0,4.2421,,4.264,,4.264,252600000.0,,252600000.0,0.0625,0.0815,AIZ
2018-09-30 00:00:00,7417200000.0,2000099900.0,5417100000.0,4881900000.0,448900000.0,86300000.0,,448900000.0,-90000000.0,538900000.0,529400000.0,9.63,0.7303,0.0722,0.0605,0.0714,0.0765,579600000.0,535199800.0,9.7029,,9.7663,,9.7663,538900000.0,,538900000.0,0.0781,0.0834,AIZ
2018-06-30 00:00:00,6733300000.0,2001399900.0,4731900000.0,4394400000.0,265499900.0,72000000.0,,265500000.0,-163100000.0,428600000.0,423800000.0,7.82,0.7028,0.0501,0.0394,0.0629,0.098,358900000.0,337499800.0,7.8213,,7.8823,,7.8823,428600000.0,,428600000.0,0.0533,0.1044,AIZ
2018-03-31 00:00:00,6502100000.0,1927199900.0,4574900000.0,4150600000.0,365900000.0,58400000.0,,365900000.0,-115900000.0,481800000.0,481800000.0,8.91,0.7036,0.0653,0.0563,0.0741,0.0604,435800000.0,424299800.0,8.8167,,8.8845,,8.8845,481800000.0,,481800000.0,0.067,0.0662,AIZ
2017-12-31 00:00:00,6415000000.0,1870599900.0,4544400000.0,4050400000.0,444500100.0,49500000.0,,444500000.0,-75100000.0,519600000.0,519600000.0,9.48,0.7084,0.077,0.0693,0.081,0.0771,494000100.0,493999900.0,9.3942,,9.4496,,9.4496,519600000.0,,519600000.0,0.077,0.0827,AIZ
2017-09-30 00:00:00,6490800000.0,1885300100.0,4605500000.0,4190600000.0,340799700.0,51100000.0,,340800000.0,102800000.0,238000000.0,238000000.0,4.23,0.7095,0.0604,0.0525,0.0367,0.0741,391899600.0,391899500.0,4.3605,,4.4112,,4.4112,238000000.0,,238000000.0,0.0604,0.0837,AIZ
2017-06-30 00:00:00,6738500000.0,1638300100.0,5100200000.0,4355000000.0,669299700.0,52900000.0,,669300000.0,229600000.0,439700000.0,439700000.0,7.68,0.7569,0.1072,0.0993,0.0653,0.0539,722199600.0,722199500.0,7.7853,,7.8583,,7.8583,439700000.0,,439700000.0,0.1072,0.0641,AIZ
2017-03-31 00:00:00,6935800000.0,1622700100.0,5313100000.0,4508300000.0,726099700.0,55700000.0,,726100000.0,237300000.0,488800000.0,488800000.0,8.22,0.766,0.1127,0.1047,0.0705,0.0579,781799700.0,781799600.0,8.3191,,8.4018,,8.4018,488800000.0,,488800000.0,0.1127,0.069,AIZ
2016-12-31 00:00:00,7531800000.0,1808500100.0,5723300000.0,4794100000.0,848599700.0,57600000.0,,848600000.0,283200000.0,565400000.0,565400000.0,9.04,0.7599,0.1203,0.1127,0.0751,0.0031,906199700.0,906199600.0,9.1289,,9.2293,,9.2293,565400000.0,,565400000.0,0.1203,0.0144,AIZ
2016-09-30 00:00:00,8327240000.0,2389654000.0,5937586000.0,4975888000.0,904232300.0,57465000.0,,904233000.0,304344000.0,599889000.0,599889000.0,9.49,0.713,0.1155,0.1086,0.072,-0.0556,961697300.0,961697000.0,9.3912,,9.4879,,9.4879,599889000.0,,599889000.0,0.1155,-0.0441,AIZ
2016-06-30 00:00:00,9027296000.0,3208659000.0,5818637000.0,5110311000.0,651081300.0,57244000.0,,651082000.0,202615000.0,448467000.0,448467000.0,6.99,0.6446,0.0785,0.0721,0.0497,-0.0406,708325300.0,708325000.0,6.9135,,6.9879,,6.9879,448467000.0,,448467000.0,0.0785,-0.0291,AIZ
2016-03-31 00:00:00,9874390000.0,4075573000.0,5798817000.0,5287388000.0,455606500.0,55822000.0,,455607000.0,143651000.0,311956000.0,311956000.0,4.75,0.5873,0.0518,0.0461,0.0316,-0.0055,511428500.0,511428200.0,4.6878,,4.7463,,4.7463,311956000.0,,311956000.0,0.0518,0.0062,AIZ
2015-12-31 00:00:00,10325500000.0,4742500000.0,5583000000.0,5326700000.0,201199500.0,55100000.0,,201200000.0,59600000.0,141600000.0,141600000.0,2.09,0.5407,0.0248,0.0195,0.0137,0.0111,256299500.0,256299200.0,2.0517,,2.0774,,2.0774,141600000.0,,141600000.0,0.0248,0.0223,AIZ
2015-09-30 00:00:00,10400352000.0,4856641000.0,5543711000.0,5307285000.0,181313700.0,55113000.0,,181313000.0,55747000.0,125566000.0,125566000.0,1.8,0.533,0.0227,0.0174,0.0121,0.0286,236426700.0,236426800.0,1.7832,,1.8117,,1.8117,125566000.0,,125566000.0,0.0227,0.0393,AIZ
2015-06-30 00:00:00,10568684000.0,4726129000.0,5842555000.0,5349130000.0,438315700.0,55110000.0,,438315000.0,165430000.0,272885000.0,272885000.0,3.84,0.5528,0.0467,0.0415,0.0258,0.0179,493425700.0,493425800.0,3.8076,,3.8591,,3.8591,272885000.0,,272885000.0,0.0467,0.0285,AIZ
2015-03-31 00:00:00,10531891000.0,4608028000.0,5923863000.0,5276678000.0,592077600.0,55108000.0,,592077000.0,208371000.0,383706000.0,383706000.0,5.34,0.5625,0.0615,0.0562,0.0364,-0.0003,647185600.0,647185700.0,5.2868,,5.3573,,5.3573,383706000.0,,383706000.0,0.0615,0.0084,AIZ
2014-12-31 00:00:00,10381653000.0,4405333000.0,5976320000.0,5173788000.0,744137700.0,58395000.0,,744137000.0,273230000.0,470907000.0,470907000.0,6.5,0.5757,0.0773,0.0717,0.0454,0.0299,802532700.0,802532800.0,6.4373,,6.524,,6.524,470907000.0,,470907000.0,0.0773,0.0379,AIZ
2014-09-30 00:00:00,10159579000.0,4248727000.0,5910852000.0,5013541000.0,832328200.0,64983000.0,,832328000.0,302360000.0,529968000.0,529968000.0,7.28,0.5818,0.0883,0.0819,0.0522,0.073,897311200.0,897311400.0,7.1837,,7.2826,,7.2826,529968000.0,,529968000.0,0.0883,0.0805,AIZ
2014-06-30 00:00:00,9715741000.0,4058866000.0,5656875000.0,4783349000.0,801548100.0,71978000.0,,801548000.0,283089000.0,518459000.0,518459000.0,7.04,0.5822,0.0899,0.0825,0.0534,0.0984,873526100.0,873526300.0,6.9475,,7.0438,,7.0438,518459000.0,,518459000.0,0.0899,0.1045,AIZ
2014-03-31 00:00:00,9345406000.0,3826203000.0,5519203000.0,4620953000.0,818528100.0,79722000.0,,818528000.0,310156000.0,508372000.0,508372000.0,6.78,0.5906,0.0961,0.0876,0.0544,0.1124,898250100.0,898250300.0,6.6986,,6.79,,6.79,508372000.0,,508372000.0,0.0961,0.118,AIZ
2013-12-31 00:00:00,9047657000.0,3675532000.0,5372125000.0,4504691000.0,789699000.0,77735000.0,,789699000.0,300792000.0,488907000.0,488907000.0,6.37,0.5938,0.0959,0.0873,0.054,0.1079,867434000.0,867434200.0,6.2958,,6.3785,,6.3785,488907000.0,,488907000.0,0.0959,0.1136,AIZ
2013-09-30 00:00:00,8808014000.0,3739682000.0,5068332000.0,4349901000.0,645983600.0,72447000.0,,645985000.0,240907000.0,405078000.0,405078000.0,5.2,0.5754,0.0816,0.0733,0.046,0.105,718430600.0,718430800.0,5.235,,5.3026,,5.3026,405078000.0,,405078000.0,0.0816,0.1106,AIZ
2013-06-30 00:00:00,8694444000.0,3701330000.0,4993114000.0,4265728000.0,660631800.0,66754000.0,,660633000.0,258055000.0,402578000.0,402578000.0,5.04,0.5743,0.0837,0.076,0.0463,0.0821,727385800.0,727386000.0,5.0729,,5.135,,5.135,402578000.0,,402578000.0,0.0837,0.0884,AIZ
