Date,Revenue,Cost of Revenue,Gross Profit,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,8384000000.0,4891300000.0,3603700000.0,1572399900.0,28000000.0,254400000.0,1318000000.0,216600000.0,1101400100.0,1088000000.0,5.08,0.4298,0.1875,0.1572,0.1298,0.277,2164499900.0,1572400100.0,5.1,5.2068,5.2068,1101400100.0,1101000000.0,0.2582,0.2967,AJG
2022-06-30 00:00:00,8440000000.0,5076100000.0,3513100000.0,1484700000.0,94000000.0,250300000.0,1234000000.0,150700000.0,1083700100.0,1057000000.0,4.95,0.4162,0.1759,0.1462,0.1252,0.1924,2062599900.0,1484700200.0,5.036,5.1431,5.1431,1083700100.0,1084000000.0,0.2444,0.2114,AJG
2022-03-31 00:00:00,8368500000.0,5120900000.0,3358800000.0,1346300000.0,71800000.0,241900000.0,1104300000.0,104000000.0,1000400100.0,963200000.0,4.56,0.4014,0.1609,0.132,0.1151,0.2129,1929099900.0,1346300200.0,4.6862,4.7893,4.7893,1000400100.0,1000800000.0,0.2305,0.2295,AJG
2021-12-31 00:00:00,8130500000.0,5100700000.0,3108700000.0,1201200000.0,2700000.0,226100000.0,974700000.0,20100000.0,955000100.0,906300000.0,4.47,0.3824,0.1477,0.1199,0.1115,0.1939,1767499900.0,1201200200.0,4.6069,4.7114,4.7114,955000100.0,955500000.0,0.2174,0.2097,AJG
2021-09-30 00:00:00,7903100000.0,4954700000.0,2985599900.0,1208200000.0,-102100000.0,212400000.0,995400000.0,8600000.0,987200100.0,939500000.0,4.7,0.3778,0.1529,0.126,0.1189,0.182,1761499900.0,1208200200.0,4.8568,4.9596,4.9596,987200100.0,987600000.0,0.2229,0.1976,AJG
2021-06-30 00:00:00,7651200000.0,4780800000.0,2870399900.0,1174100000.0,-200200000.0,200200000.0,973900000.0,37500000.0,936400100.0,891100000.0,4.56,0.3752,0.1535,0.1273,0.1165,0.2083,1730000000.0,1174100200.0,4.6854,4.7855,4.7855,936400100.0,936400000.0,0.2261,0.2214,AJG
2021-03-31 00:00:00,7301700000.0,4551700000.0,2749999900.0,1117300100.0,-194000000.0,194000000.0,923300000.0,26900000.0,896400100.0,854600000.0,4.41,0.3766,0.153,0.1265,0.117,0.2493,1650600100.0,1117300300.0,4.5384,4.6323,4.6323,896400100.0,896400000.0,0.2261,0.2626,AJG
2020-12-31 00:00:00,7003600000.0,4348600000.0,2654999900.0,1067300100.0,-196400000.0,196400000.0,870900000.0,12800000.0,858100100.0,818800000.0,4.28,0.3791,0.1524,0.1244,0.1169,0.2438,1629700100.0,1067300300.0,4.4005,4.4926,4.4926,858100100.0,858100000.0,0.2327,0.258,AJG
2020-09-30 00:00:00,7021400000.0,4389400000.0,2632000100.0,1012200500.0,-191000000.0,196700000.0,821200000.0,10600000.0,810600000.0,775100000.0,4.05,0.3749,0.1442,0.117,0.1104,0.242,1570700500.0,1012200700.0,4.1699,4.2642,4.2642,810600000.0,810599900.0,0.2237,0.2577,AJG
2020-06-30 00:00:00,6997500000.0,4432800000.0,2564700100.0,921700400.0,-195200000.0,195200000.0,726500000.0,-33400000.0,759900000.0,724600000.0,3.81,0.3665,0.1317,0.1038,0.1036,0.2074,1465600300.0,921700600.0,3.9321,4.0215,4.0215,759900000.0,759899900.0,0.2094,0.2249,AJG
