Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,3864000000.0,1092000000.0,2772000000.0,294000000.0,1715596900.0,750826000.0,-120000000.0,4000000.0,704000000.0,193000000.0,510759000.0,,511000000.0,6.47,0.7174,0.1943,0.1822,0.1322,0.0903,902000000.0,750825800.0,6.4566,6.5003,6.5003,510759000.0,511000000.0,0.2334,0.1804,ALGN
2022-06-30 00:00:00,3990000000.0,1081000000.0,2909000000.0,283000000.0,1745049900.0,868330000.0,-57000000.0,2000000.0,843000000.0,224000000.0,619028000.0,,619000000.0,7.82,0.7291,0.2176,0.2113,0.1551,0.0974,1014000000.0,868329800.0,7.8033,7.8629,7.8629,619028000.0,619000000.0,0.2541,0.1968,ALGN
2022-03-31 00:00:00,4030808000.0,1055270000.0,2975538000.0,267715000.0,1750572900.0,949036000.0,-42100000.0,2000000.0,937802000.0,232088000.0,705942000.0,,705714000.0,8.91,0.7382,0.2354,0.2327,0.1751,0.1317,1082794000.0,949035800.0,8.875,8.9518,8.9518,705942000.0,705714000.0,0.2686,0.2421,ALGN
2021-12-31 00:00:00,3952579000.0,1012943000.0,2939636000.0,250252000.0,1708230900.0,976400000.0,5075000.0,3000000.0,1012423000.0,240333000.0,772020000.0,,772090000.0,9.75,0.7437,0.247,0.2561,0.1953,0.1952,1098875000.0,976399800.0,9.6902,9.7827,9.7827,772020000.0,772090000.0,0.278,0.2967,ALGN
2021-09-30 00:00:00,3756098900.0,950000000.0,2806098900.0,227139000.0,1605428000.0,968691800.0,8433000.0,2000000.0,1006965000.0,266887100.0,740047000.0,,740078000.0,9.37,0.7471,0.2579,0.2681,0.197,0.2492,1079827800.0,968691900.0,9.2539,9.3365,9.3365,740047000.0,740078000.0,0.2875,0.3411,ALGN
2021-06-30 00:00:00,3474242900.0,894056000.0,2580186900.0,205666000.0,1489920000.0,884600800.0,44909000.0,2000000.0,929510000.0,231061100.0,698449000.0,,698449000.0,8.86,0.7427,0.2546,0.2675,0.201,0.2576,985382800.0,884600900.0,8.7386,8.8111,8.8111,698449000.0,698449000.0,0.2836,0.3273,ALGN
2021-03-31 00:00:00,2815748900.0,769772000.0,2045976900.0,188312000.0,1314966000.0,542698800.0,44516000.0,2000000.0,587215000.0,129082100.0,458133000.0,,458133000.0,5.81,0.7266,0.1927,0.2085,0.1627,0.2583,641133800.0,542698900.0,5.7153,5.7678,5.7678,458133000.0,458133000.0,0.2277,0.3124,ALGN
2020-12-31 00:00:00,2471940900.0,708706000.0,1763234900.0,175307000.0,1200757000.0,387170800.0,-8222000.0,1986000.0,378949000.0,-1396938900.0,1775888000.0,,1775888000.0,22.59,0.7133,0.1566,0.1533,0.7184,0.2052,480708800.0,387170900.0,22.4143,22.548,22.548,1775888000.0,1775888000.0,0.1945,0.2679,ALGN
2020-09-30 00:00:00,2287207800.0,662478000.0,1624729800.0,167747000.0,1131846000.0,325136800.0,-4933000.0,4892000.0,320204000.0,-1417958000.0,1738162000.0,,1738162000.0,22.11,0.7104,0.1422,0.14,0.7599,0.155,415701800.0,325136900.0,21.9823,22.1114,22.1114,1738162000.0,1738162000.0,0.1818,0.2181,ALGN
2020-06-30 00:00:00,2160404800.0,632209000.0,1528195800.0,162900000.0,1096868000.0,275219800.0,-11142000.0,,264078000.0,-1437237000.0,1701315000.0,,1701315000.0,21.63,0.7074,0.1274,0.1222,0.7875,0.1726,361004800.0,275219900.0,21.5061,21.6356,21.6356,1701315000.0,1701315000.0,0.1671,0.2418,ALGN
