Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,12155000000.0,2231000000.0,9924000000.0,239000000.0,2153000000.0,5586000000.0,338000000.0,1637000000.0,10000000.0,5586000000.0,1558000000.0,4028000000.0,3613000000.0,10.5,0.8165,0.4596,0.4596,0.2972,0.3204,6797000000.0,5586000000.0,11.6507,,11.6842,,11.6842,4028000000.0,,4028000000.0,0.5592,0.3797,APA
2022-06-30 00:00:00,10934000000.0,2023000000.0,8911000000.0,178000000.0,2078000000.0,4536000000.0,363000000.0,1221000000.0,10000000.0,4536000000.0,1068000000.0,3468000000.0,3078000000.0,8.92,0.815,0.4149,0.4149,0.2815,0.3465,5772000000.0,4536000000.0,9.9654,,9.9941,,9.9941,3468000000.0,,3468000000.0,0.5279,0.3916,APA
2022-03-31 00:00:00,9664000000.0,1724000000.0,7940000000.0,148000000.0,2000000000.0,3569000000.0,395000000.0,1416000000.0,10000000.0,3569000000.0,760000000.0,2809000000.0,2468000000.0,7.03,0.8216,0.3693,0.3693,0.2554,0.3622,4878000000.0,3569000000.0,7.922,,7.9445,,7.9445,2809000000.0,,2809000000.0,0.5048,0.3845,APA
2021-12-31 00:00:00,7928000000.0,1844000000.0,6084000000.0,155000000.0,1821000000.0,1891000000.0,418000000.0,15000000.0,8000000.0,1891000000.0,578000000.0,1313000000.0,973000000.0,2.61,0.7674,0.2385,0.2385,0.1227,0.3329,3251000000.0,1891000000.0,3.5012,,3.5107,,3.5107,1313000000.0,,1313000000.0,0.4101,0.441,APA
2021-09-30 00:00:00,6814000000.0,1557000000.0,5257000000.0,196000000.0,1657000000.0,1307000000.0,434000000.0,-192000000.0,9000000.0,1307000000.0,424000000.0,883000000.0,601000000.0,1.58,0.7715,0.1918,0.1918,0.0882,0.3213,2725000000.0,1307000000.0,2.3301,,2.3362,,2.3362,883000000.0,,883000000.0,0.3999,0.4269,APA
2021-06-30 00:00:00,6307000000.0,1231000000.0,5076000000.0,220000000.0,1562000000.0,1257000000.0,445000000.0,150000000.0,9000000.0,1257000000.0,303000000.0,954000000.0,710000000.0,1.87,0.8048,0.1993,0.1993,0.1126,0.2642,2738000000.0,1257000000.0,2.5178,,2.5239,,2.5239,954000000.0,,954000000.0,0.4341,0.3872,APA
2021-03-31 00:00:00,5121000000.0,1026000000.0,4095000000.0,266000000.0,1495000000.0,346000000.0,441000000.0,-21000000.0,7000000.0,346000000.0,178000000.0,168000000.0,8000000.0,0.02,0.7996,0.0676,0.0676,0.0016,0.1119,1894000000.0,346000000.0,0.4413,,0.4445,,0.4445,168000000.0,,168000000.0,0.3698,0.304,APA
2020-12-31 00:00:00,4308000000.0,631000000.0,3677000000.0,274000000.0,1540000000.0,-4840000000.0,434000000.0,4714000000.0,7000000.0,-4840000000.0,64000000.0,-4904000000.0,-4860000000.0,-12.86,0.8535,-1.1235,-1.1235,-1.1281,0.0585,-3068000000.0,-4840000000.0,-12.9735,,-12.9735,,-12.9735,-4904000000.0,,-4904000000.0,-0.7122,0.3222,APA
2020-09-30 00:00:00,4797000000.0,571000000.0,4226000000.0,772000000.0,1654000000.0,-7945000000.0,422000000.0,7483000000.0,5000000.0,-7945000000.0,261000000.0,-8206000000.0,-7846000000.0,-20.78,0.881,-1.6562,-1.6562,-1.6356,0.0438,-5842000000.0,-7945000000.0,-21.7317,,-21.7317,,-21.7317,-8206000000.0,,-8206000000.0,-1.2178,0.3477,APA
2020-06-30 00:00:00,5153000000.0,522000000.0,4631000000.0,770000000.0,1801000000.0,-8003000000.0,,7488000000.0,,-8003000000.0,361000000.0,-8364000000.0,-8012000000.0,-21.22,0.8987,-1.5531,-1.5531,-1.5548,0.0844,-5587000000.0,-8003000000.0,-22.1505,,-22.1505,,-22.1505,-8364000000.0,,-8364000000.0,-1.0842,0.3879,APA
