Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,12699000000.0,9336000000.0,3363000000.0,103000000.0,900600000.0,2338799800.0,124000000.0,34000000.0,128000000.0,2755000000.0,501000000.0,2253900000.0,2256000000.0,10.14,0.2648,0.1842,0.2169,0.1777,0.0229,3697000000.0,2338799800.0,10.08,0.38,10.2094,0.38,10.11,2253900000.0,72600000.0,2254000000.0,0.2911,0.2497,APD
2022-06-30 00:00:00,11969000000.0,8721000000.0,3249000000.0,98000000.0,878700000.0,2328999800.0,123000000.0,106000000.0,128900000.0,2736000000.0,495000000.0,2240499900.0,2232000000.0,10.26,0.2715,0.1946,0.2286,0.1865,0.0271,3609000000.0,2328999800.0,10.03,,10.3308,,10.07,2240500000.0,,2241000000.0,0.3015,0.2539,APD
2022-03-31 00:00:00,11384700000.0,8182900000.0,3202799900.0,96200000.0,875100000.0,2278699900.0,126000000.0,130700000.0,131800000.0,2640800000.0,462700000.0,2177499900.0,2183600000.0,10.05,0.2813,0.2002,0.232,0.1918,0.0385,3577800000.0,2278699900.0,9.77,,10.0883,,9.82,2177500000.0,,2186300000.0,0.3143,0.2688,APD
2021-12-31 00:00:00,10941700000.0,7777400000.0,3165299900.0,93300000.0,858400000.0,2265299800.0,130000000.0,155200000.0,135600000.0,2579800000.0,461600000.0,2117799900.0,2125700000.0,9.8,0.2893,0.207,0.2358,0.1943,0.0839,3576600000.0,2265299800.0,9.52,,9.8233,,9.56,2117800000.0,70300000.0,2126400000.0,0.3269,0.3058,APD
2021-09-30 00:00:00,10321900000.0,7185800000.0,3137099800.0,93800000.0,828300000.0,2281400000.0,136000000.0,175400000.0,141800000.0,2507100000.0,462500000.0,2044599900.0,2047700000.0,9.46,0.3039,0.221,0.2429,0.1984,0.088,3592400000.0,2281400000.0,9.12,0.26,9.5438,0.26,9.16,2044600000.0,56000000.0,2063100000.0,0.348,0.3231,APD
2021-06-30 00:00:00,9802000000.0,6746300000.0,3055699500.0,94900000.0,821900000.0,2224899800.0,143000000.0,184800000.0,147600000.0,2409700000.0,437400000.0,1972300100.0,1975500000.0,8.92,0.3117,0.227,0.2458,0.2015,0.1515,3524099800.0,2224900000.0,8.8,0.0245,8.9858,0.0246,8.83,1972300000.0,47400000.0,1990800000.0,0.3595,0.3836,APD
2021-03-31 00:00:00,9262500000.0,6289300000.0,2973199500.0,91600000.0,785500000.0,2186999600.0,140000000.0,163300000.0,144100000.0,2350300000.0,445000000.0,1905300100.0,1888400000.0,8.53,0.321,0.2361,0.2537,0.2039,0.0893,3441099600.0,2186999800.0,8.45,,8.6502,,8.48,1905300000.0,,1915600000.0,0.3715,0.3894,APD
2020-12-31 00:00:00,8976800000.0,6003900000.0,2972899600.0,89700000.0,776900000.0,2215699800.0,123000000.0,188800000.0,127300000.0,2404500000.0,471600000.0,1932900100.0,1893100000.0,8.56,0.3312,0.2468,0.2679,0.2109,0.0796,3435199800.0,2215700000.0,8.53,0.1845,8.7142,0.1846,8.57,1932900000.0,38200000.0,1928900000.0,0.3827,0.3757,APD
2020-09-30 00:00:00,8856300000.0,5858100000.0,2998199700.0,83900000.0,775900000.0,2237599900.0,106000000.0,186200000.0,109300000.0,2423800000.0,478400000.0,1945400100.0,1886700000.0,8.53,0.3385,0.2527,0.2737,0.213,0.0944,3422599900.0,2237600100.0,8.55,,8.7301,,8.59,1945400000.0,,1931100000.0,0.3865,0.3686,APD
2020-06-30 00:00:00,8819400000.0,5782400000.0,3037000100.0,79700000.0,762200000.0,2280400300.0,,198500000.0,100200000.0,2479100000.0,509700000.0,1969400000.0,1903100000.0,8.61,0.3444,0.2586,0.2811,0.2158,0.061,3448500400.0,2280400700.0,8.5846,,8.8505,,8.6365,1969400000.0,,1955100000.0,0.391,0.3379,APD
2020-03-31 00:00:00,8978200000.0,5903500000.0,3074700200.0,77900000.0,773800000.0,2310900600.0,,211100000.0,102300000.0,2522200000.0,509700000.0,2012500000.0,1944600000.0,8.8,0.3425,0.2574,0.2809,0.2166,0.116,3457500700.0,2310901000.0,8.7746,0.13,9.0515,0.13,8.8265,2012500000.0,22400100.0,1998200000.0,0.3851,0.3255,APD
