Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,7357000000.0,2125000000.0,5232000000.0,1255000000.0,1968000000.0,1983000000.0,108000000.0,18000000.0,70000000.0,1923000000.0,249000000.0,1675000000.0,1674000000.0,2.13,0.7112,0.2695,0.2614,0.2275,0.227,2401000000.0,1983000000.0,2.1263,2.147,2.147,1675000000.0,1674000000.0,0.3264,0.239,ATVI
2022-06-30 00:00:00,7645000000.0,2150000000.0,5495000000.0,1307000000.0,1839000000.0,2322000000.0,108000000.0,93000000.0,20000000.0,2182000000.0,304000000.0,1879000000.0,1878000000.0,2.4,0.7188,0.3037,0.2854,0.2457,0.2519,2795000000.0,2322000000.0,2.3911,2.412,2.412,1879000000.0,1878000000.0,0.3656,0.2645,ATVI
2022-03-31 00:00:00,8297000000.0,2220000000.0,6077000000.0,1331000000.0,1760000000.0,2943000000.0,108000000.0,146000000.0,-40000000.0,2863000000.0,389000000.0,2475000000.0,2474000000.0,3.17,0.7324,0.3547,0.3451,0.2982,0.2578,3426000000.0,2943000000.0,3.1546,3.1813,3.1813,2475000000.0,2474000000.0,0.4129,0.2666,ATVI
2021-12-31 00:00:00,8804000000.0,2319000000.0,6485000000.0,1338000000.0,1813000000.0,3259000000.0,109000000.0,106000000.0,-11000000.0,3163000000.0,465000000.0,2699000000.0,2698000000.0,3.47,0.7366,0.3702,0.3593,0.3065,0.2651,3766000000.0,3259000000.0,3.4426,3.4736,3.4736,2699000000.0,2698000000.0,0.4278,0.2742,ATVI
2021-09-30 00:00:00,9053000000.0,2477000000.0,6576000000.0,1364000000.0,1937000000.0,3173000000.0,109000000.0,49000000.0,20000000.0,3089000000.0,447000000.0,2642000000.0,2642000000.0,3.41,0.7264,0.3505,0.3412,0.2918,0.3106,3687000000.0,3173000000.0,3.3741,3.4056,3.4056,2642000000.0,2642000000.0,0.4073,0.3196,ATVI
2021-06-30 00:00:00,8937000000.0,2419000000.0,6518000000.0,1309000000.0,1974000000.0,3127000000.0,109000000.0,-75000000.0,44000000.0,3052000000.0,445000000.0,2607000000.0,2607000000.0,3.37,0.7293,0.3499,0.3415,0.2917,0.2782,3610000000.0,3127000000.0,3.3334,3.3667,3.3667,2607000000.0,2607000000.0,0.4039,0.2873,ATVI
2021-03-31 00:00:00,8573000000.0,2333000000.0,6240000000.0,1265000000.0,1957000000.0,2917000000.0,105000000.0,-140000000.0,109000000.0,2777000000.0,466000000.0,2311000000.0,2311000000.0,2.99,0.7279,0.3403,0.3239,0.2696,0.3344,3363000000.0,2917000000.0,2.962,2.9916,2.9916,2311000000.0,2311000000.0,0.3923,0.3439,ATVI
2020-12-31 00:00:00,8086000000.0,2260000000.0,5826000000.0,1150000000.0,1848000000.0,2734000000.0,100000000.0,-118000000.0,87000000.0,2616000000.0,419000000.0,2197000000.0,2197000000.0,2.85,0.7205,0.3381,0.3235,0.2717,0.2689,3180000000.0,2734000000.0,2.824,2.8496,2.8496,2197000000.0,2197000000.0,0.3933,0.2785,ATVI
2020-09-30 00:00:00,7660000000.0,2099000000.0,5561000000.0,1098000000.0,1803000000.0,2593000000.0,95000000.0,-93000000.0,62000000.0,2500000000.0,287000000.0,2213000000.0,2213000000.0,2.87,0.726,0.3385,0.3264,0.2889,0.2529,3030000000.0,2593000000.0,2.8536,2.8717,2.8717,2213000000.0,2213000000.0,0.3956,0.265,ATVI
2020-06-30 00:00:00,6988000000.0,2072000000.0,4916000000.0,1034000000.0,1738000000.0,2062000000.0,,-35000000.0,35000000.0,2027000000.0,214000000.0,1813000000.0,1813000000.0,2.36,0.7035,0.2951,0.2901,0.2594,0.2919,2507000000.0,2062000000.0,2.3428,2.3553,2.3553,1813000000.0,1813000000.0,0.3588,0.3067,ATVI
2020-03-31 00:00:00,6452000000.0,2036000000.0,4416000000.0,987000000.0,1682000000.0,1649000000.0,,21000000.0,-21000000.0,1670000000.0,109000000.0,1561000000.0,1561000000.0,2.04,0.6844,0.2556,0.2588,0.2419,0.2188,2150000000.0,1649000000.0,2.0214,2.0312,2.0312,1561000000.0,1561000000.0,0.3332,0.237,ATVI
2019-12-31 00:00:00,6489000000.0,2094000000.0,4395000000.0,998000000.0,1658000000.0,1607000000.0,,26000000.0,-26000000.0,1633000000.0,130000000.0,1503000000.0,1503000000.0,1.96,0.6773,0.2476,0.2517,0.2316,0.2643,2160000000.0,1607000000.0,1.9494,1.9596,1.9596,1503000000.0,1503000000.0,0.3329,0.2822,ATVI
2019-09-30 00:00:00,6885000000.0,2270000000.0,4615000000.0,1027000000.0,1628000000.0,1847000000.0,,29000000.0,-29000000.0,1876000000.0,211000000.0,1665000000.0,1665000000.0,2.13,0.6703,0.2683,0.2725,0.2418,0.2613,2631000000.0,1847000000.0,2.1593,2.1767,2.1767,1665000000.0,1665000000.0,0.3821,0.2777,ATVI
2019-06-30 00:00:00,7115000000.0,2341000000.0,4774000000.0,1080000000.0,1740000000.0,1865000000.0,,-26000000.0,-14000000.0,1839000000.0,118000000.0,1721000000.0,1721000000.0,2.2,0.671,0.2621,0.2585,0.2419,0.2447,2709000000.0,1865000000.0,2.2319,2.2515,2.2515,1721000000.0,1721000000.0,0.3807,0.2609,ATVI
2019-03-31 00:00:00,7360000000.0,2418000000.0,4942000000.0,1091000000.0,1821000000.0,1963000000.0,,-86000000.0,46000000.0,1877000000.0,82000000.0,1795000000.0,1795000000.0,2.3,0.6715,0.2667,0.255,0.2439,0.2164,2847000000.0,1963000000.0,2.328,2.3516,2.3516,1795000000.0,1795000000.0,0.3868,0.2325,ATVI
2018-12-31 00:00:00,7500000000.0,2517000000.0,4983000000.0,1101000000.0,1884000000.0,1988000000.0,,-111000000.0,71000000.0,1877000000.0,29000000.0,1848000000.0,1848000000.0,2.38,0.6644,0.2651,0.2503,0.2464,0.2212,2986000000.0,1988000000.0,2.3969,2.4253,2.4253,1848000000.0,1848000000.0,0.3981,0.2387,ATVI
2018-09-30 00:00:00,7160000000.0,2488000000.0,4672000000.0,1096000000.0,2047000000.0,1514000000.0,,-142000000.0,90000000.0,1372000000.0,794000000.0,578000000.0,578000000.0,0.76,0.6525,0.2115,0.1916,0.0807,0.249,2454000000.0,1514000000.0,0.7418,0.7499,0.7499,578000000.0,578000000.0,0.3427,0.2722,ATVI
2018-06-30 00:00:00,7266000000.0,2527000000.0,4739000000.0,1106000000.0,2112000000.0,1506000000.0,,-126000000.0,114000000.0,1380000000.0,874000000.0,506000000.0,506000000.0,0.67,0.6522,0.2073,0.1899,0.0696,0.263,2540000000.0,1506000000.0,0.65,0.6581,0.6581,506000000.0,506000000.0,0.3496,0.2856,ATVI
2018-03-31 00:00:00,7256000000.0,2578000000.0,4678000000.0,1103000000.0,2149000000.0,1411000000.0,,-146000000.0,134000000.0,1265000000.0,918000000.0,347000000.0,347000000.0,0.46,0.6447,0.1945,0.1743,0.0478,0.2985,2602000000.0,1411000000.0,0.446,0.4521,0.4521,347000000.0,347000000.0,0.3586,0.3213,ATVI
2017-12-31 00:00:00,7017000000.0,2501000000.0,4516000000.0,1069000000.0,2123000000.0,1309000000.0,,-158000000.0,146000000.0,1151000000.0,878000000.0,273000000.0,273000000.0,0.37,0.6436,0.1865,0.164,0.0389,0.2933,2508000000.0,1309000000.0,0.3564,0.3621,0.3621,273000000.0,273000000.0,0.3574,0.3154,ATVI
2017-09-30 00:00:00,6990000000.0,2474000000.0,4516000000.0,1035000000.0,1967000000.0,1514000000.0,,-249000000.0,157000000.0,1265000000.0,155000000.0,1110000000.0,1106000000.0,1.48,0.6461,0.2166,0.181,0.1582,0.2562,2709000000.0,1514000000.0,1.4561,1.4791,1.4791,1110000000.0,1110000000.0,0.3876,0.2738,ATVI
2017-06-30 00:00:00,6940000000.0,2451000000.0,4489000000.0,1011000000.0,1927000000.0,1551000000.0,,-275000000.0,183000000.0,1276000000.0,155000000.0,1121000000.0,1117000000.0,1.5,0.6468,0.2235,0.1839,0.161,0.27,2807000000.0,1551000000.0,1.4739,1.4983,1.4983,1121000000.0,1121000000.0,0.4045,0.2869,ATVI
2017-03-31 00:00:00,6879000000.0,2488000000.0,4391000000.0,1008000000.0,1939000000.0,1444000000.0,,-294000000.0,202000000.0,1150000000.0,121000000.0,1029000000.0,1025000000.0,1.35,0.6383,0.2099,0.1672,0.149,0.3051,2693000000.0,1444000000.0,1.3563,1.3803,1.3803,1029000000.0,1029000000.0,0.3915,0.324,ATVI
2016-12-31 00:00:00,6608000000.0,2394000000.0,4214000000.0,958000000.0,1844000000.0,1412000000.0,,-306000000.0,214000000.0,1106000000.0,140000000.0,966000000.0,962000000.0,1.23,0.6377,0.2137,0.1674,0.1456,0.3055,2583000000.0,1412000000.0,1.2811,1.3054,1.3054,966000000.0,966000000.0,0.3909,0.3261,ATVI
2016-09-30 00:00:00,5945000000.0,2156000000.0,3789000000.0,866000000.0,1687000000.0,1236000000.0,,-227000000.0,227000000.0,1009000000.0,137000000.0,872000000.0,863000000.0,1.11,0.6373,0.2079,0.1697,0.1452,0.3775,2222000000.0,1236000000.0,1.1561,1.1811,1.1811,872000000.0,872000000.0,0.3738,0.3968,ATVI
2016-06-30 00:00:00,5367000000.0,1964000000.0,3403000000.0,776000000.0,1489000000.0,1138000000.0,,-215000000.0,215000000.0,923000000.0,123000000.0,800000000.0,789000000.0,1.01,0.6341,0.212,0.172,0.147,0.3022,1923000000.0,1138000000.0,1.0648,1.0869,1.0869,800000000.0,800000000.0,0.3583,0.327,ATVI
2016-03-31 00:00:00,4841000000.0,1663000000.0,3178000000.0,676000000.0,1264000000.0,1238000000.0,,-200000000.0,200000000.0,1038000000.0,177000000.0,861000000.0,850000000.0,1.13,0.6565,0.2557,0.2144,0.1756,0.2623,1810000000.0,1238000000.0,1.1527,1.1742,1.1742,861000000.0,861000000.0,0.3739,0.2865,ATVI
2015-12-31 00:00:00,4664000000.0,1585000000.0,3079000000.0,646000000.0,1114000000.0,1319000000.0,,-198000000.0,198000000.0,1121000000.0,229000000.0,892000000.0,881000000.0,1.22,0.6602,0.2828,0.2404,0.1889,0.2461,1820000000.0,1319000000.0,1.2071,1.2253,1.2253,892000000.0,892000000.0,0.3902,0.2699,ATVI
2015-09-30 00:00:00,4886000000.0,1677000000.0,3209000000.0,638000000.0,1063000000.0,1508000000.0,,-201000000.0,,1307000000.0,213000000.0,1094000000.0,1078000000.0,1.49,0.6568,0.3086,0.2675,0.2206,0.2698,2037000000.0,1508000000.0,1.4931,1.5107,1.5107,1094000000.0,1094000000.0,0.4169,0.2927,ATVI
2015-06-30 00:00:00,4649000000.0,1593000000.0,3056000000.0,610000000.0,1126000000.0,1320000000.0,,-201000000.0,,1119000000.0,175000000.0,944000000.0,930000000.0,1.29,0.6573,0.2839,0.2407,0.2,0.288,1804000000.0,1320000000.0,1.2892,1.3047,1.3047,944000000.0,944000000.0,0.388,0.3082,ATVI
2015-03-31 00:00:00,4575000000.0,1596000000.0,2979000000.0,573000000.0,1108000000.0,1298000000.0,,-201000000.0,,1097000000.0,161000000.0,936000000.0,918000000.0,1.28,0.6511,0.2837,0.2398,0.2007,0.287,1743000000.0,1298000000.0,1.2822,1.298,1.298,936000000.0,936000000.0,0.381,0.3069,ATVI
2014-12-31 00:00:00,4408000000.0,1525000000.0,2883000000.0,571000000.0,1129000000.0,1183000000.0,,-202000000.0,,981000000.0,146000000.0,835000000.0,817000000.0,1.14,0.654,0.2684,0.2225,0.1853,0.2777,1536000000.0,1183000000.0,1.1501,1.1663,1.1663,835000000.0,835000000.0,0.3485,0.302,ATVI
2014-09-30 00:00:00,4352000000.0,1550000000.0,2802000000.0,582000000.0,1190000000.0,1030000000.0,,-203000000.0,,827000000.0,179000000.0,648000000.0,627000000.0,0.88,0.6438,0.2367,0.19,0.1441,0.2001,1259000000.0,1030000000.0,0.8881,0.9031,0.9031,648000000.0,648000000.0,0.2893,0.2245,ATVI
2014-06-30 00:00:00,4290000000.0,1472000000.0,2818000000.0,591000000.0,1135000000.0,1092000000.0,,-156000000.0,,936000000.0,209000000.0,727000000.0,706000000.0,0.96,0.6569,0.2545,0.2182,0.1646,0.2266,1373000000.0,1092000000.0,0.9695,0.985,0.985,727000000.0,727000000.0,0.32,0.2499,ATVI
2014-03-31 00:00:00,4370000000.0,1457000000.0,2913000000.0,602000000.0,1099000000.0,1212000000.0,,-104000000.0,,1106000000.0,259000000.0,847000000.0,824000000.0,0.96,0.6666,0.2773,0.2531,0.1886,0.2245,1493000000.0,1212000000.0,0.9756,0.9899,0.9899,847000000.0,847000000.0,0.3416,0.246,ATVI
2013-12-31 00:00:00,4583000000.0,1531000000.0,3052000000.0,584000000.0,1096000000.0,1372000000.0,,-50000000.0,,1319000000.0,309000000.0,1010000000.0,987000000.0,0.96,0.6659,0.2994,0.2878,0.2154,0.2597,1688000000.0,1372000000.0,0.9758,0.9863,0.9863,1010000000.0,1010000000.0,0.3683,0.2758,ATVI
2013-09-30 00:00:00,4833000000.0,1560000000.0,3273000000.0,608000000.0,1094000000.0,1571000000.0,,2000000.0,,1572000000.0,382000000.0,1190000000.0,1176000000.0,1.05,0.6772,0.3251,0.3253,0.2433,0.2638,1991000000.0,1571000000.0,1.0622,1.0692,1.0692,1190000000.0,1190000000.0,0.412,0.2814,ATVI
2013-06-30 00:00:00,4983000000.0,1622000000.0,3361000000.0,593000000.0,1040000000.0,1728000000.0,,,,1734000000.0,374000000.0,1360000000.0,1341000000.0,1.2,0.6745,0.3468,0.348,0.2691,0.2912,2082000000.0,1728000000.0,1.2157,1.2231,1.2231,1360000000.0,1360000000.0,0.4178,0.3078,ATVI
2013-03-31 00:00:00,5008000000.0,1714000000.0,3294000000.0,615000000.0,1154000000.0,1525000000.0,,8000000.0,,1533000000.0,312000000.0,1221000000.0,1204000000.0,1.08,0.6577,0.3045,0.3061,0.2404,0.2867,1907000000.0,1525000000.0,1.0941,1.1001,1.1001,1221000000.0,1221000000.0,0.3808,0.3029,ATVI
2012-12-31 00:00:00,4856000000.0,1662000000.0,3194000000.0,604000000.0,1139000000.0,1451000000.0,,7000000.0,,1458000000.0,309000000.0,1149000000.0,1125000000.0,1.02,0.6577,0.2988,0.3002,0.2317,0.2619,1779000000.0,1451000000.0,1.0277,1.0333,1.0333,1149000000.0,1149000000.0,0.3664,0.277,ATVI
