Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,2561966000.0,901023000.0,1623949300.0,69804000.0,508178100.0,12863000.0,,1242834000.0,12262000.0,1230572000.0,1228376000.0,8.78,0.6339,0.1984,0.4851,0.4795,0.214,1355307200.0,508178100.0,8.7932,,8.8169,,8.8169,1230572000.0,,1228257000.0,0.529,0.5355,AVB
2022-06-30 00:00:00,2469039000.0,881388000.0,1559070300.0,72506000.0,444620100.0,24950000.0,227021000.0,823577000.0,8790000.0,814787000.0,813271000.0,5.81,0.6314,0.1801,0.3336,0.3294,0.0223,1277021300.0,444620100.0,5.8239,,5.8404,,5.8404,814787000.0,,813200000.0,0.5172,0.5162,AVB
2022-03-31 00:00:00,2380175000.0,866532000.0,1491110300.0,69680000.0,397720100.0,381922000.0,224328000.0,1133157000.0,8959000.0,1124198000.0,1122780000.0,8.03,0.6265,0.1671,0.4761,0.4717,0.2145,1212253200.0,397720100.0,8.0415,,8.0622,,8.0622,1124198000.0,,1122858000.0,0.5093,0.5112,AVB
2021-12-31 00:00:00,2304796000.0,853942000.0,1440908300.0,69611000.0,371268100.0,433709000.0,220415000.0,1010089000.0,5733000.0,1004356000.0,1003482000.0,7.18,0.6252,0.1611,0.4383,0.4354,0.2055,1165512200.0,371268100.0,7.1884,,7.2054,,7.2054,1004356000.0,,1003539000.0,0.5057,0.522,AVB
2021-09-30 00:00:00,2250017900.0,855415000.0,1393421900.0,66595000.0,343372900.0,679616000.0,216293000.0,1009428000.0,-744000.0,1010172000.0,1010058000.0,7.23,0.6193,0.1526,0.4486,0.4489,0.3927,1117178900.0,343373000.0,7.227,,7.2427,,7.2427,1010172000.0,,1010012000.0,0.4965,0.5197,AVB
2021-06-30 00:00:00,2235466900.0,847222000.0,1388244900.0,63267000.0,380549900.0,695542000.0,213555000.0,1076092000.0,-2950000.0,1079042000.0,1079007000.0,7.72,0.621,0.1702,0.4814,0.4827,0.5306,1134183900.0,380550000.0,7.7134,,7.7301,,7.7301,1079042000.0,,1079042000.0,0.5074,0.5186,AVB
2021-03-31 00:00:00,2250128900.0,832927000.0,1417201900.0,60375000.0,424323900.0,373517000.0,210850000.0,797841000.0,-4093000.0,801934000.0,801882000.0,5.72,0.6298,0.1886,0.3546,0.3564,0.4094,1168208000.0,424324000.0,5.7197,,5.7325,,5.7325,801934000.0,,801934000.0,0.5192,0.5369,AVB
2020-12-31 00:00:00,2301260900.0,823102000.0,1478158900.0,60343000.0,474601900.0,349857000.0,214151000.0,824459000.0,-3247000.0,827706000.0,827630000.0,5.89,0.6423,0.2062,0.3583,0.3596,0.373,1212870000.0,474602000.0,5.8939,,5.9082,,5.9082,827706000.0,,827706000.0,0.527,0.53,AVB
2020-09-30 00:00:00,2339642000.0,800973000.0,1538669000.0,59480000.0,545514000.0,109505000.0,216752000.0,655019000.0,756000.0,654263000.0,654152000.0,4.65,0.6577,0.2332,0.28,0.2796,0.1511,1278182100.0,545514000.0,4.6573,,4.6705,,4.6705,654263000.0,,654263000.0,0.5463,0.5424,AVB
2020-06-30 00:00:00,2359851000.0,785949000.0,1573902000.0,58264000.0,593798000.0,204424000.0,,798222000.0,11967000.0,786255000.0,786126000.0,5.6,0.6669,0.2516,0.3383,0.3331,0.1703,1317695100.0,593798000.0,5.6067,,5.6248,,5.6248,786255000.0,,786255000.0,0.5584,0.5564,AVB
