Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-07-31 00:00:00,31680000000.0,12514000000.0,19166000000.0,4922000000.0,1349000000.0,12820000000.0,1742000000.0,43000000.0,1765000000.0,10983000000.0,858000000.0,10125000000.0,9826000000.0,22.94,0.605,0.4047,0.3467,0.3102,0.4832,18181000000.0,12820000000.0,22.9467,,24.7668,,24.0375,10125000000.0,,10125000000.0,0.5739,0.4954,AVGO
2022-04-30 00:00:00,29994000000.0,12447000000.0,17547000000.0,4872000000.0,1372000000.0,11209000000.0,1751000000.0,71000000.0,1774000000.0,9372000000.0,445000000.0,8927000000.0,8629000000.0,20.17,0.585,0.3737,0.3125,0.2877,0.481,16875000000.0,11209000000.0,20.1709,,21.7412,,21.0119,8927000000.0,,8927000000.0,0.5626,0.4938,AVGO
2022-01-31 00:00:00,28501000000.0,11939000000.0,16562000000.0,4849000000.0,1329000000.0,9790000000.0,1699000000.0,-351000000.0,1722000000.0,8068000000.0,238000000.0,7830000000.0,7531000000.0,17.7,0.5811,0.3435,0.2831,0.2642,0.4811,15677000000.0,9790000000.0,17.5426,,19.0436,,18.3143,7830000000.0,,7830000000.0,0.5501,0.496,AVGO
2021-10-31 00:00:00,27450000000.0,11590000000.0,15860000000.0,4854000000.0,1347000000.0,8519000000.0,1862000000.0,-809000000.0,1885000000.0,6765000000.0,29000000.0,6736000000.0,6437000000.0,15.31,0.5778,0.3103,0.2464,0.2345,0.4854,14633000000.0,8519000000.0,15.0,,16.4293,,15.7,6736000000.0,,6736000000.0,0.5331,0.5014,AVGO
2021-07-31 00:00:00,26510000000.0,11050000000.0,15460000000.0,4836000000.0,1415000000.0,7464000000.0,1871000000.0,-1289000000.0,1871000000.0,5733000000.0,-338000000.0,6071000000.0,5773000000.0,13.95,0.5832,0.2816,0.2163,0.2178,0.4948,13759000000.0,7464000000.0,14.0328,,14.8853,,14.6906,6071000000.0,,6071000000.0,0.519,0.5119,AVGO
2021-04-30 00:00:00,25553000000.0,10481000000.0,15072000000.0,4859000000.0,1497000000.0,6346000000.0,1920000000.0,-1746000000.0,1920000000.0,4600000000.0,-284000000.0,4884000000.0,4585000000.0,11.27,0.5898,0.2483,0.18,0.1794,0.4999,12830000000.0,6346000000.0,11.1198,,12.028,,11.6561,4884000000.0,,4883000000.0,0.5021,0.5169,AVGO
2021-01-31 00:00:00,24685000000.0,10481000000.0,14204000000.0,4890000000.0,1673000000.0,5137000000.0,1941000000.0,-1614000000.0,1941000000.0,3523000000.0,-436000000.0,3959000000.0,3656000000.0,9.03,0.5754,0.2081,0.1427,0.1481,0.5021,11847000000.0,5137000000.0,8.8196,,9.7816,,9.2357,3959000000.0,,3953000000.0,0.4799,0.5206,AVGO
2020-10-31 00:00:00,23888000000.0,10372000000.0,13516000000.0,4968000000.0,1935000000.0,4014000000.0,1777000000.0,-1571000000.0,1777000000.0,2443000000.0,-518000000.0,2961000000.0,2663000000.0,6.61,0.5658,0.168,0.1023,0.1115,0.486,10919000000.0,4014000000.0,6.33,-0.0024,7.3632,-0.0025,6.62,2961000000.0,,2960000000.0,0.4571,0.5049,AVGO
2020-07-31 00:00:00,23197000000.0,10276000000.0,12921000000.0,4963000000.0,1939000000.0,3542000000.0,,-1489000000.0,1718000000.0,2053000000.0,-431000000.0,2484000000.0,2231000000.0,5.58,0.557,0.1527,0.0885,0.0962,0.4635,10171000000.0,3542000000.0,5.33,-0.0053,6.2111,0.0,5.58,2484000000.0,-1000000.0,2483000000.0,0.4385,0.4825,AVGO
2020-04-30 00:00:00,22891000000.0,10252000000.0,12639000000.0,4970000000.0,1921000000.0,3399000000.0,,-1395000000.0,1616000000.0,2004000000.0,-506000000.0,2510000000.0,2332000000.0,5.86,0.5521,0.1485,0.0875,0.1019,0.4393,9759000000.0,3399000000.0,5.58,0.0,6.3004,0.0,5.85,2510000000.0,0.0,2510000000.0,0.4263,0.4558,AVGO
2020-01-31 00:00:00,22666000000.0,10127000000.0,12539000000.0,4852000000.0,1839000000.0,3603000000.0,,-1351000000.0,1505000000.0,2252000000.0,-383000000.0,2635000000.0,2535000000.0,6.38,0.5532,0.159,0.0994,0.1118,0.4206,9680000000.0,3603000000.0,6.04,-0.02,6.637,-0.02,6.37,2635000000.0,3000000.0,2638000000.0,0.4271,0.4362,AVGO
2019-10-31 00:00:00,22597000000.0,10114000000.0,12483000000.0,4696000000.0,1709000000.0,3444000000.0,,-1218000000.0,1444000000.0,2226000000.0,-510000000.0,2736000000.0,2695000000.0,6.77,0.5524,0.1524,0.0985,0.1193,0.4139,9252000000.0,3444000000.0,6.46,-0.0177,6.8443,-0.0277,6.8,2736000000.0,-12000000.0,2724000000.0,0.4094,0.4291,AVGO
2019-07-31 00:00:00,22265000000.0,9999000000.0,12266000000.0,4467000000.0,1537000000.0,4042000000.0,,-1141000000.0,1231000000.0,2901000000.0,-103000000.0,3004000000.0,2992000000.0,7.42,0.5509,0.1815,0.1303,0.1344,0.4264,9366000000.0,4042000000.0,7.27,,7.2162,,7.27,3004000000.0,-13000000.0,2992000000.0,0.4207,0.4425,AVGO
2019-04-30 00:00:00,21813000000.0,9962000000.0,11851000000.0,4191000000.0,1361000000.0,4516000000.0,,-930000000.0,1018000000.0,3586000000.0,100000000.0,3486000000.0,3473000000.0,8.4,0.5433,0.207,0.1644,0.1592,0.4232,9355000000.0,4516000000.0,8.27,-0.0247,8.2011,-0.04,8.25,3486000000.0,-16000000.0,3473000000.0,0.4289,0.4438,AVGO
2019-01-31 00:00:00,21310000000.0,9997000000.0,11313000000.0,3976000000.0,1236000000.0,4747000000.0,,-719000000.0,790000000.0,4028000000.0,-2501000000.0,6529000000.0,6500000000.0,15.49,0.5309,0.2228,0.189,0.305,0.4137,9103000000.0,4747000000.0,14.97,-0.03,15.3275,-0.04,15.34,6529000000.0,-29000000.0,6515000000.0,0.4272,0.4377,AVGO
2018-10-31 00:00:00,20848000000.0,10115000000.0,10733000000.0,3768000000.0,1056000000.0,5135000000.0,,-590000000.0,628000000.0,4545000000.0,-8084000000.0,12629000000.0,12259000000.0,29.52,0.5148,0.2463,0.218,0.588,0.4069,9216000000.0,5135000000.0,28.48,-0.04,30.1675,-0.04,29.37,12629000000.0,,12610000000.0,0.4421,0.4259,AVGO
2018-07-31 00:00:00,20248000000.0,10067000000.0,10181000000.0,3658000000.0,1003000000.0,4226000000.0,,-458000000.0,599000000.0,3768000000.0,-8302000000.0,12070000000.0,11676000000.0,28.37,0.5028,0.2087,0.1861,0.5766,0.401,8539000000.0,4226000000.0,26.96,-0.0378,29.0393,-0.0223,28.14,12070000000.0,-14000000.0,12056000000.0,0.4217,0.4052,AVGO
2018-04-30 00:00:00,19648000000.0,9937000000.0,9711000000.0,3526000000.0,969000000.0,3535000000.0,,-448000000.0,562000000.0,3087000000.0,-8295000000.0,11382000000.0,10961000000.0,26.77,0.4942,0.1799,0.1571,0.5579,0.3764,8099000000.0,3535000000.0,25.39,-0.04,27.5036,-0.03,26.55,11382000000.0,-15000000.0,11367000000.0,0.4122,0.3875,AVGO
2018-01-31 00:00:00,18824000000.0,9688000000.0,9136000000.0,3419000000.0,879000000.0,2808000000.0,,-455000000.0,526000000.0,2353000000.0,-5761000000.0,8114000000.0,7683000000.0,19.03,0.4853,0.1492,0.125,0.4081,0.3505,7607000000.0,2808000000.0,18.11,-0.04,19.788,-0.03,18.81,8114000000.0,-16000000.0,8098000000.0,0.4041,0.3657,AVGO
2017-10-31 00:00:00,17636000000.0,9127000000.0,8509000000.0,3302000000.0,789000000.0,2371000000.0,,-546000000.0,454000000.0,1825000000.0,35000000.0,1790000000.0,1692000000.0,4.43,0.4825,0.1344,0.1035,0.0959,0.3358,7108000000.0,2371000000.0,4.03,-0.01,4.405,-0.01,4.19,1790000000.0,-6000000.0,1784000000.0,0.403,0.3715,AVGO
2017-07-31 00:00:00,16928000000.0,8631000000.0,8297000000.0,3270000000.0,829000000.0,2009000000.0,,-594000000.0,441000000.0,1415000000.0,787000000.0,628000000.0,528000000.0,1.28,0.4901,0.1187,0.0836,0.0312,0.2904,6255000000.0,2009000000.0,0.56,-0.1945,0.58,-0.2,0.73,628000000.0,-73000000.0,555000000.0,0.3695,0.3511,AVGO
2017-04-30 00:00:00,16257000000.0,8327000000.0,7930000000.0,3257000000.0,859000000.0,1097000000.0,,-650000000.0,468000000.0,447000000.0,631000000.0,-184000000.0,-251000000.0,-0.65,0.4878,0.0675,0.0275,-0.0154,0.2614,5195000000.0,1097000000.0,-1.3,-0.22,-1.4612,-0.22,-1.18,-184000000.0,-83000000.0,-267000000.0,0.3196,0.323,AVGO
