Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,3812000000.0,2292000000.0,1520000000.0,1935000000.0,1232000000.0,420000000.0,869000000.0,43000000.0,1724000000.0,406000000.0,1318000000.0,1318000000.0,7.24,0.3987,0.3232,0.4523,0.3458,0.0262,1877000000.0,1232000000.0,7.2418,,7.2377,,7.2377,1318000000.0,,1318000000.0,0.4924,0.3085,AWK
2022-06-30 00:00:00,3822000000.0,2309000000.0,1513000000.0,1970000000.0,1210000000.0,410000000.0,868000000.0,130000000.0,1697000000.0,398000000.0,1299000000.0,1299000000.0,7.14,0.3959,0.3166,0.444,0.3399,0.0497,1852000000.0,1210000000.0,7.1374,,7.1333,,7.1333,1299000000.0,,1299000000.0,0.4846,0.2923,AWK
2022-03-31 00:00:00,3884000000.0,2359000000.0,2114000000.0,2034000000.0,1213000000.0,405000000.0,752000000.0,219000000.0,1678000000.0,390000000.0,1288000000.0,1288000000.0,7.08,0.5443,0.3123,0.432,0.3316,0.1674,1850000000.0,1213000000.0,7.077,,7.0729,,7.0729,1288000000.0,,1288000000.0,0.4763,0.3646,AWK
2021-12-31 00:00:00,3930000000.0,2413000000.0,2682000000.0,2098000000.0,1196000000.0,403000000.0,644000000.0,304000000.0,1640000000.0,377000000.0,1263000000.0,1263000000.0,6.94,0.6824,0.3043,0.4173,0.3214,0.0379,1832000000.0,1196000000.0,6.9397,,6.9396,,6.9396,1263000000.0,,1263000000.0,0.4662,0.3667,AWK
2021-09-30 00:00:00,3902000000.0,2344000000.0,3305000000.0,2034000000.0,1239000000.0,399000000.0,-211000000.0,401000000.0,927000000.0,164000000.0,763000000.0,763000000.0,4.2,0.847,0.3175,0.2376,0.1955,-0.063,1868000000.0,1239000000.0,4.1833,,4.2008,,4.2008,763000000.0,,763000000.0,0.4787,0.376,AWK
2021-06-30 00:00:00,3889000000.0,2320000000.0,3889000000.0,2012000000.0,1255000000.0,397000000.0,-316000000.0,399000000.0,939000000.0,190000000.0,749000000.0,749000000.0,4.13,1.0,0.3227,0.2415,0.1926,-0.0743,1877000000.0,1255000000.0,4.1063,,4.1319,,4.1319,749000000.0,,749000000.0,0.4826,0.3638,AWK
2021-03-31 00:00:00,3821000000.0,2274000000.0,3821000000.0,1967000000.0,1238000000.0,397000000.0,-318000000.0,399000000.0,920000000.0,202000000.0,718000000.0,718000000.0,3.96,1.0,0.324,0.2408,0.1879,-0.0866,1854000000.0,1238000000.0,3.9413,,3.9669,,3.9669,718000000.0,,718000000.0,0.4852,0.3729,AWK
2020-12-31 00:00:00,3777000000.0,2226000000.0,3777000000.0,1925000000.0,1248000000.0,395000000.0,-324000000.0,397000000.0,924000000.0,215000000.0,709000000.0,709000000.0,3.92,1.0,0.3304,0.2446,0.1877,-0.1043,1852000000.0,1248000000.0,3.8956,,3.9172,,3.9172,709000000.0,,709000000.0,0.4903,0.3775,AWK
2020-09-30 00:00:00,3756000000.0,2208000000.0,3756000000.0,1901000000.0,1253000000.0,394000000.0,-374000000.0,398000000.0,879000000.0,217000000.0,662000000.0,662000000.0,3.66,1.0,0.3336,0.234,0.1763,-0.1049,1856000000.0,1253000000.0,3.6494,,3.6575,,3.6575,662000000.0,,662000000.0,0.4941,0.3797,AWK
2020-06-30 00:00:00,3690000000.0,,3690000000.0,1872000000.0,1226000000.0,,-381000000.0,396000000.0,845000000.0,207000000.0,638000000.0,638000000.0,3.53,1.0,0.3322,0.229,0.1729,-0.0932,1819000000.0,1226000000.0,3.5249,,3.5249,,3.5249,638000000.0,,638000000.0,0.493,0.3886,AWK
