Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,52683000000.0,1848000000.0,50831000000.0,40811000000.0,10020000000.0,10020000000.0,2359000000.0,7661000000.0,7533000000.0,9.95,0.9648,0.0,0.1902,0.143,0.3008,10.149,10.1625,10.1625,7661000000.0,7605000000.0,0.0,0.3352,AXP
2022-06-30 00:00:00,49566000000.0,1359000000.0,48203000000.0,38192000000.0,10011000000.0,10011000000.0,2403000000.0,7608000000.0,7465000000.0,9.75,0.9725,0.0,0.202,0.1506,0.3123,9.9605,9.9737,9.9737,7608000000.0,7543000000.0,0.0,0.3495,AXP
2022-03-31 00:00:00,46293000000.0,1242000000.0,45051000000.0,34643000000.0,10408000000.0,10408000000.0,2484000000.0,7924000000.0,7780000000.0,9.99,0.9732,0.0,0.2248,0.1681,0.3147,10.1952,10.2084,10.2084,7924000000.0,7874000000.0,0.0,0.3509,AXP
2021-12-31 00:00:00,43663000000.0,1283000000.0,42380000000.0,31691000000.0,10689000000.0,10689000000.0,2629000000.0,8060000000.0,7917000000.0,10.0,0.9706,0.0,0.2448,0.1813,0.2999,10.2025,10.2155,10.2155,8060000000.0,8026000000.0,0.0,0.3354,AXP
2021-09-30 00:00:00,40967000000.0,1381000000.0,39586000000.0,29345000000.0,10241000000.0,10241000000.0,2462000000.0,7779000000.0,7653000000.0,9.58,0.9663,0.0,0.25,0.1868,0.2837,9.7227,9.7349,9.7349,7779000000.0,7756000000.0,0.0,0.3207,AXP
2021-06-30 00:00:00,38933000000.0,1524000000.0,37409000000.0,28254000000.0,9155000000.0,9155000000.0,2129000000.0,7026000000.0,6920000000.0,8.62,0.9609,0.0,0.2351,0.1777,0.2504,8.7354,8.7463,8.7463,7026000000.0,7026000000.0,0.0,0.2863,AXP
2021-03-31 00:00:00,36585000000.0,1744000000.0,34841000000.0,28004000000.0,6837000000.0,6837000000.0,1834000000.0,5003000000.0,4909000000.0,6.1,0.9523,0.0,0.1869,0.1342,0.2358,6.2118,6.2196,6.2196,5003000000.0,5003000000.0,0.0,0.2758,AXP
2020-12-31 00:00:00,38185000000.0,2098000000.0,36087000000.0,31791000000.0,4296000000.0,4296000000.0,1161000000.0,3135000000.0,3036000000.0,3.77,0.9451,0.0,0.1125,0.0795,0.1077,3.8896,3.8945,3.8945,3135000000.0,3135000000.0,0.0,0.1464,AXP
2020-09-30 00:00:00,40610000000.0,2509000000.0,38101000000.0,33677000000.0,4424000000.0,4424000000.0,1034000000.0,3390000000.0,3282000000.0,4.05,0.9382,0.0,0.1089,0.0808,0.0939,4.1825,4.1903,4.1903,3390000000.0,3390000000.0,0.0,0.1302,AXP
2020-06-30 00:00:00,43275000000.0,2936000000.0,40339000000.0,35013000000.0,5326000000.0,5326000000.0,1254000000.0,4072000000.0,3955000000.0,4.83,0.9322,0.0,0.1231,0.0914,0.0132,4.9717,4.983,4.983,4072000000.0,4072000000.0,0.0,0.0477,AXP
2020-03-31 00:00:00,46787000000.0,3285000000.0,43502000000.0,36579000000.0,6923000000.0,6923000000.0,1347000000.0,5576000000.0,5446000000.0,6.61,0.9298,0.0,0.148,0.1164,0.0264,6.7589,6.7748,6.7748,5576000000.0,5576000000.0,0.0,0.0613,AXP
2019-12-31 00:00:00,47020000000.0,3464000000.0,43556000000.0,35127000000.0,8429000000.0,8429000000.0,1670000000.0,6759000000.0,6631000000.0,8.01,0.9263,0.0,0.1793,0.141,0.2549,8.1434,8.163,8.163,6759000000.0,6759000000.0,0.0,0.2899,AXP
2019-09-30 00:00:00,46162000000.0,3497000000.0,42665000000.0,34391000000.0,8274000000.0,8274000000.0,1198000000.0,7076000000.0,6945000000.0,8.3,0.9242,0.0,0.1792,0.1504,0.1631,8.4205,8.4499,8.4499,7076000000.0,7076000000.0,0.0,0.199,AXP
2019-06-30 00:00:00,45217000000.0,3397000000.0,41820000000.0,33694000000.0,8126000000.0,8126000000.0,1151000000.0,6975000000.0,6843000000.0,8.1,0.9249,0.0,0.1797,0.1513,0.3029,8.2217,8.2503,8.2503,6975000000.0,6975000000.0,0.0,0.3386,AXP
2019-03-31 00:00:00,44201000000.0,3217000000.0,40984000000.0,32986000000.0,7998000000.0,7998000000.0,1161000000.0,6837000000.0,6705000000.0,7.88,0.9272,0.0,0.1809,0.1517,0.3166,7.998,8.026,8.026,6837000000.0,6837000000.0,0.0,0.3487,AXP
2018-12-31 00:00:00,43281000000.0,2943000000.0,40338000000.0,32216000000.0,8122000000.0,8122000000.0,1201000000.0,6921000000.0,6787000000.0,7.93,0.932,0.0,0.1877,0.1568,0.1761,8.0571,8.0852,8.0852,6921000000.0,6921000000.0,0.0,0.2063,AXP
2018-09-30 00:00:00,42260000000.0,2689000000.0,39571000000.0,31482000000.0,8089000000.0,8089000000.0,4384000000.0,3705000000.0,3597000000.0,4.19,0.9364,0.0,0.1914,0.0851,0.3318,4.3725,4.3797,4.3797,3705000000.0,3705000000.0,0.0,0.3583,AXP
