Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,19408000000.0,10537000000.0,8871000000.0,1287000000.0,4786000000.0,2496000000.0,402000000.0,250000000.0,16000000.0,1990000000.0,181000000.0,1809000000.0,1719000000.0,5.88,0.4571,0.1286,0.1025,0.0886,0.0855,4997000000.0,2496000000.0,6.1414,,6.2391,,6.1897,1808000000.0,,1808000000.0,0.2575,0.1357,BDX
2022-06-30 00:00:00,19782000000.0,10685000000.0,9097000000.0,1374000000.0,4936000000.0,2637000000.0,409000000.0,662000000.0,11000000.0,1935000000.0,149000000.0,1905000000.0,1696000000.0,5.8,0.4599,0.1333,0.0978,0.0857,0.0741,5027000000.0,2637000000.0,6.6231,0.35,6.1704,0.36,6.6825,1904000000.0,97000000.0,1786000000.0,0.2541,0.1321,BDX
2022-03-31 00:00:00,19748000000.0,10760000000.0,8988000000.0,1389000000.0,4987000000.0,2592000000.0,425000000.0,491000000.0,121000000.0,1892000000.0,90000000.0,1921000000.0,1830000000.0,6.35,0.4551,0.1313,0.0958,0.0927,0.0752,4917000000.0,2592000000.0,6.6631,,6.7225,,6.7225,1921000000.0,,1921000000.0,0.249,0.1333,BDX
2021-12-31 00:00:00,19644000000.0,10715000000.0,8929000000.0,1363000000.0,4903000000.0,2372000000.0,448000000.0,239000000.0,243000000.0,1672000000.0,25000000.0,1766000000.0,1676000000.0,5.8,0.4545,0.1207,0.0851,0.0853,0.1121,4621000000.0,2372000000.0,6.1015,,6.1581,,6.1581,1766000000.0,,1766000000.0,0.2352,0.1718,BDX
2021-09-30 00:00:00,19964000000.0,10726000000.0,9238000000.0,1325000000.0,4829000000.0,2798000000.0,468000000.0,86000000.0,359000000.0,2106000000.0,133000000.0,2092000000.0,2002000000.0,6.9,0.4627,0.1402,0.1055,0.1003,0.1505,4990000000.0,2798000000.0,7.1622,,7.2316,,7.2316,2092000000.0,,2092000000.0,0.2499,0.2122,BDX
2021-06-30 00:00:00,19613000000.0,10471000000.0,9142000000.0,1238000000.0,4696000000.0,2422000000.0,480000000.0,-438000000.0,480000000.0,1983000000.0,147000000.0,1836000000.0,1865000000.0,6.42,0.4661,0.1235,0.1011,0.0951,0.1943,4623000000.0,2422000000.0,6.1796,2.23,6.714,2.27,6.2344,1837000000.0,482000000.0,1954000000.0,0.2357,0.243,BDX
2021-03-31 00:00:00,18861000000.0,10017000000.0,8844000000.0,1170000000.0,4476000000.0,2289000000.0,500000000.0,-434000000.0,500000000.0,1853000000.0,137000000.0,1716000000.0,1640000000.0,5.67,0.4689,0.1214,0.0982,0.087,0.22,4489000000.0,2289000000.0,5.8626,,5.9135,,5.9172,1716000000.0,,1715000000.0,0.238,0.2685,BDX
2020-12-31 00:00:00,18207000000.0,9876000000.0,8331000000.0,1117000000.0,4353000000.0,2225000000.0,510000000.0,-474000000.0,510000000.0,1748000000.0,148000000.0,1600000000.0,1508000000.0,5.25,0.4576,0.1222,0.096,0.0828,0.1909,4404000000.0,2225000000.0,5.5094,,5.5591,,5.5628,1600000000.0,,1599000000.0,0.2419,0.2394,BDX
2020-09-30 00:00:00,17117000000.0,9540000000.0,7577000000.0,1096000000.0,4325000000.0,1484000000.0,528000000.0,-498000000.0,528000000.0,985000000.0,111000000.0,874000000.0,767000000.0,2.75,0.4427,0.0867,0.0575,0.0448,0.1594,3638000000.0,1484000000.0,3.0949,,3.1329,,3.133,874000000.0,,874000000.0,0.2125,0.2068,BDX
2020-06-30 00:00:00,16918000000.0,9280000000.0,7638000000.0,1066000000.0,4220000000.0,1341000000.0,,-501000000.0,546000000.0,841000000.0,-68000000.0,909000000.0,787000000.0,2.8,0.4515,0.0793,0.0497,0.0465,0.1462,3495000000.0,1341000000.0,3.2609,,3.3092,,3.3056,909000000.0,,910000000.0,0.2066,0.2027,BDX
