Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,17999000000.0,1525000000.0,16474000000.0,12016000000.0,3708000000.0,648000000.0,3708000000.0,822000000.0,2886000000.0,2675000000.0,3.29,0.9153,0.0,0.206,0.1486,0.7753,3.5414,3.5597,3.5597,2886000000.0,2886000000.0,0.0,0.8485,BK
2022-06-30 00:00:00,16749000000.0,519000000.0,16230000000.0,11918000000.0,4240000000.0,,4240000000.0,799000000.0,3441000000.0,3237000000.0,3.94,0.969,0.0,0.2531,0.1933,0.599,4.1757,4.1987,4.1987,3441000000.0,3441000000.0,0.0,0.6927,BK
2022-03-31 00:00:00,16160000000.0,224000000.0,15936000000.0,11448000000.0,4413000000.0,,4413000000.0,809000000.0,3604000000.0,3393000000.0,4.05,0.9861,0.0,0.2731,0.21,0.5108,4.2895,4.3144,4.3144,3604000000.0,3604000000.0,0.0,0.5842,BK
2021-12-31 00:00:00,16158000000.0,227000000.0,15931000000.0,11201000000.0,4648000000.0,,4648000000.0,877000000.0,3771000000.0,3552000000.0,4.16,0.986,0.0,0.2877,0.2198,0.1025,4.402,4.4253,4.4253,3771000000.0,3771000000.0,0.0,0.1756,BK
2021-09-30 00:00:00,16030000000.0,271000000.0,15759000000.0,11184000000.0,4486000000.0,,4486000000.0,829000000.0,3657000000.0,3432000000.0,3.94,0.9831,0.0,0.2799,0.2141,-0.1391,4.1854,4.2028,4.2028,3657000000.0,3657000000.0,0.0,-0.0721,BK
2021-06-30 00:00:00,15907000000.0,336000000.0,15571000000.0,10994000000.0,4481000000.0,,4481000000.0,823000000.0,3658000000.0,3427000000.0,3.88,0.9789,0.0,0.2817,0.2154,-0.0923,4.1341,4.1469,4.1469,3658000000.0,3658000000.0,0.0,-0.0272,BK
2021-03-31 00:00:00,16080000000.0,459000000.0,15621000000.0,11125000000.0,4394000000.0,,4394000000.0,798000000.0,3596000000.0,3337000000.0,3.75,0.9715,0.0,0.2733,0.2075,0.1475,4.0419,4.0512,4.0512,3596000000.0,3596000000.0,0.0,0.2207,BK
2020-12-31 00:00:00,16940000000.0,1132000000.0,15808000000.0,11236000000.0,4468000000.0,,4468000000.0,842000000.0,3626000000.0,3423000000.0,3.83,0.9332,0.0,0.2638,0.2021,0.2253,4.0624,4.0711,4.0711,3626000000.0,3626000000.0,0.0,0.2974,BK
2020-09-30 00:00:00,18685000000.0,1942000000.0,16743000000.0,11250000000.0,5387000000.0,,5387000000.0,1067000000.0,4320000000.0,4106000000.0,4.56,0.8961,0.0,0.2883,0.2197,0.1273,4.7999,4.8127,4.8127,4320000000.0,4320000000.0,0.0,0.1837,BK
2020-06-30 00:00:00,19794000000.0,3037000000.0,16757000000.0,11130000000.0,5517000000.0,,5517000000.0,1100000000.0,4417000000.0,4229000000.0,4.65,0.8466,0.0,0.2787,0.2137,0.3344,4.8531,4.8668,4.8668,4417000000.0,4417000000.0,0.0,0.3908,BK
2020-03-31 00:00:00,20708000000.0,4037000000.0,16671000000.0,10936000000.0,5621000000.0,,5621000000.0,1148000000.0,4473000000.0,4293000000.0,4.65,0.8051,0.0,0.2714,0.2073,-0.0893,4.8398,4.8546,4.8546,4473000000.0,4473000000.0,0.0,-0.0309,BK
2019-12-31 00:00:00,20822000000.0,4360000000.0,16462000000.0,10758000000.0,5587000000.0,,5587000000.0,1120000000.0,4467000000.0,4254000000.0,4.54,0.7906,0.0,0.2683,0.2043,-0.0535,4.7567,4.7721,4.7721,4467000000.0,4467000000.0,0.0,0.0046,BK
2019-09-30 00:00:00,20124000000.0,4433000000.0,15691000000.0,10782000000.0,4785000000.0,,4785000000.0,897000000.0,3888000000.0,3696000000.0,3.86,0.7797,0.0,0.2378,0.1837,0.2162,4.0526,4.0659,4.0659,3888000000.0,3888000000.0,0.0,0.2858,BK
