Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,46738000000.0,19935000000.0,26803000000.0,9508000000.0,7902000000.0,7712000000.0,1261000000.0,1526000000.0,,7712000000.0,1020000000.0,6692000000.0,6677000000.0,3.07,0.5735,0.165,0.165,0.1429,0.2723,19945000000.0,7712000000.0,3.0719,3.0965,3.0965,6692000000.0,6692000000.0,0.4267,0.2956,BMY
2022-06-30 00:00:00,47144000000.0,19629000000.0,27515000000.0,10398000000.0,7759000000.0,7660000000.0,1290000000.0,1889000000.0,55000000.0,7660000000.0,1024000000.0,6636000000.0,6617000000.0,3.01,0.5836,0.1625,0.1625,0.1404,0.3029,19933000000.0,7660000000.0,3.0152,3.042,3.042,6636000000.0,6636000000.0,0.4228,0.3266,BMY
2022-03-31 00:00:00,46960000000.0,16987000000.0,29973000000.0,10555000000.0,7854000000.0,7255000000.0,1307000000.0,2583000000.0,40000000.0,7255000000.0,987000000.0,6268000000.0,6251000000.0,2.82,0.6383,0.1545,0.1545,0.1331,0.3224,18968000000.0,7255000000.0,2.8213,2.8485,2.8485,6268000000.0,6268000000.0,0.4039,0.3449,BMY
2021-12-31 00:00:00,46385000000.0,14940000000.0,31445000000.0,10554000000.0,7689000000.0,8098000000.0,1334000000.0,3530000000.0,39000000.0,8098000000.0,1084000000.0,7014000000.0,6994000000.0,3.13,0.6779,0.1746,0.1746,0.1508,0.3284,18810000000.0,8098000000.0,3.1242,3.158,3.158,7014000000.0,7014000000.0,0.4055,0.3494,BMY
2021-09-30 00:00:00,45468000000.0,13058000000.0,32410000000.0,11697000000.0,8056000000.0,-4211000000.0,1366000000.0,17514000000.0,55000000.0,-4211000000.0,1174000000.0,-5385000000.0,-5405000000.0,-2.39,0.7128,-0.0926,-0.0926,-0.1189,0.3204,6178000000.0,-4211000000.0,-2.3703,-2.3579,-2.3579,-5385000000.0,-5385000000.0,0.1359,0.341,BMY
2021-06-30 00:00:00,44384000000.0,10705000000.0,33679000000.0,10946000000.0,7975000000.0,-4111000000.0,1384000000.0,16819000000.0,56000000.0,-4111000000.0,948000000.0,-5059000000.0,-5079000000.0,-2.25,0.7588,-0.0926,-0.0926,-0.1144,0.2633,6614000000.0,-4111000000.0,-2.2421,-2.2252,-2.2252,-5059000000.0,-5059000000.0,0.149,0.2818,BMY
2021-03-31 00:00:00,42810000000.0,10952000000.0,31858000000.0,10990000000.0,7721000000.0,-4037000000.0,1411000000.0,17220000000.0,69000000.0,-4037000000.0,2163000000.0,-6200000000.0,-6219000000.0,-2.76,0.7442,-0.0943,-0.0943,-0.1453,0.3083,6534000000.0,-4037000000.0,-2.7486,-2.737,-2.737,-6200000000.0,-6200000000.0,0.1526,0.3256,BMY
2020-12-31 00:00:00,42518000000.0,11773000000.0,30745000000.0,11143000000.0,7661000000.0,-6871000000.0,1420000000.0,17184000000.0,121000000.0,-6871000000.0,2124000000.0,-8995000000.0,-9015000000.0,-4.0,0.7231,-0.1616,-0.1616,-0.212,0.3128,3509000000.0,-6871000000.0,-3.9836,-3.9836,-3.9836,-8995000000.0,-8995000000.0,0.0825,0.3305,BMY
2020-09-30 00:00:00,39395000000.0,11355000000.0,28040000000.0,9490000000.0,6674000000.0,3451000000.0,1344000000.0,5956000000.0,215000000.0,3451000000.0,3479000000.0,-28000000.0,-44000000.0,-0.1,0.7118,0.0876,0.0876,-0.0011,0.3086,12377000000.0,3451000000.0,-0.2962,-0.2793,-0.2793,-28000000.0,-28000000.0,0.3142,0.3269,BMY
2020-06-30 00:00:00,34862000000.0,10643000000.0,24219000000.0,8369000000.0,6023000000.0,2543000000.0,,3352000000.0,,2543000000.0,3083000000.0,-540000000.0,-563000000.0,-0.1,0.6947,0.0729,0.0729,-0.0161,0.3559,8985000000.0,2543000000.0,-0.2803,-0.2744,-0.2744,-540000000.0,-540000000.0,0.2577,0.3777,BMY
2020-03-31 00:00:00,31006000000.0,9916000000.0,21090000000.0,7172000000.0,5471000000.0,2692000000.0,,1583000000.0,,2692000000.0,1713000000.0,979000000.0,954000000.0,0.82,0.6802,0.0868,0.0868,0.0308,0.3206,6745000000.0,2692000000.0,0.6341,0.6406,0.6406,979000000.0,979000000.0,0.2175,0.3469,BMY
2019-12-31 00:00:00,26145000000.0,8078000000.0,18067000000.0,6148000000.0,4871000000.0,4975000000.0,,-30000000.0,,4975000000.0,1515000000.0,3460000000.0,3439000000.0,2.21,0.691,0.1903,0.1903,0.1315,0.282,6721000000.0,4975000000.0,2.0209,2.0294,2.0294,3460000000.0,3460000000.0,0.2571,0.314,BMY
2019-09-30 00:00:00,24173000000.0,7196000000.0,16977000000.0,5418000000.0,4473000000.0,6609000000.0,,,,6609000000.0,931000000.0,5678000000.0,5655000000.0,3.49,0.7023,0.2734,0.2734,0.2339,0.3603,7291000000.0,6609000000.0,3.4708,3.4746,3.4746,5678000000.0,5678000000.0,0.3016,0.3965,BMY
2019-06-30 00:00:00,23857000000.0,7054000000.0,16803000000.0,5320000000.0,4522000000.0,7427000000.0,,,,7427000000.0,1203000000.0,6224000000.0,6203000000.0,3.82,0.7043,0.3113,0.3113,0.26,0.3101,8103000000.0,7427000000.0,3.8035,3.8092,3.8092,6224000000.0,6224000000.0,0.3396,0.3482,BMY
2019-03-31 00:00:00,23288000000.0,6707000000.0,16581000000.0,6430000000.0,4577000000.0,6168000000.0,,,,6168000000.0,1001000000.0,5167000000.0,5144000000.0,3.17,0.712,0.2649,0.2649,0.2209,0.2733,6832000000.0,6168000000.0,3.158,3.1635,3.1635,5167000000.0,5167000000.0,0.2934,0.3127,BMY
2018-12-31 00:00:00,22561000000.0,6467000000.0,16094000000.0,6332000000.0,4551000000.0,5968000000.0,,,,5968000000.0,1021000000.0,4947000000.0,4920000000.0,3.03,0.7134,0.2645,0.2645,0.2181,0.271,6605000000.0,5968000000.0,3.022,3.0294,3.0294,4947000000.0,4947000000.0,0.2928,0.3132,BMY
2018-09-30 00:00:00,22037000000.0,6458000000.0,15579000000.0,6890000000.0,4531000000.0,5161000000.0,,,,5161000000.0,3701000000.0,1460000000.0,1432000000.0,0.88,0.7069,0.2342,0.2342,0.065,0.1685,5823000000.0,5161000000.0,0.9116,0.9124,0.9124,1460000000.0,1460000000.0,0.2642,0.21,BMY
2018-06-30 00:00:00,21600000000.0,6389000000.0,15211000000.0,7171000000.0,4590000000.0,4177000000.0,,,,4177000000.0,3773000000.0,404000000.0,376000000.0,0.24,0.7042,0.1934,0.1934,0.0174,0.1902,4862000000.0,4177000000.0,0.2633,0.2631,0.2631,404000000.0,404000000.0,0.2251,0.2344,BMY
2018-03-31 00:00:00,21040000000.0,6333000000.0,14707000000.0,6415000000.0,4646000000.0,4955000000.0,,,,4955000000.0,4011000000.0,944000000.0,919000000.0,0.57,0.699,0.2355,0.2355,0.0437,0.218,5694000000.0,4955000000.0,0.5886,0.59,0.59,944000000.0,944000000.0,0.2706,0.2656,BMY
2017-12-31 00:00:00,20776000000.0,6014000000.0,14762000000.0,6468000000.0,4751000000.0,5131000000.0,,,,5131000000.0,4156000000.0,975000000.0,1007000000.0,0.61,0.7105,0.247,0.247,0.0485,0.2031,5920000000.0,5131000000.0,0.5902,0.5927,0.5927,975000000.0,975000000.0,0.2849,0.2539,BMY
2017-09-30 00:00:00,20570000000.0,5819000000.0,14751000000.0,6015000000.0,4964000000.0,5519000000.0,,,,5519000000.0,1317000000.0,4202000000.0,4229000000.0,2.56,0.7171,0.2683,0.2683,0.2056,0.2153,6233000000.0,5519000000.0,2.5261,2.5374,2.5374,4202000000.0,4202000000.0,0.303,0.2723,BMY
2017-06-30 00:00:00,20238000000.0,5545000000.0,14693000000.0,5592000000.0,4945000000.0,5895000000.0,,,,5895000000.0,1334000000.0,4561000000.0,4586000000.0,2.76,0.726,0.2913,0.2913,0.2266,0.1997,6526000000.0,5895000000.0,2.7293,2.7422,2.7422,4561000000.0,4561000000.0,0.3225,0.2615,BMY
