Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,12567000000.0,3917000000.0,8650000000.0,1313000000.0,4555000000.0,1426000000.0,512000000.0,-563000000.0,493000000.0,865000000.0,212000000.0,653000000.0,598000000.0,0.42,0.6883,0.1135,0.0688,0.0476,0.0453,2887000000.0,1426000000.0,0.4539,0.4566,0.4566,653000000.0,653000000.0,0.2297,0.0952,BSX
2022-06-30 00:00:00,12329000000.0,3838000000.0,8491000000.0,1284000000.0,4492000000.0,1455000000.0,533000000.0,-354000000.0,516000000.0,1103000000.0,219000000.0,884000000.0,829000000.0,0.58,0.6887,0.118,0.0895,0.0672,0.0495,2907000000.0,1455000000.0,0.6152,0.6196,0.6196,884000000.0,884000000.0,0.2358,0.0968,BSX
2022-03-31 00:00:00,12162000000.0,3772000000.0,8390000000.0,1247000000.0,4449000000.0,1295000000.0,557000000.0,-388000000.0,538000000.0,907000000.0,97000000.0,810000000.0,755000000.0,0.53,0.6899,0.1065,0.0746,0.0621,0.0779,2764000000.0,1295000000.0,0.5642,0.5686,0.5686,810000000.0,810000000.0,0.2273,0.1258,BSX
2021-12-31 00:00:00,11888000000.0,3711000000.0,8177000000.0,1204000000.0,4408000000.0,1198000000.0,351000000.0,-123000000.0,341000000.0,1076000000.0,36000000.0,1040000000.0,985000000.0,0.69,0.6878,0.1008,0.0905,0.0829,0.112,2661000000.0,1198000000.0,0.7253,0.732,0.7313,1040000000.0,1041000000.0,0.2238,0.1575,BSX
2021-09-30 00:00:00,11469000000.0,3738000000.0,7731000000.0,1170000000.0,4284000000.0,1069000000.0,359000000.0,194000000.0,350000000.0,1264000000.0,106000000.0,1158000000.0,1100000000.0,0.73,0.6741,0.0932,0.1102,0.0959,0.1426,2415000000.0,1069000000.0,0.809,0.8124,0.8145,1158000000.0,1155000000.0,0.2106,0.1802,BSX
2021-06-30 00:00:00,11196000000.0,3707000000.0,7489000000.0,1175000000.0,4200000000.0,476000000.0,364000000.0,77000000.0,350000000.0,554000000.0,-30000000.0,584000000.0,526000000.0,0.33,0.6689,0.0425,0.0495,0.047,0.1669,1893000000.0,476000000.0,0.4088,0.4098,0.4119,584000000.0,581000000.0,0.1691,0.2003,BSX
2021-03-31 00:00:00,10122000000.0,3553000000.0,6569000000.0,1119000000.0,3873000000.0,144000000.0,372000000.0,80000000.0,355000000.0,224000000.0,-26000000.0,250000000.0,201000000.0,0.1,0.649,0.0142,0.0221,0.0199,0.1513,1607000000.0,144000000.0,0.1741,0.1747,0.1761,250000000.0,248000000.0,0.1588,0.1846,BSX
2020-12-31 00:00:00,9913000000.0,3465000000.0,6448000000.0,1143000000.0,3832000000.0,-79000000.0,376000000.0,1000000.0,361000000.0,-79000000.0,2000000.0,-81000000.0,-115000000.0,-0.12,0.6505,-0.008,-0.008,-0.0116,0.1154,1577000000.0,-79000000.0,-0.0571,-0.0578,-0.0571,-81000000.0,-82000000.0,0.1591,0.1521,BSX
2020-09-30 00:00:00,10109000000.0,3317000000.0,6792000000.0,1165000000.0,3901000000.0,79000000.0,469000000.0,-471000000.0,445000000.0,-392000000.0,-4095000000.0,3703000000.0,3685000000.0,2.65,0.6719,0.0078,-0.0388,0.3645,0.112,1365000000.0,79000000.0,2.6262,2.6664,2.665,3703000000.0,3705000000.0,0.135,0.1511,BSX
2020-06-30 00:00:00,10157000000.0,3225000000.0,6932000000.0,1156000000.0,3932000000.0,668000000.0,,-741000000.0,454000000.0,-74000000.0,-4058000000.0,3984000000.0,3980000000.0,2.86,0.6825,0.0658,-0.0073,0.3918,0.0906,1483000000.0,668000000.0,2.8237,2.8651,2.8637,3984000000.0,3986000000.0,0.146,0.1365,BSX
