Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,26154000000.0,19937000000.0,6217000000.0,1233000000.0,2574000000.0,2622000000.0,138000000.0,-67000000.0,138000000.0,2555000000.0,616000000.0,1939000000.0,1914000000.0,13.5,0.2377,0.1003,0.0977,0.0732,0.0402,3331000000.0,2622000000.0,13.611,13.7016,13.7016,1939000000.0,1939000000.0,0.1274,0.0718,CMI
2022-06-30 00:00:00,24789000000.0,18800000000.0,5989000000.0,1151000000.0,2437000000.0,2662000000.0,105000000.0,-40000000.0,105000000.0,2622000000.0,551000000.0,2071000000.0,2048000000.0,14.39,0.2416,0.1074,0.1058,0.0826,0.0521,3315000000.0,2662000000.0,14.4695,14.5729,14.5729,2071000000.0,2071000000.0,0.1337,0.0833,CMI
2022-03-31 00:00:00,24314000000.0,18573000000.0,5741000000.0,1128000000.0,2415000000.0,2500000000.0,100000000.0,46000000.0,100000000.0,2546000000.0,570000000.0,1976000000.0,1946000000.0,13.56,0.2361,0.1028,0.1047,0.08,0.0555,3153000000.0,2500000000.0,13.6681,13.7836,13.7836,1976000000.0,1976000000.0,0.1297,0.0856,CMI
2021-12-31 00:00:00,24021000000.0,18326000000.0,5695000000.0,1090000000.0,2374000000.0,2706000000.0,114000000.0,45000000.0,111000000.0,2751000000.0,587000000.0,2164000000.0,2131000000.0,14.72,0.2371,0.1127,0.1145,0.0887,0.0642,3368000000.0,2706000000.0,14.8321,14.9654,14.9654,2164000000.0,2164000000.0,0.1402,0.0939,CMI
2021-09-30 00:00:00,24001000000.0,18262000000.0,5739000000.0,1057000000.0,2321000000.0,2840000000.0,117000000.0,32000000.0,114000000.0,2872000000.0,598000000.0,2274000000.0,2238000000.0,15.35,0.2391,0.1183,0.1197,0.0932,0.086,3511000000.0,2840000000.0,15.4612,15.5976,15.5976,2274000000.0,2274000000.0,0.1463,0.1111,CMI
2021-06-30 00:00:00,23151000000.0,17477000000.0,5674000000.0,1015000000.0,2283000000.0,2844000000.0,119000000.0,39000000.0,111000000.0,2883000000.0,646000000.0,2237000000.0,2205000000.0,15.02,0.2451,0.1228,0.1245,0.0952,0.1189,3521000000.0,2844000000.0,15.1072,15.2353,15.2353,2237000000.0,2237000000.0,0.1521,0.1434,CMI
2021-03-31 00:00:00,20892000000.0,15806000000.0,5086000000.0,928000000.0,2153000000.0,2445000000.0,120000000.0,21000000.0,105000000.0,2466000000.0,572000000.0,1894000000.0,1881000000.0,12.75,0.2434,0.117,0.118,0.09,0.1025,3120000000.0,2445000000.0,12.7473,12.84,12.84,1894000000.0,1894000000.0,0.1493,0.1284,CMI
2020-12-31 00:00:00,19811000000.0,14917000000.0,4894000000.0,906000000.0,2125000000.0,2269000000.0,115000000.0,69000000.0,100000000.0,2338000000.0,527000000.0,1811000000.0,1789000000.0,12.07,0.247,0.1145,0.118,0.0903,0.1107,2942000000.0,2269000000.0,12.1544,12.22,12.22,1811000000.0,1811000000.0,0.1485,0.1374,CMI
2020-09-30 00:00:00,19559000000.0,14713000000.0,4846000000.0,922000000.0,2181000000.0,1994000000.0,108000000.0,72000000.0,93000000.0,2066000000.0,467000000.0,1599000000.0,1588000000.0,10.66,0.2478,0.1019,0.1056,0.0812,0.0943,2672000000.0,1994000000.0,10.7474,10.8023,10.8023,1599000000.0,1599000000.0,0.1366,0.1236,CMI
2020-06-30 00:00:00,20209000000.0,15218000000.0,4991000000.0,940000000.0,2248000000.0,2023000000.0,,112000000.0,94000000.0,2135000000.0,424000000.0,1711000000.0,1709000000.0,11.26,0.247,0.1001,0.1056,0.0846,0.0845,2713000000.0,2023000000.0,11.2962,11.3459,11.3459,1711000000.0,1711000000.0,0.1342,0.1147,CMI
