Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,19366000000.0,12914000000.0,6452000000.0,3454000000.0,3014000000.0,13000000.0,-97000000.0,39000000.0,3039000000.0,699000000.0,2340000000.0,,2345000000.0,4.5,0.3332,0.1556,0.1569,0.1211,0.1231,3580000000.0,3014000000.0,4.4889,4.4975,4.4975,2345000000.0,2345000000.0,0.1849,0.139,CTSH
2022-06-30 00:00:00,19253000000.0,12810000000.0,6443000000.0,3542000000.0,2945000000.0,10000000.0,-63000000.0,29000000.0,2958000000.0,703000000.0,2255000000.0,,2260000000.0,4.31,0.3346,0.153,0.1536,0.1174,0.1209,3473000000.0,2945000000.0,4.3065,4.3147,4.3147,2260000000.0,2260000000.0,0.1804,0.1354,CTSH
2022-03-31 00:00:00,18932000000.0,12405000000.0,6527000000.0,3540000000.0,2881000000.0,9000000.0,-2000000.0,22000000.0,2891000000.0,703000000.0,2188000000.0,8000000.0,2195000000.0,4.17,0.3448,0.1522,0.1527,0.1159,0.122,3416000000.0,2881000000.0,4.1687,4.1766,4.1766,2195000000.0,2195000000.0,0.1804,0.1384,CTSH
2021-12-31 00:00:00,18507000000.0,11917000000.0,6590000000.0,3505000000.0,2826000000.0,9000000.0,6000000.0,18000000.0,2827000000.0,693000000.0,2134000000.0,3000000.0,2137000000.0,4.05,0.3561,0.1527,0.1528,0.1155,0.1197,3372000000.0,2826000000.0,4.0473,4.055,4.055,2137000000.0,2137000000.0,0.1822,0.1348,CTSH
2021-09-30 00:00:00,17914000000.0,11393000000.0,6521000000.0,3508000000.0,2559000000.0,10000000.0,7000000.0,14000000.0,2557000000.0,683000000.0,1874000000.0,,1877000000.0,3.54,0.364,0.1428,0.1427,0.1048,0.1264,3122000000.0,2559000000.0,3.5476,3.5568,3.5568,1877000000.0,1877000000.0,0.1743,0.1434,CTSH
2021-06-30 00:00:00,17413000000.0,10936000000.0,6477000000.0,3386000000.0,2433000000.0,13000000.0,17000000.0,13000000.0,2450000000.0,772000000.0,1678000000.0,-55000000.0,1681000000.0,3.15,0.372,0.1397,0.1407,0.0965,0.1257,3005000000.0,2433000000.0,3.1543,3.1627,3.1627,1681000000.0,1681000000.0,0.1726,0.1462,CTSH
2021-03-31 00:00:00,16828000000.0,10688000000.0,6140000000.0,3216000000.0,2204000000.0,20000000.0,47000000.0,20000000.0,2251000000.0,722000000.0,1529000000.0,,1530000000.0,2.85,0.3649,0.131,0.1338,0.0909,0.155,2768000000.0,2204000000.0,2.8519,2.8585,2.8585,1530000000.0,1530000000.0,0.1645,0.1773,CTSH
2020-12-31 00:00:00,16652000000.0,10671000000.0,5981000000.0,3100000000.0,2114000000.0,24000000.0,-18000000.0,24000000.0,2096000000.0,704000000.0,1392000000.0,-58000000.0,1392000000.0,2.57,0.3592,0.127,0.1259,0.0836,0.1742,2673000000.0,2114000000.0,2.5731,2.5779,2.5779,1392000000.0,1392000000.0,0.1605,0.1981,CTSH
2020-09-30 00:00:00,16752000000.0,10758000000.0,5994000000.0,2902000000.0,2275000000.0,27000000.0,35000000.0,27000000.0,2255000000.0,726000000.0,1529000000.0,,1471000000.0,2.7,0.3578,0.1358,0.1346,0.0878,0.1753,2819000000.0,2275000000.0,2.6983,2.7027,2.7027,1471000000.0,1471000000.0,0.1683,0.1993,CTSH
2020-06-30 00:00:00,16757000000.0,10792000000.0,5965000000.0,2804000000.0,2341000000.0,,3000000.0,28000000.0,2289000000.0,610000000.0,1679000000.0,,1620000000.0,2.96,0.356,0.1397,0.1366,0.0967,0.1633,2874000000.0,2341000000.0,2.9594,2.9626,2.9626,1620000000.0,1620000000.0,0.1715,0.1868,CTSH
2020-03-31 00:00:00,16898000000.0,10806000000.0,6092000000.0,2812000000.0,2493000000.0,,32000000.0,25000000.0,2470000000.0,643000000.0,1827000000.0,-58000000.0,1768000000.0,3.19,0.3605,0.1475,0.1462,0.1046,0.1378,3022000000.0,2493000000.0,3.1946,3.1978,3.1978,1768000000.0,1768000000.0,0.1788,0.1614,CTSH
2019-12-31 00:00:00,16783000000.0,10634000000.0,6149000000.0,2972000000.0,2453000000.0,,145000000.0,26000000.0,2543000000.0,643000000.0,1900000000.0,-56000000.0,1842000000.0,3.29,0.3664,0.1462,0.1515,0.1098,0.1255,2979000000.0,2453000000.0,3.2894,3.2952,3.2952,1842000000.0,1842000000.0,0.1775,0.1489,CTSH
2019-09-30 00:00:00,16628000000.0,10425000000.0,6203000000.0,3053000000.0,2520000000.0,,212000000.0,28000000.0,2732000000.0,637000000.0,2095000000.0,2000000.0,2095000000.0,3.69,0.373,0.1516,0.1643,0.126,0.1123,3044000000.0,2520000000.0,3.6857,3.6949,3.6949,2095000000.0,2095000000.0,0.1831,0.1361,CTSH
2019-06-30 00:00:00,16458000000.0,10224000000.0,6234000000.0,3081000000.0,2596000000.0,,140000000.0,27000000.0,2736000000.0,662000000.0,2074000000.0,,2075000000.0,3.61,0.3788,0.1577,0.1662,0.1261,0.1225,3120000000.0,2596000000.0,3.6061,3.6167,3.6167,2075000000.0,2075000000.0,0.1896,0.1463,CTSH
2019-03-31 00:00:00,16323000000.0,10012000000.0,6311000000.0,3167000000.0,2647000000.0,,36000000.0,28000000.0,2683000000.0,663000000.0,2020000000.0,,2022000000.0,3.49,0.3866,0.1622,0.1644,0.1239,0.1278,3161000000.0,2647000000.0,3.4818,3.4937,3.4937,2022000000.0,2022000000.0,0.1937,0.1515,CTSH
2018-12-31 00:00:00,16125000000.0,9838000000.0,6287000000.0,3007000000.0,2801000000.0,,-4000000.0,27000000.0,2797000000.0,698000000.0,2099000000.0,4000000.0,2101000000.0,3.61,0.3899,0.1737,0.1735,0.1303,0.1374,3299000000.0,2801000000.0,3.5977,3.61,3.61,2101000000.0,2101000000.0,0.2046,0.1607,CTSH
2018-09-30 00:00:00,15824000000.0,9658000000.0,6166000000.0,2878000000.0,2765000000.0,,-70000000.0,24000000.0,2695000000.0,1262000000.0,1433000000.0,,1435000000.0,2.46,0.3897,0.1747,0.1703,0.0907,0.1495,3254000000.0,2765000000.0,2.4622,2.4678,2.4678,1435000000.0,1435000000.0,0.2056,0.1723,CTSH
2018-06-30 00:00:00,15512000000.0,9515000000.0,5997000000.0,2818000000.0,2668000000.0,,23000000.0,24000000.0,2691000000.0,1241000000.0,1450000000.0,4000000.0,1453000000.0,2.48,0.3866,0.172,0.1735,0.0937,0.1478,3144000000.0,2668000000.0,2.4759,2.483,2.483,1453000000.0,1453000000.0,0.2027,0.17,CTSH
2018-03-31 00:00:00,15176000000.0,9359000000.0,5817000000.0,2722000000.0,2604000000.0,,99000000.0,23000000.0,2703000000.0,1238000000.0,1465000000.0,,1467000000.0,2.5,0.3833,0.1716,0.1781,0.0967,0.1452,3060000000.0,2604000000.0,2.493,2.5015,2.5015,1467000000.0,1467000000.0,0.2016,0.1659,CTSH
2017-12-31 00:00:00,14810000000.0,9152000000.0,5658000000.0,2697000000.0,2481000000.0,,174000000.0,23000000.0,2655000000.0,1153000000.0,1502000000.0,,1504000000.0,2.53,0.382,0.1675,0.1793,0.1016,0.1433,2924000000.0,2481000000.0,2.5277,2.5363,2.5363,1504000000.0,1504000000.0,0.1974,0.1625,CTSH
2017-09-30 00:00:00,14444000000.0,8870000000.0,5574000000.0,2799000000.0,2385000000.0,,117000000.0,22000000.0,2502000000.0,565000000.0,1937000000.0,,1938000000.0,3.25,0.3859,0.1651,0.1732,0.1342,0.1304,2807000000.0,2385000000.0,3.2315,3.2423,3.2423,1938000000.0,1938000000.0,0.1943,0.1506,CTSH
2017-06-30 00:00:00,14131000000.0,8610000000.0,5521000000.0,2826000000.0,2320000000.0,,137000000.0,21000000.0,2457000000.0,571000000.0,1886000000.0,,1887000000.0,3.14,0.3907,0.1642,0.1739,0.1335,0.1216,2725000000.0,2320000000.0,3.1245,3.136,3.136,1887000000.0,1887000000.0,0.1928,0.1419,CTSH
2017-03-31 00:00:00,13831000000.0,8387000000.0,5444000000.0,2771000000.0,2305000000.0,,112000000.0,20000000.0,2417000000.0,749000000.0,1668000000.0,,1669000000.0,2.76,0.3936,0.1667,0.1748,0.1207,0.1119,2700000000.0,2305000000.0,2.743,2.7538,2.7538,1669000000.0,1669000000.0,0.1952,0.1338,CTSH
