Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,17083000000.0,12192000000.0,4892000000.0,42000000.0,2506806100.0,2384339700.0,20000000.0,121000000.0,26000000.0,2507000000.0,522000000.0,1983850000.0,1920000000.0,3.02,0.2864,0.1396,0.1468,0.1124,-0.0146,3190000000.0,2384340200.0,3.1123,,3.7456,,3.7456,1983850000.0,,1984000000.0,0.1867,0.1204,DISH
2022-06-30 00:00:00,17438000000.0,12307000000.0,5130000000.0,37000000.0,2448275100.0,2675015700.0,19000000.0,93000000.0,20000000.0,2766000000.0,643000000.0,2121785000.0,2065000000.0,3.25,0.2942,0.1534,0.1586,0.1184,0.0152,3483000000.0,2675016200.0,3.3301,,4.0101,,4.0101,2121785000.0,,2122000000.0,0.1997,0.1353,DISH
2022-03-31 00:00:00,17714960000.0,12286923000.0,5427037000.0,32000000.0,2345235100.0,2888818600.0,17000000.0,70251000.0,14825000.0,2954989000.0,690538000.0,2263229000.0,2213047000.0,3.7,0.3064,0.1631,0.1668,0.1249,0.0714,3715128000.0,2888819100.0,3.554,,4.2828,,4.2828,2263229000.0,,2263451000.0,0.2097,0.1674,DISH
2021-12-31 00:00:00,17881813000.0,12086129000.0,5794684000.0,29000000.0,2208217100.0,3203034600.0,16000000.0,21087000.0,13698000.0,3219401000.0,762387000.0,2455946000.0,2410271000.0,4.22,0.3241,0.1791,0.18,0.1348,0.138,4043089000.0,3203035100.0,3.8611,,4.6528,,4.6528,2455946000.0,,2456014000.0,0.2261,0.2043,DISH
2021-09-30 00:00:00,17992178000.0,11914068000.0,6077110000.0,28000000.0,2018855900.0,3478658300.0,5000000.0,16156000.0,2350000.0,3493108900.0,840798000.0,2651830900.0,2590903000.0,4.74,0.3378,0.1933,0.1941,0.144,0.1534,4229254000.0,3478658100.0,4.2743,,5.035,,5.035,2651831100.0,,2652311100.0,0.2351,0.1987,DISH
2021-06-30 00:00:00,18073769000.0,11793680000.0,6280089000.0,27000000.0,1935503900.0,3572201300.0,12000000.0,-19619000.0,-6428000.0,3552581900.0,935312000.0,2617269900.0,2538502000.0,4.82,0.3475,0.1976,0.1966,0.1405,0.1803,4344585000.0,3572201100.0,4.2953,,4.9747,,4.9747,2617270100.0,,2617270100.0,0.2404,0.2132,DISH
2021-03-31 00:00:00,16773899000.0,10901157000.0,5872742000.0,20000000.0,1831510900.0,3303113400.0,24000000.0,-17770000.0,1241000.0,3285342900.0,869118000.0,2416224900.0,2319798000.0,4.41,0.3501,0.1969,0.1959,0.1383,0.1866,4041231200.0,3303113200.0,4.0484,,4.5996,,4.5996,2416225100.0,,2416225100.0,0.2409,0.2123,DISH
2020-12-31 00:00:00,15493435000.0,10033727000.0,5459708000.0,19000000.0,1806121900.0,2582615400.0,,-10404000.0,12974000.0,2572210900.0,698275000.0,1873935900.0,1762673000.0,3.35,0.3524,0.1667,0.166,0.1138,0.1871,3297168100.0,2582615200.0,3.2069,,3.571,,3.571,1873936100.0,,1873936100.0,0.2128,0.2138,DISH
2020-09-30 00:00:00,14176934000.0,9183168000.0,4993766000.0,18000000.0,2255299000.0,2115926500.0,26000000.0,-3892000.0,26411000.0,2112036000.0,585850000.0,1526185900.0,1419445100.0,2.73,0.3522,0.1493,0.149,0.1001,0.2061,2807508800.0,2115927000.0,2.647,,2.9449,,2.9449,1526185900.0,,1526185900.0,0.198,0.2364,DISH
2020-06-30 00:00:00,12813706000.0,8275887000.0,4537819000.0,,2186610000.0,1773570800.0,,25361000.0,39216000.0,1798933000.0,428549000.0,1370383900.0,1268150100.0,2.51,0.3541,0.1384,0.1404,0.099,0.1975,2420250900.0,1773571300.0,2.4383,,2.7207,,2.7207,1370383900.0,,1370383900.0,0.1889,0.2362,DISH
2020-03-31 00:00:00,12837928000.0,8472529000.0,4365399000.0,,1985452000.0,1566652600.0,,46919000.0,33372000.0,1613573000.0,383029000.0,1230543900.0,1132850100.0,2.33,0.34,0.122,0.1257,0.0882,0.1751,2210910700.0,1566653100.0,2.2587,,2.5295,,2.5295,1230543900.0,,1230543900.0,0.1722,0.2185,DISH
2019-12-31 00:00:00,12807683000.0,8570162000.0,4237520900.0,,1728069000.0,1878874500.0,,65051000.0,23687000.0,1943927000.0,451358000.0,1492568900.0,1399512100.0,2.92,0.3309,0.1467,0.1518,0.1093,0.1625,2509451600.0,1878875000.0,2.7745,,3.1118,,3.1118,1492568900.0,,1492568900.0,0.1959,0.2079,DISH
2019-09-30 00:00:00,12873647000.0,8774435000.0,4099212900.0,,1757211100.0,1838673600.0,,68701000.0,21369000.0,1907376900.0,471069000.0,1436307900.0,1347187900.0,2.87,0.3184,0.1428,0.1482,0.1046,0.1521,2466760700.0,1838674500.0,2.7146,,3.051,,3.051,1436307900.0,,1436307900.0,0.1916,0.1966,DISH
2019-06-30 00:00:00,13100425000.0,8978080000.0,4122345900.0,,1478551100.0,1932484600.0,,74808000.0,20755000.0,2007294900.0,495546000.0,1511748900.0,1425617900.0,3.05,0.3147,0.1475,0.1532,0.1088,0.1551,2581675700.0,1932485500.0,2.8711,,3.2291,,3.2291,1511748900.0,,1511748900.0,0.1971,0.1938,DISH
2019-03-31 00:00:00,13349958000.0,9129634000.0,4220324900.0,,1466418100.0,2074412900.0,,88336000.0,17970000.0,2162750900.0,531282000.0,1631468900.0,1547291900.0,3.31,0.3161,0.1554,0.162,0.1159,0.1539,2746603900.0,2074413800.0,3.1014,,3.4887,,3.4887,1631468900.0,,1631468900.0,0.2057,0.1872,DISH
2018-12-31 00:00:00,13621301000.0,9324376000.0,4296926000.0,,1437281100.0,2147619200.0,,41554000.0,15006000.0,2189174900.0,533684000.0,1655490900.0,1575090900.0,3.37,0.3155,0.1577,0.1607,0.1156,0.1559,2859643200.0,2147620100.0,3.1483,,3.5423,,3.5423,1655490900.0,,1655490900.0,0.2099,0.1848,DISH
2018-09-30 00:00:00,13798401000.0,10515400000.0,3283001500.0,,718954000.0,1924159900.0,,91302000.0,14598000.0,2015462000.0,-684048000.0,2699510000.0,2623494000.0,5.62,0.2379,0.1394,0.1461,0.1901,0.1578,2657058000.0,1924159400.0,5.1285,,5.7846,,5.7846,2699510000.0,,2699510000.0,0.1926,0.1861,DISH
2018-06-30 00:00:00,13986714000.0,10633738000.0,3352976500.0,,736609000.0,1810507800.0,,103848000.0,13555000.0,1914356000.0,-647821000.0,2562177000.0,2489135000.0,5.34,0.2397,0.1294,0.1369,0.178,0.159,2577444900.0,1810507300.0,4.8682,,5.4928,,5.4928,2562177000.0,,2562177000.0,0.1843,0.1867,DISH
2018-03-31 00:00:00,14169501000.0,10721033000.0,3448468500.0,,725796000.0,1489950900.0,,64007000.0,36959000.0,1553958000.0,-606695000.0,2160653000.0,2090534000.0,4.49,0.2434,0.1052,0.1097,0.1475,0.1557,2295857000.0,1489950400.0,4.1187,,4.6342,,4.6342,2160653000.0,,2160653000.0,0.162,0.1831,DISH
2017-12-31 00:00:00,14391375000.0,10803235000.0,3588140500.0,,687054000.0,1567765100.0,,82322000.0,63172000.0,1650087000.0,-515320000.0,2165407000.0,2098689000.0,4.46,0.2493,0.1089,0.1147,0.1458,0.1631,2385329200.0,1567764600.0,4.1434,,4.6466,,4.6466,2165407000.0,,2165407000.0,0.1657,0.1931,DISH
2017-09-30 00:00:00,14660212000.0,9804713000.0,4855499000.0,,659901900.0,1881374300.0,,6499000.0,89126000.0,1887871900.0,755966000.0,1131906100.0,1068698900.0,2.19,0.3312,0.1283,0.1288,0.0729,0.1652,2737052300.0,1881373300.0,2.1855,,2.4311,,2.4311,1131906100.0,,1131906000.0,0.1867,0.1971,DISH
2017-06-30 00:00:00,14844230000.0,9812840000.0,5031390000.0,,663654900.0,1954985200.0,,-44567000.0,104465000.0,1910416900.0,760801000.0,1149616100.0,1089775900.0,2.21,0.3389,0.1317,0.1287,0.0734,0.1515,2825337200.0,1954984200.0,2.2607,,2.4711,,2.4711,1149616100.0,,1149616000.0,0.1903,0.1856,DISH
