Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,28023000000.0,20577000000.0,7446000000.0,7659000000.0,5783000000.0,2407000000.0,661000000.0,1831000000.0,3920000000.0,173000000.0,3747000000.0,3826000000.0,4.97,0.2657,0.2064,0.1399,0.1365,-0.1614,11259000000.0,5783000000.0,4.9965,0.06,4.9064,0.06,4.9965,3747000000.0,42000000.0,3747000000.0,0.4018,0.2231,DUK
2022-06-30 00:00:00,27006000000.0,19692000000.0,7314000000.0,7765000000.0,5446000000.0,2367000000.0,1028000000.0,1791000000.0,3768000000.0,135000000.0,3633000000.0,3809000000.0,4.95,0.2708,0.2017,0.1395,0.141,-0.0646,11035000000.0,5446000000.0,5.0065,,4.7306,,5.0065,3633000000.0,,3633000000.0,0.4086,0.313,DUK
2022-03-31 00:00:00,26079000000.0,16276000000.0,9803000000.0,7698000000.0,5202000000.0,2332000000.0,479000000.0,1756000000.0,3545000000.0,94000000.0,3451000000.0,3667000000.0,4.75,0.3759,0.1995,0.1359,0.1406,-0.0788,10874000000.0,5202000000.0,4.7713,,4.4954,,4.7713,3451000000.0,,3451000000.0,0.417,0.3066,DUK
2021-12-31 00:00:00,25097000000.0,12747000000.0,12350000000.0,7431000000.0,5373000000.0,2280000000.0,-252000000.0,1704000000.0,3764000000.0,192000000.0,3572000000.0,3802000000.0,4.94,0.4921,0.2141,0.15,0.1515,-0.0568,10897000000.0,5373000000.0,4.9301,,4.6542,,4.9301,3572000000.0,,3572000000.0,0.4342,0.3303,DUK
2021-09-30 00:00:00,24636000000.0,9471000000.0,15165000000.0,7372000000.0,4380000000.0,2223000000.0,-795000000.0,2223000000.0,2806000000.0,48000000.0,2758000000.0,3005000000.0,3.87,0.6156,0.1778,0.1139,0.122,-0.011,10005000000.0,4380000000.0,3.9569,,3.581,,3.9536,2758000000.0,,2765000000.0,0.4061,0.3782,DUK
2021-06-30 00:00:00,24406000000.0,6670000000.0,17736000000.0,7268000000.0,4507000000.0,2164000000.0,-1728000000.0,2164000000.0,2779000000.0,63000000.0,2716000000.0,2904000000.0,3.83,0.7267,0.1847,0.1139,0.119,-0.0028,10095000000.0,4507000000.0,3.8458,,3.6006,,3.8425,2716000000.0,,2723000000.0,0.4136,0.384,DUK
2021-03-31 00:00:00,24069000000.0,6584000000.0,17485000000.0,7196000000.0,4515000000.0,2146000000.0,-3678000000.0,2146000000.0,837000000.0,-289000000.0,1126000000.0,1324000000.0,1.74,0.7265,0.1876,0.0348,0.055,0.0042,10085000000.0,4515000000.0,1.7245,,1.4793,,1.7212,1126000000.0,,1133000000.0,0.419,0.3901,DUK
2020-12-31 00:00:00,23868000000.0,6511000000.0,17357000000.0,7125000000.0,4553000000.0,2162000000.0,-3714000000.0,2162000000.0,839000000.0,-236000000.0,1075000000.0,1270000000.0,1.73,0.7272,0.1908,0.0352,0.0532,-0.044,10039000000.0,4553000000.0,1.71,,1.4681,,1.71,1075000000.0,,1082000000.0,0.4206,0.371,DUK
2020-09-30 00:00:00,24194000000.0,6718000000.0,17476000000.0,7169000000.0,5588000000.0,2174000000.0,-3721000000.0,2174000000.0,1867000000.0,21000000.0,1846000000.0,1995000000.0,2.74,0.7223,0.231,0.0772,0.0825,-0.0458,11014000000.0,5588000000.0,2.6739,,2.5057,,2.6772,1846000000.0,,1839000000.0,0.4552,0.386,DUK
2020-06-30 00:00:00,24413000000.0,6854000000.0,17559000000.0,7214000000.0,5703000000.0,,-3664000000.0,2224000000.0,2039000000.0,104000000.0,1935000000.0,2057000000.0,2.82,0.7192,0.2336,0.0835,0.0843,-0.0922,11047000000.0,5703000000.0,2.8098,,2.6416,,2.8131,1935000000.0,,1928000000.0,0.4525,0.3486,DUK
2020-03-31 00:00:00,24865000000.0,7163000000.0,17702000000.0,7295000000.0,5824000000.0,,-1688000000.0,2212000000.0,4136000000.0,561000000.0,3575000000.0,3706000000.0,5.07,0.7119,0.2342,0.1663,0.149,-0.1164,11063000000.0,5824000000.0,5.0509,,4.8827,,5.0542,3575000000.0,,3568000000.0,0.4449,0.3428,DUK
2019-12-31 00:00:00,25079000000.0,7453000000.0,17626000000.0,7373000000.0,5709000000.0,,-1612000000.0,2204000000.0,4097000000.0,519000000.0,3578000000.0,3707000000.0,5.07,0.7028,0.2276,0.1634,0.1478,-0.1162,10885000000.0,5709000000.0,5.07,,4.8985,,5.07,3578000000.0,,3571000000.0,0.434,0.3273,DUK
2019-09-30 00:00:00,25091000000.0,7566000000.0,17525000000.0,7546000000.0,5471000000.0,,-1650000000.0,2201000000.0,3821000000.0,423000000.0,3398000000.0,3511000000.0,4.83,0.6985,0.218,0.1523,0.1399,-0.1421,10551000000.0,5471000000.0,4.6833,,4.7086,,4.6833,3398000000.0,,3418000000.0,0.4205,0.2852,DUK
2019-06-30 00:00:00,24779000000.0,7529000000.0,17250000000.0,7634000000.0,5121000000.0,,-1581000000.0,2146000000.0,3540000000.0,403000000.0,3137000000.0,3266000000.0,4.52,0.6962,0.2067,0.1429,0.1318,-0.1428,10050000000.0,5121000000.0,4.3785,,4.3889,,4.3785,3137000000.0,,3161000000.0,0.4056,0.2801,DUK
2019-03-31 00:00:00,24549000000.0,7475000000.0,17074000000.0,7725000000.0,4802000000.0,,-1544000000.0,2122000000.0,3258000000.0,362000000.0,2896000000.0,2946000000.0,4.11,0.6955,0.1956,0.1327,0.12,-0.1142,9647000000.0,4802000000.0,4.071,,4.0755,,4.071,2896000000.0,,2915000000.0,0.393,0.2865,DUK
2018-12-31 00:00:00,24521000000.0,7528000000.0,16993000000.0,7743000000.0,4685000000.0,,-1612000000.0,2094000000.0,3073000000.0,448000000.0,2625000000.0,2666000000.0,3.75,0.693,0.1911,0.1253,0.1087,-0.0898,9381000000.0,4685000000.0,3.73,0.0257,3.7345,0.0257,3.73,2625000000.0,17000000.0,2644000000.0,0.3826,0.2931,DUK
2018-09-30 00:00:00,24205000000.0,7368000000.0,16837000000.0,7414000000.0,5023000000.0,,-1517000000.0,2061000000.0,3506000000.0,610000000.0,2896000000.0,2905000000.0,4.1,0.6956,0.2075,0.1448,0.12,-0.0682,9526000000.0,5023000000.0,4.123,-0.0116,4.1008,-0.0116,4.123,2896000000.0,-5000000.0,2893000000.0,0.3936,0.3021,DUK
2018-06-30 00:00:00,24059000000.0,7310000000.0,16749000000.0,7296000000.0,5105000000.0,,-1508000000.0,2042000000.0,3597000000.0,806000000.0,2791000000.0,2777000000.0,3.95,0.6962,0.2122,0.1495,0.1154,-0.0569,9448000000.0,5105000000.0,3.973,-0.0201,3.97,-0.0201,3.973,2791000000.0,-11000000.0,2782000000.0,0.3927,0.2962,DUK
2018-03-31 00:00:00,23971000000.0,7264000000.0,16707000000.0,7185000000.0,5479000000.0,,-1471000000.0,2010000000.0,4008000000.0,1033000000.0,2975000000.0,2963000000.0,4.22,0.697,0.2286,0.1672,0.1236,-0.0505,9623000000.0,5479000000.0,4.233,,4.2402,,4.233,2975000000.0,,2969000000.0,0.4014,0.2824,DUK
2017-12-31 00:00:00,23565000000.0,6982000000.0,16583000000.0,7177000000.0,5625000000.0,,-1359000000.0,1986000000.0,4266000000.0,1196000000.0,3070000000.0,3059000000.0,4.36,0.7037,0.2387,0.181,0.1298,-0.0606,9671000000.0,5625000000.0,4.37,-0.8901,4.3772,-0.8901,4.37,3070000000.0,-604000000.0,3064000000.0,0.4104,0.2811,DUK
2017-09-30 00:00:00,23343000000.0,6941000000.0,16402000000.0,7561000000.0,5165000000.0,,-1253000000.0,1960000000.0,3912000000.0,1171000000.0,2741000000.0,2129000000.0,3.03,0.7027,0.2213,0.1676,0.0912,-0.0968,9188000000.0,5165000000.0,3.9043,-0.6258,3.0416,-0.6258,3.9043,2741000000.0,-422000000.0,2139000000.0,0.3936,0.2669,DUK
