Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,19629000000.0,11837000000.0,7792000000.0,4248000000.0,4393000000.0,211000000.0,1036000000.0,71000000.0,4085000000.0,855000000.0,3230000000.0,3231000000.0,5.41,0.397,0.2238,0.2081,0.1646,0.122,4583000000.0,4393000000.0,5.4168,,5.4477,,5.4477,3230000000.0,,3230000000.0,0.2335,0.1491,EMR
2022-06-30 00:00:00,19215000000.0,11700000000.0,7515000000.0,4166000000.0,4154000000.0,200000000.0,1083000000.0,21000000.0,4009000000.0,813000000.0,3196000000.0,3161000000.0,5.29,0.3911,0.2162,0.2086,0.1645,0.1038,4320000000.0,4154000000.0,5.347,,5.3784,,5.3784,3196000000.0,,3196000000.0,0.2248,0.1332,EMR
2022-03-31 00:00:00,18906000000.0,11394000000.0,7512000000.0,4187000000.0,4018000000.0,179000000.0,332000000.0,47000000.0,3598000000.0,721000000.0,2877000000.0,2867000000.0,4.79,0.3973,0.2125,0.1903,0.1516,0.1238,4263000000.0,4018000000.0,4.8015,,4.8307,,4.8307,2877000000.0,,2877000000.0,0.2255,0.1547,EMR
2021-12-31 00:00:00,18546000000.0,11047000000.0,7499000000.0,4192000000.0,3923000000.0,165000000.0,220000000.0,81000000.0,3524000000.0,754000000.0,2770000000.0,2754000000.0,4.59,0.4043,0.2115,0.19,0.1485,0.1464,4263000000.0,3923000000.0,4.6122,,4.6406,,4.6406,2770000000.0,,2770000000.0,0.2299,0.1774,EMR
2021-09-30 00:00:00,18235000000.0,10762000000.0,7473000000.0,4179000000.0,3384000000.0,166000000.0,-329000000.0,118000000.0,2912000000.0,585000000.0,2327000000.0,2303000000.0,3.83,0.4098,0.1856,0.1597,0.1263,0.1642,4263000000.0,3384000000.0,3.8668,,3.8906,,3.8906,2327000000.0,,2327000000.0,0.2338,0.1961,EMR
2021-06-30 00:00:00,17847000000.0,10398000000.0,7449000000.0,4071000000.0,3378000000.0,167000000.0,-529000000.0,155000000.0,2849000000.0,466000000.0,2383000000.0,2356000000.0,3.91,0.4174,0.1893,0.1596,0.132,0.1899,4321000000.0,3378000000.0,3.9535,,3.9778,,3.9778,2383000000.0,,2383000000.0,0.2421,0.2213,EMR
2021-03-31 00:00:00,17064000000.0,9979000000.0,7085000000.0,3932000000.0,3153000000.0,176000000.0,-630000000.0,163000000.0,2523000000.0,366000000.0,2157000000.0,2128000000.0,3.54,0.4152,0.1848,0.1479,0.1247,0.1847,4068000000.0,3153000000.0,3.5805,,3.6015,,3.6015,2157000000.0,,2157000000.0,0.2384,0.216,EMR
2020-12-31 00:00:00,16795000000.0,9822000000.0,6973000000.0,3861000000.0,3112000000.0,176000000.0,-637000000.0,161000000.0,2475000000.0,362000000.0,2113000000.0,2084000000.0,3.45,0.4152,0.1853,0.1474,0.1241,0.1739,3999000000.0,3112000000.0,3.4958,,3.5166,,3.5166,2113000000.0,,2113000000.0,0.2381,0.2064,EMR
2020-09-30 00:00:00,16785000000.0,9776000000.0,7009000000.0,3986000000.0,3023000000.0,175000000.0,-688000000.0,156000000.0,2335000000.0,345000000.0,1990000000.0,1965000000.0,3.24,0.4176,0.1801,0.1391,0.1171,0.1516,3877000000.0,3023000000.0,3.2805,,3.3007,,3.3007,1990000000.0,,1990000000.0,0.231,0.1837,EMR
2020-06-30 00:00:00,17198000000.0,9943000000.0,7255000000.0,4149000000.0,3106000000.0,,-710000000.0,156000000.0,2396000000.0,412000000.0,1984000000.0,1959000000.0,3.2,0.4219,0.1806,0.1393,0.1139,0.1471,3950000000.0,3106000000.0,3.2409,,3.2621,,3.2621,1984000000.0,,1984000000.0,0.2297,0.1778,EMR
