Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2021-12-31 00:00:00,9864000000.0,7040000000.0,2823000000.0,2569671000.0,1993322300.0,582000000.0,320000000.0,25000000.0,1572000000.0,344000000.0,1228047000.0,1221000000.0,3.54,0.2862,0.2021,0.1594,0.1238,0.199,3328000000.0,1993322300.0,3.5634,3.5703,3.5703,1228047000.0,1228000000.0,0.3374,0.199,ES
2021-09-30 00:00:00,9616000000.0,6820000000.0,2795000000.0,2559743900.0,1975233000.0,566000000.0,310000000.0,19000000.0,1558000000.0,365000000.0,1193269900.0,1186000000.0,3.44,0.2907,0.2054,0.162,0.1233,-0.14,3263000000.0,1975232600.0,3.4632,3.4698,3.4698,1193269900.0,1193000000.0,0.3393,0.1775,ES
2021-06-30 00:00:00,9526642000.0,5890254000.0,3635388000.0,2485940900.0,2053132200.0,552000000.0,-34848000.0,146066000.0,1635382000.0,379242000.0,1256363900.0,1249260000.0,3.63,0.3816,0.2155,0.1717,0.1311,-0.1555,3321197100.0,2053131800.0,3.6489,3.656,3.656,1256363900.0,1256140000.0,0.3486,0.1558,ES
2021-03-31 00:00:00,9356770000.0,5050386000.0,4306384000.0,2384381900.0,2035182000.0,541000000.0,-168890000.0,272351000.0,1611995000.0,368743000.0,1244075900.0,1236492000.0,3.61,0.4602,0.2175,0.1723,0.1321,-0.1318,3286764100.0,2035181600.0,3.6261,3.6331,3.6331,1244075900.0,1244252000.0,0.3513,0.1789,ES
2020-12-31 00:00:00,8904496000.0,3895956000.0,5008540000.0,2233036900.0,1988733800.0,538000000.0,-306501000.0,405066000.0,1558504000.0,346619000.0,1212685900.0,1205245000.0,3.56,0.5625,0.2233,0.175,0.1354,-0.1415,3147871000.0,1988733400.0,3.5684,3.579,3.579,1212685900.0,1212885000.0,0.3535,0.189,ES
2020-09-30 00:00:00,8720882000.0,3027074700.0,5693807000.0,2104724000.0,1969569600.0,537000000.0,-424085100.0,536608000.0,1545485100.0,354684000.0,1190801100.0,1183282000.0,3.54,0.6529,0.2258,0.1772,0.1357,-0.1001,3061701500.0,1969569500.0,3.549,3.5631,3.5631,1190801100.0,1190801000.0,0.3511,0.2306,ES
2020-06-30 00:00:00,8553037000.0,2951075700.0,5601961000.0,2078600000.0,1917577700.0,,-427485100.0,537758000.0,1490093100.0,326668000.0,1163425100.0,1155906000.0,3.51,0.655,0.2242,0.1742,0.1351,-0.0986,3004196600.0,1917577600.0,3.5202,3.5382,3.5382,1163425100.0,1163425000.0,0.3512,0.2444,ES
2020-03-31 00:00:00,8484404000.0,2941847700.0,5542556000.0,2077619000.0,1634910700.0,,-410282100.0,536178000.0,1224629100.0,281982000.0,942647100.0,935128000.0,2.86,0.6533,0.1927,0.1443,0.1102,-0.1132,2715646600.0,1634910600.0,2.8736,2.8906,2.8906,942647100.0,942647000.0,0.3201,0.2414,ES
2019-12-31 00:00:00,8526470000.0,3040159700.0,5486310000.0,2074148000.0,1590490900.0,,-400420100.0,533197000.0,1190071100.0,273499000.0,916572100.0,909053000.0,2.82,0.6434,0.1865,0.1396,0.1066,-0.1058,2671148800.0,1590490800.0,2.8381,2.8517,2.8517,916572100.0,916572000.0,0.3133,0.2357,ES
2019-09-30 00:00:00,8511042000.0,3022056900.0,5488986000.0,2079226000.0,1554949500.0,,-394197000.0,525726000.0,1160752000.0,262910000.0,897842000.0,890323000.0,2.78,0.6449,0.1827,0.1364,0.1046,-0.1053,2681112500.0,1554949400.0,2.7965,2.8067,2.8067,897842000.0,897842000.0,0.315,0.2253,ES
