Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,13214000000.0,10219000000.0,2994000000.0,3899086000.0,1943448700.0,888000000.0,-484000000.0,833557000.0,1121000000.0,-124000000.0,1244870900.0,1256000000.0,6.16,0.2266,0.1471,0.0848,0.0951,-0.3149,3746000000.0,1943449000.0,6.1002,6.1344,6.1344,1244870900.0,1245000000.0,0.2835,0.1588,ETR
2022-06-30 00:00:00,12349000000.0,9358000000.0,2990000000.0,3802429000.0,1816613300.0,871000000.0,-478000000.0,673235000.0,1075000000.0,-150000000.0,1224571900.0,1226000000.0,6.05,0.2421,0.1471,0.0871,0.0993,-0.308,3631000000.0,1816613600.0,6.0344,6.0672,6.0672,1224571900.0,1225000000.0,0.294,0.1919,ETR
2022-03-31 00:00:00,11776070000.0,7630435100.0,4144635000.0,3796282000.0,1903689200.0,857000000.0,-391018000.0,661962000.0,1251190000.0,191584000.0,1059166900.0,1060026000.0,5.24,0.352,0.1617,0.1062,0.09,-0.2802,3960931000.0,1903689500.0,5.2263,5.2539,5.2539,1059166900.0,1059606000.0,0.3364,0.2453,ETR
2021-12-31 00:00:00,11742908000.0,6278336100.0,5463572000.0,3801547100.0,1845625700.0,835000000.0,-422928000.0,640226000.0,1310277000.0,191526000.0,1118718900.0,1118591000.0,5.55,0.4653,0.1572,0.1116,0.0953,-0.3353,3994499000.0,1845626000.0,5.5418,5.5675,5.5675,1118718900.0,1118751000.0,0.3402,0.1959,ETR
2021-09-30 00:00:00,11391008000.0,4702399900.0,6687609000.0,3824287100.0,1656186300.0,817000000.0,-392364000.0,720088000.0,1182953000.0,-83345000.0,1265880900.0,1247559000.0,6.21,0.5871,0.1454,0.1038,0.1095,-0.2946,3862456500.0,1656186900.0,6.2809,6.3123,6.3123,1265880900.0,1266297900.0,0.3391,0.2046,ETR
2021-06-30 00:00:00,10940576000.0,3060991900.0,7879585000.0,3865182000.0,1606332500.0,804000000.0,-442237000.0,841819000.0,1164096000.0,-91901000.0,1255996900.0,1237678000.0,6.18,0.7202,0.1468,0.1064,0.1131,-0.3328,3883164500.0,1606333100.0,6.2434,6.2728,6.2728,1255996900.0,1255996900.0,0.3549,0.1817,ETR
2021-03-31 00:00:00,10531294000.0,2735522800.0,7795772000.0,3824254000.0,1877435500.0,796000000.0,-239302000.0,838278000.0,1638134000.0,15630000.0,1622503900.0,1604185000.0,8.01,0.7402,0.1783,0.1555,0.1523,-0.327,4147160500.0,1877436100.0,8.0678,8.1036,8.1036,1622503900.0,1622503900.0,0.3938,0.1881,ETR
2020-12-31 00:00:00,10113635000.0,2468638800.0,7644997000.0,3839622900.0,1769194700.0,786000000.0,-484048000.0,837981000.0,1285147000.0,-121506000.0,1406652900.0,1388334000.0,6.93,0.7559,0.1749,0.1271,0.1373,-0.2226,4026944500.0,1769195300.0,6.9947,7.0294,7.0294,1406652900.0,1406652900.0,0.3982,0.266,ETR
2020-09-30 00:00:00,10205840000.0,2531774000.0,7674066000.0,3878817900.0,1865621200.0,780000000.0,-537800000.0,822984000.0,1327821900.0,-75890000.0,1403711900.0,1385391000.0,6.92,0.7519,0.1828,0.1301,0.1357,-0.1508,4108161100.0,1865621200.0,7.0056,7.0449,7.0449,1403711900.0,1403712000.0,0.4025,0.3007,ETR
2020-06-30 00:00:00,10442847000.0,2758460000.0,7684387000.0,3935143000.0,1607534100.0,,-556196000.0,827665000.0,1051338900.0,-196133000.0,1247471900.0,1229512000.0,6.16,0.7359,0.1539,0.1007,0.1177,-0.1337,3852252100.0,1607534100.0,6.2345,6.2765,6.2765,1247471900.0,1247472000.0,0.3689,0.3076,ETR
2020-03-31 00:00:00,10696268000.0,3018678000.0,7677590000.0,4051582000.0,1506998200.0,,-667897000.0,811978000.0,839101900.0,-283790000.0,1122891900.0,1105403000.0,5.58,0.7178,0.1409,0.0784,0.1033,-0.1505,3727683300.0,1506998200.0,5.6553,5.6988,5.6988,1122891900.0,1122892000.0,0.3485,0.2781,ETR
2019-12-31 00:00:00,10878673000.0,3222498000.0,7656175000.0,4121053000.0,1390496100.0,,-302078000.0,807382000.0,1088418900.0,-169825000.0,1258243900.0,1241226000.0,6.33,0.7038,0.1278,0.1001,0.1141,-0.1517,3572809200.0,1390496100.0,6.3871,6.446,6.446,1258243900.0,1258244000.0,0.3284,0.2589,ETR
2019-09-30 00:00:00,10928850000.0,3460087000.0,7468763000.0,4134514000.0,913026800.0,,-550168900.0,815959000.0,362858000.0,-443457100.0,806315000.0,790301000.0,4.04,0.6834,0.0835,0.0332,0.0723,-0.1373,3070915000.0,913026800.0,4.0804,4.1101,4.1101,806315000.0,806315000.0,0.281,0.2419,ETR
2019-06-30 00:00:00,10892594000.0,3715458000.0,7177136000.0,4164909000.0,664133200.0,,-443122900.0,809858000.0,221010000.0,-755664100.0,976674000.0,961440000.0,5.16,0.6589,0.061,0.0203,0.0883,-0.1642,2745886400.0,664133200.0,5.1767,5.2353,5.2353,976674000.0,976674000.0,0.2521,0.2165,ETR
2019-03-31 00:00:00,10895155000.0,3785110000.0,7110045000.0,4142679000.0,416955000.0,,-469671900.0,786392000.0,-52717000.0,-1037718100.0,985001000.0,970437000.0,5.3,0.6526,0.0383,-0.0048,0.0891,-0.1501,2462553100.0,416955000.0,5.2984,5.3654,5.3654,985001000.0,985001000.0,0.226,0.2138,ETR
2018-12-31 00:00:00,11009452000.0,3806592000.0,7202860000.0,4142175000.0,469365200.0,,-643635900.0,768322000.0,-174271000.0,-1036826100.0,862555000.0,848661000.0,4.69,0.6542,0.0426,-0.0158,0.0771,-0.1416,2509920300.0,469365200.0,4.7036,4.7548,4.7548,862555000.0,862555000.0,0.228,0.2167,ETR
2018-09-30 00:00:00,11120816000.0,3701475000.0,7419341000.0,4161800000.0,935369900.0,,-376015000.0,740235000.0,559352900.0,110185000.0,449167900.0,435448000.0,2.39,0.6672,0.0841,0.0503,0.0392,-0.1005,2969726800.0,935369900.0,2.4083,2.46,2.46,449167900.0,449168000.0,0.267,0.2491,ETR
2018-06-30 00:00:00,11260125000.0,3553916000.0,7706209000.0,4085682000.0,1423337200.0,,-477356000.0,723315000.0,945979900.0,634986000.0,310993900.0,297267000.0,1.65,0.6844,0.1264,0.084,0.0264,-0.0811,3486853400.0,1423337200.0,1.6948,1.7144,1.7144,310993900.0,310994000.0,0.3097,0.2561,ETR
2018-03-31 00:00:00,11209905000.0,3483524000.0,7726381000.0,4038191000.0,1500579400.0,,-446606000.0,719046000.0,1053971900.0,578470000.0,475501900.0,461768000.0,2.57,0.6892,0.1339,0.094,0.0412,-0.1009,3572965600.0,1500579400.0,2.6283,2.6413,2.6413,475501900.0,475502000.0,0.3187,0.2365,ETR
2017-12-31 00:00:00,11074482000.0,3419539000.0,7654943000.0,4092401000.0,1360408200.0,,-392484000.0,707212000.0,967922900.0,542570000.0,425352900.0,411612000.0,2.3,0.6912,0.1228,0.0874,0.0372,-0.0813,3438986400.0,1360408200.0,2.3561,2.3674,2.3674,425352900.0,425353000.0,0.3105,0.2369,ETR
2017-09-30 00:00:00,11099163000.0,3411071100.0,7688092000.0,4109295000.0,-1404434300.0,,-513735000.0,697058000.0,-1918167000.0,-1053691000.0,-864476000.0,-878343000.0,-4.92,0.6927,-0.1265,-0.1728,-0.0791,-0.0714,731551000.0,-1404433300.0,-4.8469,-4.8518,-4.8518,-864476000.0,-864476000.0,0.0659,0.2216,ETR
2017-06-30 00:00:00,10980238000.0,3226078100.0,7754160000.0,4170474000.0,-1391376900.0,,-519121000.0,693569000.0,-1910496000.0,-1037580000.0,-872916000.0,-888371000.0,-4.97,0.7062,-0.1267,-0.174,-0.0809,-0.0449,761833000.0,-1391375900.0,-4.8879,-4.8922,-4.8922,-872916000.0,-872916000.0,0.0694,0.2337,ETR
2017-03-31 00:00:00,10824250000.0,3037771100.0,7786479000.0,4139507000.0,-1117957900.0,,-545179000.0,697823000.0,-1663135000.0,-949441000.0,-713694000.0,-730979000.0,-4.08,0.7194,-0.1033,-0.1536,-0.0675,0.0182,1036459000.0,-1117956900.0,-3.9916,-3.9931,-3.9931,-713694000.0,-713694000.0,0.0958,0.2767,ETR
2016-12-31 00:00:00,10845644000.0,3029727100.0,7815917000.0,4026657000.0,-815232800.0,,-566531000.0,700545000.0,-1381762000.0,-817259000.0,-564503000.0,-583618000.0,-3.25,0.7207,-0.0752,-0.1274,-0.0538,-0.0655,1308059100.0,-815231800.0,-3.1557,-3.1556,-3.1556,-564503000.0,-564503000.0,0.1206,0.2765,ETR
