Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,6817000000.0,3821000000.0,2995000000.0,1738800000.0,1421500500.0,11000000.0,-11200000.0,2300000.0,1411000000.0,338000000.0,1072500100.0,1073000000.0,1.87,0.4393,0.2085,0.207,0.1574,0.0929,1597000000.0,1421500100.0,1.8595,1.8659,1.8659,1072500100.0,1073000000.0,0.2343,0.1167,FAST
2022-06-30 00:00:00,6569000000.0,3678000000.0,2890000000.0,1653500000.0,1360700300.0,9000000.0,-9600000.0,2300000.0,1352000000.0,320000000.0,1031400100.0,1032000000.0,1.79,0.4399,0.2071,0.2058,0.1571,0.0825,1535000000.0,1360699900.0,1.7861,1.7927,1.7927,1031400100.0,1032000000.0,0.2337,0.1073,FAST
2022-03-31 00:00:00,6297700000.0,3493000000.0,2804700000.0,1592200000.0,1295100200.0,9000000.0,-9500000.0,4900000.0,1286200000.0,301500000.0,984000100.0,984700000.0,1.71,0.4454,0.2056,0.2042,0.1564,0.0911,1468099900.0,1295099800.0,1.7043,1.711,1.711,984000100.0,984700000.0,0.2331,0.1152,FAST
2021-12-31 00:00:00,6010700000.0,3314600000.0,2696100000.0,1520000000.0,1217400200.0,9000000.0,-9600000.0,7300000.0,1208100000.0,282800000.0,925000100.0,925300000.0,1.61,0.4486,0.2025,0.201,0.1539,0.1035,1388399900.0,1217399800.0,1.6028,1.6093,1.6093,925000100.0,925300000.0,0.231,0.1281,FAST
2021-09-30 00:00:00,5836700000.0,3193800000.0,2642900000.0,1462400000.0,1180899700.0,10000000.0,-9500000.0,7500000.0,1171300000.0,281900000.0,889899900.0,890400000.0,1.55,0.4528,0.2023,0.2007,0.1526,0.1345,1349799800.0,1180899500.0,1.5426,1.5488,1.5488,889899900.0,890399900.0,0.2313,0.1601,FAST
2021-06-30 00:00:00,5696000000.0,3092500000.0,2603500000.0,1450900000.0,1152599900.0,11000000.0,-9700000.0,10100000.0,1142900000.0,275000000.0,867899900.0,867900000.0,1.52,0.4571,0.2024,0.2006,0.1524,0.1619,1319999900.0,1152599700.0,1.5053,1.5113,1.5113,867899900.0,867899900.0,0.2317,0.1854,FAST
2021-03-31 00:00:00,5697300000.0,3122900000.0,2574400000.0,1423600000.0,1150800000.0,10000000.0,-9400000.0,9900000.0,1141400000.0,274300000.0,867099900.0,867100000.0,1.52,0.4519,0.202,0.2003,0.1522,0.1746,1316600000.0,1150799800.0,1.5054,1.5109,1.5109,867099900.0,867099900.0,0.2311,0.1993,FAST
2020-12-31 00:00:00,5647300000.0,3079500000.0,2567800000.0,1426000000.0,1141800000.0,10000000.0,-9100000.0,9700000.0,1132700000.0,273600000.0,859099900.0,859100000.0,1.5,0.4547,0.2022,0.2006,0.1521,0.1672,1304200100.0,1141799800.0,1.4923,1.4972,1.4972,859099900.0,859099900.0,0.2309,0.1951,FAST
2020-09-30 00:00:00,5566200000.0,3018800100.0,2547400000.0,1430300000.0,1116300200.0,,-9400000.0,9800000.0,1106899900.0,265200000.0,841700000.0,841700000.0,1.47,0.4577,0.2005,0.1989,0.1512,0.1541,1274600400.0,1116300100.0,1.4626,1.4672,1.4672,841700000.0,841700000.0,0.229,0.1856,FAST
2020-06-30 00:00:00,5532000000.0,2974100100.0,2557900000.0,1449000000.0,1108100100.0,,-10400000.0,10800000.0,1097699900.0,264000000.0,833700000.0,833700000.0,1.45,0.4624,0.2003,0.1984,0.1507,0.144,1262600300.0,1108100000.0,1.4498,1.4535,1.4535,833700000.0,833700000.0,0.2282,0.181,FAST
2020-03-31 00:00:00,5391400000.0,2863900100.0,2527500000.0,1460100000.0,1067100100.0,,-11700000.0,12100000.0,1055399900.0,256000000.0,799400000.0,799400000.0,1.39,0.4688,0.1979,0.1958,0.1483,0.1197,1218000300.0,1067100000.0,1.3904,1.3936,1.3936,799400000.0,799400000.0,0.2259,0.163,FAST
2019-12-31 00:00:00,5333700000.0,2818300100.0,2515400100.0,1458200000.0,1057200200.0,,-13500000.0,13900000.0,1043699900.0,252800000.0,790900000.0,790900000.0,1.38,0.4716,0.1982,0.1957,0.1483,0.113,1205900300.0,1057200100.0,1.3769,1.3798,1.3798,790900000.0,790900000.0,0.2261,0.158,FAST
2019-09-30 00:00:00,5288400000.0,2783600000.0,2504800000.0,1453899900.0,1051700100.0,,-14600000.0,15000000.0,1037100000.0,256100000.0,781000000.0,781000000.0,1.365,0.4736,0.1989,0.1961,0.1477,0.0966,1198400100.0,1051700200.0,1.3615,1.3635,1.3635,781000000.0,781000000.0,0.2266,0.1453,FAST
2019-06-30 00:00:00,5189100000.0,2719600000.0,2469500000.0,1438499900.0,1032100100.0,,-14000000.0,14400000.0,1018100000.0,253000000.0,765100000.0,765100000.0,1.34,0.4759,0.1989,0.1962,0.1474,0.0892,1176300100.0,1032100200.0,1.3338,1.3355,1.3355,765100000.0,765100000.0,0.2267,0.1341,FAST
2019-03-31 00:00:00,5088600000.0,2642600000.0,2446000000.0,1421099900.0,1026100100.0,,-13500000.0,13900000.0,1012600000.0,240900000.0,771700000.0,771700000.0,1.35,0.4807,0.2016,0.199,0.1517,0.1039,1167300100.0,1026100200.0,1.3453,1.3464,1.3464,771700000.0,771700000.0,0.2294,0.1414,FAST
2018-12-31 00:00:00,4965100000.0,2566200000.0,2398899900.0,1400199900.0,999200000.0,,-12200000.0,12600000.0,987000000.0,235100000.0,751900000.0,751900000.0,1.315,0.4832,0.2012,0.1988,0.1514,0.1022,1137400000.0,999200100.0,1.3093,1.3102,1.3102,751900000.0,751900000.0,0.2291,0.1358,FAST
2018-09-30 00:00:00,4822000000.0,2479699900.0,2342300100.0,1373600100.0,969100000.0,,-11100000.0,11500000.0,958000000.0,222500000.0,735500000.0,735500000.0,1.285,0.4858,0.201,0.1987,0.1525,0.1038,1103700000.0,969100000.0,1.2792,1.2801,1.2801,735500000.0,735500000.0,0.2289,0.1297,FAST
2018-06-30 00:00:00,4675000000.0,2392599900.0,2282400100.0,1347300100.0,935300000.0,,-10700000.0,11100000.0,924600000.0,243600000.0,681000000.0,681000000.0,1.19,0.4882,0.2001,0.1978,0.1457,0.1048,1067600000.0,935300000.0,1.184,1.1847,1.1847,681000000.0,681000000.0,0.2284,0.1291,FAST
2018-03-31 00:00:00,4528600000.0,2305399900.0,2223200100.0,1319600100.0,903800000.0,,-9700000.0,10100000.0,894100000.0,275400000.0,618700000.0,618700000.0,1.08,0.4909,0.1996,0.1974,0.1366,0.091,1033900000.0,903800000.0,1.0742,1.0748,1.0748,618700000.0,618700000.0,0.2283,0.118,FAST
2017-12-31 00:00:00,4390500000.0,2226899900.0,2163600000.0,1282800100.0,881800000.0,,-8700000.0,9100000.0,873100000.0,294500000.0,578600000.0,578600000.0,1.005,0.4928,0.2008,0.1989,0.1318,0.1077,1009200000.0,881800000.0,1.0033,1.0038,1.0038,578600000.0,578600000.0,0.2299,0.1333,FAST
2017-09-30 00:00:00,4249899800.0,2145599900.0,2104299900.0,1244600000.0,860999900.0,,-7900000.0,8300000.0,853100000.0,312100000.0,541000000.0,541000000.0,0.94,0.4951,0.2026,0.2007,0.1273,0.1145,985199900.0,861000100.0,0.9366,0.9375,0.9375,541000000.0,541000000.0,0.2318,0.1386,FAST
2017-06-30 00:00:00,4130199800.0,2081999900.0,2048199900.0,1214200000.0,835399900.0,,-7100000.0,7500000.0,828300000.0,303500000.0,524800000.0,524800000.0,0.91,0.4959,0.2023,0.2005,0.1271,0.0992,953799900.0,835400100.0,0.9073,0.9082,0.9082,524800000.0,524800000.0,0.2309,0.1355,FAST
2017-03-31 00:00:00,4022999800.0,2031699900.0,1991299900.0,1185200000.0,807099900.0,,-6400000.0,6800000.0,800700000.0,293300000.0,507400000.0,507400000.0,0.88,0.495,0.2006,0.199,0.1261,0.0971,918399900.0,807100100.0,0.8769,0.8779,0.8779,507400000.0,507400000.0,0.2283,0.1401,FAST
2016-12-31 00:00:00,3961999800.0,1997199900.0,1964800000.0,1169500000.0,795799900.0,,-6100000.0,6500000.0,789700000.0,290300000.0,499400000.0,499400000.0,0.87,0.4959,0.2009,0.1993,0.126,0.085,899799900.0,795800100.0,0.8634,0.8644,0.8644,499400000.0,499400000.0,0.2271,0.1312,FAST
2016-09-30 00:00:00,3936905900.0,1983468000.0,1953437900.0,1161991000.0,792486800.0,,-5302000.0,5703000.0,787185000.0,290642000.0,496543000.0,496543000.0,0.865,0.4962,0.2013,0.2,0.1261,0.0877,893091800.0,792486800.0,0.8584,0.8589,0.8589,496543000.0,496543000.0,0.2269,0.1359,FAST
2016-06-30 00:00:00,3919055900.0,1963193000.0,1955862900.0,1147269000.0,809595800.0,,-4407000.0,4845000.0,805189000.0,299052000.0,506137000.0,506137000.0,0.88,0.4991,0.2066,0.2055,0.1291,0.1009,904837800.0,809595800.0,0.8738,0.8747,0.8747,506137000.0,506137000.0,0.2309,0.1385,FAST
2016-03-31 00:00:00,3902582900.0,1946233000.0,1956349900.0,1131313000.0,826228800.0,,-3741000.0,4142000.0,822488000.0,307494000.0,514994000.0,514994000.0,0.89,0.5013,0.2117,0.2108,0.132,0.1037,916684800.0,826228800.0,0.8869,0.8881,0.8881,514994000.0,514994000.0,0.2349,0.1375,FAST
2015-12-31 00:00:00,3869199900.0,1920300000.0,1948899900.0,1121500000.0,828799800.0,,-2700000.0,3100000.0,826100000.0,309700000.0,516400000.0,516400000.0,0.885,0.5037,0.2142,0.2135,0.1335,0.1047,915399800.0,828799800.0,0.8842,0.8857,0.8857,516400000.0,516400000.0,0.2366,0.1422,FAST
2015-09-30 00:00:00,3872648200.0,1916722000.0,1955926100.0,1118194100.0,838634500.0,,-2000000.0,2421000.0,836634100.0,313786000.0,522848000.0,522848000.0,0.89,0.5051,0.2166,0.216,0.135,0.1062,918330500.0,838634300.0,0.8905,0.8925,0.8925,522848000.0,522848000.0,0.2371,0.1468,FAST
2015-06-30 00:00:00,3858212200.0,1905818000.0,1952394100.0,1121948100.0,831496500.0,,-1078000.0,1750000.0,830418100.0,310750000.0,519668000.0,519668000.0,0.88,0.506,0.2155,0.2152,0.1347,0.0946,908273500.0,831496300.0,0.8797,0.8818,0.8818,519668000.0,519668000.0,0.2354,0.1393,FAST
2015-03-31 00:00:00,3810323200.0,1877349000.0,1932974100.0,1121320100.0,812510500.0,,-409000.0,1147000.0,812101100.0,302276000.0,509825000.0,509825000.0,0.86,0.5073,0.2132,0.2131,0.1338,0.0897,887313500.0,812510300.0,0.8585,0.8607,0.8607,509825000.0,509825000.0,0.2329,0.1407,FAST
2014-12-31 00:00:00,3733507200.0,1836105000.0,1897402100.0,1110776100.0,787590500.0,,-156000.0,915000.0,787434100.0,293284000.0,494150000.0,494150000.0,0.835,0.5082,0.211,0.2109,0.1324,0.0846,860262500.0,787590300.0,0.831,0.8333,0.8333,494150000.0,494150000.0,0.2304,0.1338,FAST
2014-09-30 00:00:00,3621012900.0,1779726100.0,1841286900.0,1086381000.0,755703100.0,,186000.0,642000.0,755889000.0,280901000.0,474988000.0,474988000.0,0.8,0.5085,0.2087,0.2088,0.1312,0.0647,826263100.0,755703000.0,0.7982,0.8005,0.8005,474988000.0,474988000.0,0.2282,0.1198,FAST
2014-06-30 00:00:00,3498622900.0,1712634100.0,1785988900.0,1055206000.0,731382100.0,,162000.0,396000.0,731544000.0,270520000.0,461024000.0,461024000.0,0.775,0.5105,0.209,0.2091,0.1318,0.0624,799899100.0,731382000.0,0.7745,0.7768,0.7768,461024000.0,461024000.0,0.2286,0.1215,FAST
2014-03-31 00:00:00,3396280900.0,1650238100.0,1746042900.0,1029940000.0,716749100.0,,392000.0,205000.0,717141000.0,265622000.0,451519000.0,451519000.0,0.76,0.5141,0.211,0.2112,0.1329,0.0649,783175100.0,716749000.0,0.7584,0.7608,0.7608,451519000.0,451519000.0,0.2306,0.1175,FAST
2013-12-31 00:00:00,3326105900.0,1606661100.0,1719444900.0,1007431000.0,712657100.0,,811000.0,113000.0,713468000.0,264832000.0,448636000.0,448636000.0,0.755,0.517,0.2143,0.2145,0.1349,0.0645,776848100.0,712657000.0,0.7535,0.7559,0.7559,448636000.0,448636000.0,0.2336,0.1251,FAST
2013-09-30 00:00:00,3269581000.0,1570763900.0,1698817000.0,985955000.0,713566900.0,,778000.0,,714345000.0,266222000.0,448123000.0,448123000.0,0.755,0.5196,0.2182,0.2185,0.1371,0.0717,775522900.0,713566800.0,0.7528,0.7552,0.7552,448123000.0,448123000.0,0.2372,0.1292,FAST
2013-06-30 00:00:00,3213734000.0,1543936900.0,1669797000.0,969812000.0,700736000.0,,802000.0,,701538000.0,263445000.0,438093000.0,438093000.0,0.74,0.5196,0.218,0.2183,0.1363,0.0765,759906000.0,700735900.0,0.7363,0.7387,0.7387,438093000.0,438093000.0,0.2365,0.1306,FAST
2013-03-31 00:00:00,3171028000.0,1528800900.0,1642227000.0,955600000.0,687417000.0,,781000.0,,688198000.0,258808000.0,429390000.0,429390000.0,0.725,0.5179,0.2168,0.217,0.1354,0.0831,744084000.0,687416900.0,0.7221,0.7244,0.7244,429390000.0,429390000.0,0.2347,0.1338,FAST
2012-12-31 00:00:00,3133577000.0,1519052900.0,1614524000.0,941236000.0,673691000.0,,464000.0,,674155000.0,253619000.0,420536000.0,420536000.0,0.71,0.5152,0.215,0.2151,0.1342,0.0837,727743000.0,673690900.0,0.7076,0.7101,0.7101,420536000.0,420536000.0,0.2322,0.1265,FAST
