Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,23186000000.0,14789000000.0,8397000000.0,106000000.0,407000000.0,7812000000.0,594000000.0,-660000000.0,594000000.0,7152000000.0,2335000000.0,4817000000.0,43000000.0,3877000000.0,2.63,0.3622,0.3369,0.3085,0.1672,0.1468,9884000000.0,7812000000.0,2.5939,,3.3448,,2.6152,4860000000.0,,4860000000.0,0.4263,0.2739,FCX
2022-06-30 00:00:00,24266000000.0,14441000000.0,9825000000.0,83000000.0,411000000.0,9312000000.0,592000000.0,-667000000.0,592000000.0,8645000000.0,2648000000.0,5997000000.0,26000000.0,4872000000.0,3.29,0.4049,0.3837,0.3563,0.2008,0.2055,11404000000.0,9312000000.0,3.3658,,4.1264,,3.3968,6023000000.0,,6023000000.0,0.47,0.3114,FCX
2022-03-31 00:00:00,24598000000.0,14463000000.0,10135000000.0,72000000.0,398000000.0,9643000000.0,580000000.0,-669000000.0,584000000.0,8974000000.0,2680000000.0,6294000000.0,22000000.0,5115000000.0,3.45,0.412,0.392,0.3648,0.2079,0.249,11711000000.0,9643000000.0,3.5509,,4.3164,,3.5868,6316000000.0,,6316000000.0,0.4761,0.3387,FCX
2021-12-31 00:00:00,22845000000.0,14030000000.0,8815000000.0,55000000.0,383000000.0,8366000000.0,594000000.0,-707000000.0,602000000.0,7659000000.0,2299000000.0,5360000000.0,5000000.0,4306000000.0,2.89,0.3859,0.3662,0.3353,0.1885,0.2559,10364000000.0,8366000000.0,2.9,,3.6596,,2.93,5365000000.0,,5365000000.0,0.4537,0.3377,FCX
2021-09-30 00:00:00,21176000000.0,13373000000.0,7803000000.0,44000000.0,386000000.0,7770000000.0,659000000.0,-615000000.0,667000000.0,7155000000.0,2285000000.0,4870000000.0,1000000.0,3908000000.0,2.63,0.3685,0.3669,0.3379,0.1845,0.2708,9635000000.0,7770000000.0,3.1112,,3.3228,,3.1374,4865000000.0,,4865000000.0,0.455,0.3193,FCX
2021-06-30 00:00:00,18944000000.0,12690000000.0,6254000000.0,37000000.0,356000000.0,6188000000.0,641000000.0,-670000000.0,649000000.0,5518000000.0,1954000000.0,3564000000.0,13000000.0,2838000000.0,1.91,0.3301,0.3266,0.2913,0.1498,0.2645,7919000000.0,6188000000.0,2.2458,,2.4472,,2.2618,3574000000.0,,3574000000.0,0.418,0.3185,FCX
2021-03-31 00:00:00,16250000000.0,11753000000.0,4497000000.0,41000000.0,360000000.0,4442000000.0,612000000.0,-635000000.0,616000000.0,3807000000.0,1447000000.0,2360000000.0,10000000.0,1808000000.0,1.21,0.2767,0.2734,0.2343,0.1113,0.1878,6048000000.0,4442000000.0,1.4333,,1.6252,,1.4398,2367000000.0,,2367000000.0,0.3722,0.2542,FCX
2020-12-31 00:00:00,14198000000.0,11655000000.0,2543000000.0,50000000.0,370000000.0,2437000000.0,591000000.0,-640000000.0,598000000.0,1797000000.0,944000000.0,853000000.0,,599000000.0,0.39,0.1791,0.1716,0.1266,0.0422,0.124,3965000000.0,2437000000.0,0.41,,0.5953,,0.4099,865000000.0,,865000000.0,0.2793,0.2125,FCX
2020-09-30 00:00:00,13614000000.0,11999000000.0,1615000000.0,63000000.0,362000000.0,1503000000.0,496000000.0,-809000000.0,581000000.0,694000000.0,662000000.0,32000000.0,17000000.0,-97000000.0,-0.09,0.1186,0.1104,0.051,-0.0071,0.0008,2987000000.0,1503000000.0,0.0126,,0.034,,0.0145,49000000.0,,50000000.0,0.2194,0.1366,FCX
2020-06-30 00:00:00,12916000000.0,12164000000.0,752000000.0,80000000.0,391000000.0,585000000.0,,-763000000.0,584000000.0,-178000000.0,456000000.0,-634000000.0,16000000.0,-633000000.0,-0.4,0.0582,0.0453,-0.0138,-0.049,-0.0858,1997000000.0,585000000.0,-0.4331,,-0.4245,,-0.4328,-618000000.0,,-616000000.0,0.1546,0.0656,FCX
2020-03-31 00:00:00,13408000000.0,12910000000.0,498000000.0,93000000.0,392000000.0,297000000.0,,-786000000.0,601000000.0,-489000000.0,345000000.0,-834000000.0,18000000.0,-758000000.0,-0.48,0.0371,0.0222,-0.0365,-0.0565,-0.0885,1703000000.0,297000000.0,-0.5681,,-0.5608,,-0.5681,-816000000.0,,-814000000.0,0.127,0.0679,FCX
