Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,14487000000.0,8875000000.0,5612000000.0,4060000000.0,1448000000.0,212000000.0,1739000000.0,214000000.0,1293000000.0,347000000.0,946000000.0,,937000000.0,1.53,0.3874,0.1,0.0893,0.0647,0.1694,5321000000.0,1448000000.0,1.5443,,1.5477,,1.5477,946000000.0,,946000000.0,0.3673,0.27,FIS
2022-06-30 00:00:00,14390000000.0,8905000000.0,5485000000.0,3885000000.0,1124000000.0,182000000.0,2148000000.0,184000000.0,1150000000.0,297000000.0,853000000.0,,846000000.0,1.38,0.3812,0.0781,0.0799,0.0588,0.2416,5331000000.0,1124000000.0,1.3859,,1.3905,,1.3905,853000000.0,,853000000.0,0.3705,0.3382,FIS
2022-03-31 00:00:00,14146000000.0,8806000000.0,5340000000.0,3780000000.0,1113000000.0,183000000.0,1219000000.0,185000000.0,1432000000.0,522000000.0,910000000.0,,910000000.0,1.48,0.3775,0.0787,0.1012,0.0643,0.2478,6049000000.0,1113000000.0,1.4757,,1.4825,,1.4825,915000000.0,,915000000.0,0.4276,0.3443,FIS
2021-12-31 00:00:00,13877000000.0,8682000000.0,5195000000.0,3751000000.0,1055000000.0,214000000.0,393000000.0,216000000.0,789000000.0,371000000.0,418000000.0,,417000000.0,0.68,0.3744,0.076,0.0569,0.03,0.2565,5690000000.0,1055000000.0,0.6828,,0.6883,,0.6883,424000000.0,,424000000.0,0.41,0.3466,FIS
2021-09-30 00:00:00,13520000000.0,8540000000.0,4980000000.0,3688000000.0,767000000.0,250000000.0,165000000.0,255000000.0,475000000.0,247000000.0,228000000.0,,230000000.0,0.38,0.3683,0.0567,0.0351,0.017,0.2919,5114000000.0,767000000.0,0.3765,,0.3856,,0.3856,236000000.0,,236000000.0,0.3783,0.3783,FIS
2021-06-30 00:00:00,13210000000.0,8466000000.0,4744000000.0,3748000000.0,860000000.0,288000000.0,-444000000.0,293000000.0,416000000.0,327000000.0,89000000.0,1000000.0,92000000.0,0.15,0.3591,0.0651,0.0315,0.007,0.2663,4698000000.0,860000000.0,0.1515,,0.1585,,0.1585,97000000.0,,97000000.0,0.3556,0.3553,FIS
2021-03-31 00:00:00,12697000000.0,8377000000.0,4320000000.0,3641000000.0,543000000.0,328000000.0,-734000000.0,333000000.0,-191000000.0,29000000.0,-220000000.0,-5000000.0,-230000000.0,-0.37,0.3402,0.0428,-0.015,-0.0181,0.2972,4326000000.0,543000000.0,-0.363,,-0.36,,-0.36,-224000000.0,,-224000000.0,0.3407,0.3855,FIS
2020-12-31 00:00:00,12552000000.0,8348000000.0,4204000000.0,3516000000.0,552000000.0,334000000.0,-286000000.0,339000000.0,266000000.0,96000000.0,170000000.0,0.0,158000000.0,0.25,0.3349,0.044,0.0212,0.0126,0.2639,4297000000.0,552000000.0,0.2616,,0.265,,0.265,164000000.0,,164000000.0,0.3423,0.3539,FIS
2020-09-30 00:00:00,12579000000.0,8226000000.0,4353000000.0,3845000000.0,508000000.0,347000000.0,-527000000.0,399000000.0,-19000000.0,75000000.0,-94000000.0,,-104000000.0,-0.18,0.3461,0.0404,-0.0015,-0.0083,0.2044,4255000000.0,508000000.0,-0.4594,,-0.4624,,-0.4624,-96000000.0,,-96000000.0,0.3383,0.2936,FIS
2020-06-30 00:00:00,12204000000.0,7960000000.0,4244000000.0,3740000000.0,417000000.0,,-370000000.0,410000000.0,47000000.0,2000000.0,45000000.0,-7000000.0,30000000.0,0.09,0.3478,0.0342,0.0039,0.0025,0.1715,3985000000.0,417000000.0,-0.1968,,-0.1956,,-0.1956,38000000.0,,38000000.0,0.3265,0.2625,FIS
2020-03-31 00:00:00,11354000000.0,7318000000.0,4036000000.0,3187000000.0,762000000.0,,-548000000.0,394000000.0,214000000.0,38000000.0,176000000.0,-4000000.0,165000000.0,0.54,0.3555,0.0671,0.0188,0.0145,0.133,3780000000.0,762000000.0,0.2436,,0.2488,,0.2488,172000000.0,,172000000.0,0.3329,0.2201,FIS
2019-12-31 00:00:00,10333000000.0,6610000000.0,3723000000.0,2667000000.0,969000000.0,,-556000000.0,389000000.0,413000000.0,100000000.0,313000000.0,-10000000.0,298000000.0,0.98,0.3603,0.0938,0.04,0.0288,0.1531,3437000000.0,969000000.0,0.6719,,0.6809,,0.6809,303000000.0,,303000000.0,0.3326,0.2332,FIS
2019-09-30 00:00:00,9158000000.0,6000000000.0,3158000000.0,1756000000.0,1315000000.0,,-320000000.0,331000000.0,995000000.0,206000000.0,789000000.0,-19000000.0,754000000.0,2.16,0.3448,0.1436,0.1086,0.0823,0.1904,3184000000.0,1315000000.0,2.1665,,2.1927,,2.1927,770000000.0,,770000000.0,0.3477,0.2671,FIS
2019-06-30 00:00:00,8420000000.0,5526000000.0,2894000000.0,1282000000.0,1517000000.0,,-527000000.0,316000000.0,990000000.0,195000000.0,795000000.0,-18000000.0,754000000.0,2.33,0.3437,0.1802,0.1176,0.0895,0.1662,2985000000.0,1517000000.0,2.3612,,2.3874,,2.3874,777000000.0,,777000000.0,0.3545,0.2363,FIS
