Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,5594000000.0,3287000000.0,2307000000.0,316000000.0,757800000.0,1029700800.0,136000000.0,141000000.0,140000000.0,877000000.0,150000000.0,724500000.0,655000000.0,5.14,0.4124,0.1841,0.1568,0.1171,0.0699,1387000000.0,1029700700.0,5.77,-0.62,5.1186,-0.62,5.79,724500100.0,-78000000.0,725000000.0,0.2479,0.0965,FMC
2022-06-30 00:00:00,5411000000.0,3078000000.0,2333000000.0,317000000.0,763400000.0,1034800800.0,127000000.0,181000000.0,131300000.0,885000000.0,123000000.0,761900000.0,692000000.0,5.41,0.4312,0.1912,0.1636,0.1279,0.0613,1409000000.0,1034800700.0,6.01,-0.57,5.4455,-0.57,6.02,761900100.0,-71500000.0,761000000.0,0.2604,0.0847,FMC
2022-03-31 00:00:00,5201000000.0,2958200000.0,2241800000.0,302900000.0,729600000.0,1087500800.0,124000000.0,59600000.0,128600000.0,939200000.0,101400000.0,837700000.0,760900000.0,5.93,0.431,0.2091,0.1806,0.1463,0.0748,1351100000.0,1087500700.0,6.53,-0.59,5.98,-0.59,6.55,837700100.0,-75300000.0,822200000.0,0.2598,0.0989,FMC
2021-12-31 00:00:00,5045600000.0,2884400000.0,2160200000.0,304900000.0,715600000.0,1044900600.0,127000000.0,-600000.0,131100000.0,893700000.0,91600000.0,802200000.0,736500000.0,5.71,0.4281,0.2071,0.1771,0.146,0.1427,1282400000.0,1044900500.0,6.23,-0.53,5.7163,-0.53,6.25,802200100.0,-68200000.0,779400000.0,0.2542,0.1625,FMC
2021-09-30 00:00:00,4783800000.0,2727200200.0,2056599800.0,304500000.0,702100000.0,911900000.0,125000000.0,-91000000.0,132400000.0,761200000.0,143200000.0,619900000.0,591600000.0,4.58,0.4299,0.1906,0.1591,0.1237,0.1154,1117300000.0,911900100.0,4.77,-0.19,4.6171,-0.19,4.78,619900000.0,-24000000.0,603700000.0,0.2336,0.1348,FMC
2021-06-30 00:00:00,4674400000.0,2662400200.0,2011999800.0,296200000.0,704800000.0,892199900.0,130000000.0,-161100000.0,134800000.0,731100000.0,152600000.0,578500000.0,545000000.0,4.22,0.4304,0.1909,0.1564,0.1166,0.1236,1060799900.0,892200000.0,4.44,-0.25,4.2161,-0.25,4.46,578500000.0,-32700000.0,545800000.0,0.2269,0.1433,FMC
2021-03-31 00:00:00,4587700000.0,2584800200.0,2002899900.0,294600000.0,714800000.0,871500000.0,140000000.0,-166600000.0,142900000.0,704900000.0,148400000.0,556500000.0,526500000.0,4.07,0.4366,0.19,0.1536,0.1148,0.13,1037700000.0,871500100.0,4.26,-0.22,4.0681,-0.22,4.28,556500000.0,-28900000.0,527600000.0,0.2262,0.1467,FMC
2020-12-31 00:00:00,4642100000.0,2590100200.0,2051999900.0,287900000.0,729700000.0,902200000.0,149000000.0,-172400000.0,151300000.0,729800000.0,150900000.0,578900000.0,550100000.0,4.25,0.442,0.1944,0.1572,0.1185,0.1251,1064900000.0,902200100.0,4.44,-0.22,4.2452,-0.22,4.46,578900000.0,-28300000.0,550600000.0,0.2294,0.1395,FMC
2020-09-30 00:00:00,4687200000.0,2580599900.0,2106600100.0,279700000.0,771900000.0,867399700.0,162000000.0,-178500000.0,161800000.0,688900000.0,118200000.0,570700000.0,497300000.0,3.85,0.4494,0.1851,0.147,0.1061,0.1299,1027099700.0,867399700.0,4.36,-0.53,3.8754,-0.53,4.4,570700000.0,-70200000.0,500500000.0,0.2191,0.1506,FMC
2020-06-30 00:00:00,4616900000.0,2544299900.0,2072600100.0,285400000.0,772500000.0,831299800.0,,-171800000.0,167900000.0,659500000.0,108500000.0,551000000.0,476300000.0,3.68,0.4489,0.1801,0.1428,0.1032,0.1112,986099800.0,831299800.0,4.22,-0.55,3.6987,-0.55,4.25,551000000.0,-73100000.0,477900000.0,0.2136,0.1344,FMC
2020-03-31 00:00:00,4667700000.0,2567299900.0,2100400000.0,294200000.0,798400000.0,831199700.0,,-171700000.0,166700000.0,659500000.0,109900000.0,549600000.0,466400000.0,3.58,0.45,0.1781,0.1413,0.0999,0.0687,983099700.0,831199700.0,4.19,-0.61,3.6174,-0.61,4.21,549600000.0,-80400000.0,469200000.0,0.2106,0.0937,FMC
2019-12-31 00:00:00,4609800000.0,2526199900.0,2083600000.0,298100000.0,792900000.0,821599700.0,,-166600000.0,160400000.0,655000000.0,111500000.0,543500000.0,475900000.0,3.62,0.452,0.1782,0.1421,0.1032,0.0856,971699700.0,821599700.0,4.1,-0.48,3.6724,-0.48,4.12,543500000.0,-63300000.0,480200000.0,0.2108,0.106,FMC
2019-09-30 00:00:00,4511900000.0,2492600000.0,2019299800.0,298500000.0,771700000.0,887000000.0,,-152700000.0,148400000.0,734500000.0,65000000.0,669500000.0,513000000.0,3.88,0.4475,0.1966,0.1628,0.1137,-0.0185,1036900000.0,886999900.0,5.02,-1.16,3.9427,-1.16,5.04,669500000.0,-151900000.0,517600000.0,0.2298,-0.0035,FMC
2019-06-30 00:00:00,4421200000.0,2439100000.0,1982099800.0,291200000.0,778000000.0,832200000.0,,-144500000.0,140200000.0,687900000.0,78300000.0,609600000.0,495400000.0,3.73,0.4483,0.1882,0.1556,0.1121,-0.0254,983300000.0,832199900.0,4.53,-0.82,3.811,-0.82,4.55,609600000.0,-106700000.0,502900000.0,0.2224,-0.0114,FMC
