Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,151736000000.0,128974000000.0,22762000000.0,17308000000.0,5454000000.0,1379000000.0,1582000000.0,1379000000.0,7036000000.0,-1826000000.0,8862000000.0,9012000000.0,2.25,0.15,0.0359,0.0464,0.0594,0.0174,11763000000.0,5454000000.0,2.1868,2.2226,2.2226,8862000000.0,8862000000.0,0.0775,0.0607,F
2022-06-30 00:00:00,148027000000.0,124677000000.0,23350000000.0,17058000000.0,6292000000.0,1497000000.0,3754000000.0,1497000000.0,10046000000.0,-1568000000.0,11614000000.0,11671000000.0,2.92,0.1577,0.0425,0.0679,0.0788,0.0404,12494000000.0,6292000000.0,2.8695,2.91,2.91,11614000000.0,11614000000.0,0.0844,0.0838,F
2022-03-31 00:00:00,134589000000.0,114390000000.0,20199000000.0,16797000000.0,3402000000.0,1638000000.0,6588000000.0,1638000000.0,9990000000.0,-1539000000.0,11529000000.0,11565000000.0,2.89,0.1501,0.0253,0.0742,0.0859,0.0296,9167000000.0,3402000000.0,2.8493,2.8898,2.8898,11529000000.0,11529000000.0,0.0681,0.0759,F
2021-12-31 00:00:00,136341000000.0,114651000000.0,21690000000.0,17167000000.0,4523000000.0,1803000000.0,13257000000.0,1803000000.0,17780000000.0,-130000000.0,17910000000.0,17937000000.0,4.49,0.1591,0.0332,0.1304,0.1316,0.0701,10483000000.0,4523000000.0,4.4398,4.4876,4.4876,17910000000.0,17910000000.0,0.0769,0.1158,F
2021-09-30 00:00:00,134615000000.0,115333000000.0,19282000000.0,17940000000.0,1342000000.0,1839000000.0,1410000000.0,1839000000.0,2752000000.0,-94000000.0,2846000000.0,2867000000.0,0.72,0.1432,0.01,0.0204,0.0213,0.0803,7511000000.0,1342000000.0,0.7059,0.7136,0.7136,2846000000.0,2846000000.0,0.0558,0.1248,F
2021-06-30 00:00:00,136433000000.0,116499000000.0,19934000000.0,17583000000.0,2351000000.0,1898000000.0,1272000000.0,1898000000.0,3623000000.0,209000000.0,3414000000.0,3420000000.0,0.86,0.1461,0.0172,0.0266,0.0251,0.1115,8520000000.0,2351000000.0,0.8513,0.8586,0.8586,3414000000.0,3414000000.0,0.0624,0.153,F
2021-03-31 00:00:00,129052000000.0,111527000000.0,17525000000.0,17911000000.0,-386000000.0,1895000000.0,4358000000.0,1895000000.0,3972000000.0,-7000000.0,3979000000.0,3976000000.0,1.0,0.1358,-0.003,0.0308,0.0308,0.1852,6671000000.0,-386000000.0,0.9941,1.0014,1.0014,3979000000.0,3979000000.0,0.0517,0.2265,F
2020-12-31 00:00:00,127144000000.0,112752000000.0,14392000000.0,18800000000.0,-4408000000.0,1649000000.0,3292000000.0,1649000000.0,-1116000000.0,160000000.0,-1276000000.0,-1279000000.0,-0.32,0.1132,-0.0347,-0.0088,-0.0101,0.1457,3049000000.0,-4408000000.0,-0.3211,-0.3211,-0.3211,-1276000000.0,-1276000000.0,0.024,0.1909,F
2020-09-30 00:00:00,130907000000.0,114489000000.0,16418000000.0,18841000000.0,-2423000000.0,1430000000.0,2681000000.0,1430000000.0,258000000.0,415000000.0,-157000000.0,-163000000.0,-0.04,0.1254,-0.0185,0.002,-0.0012,0.1233,5380000000.0,-2423000000.0,-0.0439,-0.0413,-0.0413,-157000000.0,-157000000.0,0.0411,0.1729,F
2020-06-30 00:00:00,130396000000.0,115548000000.0,14848000000.0,19883000000.0,-5035000000.0,,2518000000.0,1208000000.0,-2517000000.0,-393000000.0,-2124000000.0,-2123000000.0,-0.53,0.1139,-0.0386,-0.0193,-0.0163,0.0709,3266000000.0,-5035000000.0,-0.5351,-0.5359,-0.5359,-2124000000.0,-2124000000.0,0.025,0.1248,F
