Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,38848000000.0,32291000000.0,6557000000.0,2387000000.0,4170000000.0,372000000.0,159000000.0,372000000.0,3957000000.0,607000000.0,3350000000.0,3350000000.0,12.01,0.1688,0.1073,0.1019,0.0862,0.1181,5054000000.0,4170000000.0,12.0054,,12.1107,,12.1107,3350000000.0,,3350000000.0,0.1301,0.1439,GD
2022-06-30 00:00:00,38441000000.0,31919000000.0,6522000000.0,2370000000.0,4152000000.0,385000000.0,152000000.0,385000000.0,3919000000.0,611000000.0,3308000000.0,3308000000.0,11.82,0.1697,0.108,0.1019,0.0861,0.1258,5028000000.0,4152000000.0,11.8088,,11.9046,,11.9046,3308000000.0,,3308000000.0,0.1308,0.1504,GD
2022-03-31 00:00:00,38472000000.0,32027000000.0,6445000000.0,2312000000.0,4133000000.0,399000000.0,34000000.0,399000000.0,3877000000.0,598000000.0,3279000000.0,3279000000.0,11.7,0.1675,0.1074,0.1008,0.0852,0.1389,5021000000.0,4133000000.0,11.6742,,11.7571,,11.7571,3279000000.0,,3279000000.0,0.1305,0.1621,GD
2021-12-31 00:00:00,38469000000.0,32061000000.0,6408000000.0,2245000000.0,4163000000.0,424000000.0,-98000000.0,424000000.0,3873000000.0,616000000.0,3257000000.0,3257000000.0,11.58,0.1666,0.1082,0.1007,0.0847,0.088,5053000000.0,4163000000.0,11.549,,11.6145,,11.6145,3257000000.0,,3257000000.0,0.1314,0.111,GD
2021-09-30 00:00:00,38658000000.0,32142000000.0,6516000000.0,2246000000.0,4270000000.0,451000000.0,-245000000.0,451000000.0,3926000000.0,619000000.0,3307000000.0,3307000000.0,11.69,0.1686,0.1105,0.1016,0.0855,0.1113,5155000000.0,4270000000.0,11.6441,,11.7017,,11.7017,3307000000.0,,3307000000.0,0.1333,0.1332,GD
2021-06-30 00:00:00,38521000000.0,32051000000.0,6470000000.0,2208000000.0,4262000000.0,470000000.0,-373000000.0,470000000.0,3889000000.0,608000000.0,3281000000.0,3281000000.0,11.53,0.168,0.1106,0.101,0.0852,0.1021,5148000000.0,4262000000.0,11.4807,,11.5263,,11.5263,3281000000.0,,3281000000.0,0.1336,0.1246,GD
2021-03-31 00:00:00,38565000000.0,32202000000.0,6363000000.0,2226000000.0,4137000000.0,493000000.0,-402000000.0,493000000.0,3735000000.0,566000000.0,3169000000.0,3169000000.0,11.08,0.165,0.1073,0.0968,0.0822,0.0936,5018000000.0,4137000000.0,11.0474,,11.0835,,11.0835,3169000000.0,,3169000000.0,0.1301,0.1174,GD
2020-12-31 00:00:00,37925000000.0,31600000000.0,6325000000.0,2192000000.0,4133000000.0,477000000.0,-395000000.0,477000000.0,3738000000.0,571000000.0,3167000000.0,3167000000.0,11.04,0.1668,0.109,0.0986,0.0835,0.0762,5011000000.0,4133000000.0,10.9999,,11.038,,11.038,3167000000.0,,3167000000.0,0.1321,0.1017,GD
2020-09-30 00:00:00,38217000000.0,31881000000.0,6336000000.0,2246000000.0,4090000000.0,467000000.0,-323000000.0,467000000.0,3767000000.0,582000000.0,3185000000.0,3185000000.0,11.07,0.1658,0.107,0.0986,0.0833,0.0703,4937000000.0,4090000000.0,11.0248,,11.0745,,11.0745,3185000000.0,,3185000000.0,0.1292,0.0966,GD
2020-06-30 00:00:00,38547000000.0,32007000000.0,6540000000.0,2306000000.0,4234000000.0,,-355000000.0,463000000.0,3879000000.0,615000000.0,3264000000.0,3264000000.0,11.33,0.1697,0.1098,0.1006,0.0847,0.0683,5079000000.0,4234000000.0,11.2598,,11.329,,11.329,3264000000.0,,3264000000.0,0.1318,0.095,GD
