Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,8193000000.0,5832000000.0,2361000000.0,390000000.0,1923000000.0,400000000.0,46000000.0,390000000.0,1568000000.0,496000000.0,1072000000.0,1074000000.0,3.84,0.2882,0.2347,0.1914,0.1311,0.1664,2118000000.0,1923000000.0,3.848,,3.8757,,3.8757,1072000000.0,,1072000000.0,0.2585,0.1773,HLT
2022-06-30 00:00:00,7573000000.0,5382000000.0,2191000000.0,404000000.0,1732000000.0,387000000.0,29000000.0,382000000.0,1381000000.0,415000000.0,966000000.0,968000000.0,3.44,0.2893,0.2287,0.1824,0.1278,0.1289,1941000000.0,1732000000.0,3.4439,,3.4685,,3.4685,966000000.0,,966000000.0,0.2563,0.14,HLT
2022-03-31 00:00:00,6652000000.0,3986000000.0,2666000000.0,399000000.0,1358000000.0,382000000.0,-82000000.0,384000000.0,995000000.0,268000000.0,727000000.0,730000000.0,2.6,0.4008,0.2041,0.1496,0.1097,0.0785,1570000000.0,1358000000.0,2.5887,,2.6072,,2.6072,727000000.0,,727000000.0,0.236,0.0899,HLT
2021-12-31 00:00:00,5797000000.0,2838000000.0,2959000000.0,405000000.0,1010000000.0,387000000.0,-264000000.0,397000000.0,560000000.0,153000000.0,407000000.0,410000000.0,1.46,0.5104,0.1742,0.0966,0.0707,0.0274,1228000000.0,1010000000.0,1.4484,,1.4588,,1.4588,407000000.0,,407000000.0,0.2118,0.04,HLT
2021-09-30 00:00:00,4851000000.0,1593000000.0,3258000000.0,424000000.0,482000000.0,412000000.0,-423000000.0,415000000.0,-26000000.0,-60000000.0,34000000.0,39000000.0,0.13,0.6716,0.0994,-0.0054,0.008,-0.0456,742000000.0,482000000.0,0.1059,,0.1146,,0.1146,34000000.0,,34000000.0,0.153,-0.033,HLT
2021-06-30 00:00:00,4026000000.0,538000000.0,3488000000.0,383000000.0,61000000.0,435000000.0,-541000000.0,433000000.0,-480000000.0,-193000000.0,-287000000.0,-281000000.0,-1.02,0.8664,0.0152,-0.1192,-0.0698,-0.147,355000000.0,61000000.0,-1.0406,,-1.038,,-1.038,-287000000.0,,-287000000.0,0.0882,-0.1336,HLT
2021-03-31 00:00:00,3261000000.0,491000000.0,2770000000.0,348000000.0,-465000000.0,450000000.0,-586000000.0,438000000.0,-1051000000.0,-204000000.0,-847000000.0,-841000000.0,-3.04,0.8494,-0.1426,-0.3223,-0.2579,0.1024,-129000000.0,-465000000.0,-3.0557,,-3.0564,,-3.0564,-847000000.0,,-847000000.0,-0.0396,0.1251,HLT
2020-12-31 00:00:00,4307000000.0,620000000.0,3687000000.0,311000000.0,-418000000.0,442000000.0,-506000000.0,429000000.0,-924000000.0,-204000000.0,-720000000.0,-715000000.0,-2.59,0.856,-0.0971,-0.2145,-0.166,0.143,-41000000.0,-418000000.0,-2.5993,,-2.5993,,-2.5993,-720000000.0,,-720000000.0,-0.0095,0.1644,HLT
2020-09-30 00:00:00,5786000000.0,790000000.0,4996000000.0,303000000.0,125000000.0,429000000.0,-457000000.0,426000000.0,-332000000.0,-13000000.0,-319000000.0,-316000000.0,-1.16,0.8635,0.0216,-0.0574,-0.0546,0.1576,530000000.0,125000000.0,-1.1723,,-1.1601,,-1.1601,-319000000.0,,-319000000.0,0.0916,0.1811,HLT
2020-06-30 00:00:00,7248000000.0,956000000.0,6292000000.0,344000000.0,633000000.0,,-430000000.0,415000000.0,203000000.0,151000000.0,52000000.0,51000000.0,0.14,0.8681,0.0873,0.028,0.007,0.2238,1034000000.0,633000000.0,0.127,,0.1498,,0.1498,52000000.0,,52000000.0,0.1427,0.2318,HLT
