Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,34929000000.0,23034000000.0,11895000000.0,5168000000.0,6132000000.0,350000000.0,767000000.0,109000000.0,6983000000.0,1595000000.0,5388000000.0,5375000000.0,7.81,0.3405,0.1756,0.1999,0.1539,0.137,8171000000.0,6132000000.0,7.8366,7.9088,7.9088,5388000000.0,5388000000.0,0.2339,0.1595,HON
2022-06-30 00:00:00,34453000000.0,22804000000.0,11649000000.0,5062000000.0,5965000000.0,342000000.0,1553000000.0,100000000.0,6702000000.0,1590000000.0,5112000000.0,5080000000.0,7.33,0.3381,0.1731,0.1945,0.1474,0.1103,8021000000.0,5965000000.0,7.3787,7.4542,7.4542,5112000000.0,5112000000.0,0.2328,0.1337,HON
2022-03-31 00:00:00,34310000000.0,22895000000.0,11415000000.0,4963000000.0,5962000000.0,338000000.0,1938000000.0,163000000.0,6879000000.0,1583000000.0,5296000000.0,5249000000.0,7.55,0.3327,0.1738,0.2005,0.153,0.1242,7873000000.0,5962000000.0,7.5947,7.6797,7.6797,5296000000.0,5296000000.0,0.2295,0.1485,HON
2021-12-31 00:00:00,34389000000.0,23128000000.0,11261000000.0,4768000000.0,6200000000.0,343000000.0,1749000000.0,233000000.0,7235000000.0,1625000000.0,5610000000.0,5542000000.0,7.96,0.3275,0.1803,0.2104,0.1612,0.1503,7736000000.0,6200000000.0,8.0097,8.1034,8.1034,5610000000.0,5610000000.0,0.225,0.1756,HON
2021-09-30 00:00:00,34633000000.0,23374000000.0,11259000000.0,4813000000.0,6358000000.0,358000000.0,1053000000.0,296000000.0,7152000000.0,1605000000.0,5547000000.0,5473000000.0,7.85,0.3251,0.1836,0.2065,0.158,0.1533,7633000000.0,6358000000.0,7.8846,7.9786,7.9786,5547000000.0,5547000000.0,0.2204,0.1778,HON
2021-06-30 00:00:00,33959000000.0,23071000000.0,10888000000.0,4794000000.0,6094000000.0,369000000.0,506000000.0,369000000.0,6600000000.0,1545000000.0,5055000000.0,4974000000.0,7.13,0.3206,0.1795,0.1944,0.1465,0.152,7228000000.0,6094000000.0,7.1638,7.2469,7.2469,5055000000.0,5055000000.0,0.2128,0.178,HON
2021-03-31 00:00:00,32628000000.0,22344000000.0,10284000000.0,4770000000.0,5514000000.0,376000000.0,424000000.0,376000000.0,5938000000.0,1231000000.0,4707000000.0,4625000000.0,6.61,0.3152,0.169,0.182,0.1417,0.1631,6614000000.0,5514000000.0,6.656,6.7262,6.7262,4707000000.0,4707000000.0,0.2027,0.1915,HON
2020-12-31 00:00:00,32637000000.0,22169000000.0,10468000000.0,4772000000.0,5696000000.0,359000000.0,316000000.0,359000000.0,6012000000.0,1147000000.0,4865000000.0,4779000000.0,6.79,0.3207,0.1745,0.1842,0.1464,0.1642,6698000000.0,5696000000.0,6.8405,6.9095,6.9095,4865000000.0,4865000000.0,0.2052,0.1902,HON
2020-09-30 00:00:00,33233000000.0,22521000000.0,10712000000.0,4997000000.0,5715000000.0,307000000.0,355000000.0,355000000.0,6070000000.0,994000000.0,5076000000.0,4982000000.0,7.04,0.3223,0.172,0.1826,0.1499,0.1537,6732000000.0,5715000000.0,7.089,7.1645,7.1645,5076000000.0,5076000000.0,0.2026,0.1817,HON
2020-06-30 00:00:00,34522000000.0,23176000000.0,11346000000.0,5190000000.0,6156000000.0,,733000000.0,350000000.0,6889000000.0,946000000.0,5943000000.0,5848000000.0,8.22,0.3287,0.1783,0.1996,0.1694,0.1637,7181000000.0,6156000000.0,8.2562,8.3494,8.3494,5943000000.0,5943000000.0,0.208,0.1884,HON
