Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-07-31 00:00:00,27711000000.0,18839000000.0,8872000000.0,2032000000.0,4959000000.0,1471000000.0,856000000.0,-959000000.0,235000000.0,3921000000.0,196000000.0,3725000000.0,3725000000.0,2.8,0.3202,0.0531,0.1415,0.1344,0.0745,4384000000.0,1471000000.0,2.8039,,2.8484,,2.8484,3725000000.0,,3725000000.0,0.1582,0.1629,HPE
2022-04-30 00:00:00,27785000000.0,18808000000.0,8977000000.0,2029000000.0,5021000000.0,1287000000.0,681000000.0,-845000000.0,,3863000000.0,155000000.0,3708000000.0,3708000000.0,2.78,0.3231,0.0463,0.139,0.1335,0.0721,4453000000.0,1287000000.0,2.7878,,2.8333,,2.8333,3708000000.0,,3708000000.0,0.1603,0.158,HPE
2022-01-31 00:00:00,27829000000.0,18713000000.0,9116000000.0,2015000000.0,4971000000.0,1358000000.0,376000000.0,-1227000000.0,172000000.0,3875000000.0,158000000.0,3717000000.0,3717000000.0,2.79,0.3276,0.0488,0.1392,0.1336,0.0928,4367000000.0,1358000000.0,2.7943,,2.8399,,2.8399,3717000000.0,,3717000000.0,0.1569,0.1736,HPE
2021-10-31 00:00:00,27766000000.0,18568000000.0,9198000000.0,1979000000.0,4929000000.0,1132000000.0,367000000.0,-1631000000.0,211000000.0,3587000000.0,160000000.0,3427000000.0,3427000000.0,2.57,0.3313,0.0408,0.1292,0.1234,0.1341,4141000000.0,1132000000.0,2.5767,,2.618,,2.618,3427000000.0,,3427000000.0,0.1491,0.2114,HPE
2021-07-31 00:00:00,27652000000.0,18557000000.0,9095000000.0,1961000000.0,4815000000.0,927000000.0,425000000.0,359000000.0,162000000.0,1024000000.0,-7000000.0,1031000000.0,1031000000.0,0.78,0.3289,0.0335,0.037,0.0373,0.0608,3770000000.0,927000000.0,0.7841,,0.7917,,0.7917,1031000000.0,,1031000000.0,0.1363,0.1324,HPE
2021-04-30 00:00:00,27557000000.0,18709000000.0,8848000000.0,1910000000.0,4655000000.0,657000000.0,421000000.0,-73000000.0,183000000.0,584000000.0,-64000000.0,648000000.0,648000000.0,0.5,0.3211,0.0238,0.0212,0.0235,0.0754,3264000000.0,657000000.0,0.498,,0.5004,,0.5004,648000000.0,,648000000.0,0.1184,0.1453,HPE
2021-01-31 00:00:00,26866000000.0,18391000000.0,8475000000.0,1857000000.0,4565000000.0,-455000000.0,,-160000000.0,240000000.0,-615000000.0,-183000000.0,-432000000.0,-432000000.0,-0.34,0.3155,-0.0169,-0.0229,-0.0161,0.0487,3019000000.0,-455000000.0,-0.3325,,-0.3334,,-0.3334,-432000000.0,,-432000000.0,0.1124,0.1222,HPE
2020-10-31 00:00:00,26982000000.0,18513000000.0,8469000000.0,1874000000.0,4624000000.0,-329000000.0,,-113000000.0,215000000.0,-442000000.0,-120000000.0,-322000000.0,-322000000.0,-0.25,0.3139,-0.0122,-0.0164,-0.0119,0.0208,3161000000.0,-329000000.0,-0.2489,,-0.2487,,-0.2487,-322000000.0,,-322000000.0,0.1172,0.083,HPE
2020-07-31 00:00:00,26989000000.0,18333000000.0,8656000000.0,1828000000.0,4687000000.0,-14000000.0,,170000000.0,196000000.0,156000000.0,155000000.0,1000000.0,1000000.0,0.0,0.3207,-0.0005,0.0058,0.0,0.045,3440000000.0,-14000000.0,-0.0171,,-0.01,,-0.01,1000000.0,,1000000.0,0.1275,0.1084,HPE
2020-04-30 00:00:00,27390000000.0,18352000000.0,9038000000.0,1854000000.0,4809000000.0,-102000000.0,,27000000.0,195000000.0,-75000000.0,-40000000.0,-35000000.0,-35000000.0,-0.03,0.33,-0.0037,-0.0027,-0.0013,0.0343,3342000000.0,-102000000.0,-0.0442,,-0.0372,,-0.0372,-35000000.0,,-35000000.0,0.122,0.0967,HPE
