Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-07-31 00:00:00,12726000000.0,2822000000.0,9904000000.0,2347000000.0,4986000000.0,2571000000.0,81000000.0,65000000.0,36000000.0,2542000000.0,476000000.0,2066000000.0,2066000000.0,7.24,0.7782,0.202,0.1997,0.1623,0.2941,3452000000.0,2571000000.0,7.2746,,7.3786,,7.3786,2066000000.0,,2066000000.0,0.2713,0.3121,INTU
2022-04-30 00:00:00,12873000000.0,2620000000.0,10253000000.0,2241000000.0,4964000000.0,3048000000.0,56000000.0,94000000.0,31000000.0,3044000000.0,542000000.0,2502000000.0,2502000000.0,8.81,0.7965,0.2368,0.2365,0.1944,0.3094,3830000000.0,3048000000.0,8.8725,,8.9978,,8.9964,2502000000.0,,2502000000.0,0.2975,0.3243,INTU
2022-01-31 00:00:00,11414000000.0,2270000000.0,9144000000.0,2105000000.0,4418000000.0,2567000000.0,42000000.0,104000000.0,36000000.0,2592000000.0,420000000.0,2172000000.0,2172000000.0,7.9,0.8011,0.2249,0.2271,0.1903,0.2678,3231000000.0,2567000000.0,7.9041,,7.9987,,8.0064,2172000000.0,,2172000000.0,0.2831,0.2819,INTU
2021-10-31 00:00:00,10317000000.0,1951000000.0,8366000000.0,1883000000.0,3907000000.0,2486000000.0,28000000.0,104000000.0,22000000.0,2584000000.0,492000000.0,2092000000.0,2092000000.0,7.62,0.8109,0.241,0.2505,0.2028,0.316,2952000000.0,2486000000.0,7.629,,7.7194,,7.7271,2092000000.0,,2092000000.0,0.2861,0.3285,INTU
2021-07-31 00:00:00,9633000000.0,1737000000.0,7896000000.0,1678000000.0,3626000000.0,2500000000.0,29000000.0,60000000.0,25000000.0,2556000000.0,494000000.0,2062000000.0,2062000000.0,7.55,0.8197,0.2595,0.2653,0.2141,0.3266,2880000000.0,2500000000.0,7.5531,,7.6371,,7.6371,2062000000.0,,2062000000.0,0.299,0.3396,INTU
2021-04-30 00:00:00,8888000000.0,1545000000.0,7343000000.0,1550000000.0,3124000000.0,2581000000.0,29000000.0,58000000.0,29000000.0,2639000000.0,512000000.0,2127000000.0,2127000000.0,7.88,0.8262,0.2904,0.2969,0.2393,0.3222,2881000000.0,2581000000.0,7.8104,,7.8946,,7.8891,2127000000.0,,2127000000.0,0.3241,0.337,INTU
2021-01-31 00:00:00,7717000000.0,1371000000.0,6346000000.0,1418000000.0,2807000000.0,2080000000.0,24000000.0,46000000.0,24000000.0,2126000000.0,379000000.0,1747000000.0,1747000000.0,6.67,0.8223,0.2695,0.2755,0.2264,0.312,2321000000.0,2080000000.0,6.6122,,6.6853,,6.6824,1747000000.0,,1747000000.0,0.3008,0.3302,INTU
2020-10-31 00:00:00,7837000000.0,1344000000.0,6493000000.0,1383000000.0,2729000000.0,2375000000.0,20000000.0,11000000.0,20000000.0,2386000000.0,419000000.0,1967000000.0,1967000000.0,7.52,0.8285,0.303,0.3045,0.251,0.3125,2582000000.0,2375000000.0,7.448,,7.5307,,7.5278,1967000000.0,,1967000000.0,0.3295,0.33,INTU
2020-07-31 00:00:00,7679000000.0,1378000000.0,6301000000.0,1392000000.0,2727000000.0,2176000000.0,,22000000.0,14000000.0,2198000000.0,372000000.0,1826000000.0,1826000000.0,6.99,0.8205,0.2834,0.2862,0.2378,0.2965,2394000000.0,2176000000.0,6.9167,,6.9962,,6.9962,1826000000.0,,1826000000.0,0.3118,0.3144,INTU
2020-04-30 00:00:00,6857000000.0,1332000000.0,5525000000.0,1332000000.0,2641000000.0,1540000000.0,,35000000.0,10000000.0,1575000000.0,238000000.0,1337000000.0,1337000000.0,5.12,0.8057,0.2246,0.2297,0.195,0.273,1767000000.0,1540000000.0,5.0644,,5.122,,5.1204,1337000000.0,,1337000000.0,0.2577,0.2924,INTU
2020-01-31 00:00:00,7127000000.0,1265000000.0,5862000000.0,1311000000.0,2634000000.0,1911000000.0,,53000000.0,12000000.0,1964000000.0,333000000.0,1631000000.0,1631000000.0,6.27,0.8225,0.2681,0.2756,0.2288,0.3049,2138000000.0,1911000000.0,6.178,,6.2687,,6.2671,1631000000.0,,1631000000.0,0.3,0.325,INTU
