Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,14311000000.0,10374000000.0,3937000000.0,2030000000.0,1883000000.0,355000000.0,-125000000.0,9000000.0,1464000000.0,271000000.0,1193000000.0,-11000000.0,1182000000.0,6.14,0.2751,0.1316,0.1023,0.0826,0.1191,2942000000.0,1883000000.0,6.1461,6.2511,6.2511,1182000000.0,1182000000.0,0.2056,0.1671,IQV
2022-06-30 00:00:00,14147000000.0,10394000000.0,3753000000.0,2011000000.0,1713000000.0,343000000.0,-43000000.0,7000000.0,1377000000.0,213000000.0,1164000000.0,-3000000.0,1160000000.0,5.99,0.2653,0.1211,0.0973,0.082,0.1194,2865000000.0,1713000000.0,5.9883,6.0966,6.0966,1160000000.0,1160000000.0,0.2025,0.1677,IQV
2022-03-31 00:00:00,14033000000.0,10116000000.0,3917000000.0,2010000000.0,1546000000.0,345000000.0,-52000000.0,99000000.0,1271000000.0,190000000.0,1081000000.0,2000000.0,1079000000.0,5.56,0.2791,0.1102,0.0906,0.0769,0.1365,2761000000.0,1546000000.0,5.5466,5.6505,5.6505,1079000000.0,1079000000.0,0.1968,0.1841,IQV
2021-12-31 00:00:00,13873000000.0,9831000000.0,4042000000.0,1964000000.0,1393000000.0,358000000.0,-131000000.0,197000000.0,1128000000.0,163000000.0,965000000.0,5000000.0,966000000.0,4.99,0.2914,0.1004,0.0813,0.0696,0.1659,2673000000.0,1393000000.0,4.9795,5.0732,5.0732,971000000.0,971000000.0,0.1927,0.2121,IQV
2021-09-30 00:00:00,13535000000.0,9377000000.0,4158000000.0,1913000000.0,1219000000.0,377000000.0,-191000000.0,297000000.0,946000000.0,167000000.0,779000000.0,,767000000.0,3.98,0.3072,0.0901,0.0699,0.0567,0.175,2581000000.0,1219000000.0,4.0181,4.09,4.09,783000000.0,783000000.0,0.1907,0.2216,IQV
2021-06-30 00:00:00,12931000000.0,8588000000.0,4343000000.0,1875000000.0,1104000000.0,390000000.0,-329000000.0,395000000.0,775000000.0,152000000.0,623000000.0,7000000.0,607000000.0,3.17,0.3359,0.0854,0.0599,0.0469,0.1626,2453000000.0,1104000000.0,3.2358,3.2917,3.2917,630000000.0,630000000.0,0.1897,0.2111,IQV
2021-03-31 00:00:00,12014000000.0,7969000000.0,4045000000.0,1824000000.0,880000000.0,409000000.0,-352000000.0,409000000.0,528000000.0,99000000.0,429000000.0,5000000.0,409000000.0,2.14,0.3367,0.0732,0.0439,0.034,0.1697,2194000000.0,880000000.0,2.2279,2.2683,2.2683,434000000.0,434000000.0,0.1826,0.2217,IQV
2020-12-31 00:00:00,11359000000.0,7500000000.0,3859000000.0,1789000000.0,731000000.0,416000000.0,-358000000.0,416000000.0,373000000.0,72000000.0,301000000.0,7000000.0,279000000.0,1.46,0.3397,0.0644,0.0328,0.0246,0.1182,2036000000.0,731000000.0,1.5795,1.61,1.61,308000000.0,308000000.0,0.1792,0.1725,IQV
2020-09-30 00:00:00,10956000000.0,7229000000.0,3727000000.0,1782000000.0,608000000.0,423000000.0,-333000000.0,423000000.0,275000000.0,77000000.0,198000000.0,0.0,176000000.0,0.93,0.3402,0.0555,0.0251,0.0161,0.1109,1881000000.0,608000000.0,1.0135,1.0363,1.0363,198000000.0,198000000.0,0.1717,0.1636,IQV
2020-06-30 00:00:00,10939000000.0,7281000000.0,3658000000.0,1717000000.0,625000000.0,,-383000000.0,437000000.0,242000000.0,79000000.0,163000000.0,-4000000.0,132000000.0,0.69,0.3344,0.0571,0.0221,0.0121,0.0895,1877000000.0,625000000.0,0.8061,0.8265,0.8265,159000000.0,159000000.0,0.1716,0.1415,IQV
