Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,25299000000.0,16956000000.0,8343000000.0,5945000000.0,1677000000.0,313000000.0,33000000.0,,1710000000.0,-13000000.0,1723000000.0,,1532000000.0,2.21,0.3298,0.0663,0.0676,0.0606,0.0553,2674000000.0,1677000000.0,2.21,,,,,1723000000.0,,1723000000.0,0.1057,0.0787,JCI
2022-06-30 00:00:00,24966000000.0,16727000000.0,8239000000.0,5756000000.0,1862000000.0,357000000.0,48000000.0,7000000.0,1910000000.0,680000000.0,1230000000.0,,1040000000.0,1.49,0.33,0.0746,0.0765,0.0417,0.0303,2713000000.0,1862000000.0,1.48,,1.7542,,1.49,1230000000.0,,1230000000.0,0.1087,0.0532,JCI
2022-03-31 00:00:00,24693000000.0,16457000000.0,8236000000.0,5534000000.0,2123000000.0,358000000.0,52000000.0,6000000.0,2175000000.0,727000000.0,1448000000.0,,1235000000.0,1.74,0.3335,0.086,0.0881,0.05,0.0483,2981000000.0,2123000000.0,1.73,,2.0393,,1.74,1448000000.0,,1448000000.0,0.1207,0.069,JCI
2021-12-31 00:00:00,24189000000.0,15967000000.0,8222000000.0,5333000000.0,2598000000.0,453000000.0,73000000.0,8000000.0,2671000000.0,878000000.0,1793000000.0,,1567000000.0,2.2,0.3399,0.1074,0.1104,0.0648,0.0793,3460000000.0,2598000000.0,2.19,,2.5185,,2.2,1793000000.0,,1793000000.0,0.143,0.0999,JCI
2021-09-30 00:00:00,23668000000.0,15609000000.0,8059000000.0,5258000000.0,2559000000.0,332000000.0,55000000.0,9000000.0,2614000000.0,868000000.0,1746000000.0,,1637000000.0,2.28,0.3405,0.1081,0.1104,0.0692,0.0894,3404000000.0,2559000000.0,2.1,,2.6095,,2.11,1746000000.0,,1870000000.0,0.1438,0.1074,JCI
2021-06-30 00:00:00,23230000000.0,15387000000.0,7843000000.0,5367000000.0,2301000000.0,313000000.0,28000000.0,9000000.0,2329000000.0,409000000.0,1920000000.0,,1809000000.0,2.5,0.3376,0.0991,0.1003,0.0779,0.1157,3134000000.0,2301000000.0,2.32,,2.8264,,2.32,1920000000.0,,2044000000.0,0.1349,0.1292,JCI
2021-03-31 00:00:00,22232000000.0,14754000000.0,7478000000.0,5334000000.0,1438000000.0,353000000.0,-1000000.0,11000000.0,1437000000.0,300000000.0,1137000000.0,,1053000000.0,1.46,0.3364,0.0647,0.0646,0.0474,0.1234,2265000000.0,1438000000.0,1.28,,1.7373,,1.28,1137000000.0,,1261000000.0,0.1019,0.1337,JCI
2020-12-31 00:00:00,22082000000.0,14746000000.0,7336000000.0,5532000000.0,1132000000.0,253000000.0,-52000000.0,13000000.0,1080000000.0,104000000.0,976000000.0,,923000000.0,1.26,0.3322,0.0513,0.0489,0.0418,0.1012,1954000000.0,1132000000.0,1.08,5.13,1.4964,5.16,1.08,976000000.0,4722000000.0,1100000000.0,0.0885,0.1124,JCI
2020-09-30 00:00:00,22317000000.0,14906000000.0,7411000000.0,5665000000.0,963000000.0,353000000.0,-60000000.0,23000000.0,903000000.0,108000000.0,795000000.0,,631000000.0,0.85,0.3321,0.0432,0.0405,0.0283,0.0969,1785000000.0,963000000.0,0.84,,1.0586,,0.84,795000000.0,,795000000.0,0.08,0.1111,JCI
2020-06-30 00:00:00,22637000000.0,15221000000.0,7416000000.0,6172000000.0,461000000.0,,-52000000.0,47000000.0,409000000.0,-550000000.0,959000000.0,,802000000.0,1.02,0.3276,0.0204,0.0181,0.0354,0.0932,1277000000.0,461000000.0,0.97,,1.2008,,0.96,959000000.0,,959000000.0,0.0564,0.1118,JCI
