Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,4073000000.0,3064000000.0,1009000000.0,1360000000.0,901000000.0,306000000.0,45000000.0,306000000.0,691000000.0,18000000.0,673000000.0,666000000.0,2.65,0.2477,0.2212,0.1697,0.1635,-0.1692,1565000000.0,901000000.0,2.68,,2.6839,,2.6839,673000000.0,,673000000.0,0.3842,0.1449,LNT
2022-06-30 00:00:00,3962000000.0,2975000000.0,987000000.0,1348000000.0,881000000.0,291000000.0,39000000.0,291000000.0,688000000.0,-17000000.0,705000000.0,695000000.0,2.77,0.2491,0.2224,0.1736,0.1754,-0.1588,1541000000.0,881000000.0,2.8094,,2.8143,,2.8143,705000000.0,,705000000.0,0.3889,0.1704,LNT
2022-03-31 00:00:00,3836000000.0,2440000000.0,1396000000.0,1329000000.0,845000000.0,282000000.0,-21000000.0,282000000.0,654000000.0,-38000000.0,692000000.0,680000000.0,2.72,0.3639,0.2203,0.1705,0.1773,-0.1512,1504000000.0,845000000.0,2.7588,,2.7641,,2.7641,692000000.0,,692000000.0,0.3921,0.1794,LNT
2021-12-31 00:00:00,3669000000.0,1880000000.0,1789000000.0,1317000000.0,795000000.0,277000000.0,-84000000.0,277000000.0,600000000.0,-74000000.0,674000000.0,659000000.0,2.63,0.4876,0.2167,0.1635,0.1796,-0.16,1452000000.0,795000000.0,2.6885,,2.6939,,2.6939,674000000.0,,674000000.0,0.3957,0.1586,LNT
2021-09-30 00:00:00,3559000000.0,1301000000.0,2258000000.0,1312000000.0,775000000.0,274000000.0,-151000000.0,274000000.0,569000000.0,-76000000.0,645000000.0,635000000.0,2.54,0.6344,0.2178,0.1599,0.1784,-0.1916,1430000000.0,775000000.0,2.5715,,2.5765,,2.5765,645000000.0,,645000000.0,0.4018,0.1523,LNT
2021-06-30 00:00:00,3455000000.0,782000000.0,2673000000.0,1269000000.0,758000000.0,274000000.0,-198000000.0,274000000.0,560000000.0,-75000000.0,635000000.0,625000000.0,2.51,0.7737,0.2194,0.1621,0.1809,-0.2394,1404000000.0,758000000.0,2.5348,,2.5389,,2.5389,635000000.0,,635000000.0,0.4064,0.1126,LNT
2021-03-31 00:00:00,3401000000.0,798000000.0,2603000000.0,1220000000.0,750000000.0,274600000.0,-191000000.0,275000000.0,559000000.0,-66000000.0,625000000.0,615000000.0,2.47,0.7654,0.2205,0.1644,0.1808,-0.2417,1383000000.0,750000000.0,2.4966,,2.5003,,2.5003,625000000.0,,625000000.0,0.4066,0.1429,LNT
2020-12-31 00:00:00,3416000000.0,834000000.0,2582000000.0,1227000000.0,740000000.0,274500000.0,-173000000.0,275000000.0,567000000.0,-57000000.0,624000000.0,614000000.0,2.49,0.7559,0.2166,0.166,0.1797,-0.2532,1355000000.0,740000000.0,2.509,,2.5122,,2.5122,624000000.0,,624000000.0,0.3967,0.1467,LNT
2020-09-30 00:00:00,3479600000.0,889800000.0,2589800000.0,1203200000.0,789400000.0,275600000.0,-145500000.0,276500000.0,643900000.0,-27300000.0,671200000.0,661300000.0,2.69,0.7443,0.2269,0.1851,0.1901,-0.2736,1386400000.0,789400000.0,2.718,,2.7208,,2.7208,671200000.0,,671200000.0,0.3984,0.1687,LNT
2020-06-30 00:00:00,3549600000.0,927800000.0,2621800000.0,1229200000.0,807400000.0,,-140500000.0,276500000.0,666900000.0,15700000.0,651200000.0,641300000.0,2.65,0.7386,0.2275,0.1879,0.1807,-0.2364,1392600000.0,807400000.0,2.6766,,2.6814,,2.6814,651200000.0,,651200000.0,0.3923,0.1978,LNT
2020-03-31 00:00:00,3576800000.0,928000000.0,2648800000.0,1283500000.0,789200000.0,,-142000000.0,275700000.0,647200000.0,34900000.0,612300000.0,601900000.0,2.51,0.7406,0.2206,0.1809,0.1683,-0.2471,1375400000.0,789200000.0,2.54,,2.5453,,2.5453,612300000.0,,612300000.0,0.3845,0.1786,LNT
2019-12-31 00:00:00,3648000000.0,999000000.0,2649000000.0,1304000000.0,778000000.0,,-142000000.0,273000000.0,636000000.0,69000000.0,567000000.0,557000000.0,2.34,0.7262,0.2133,0.1743,0.1527,-0.2686,1345000000.0,778000000.0,2.3724,,2.3774,,2.3774,567000000.0,,567000000.0,0.3687,0.1809,LNT
2019-09-30 00:00:00,3640399900.0,1050700000.0,2589699900.0,1297700000.0,737599900.0,,-141100000.0,266700000.0,596500000.0,55200000.0,541300000.0,530900000.0,2.24,0.7114,0.2026,0.1639,0.1458,-0.2709,1292199900.0,737600100.0,2.2747,,2.2792,,2.2792,541300000.0,,541300000.0,0.355,0.1634,LNT
2019-06-30 00:00:00,3578999900.0,1061800000.0,2517199900.0,1274100000.0,703699900.0,,-139400000.0,262000000.0,564300000.0,43900000.0,520400000.0,510400000.0,2.16,0.7033,0.1966,0.1577,0.1426,-0.3009,1243099900.0,703700100.0,2.2049,,2.2062,,2.2062,520400000.0,,520400000.0,0.3473,0.1482,LNT
2019-03-31 00:00:00,3604899900.0,1112600000.0,2492299900.0,1263700000.0,705099900.0,,-132600000.0,254100000.0,572500000.0,46300000.0,526200000.0,516200000.0,2.19,0.6914,0.1956,0.1588,0.1432,-0.314,1218499900.0,705100100.0,2.2406,,2.2409,,2.2409,526200000.0,,526200000.0,0.338,0.1533,LNT
2018-12-31 00:00:00,3533999900.0,1087000000.0,2446999900.0,1246000000.0,693999900.0,,-124000000.0,247000000.0,570000000.0,48000000.0,522000000.0,512000000.0,2.18,0.6924,0.1964,0.1613,0.1449,-0.313,1200999900.0,694000100.0,2.2346,,2.2346,,2.2346,522000000.0,,522000000.0,0.3398,0.1494,LNT
2018-09-30 00:00:00,3517099700.0,1068800000.0,2448299700.0,1245800000.0,706999800.0,,-132300000.0,240400000.0,574700000.0,43900000.0,530800000.0,520600000.0,2.23,0.6961,0.201,0.1634,0.148,-0.2937,1202499700.0,706999800.0,2.3085,,2.28,,2.3085,530800000.0,,530800000.0,0.3419,0.1457,LNT
