Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,30459000000.0,19389000000.0,11070000000.0,6923000000.0,3904000000.0,384000000.0,-305000000.0,426000000.0,3599000000.0,833000000.0,2766000000.0,381000000.0,3137000000.0,2.27,0.3634,0.1282,0.1182,0.103,0.0765,4999000000.0,3904000000.0,2.2549,,2.2699,,2.2699,3147000000.0,,3147000000.0,0.1641,0.1293,MDLZ
2022-06-30 00:00:00,29878000000.0,18597000000.0,11281000000.0,6475000000.0,4519000000.0,357000000.0,-309000000.0,437000000.0,4210000000.0,991000000.0,3219000000.0,657000000.0,3863000000.0,2.78,0.3776,0.1512,0.1409,0.1293,0.1208,5616000000.0,4519000000.0,2.7647,,2.7835,,2.7835,3876000000.0,,3876000000.0,0.188,0.1445,MDLZ
2022-03-31 00:00:00,29246000000.0,17975000000.0,11271000000.0,6392000000.0,4464000000.0,358000000.0,-245000000.0,397000000.0,4219000000.0,1188000000.0,3031000000.0,1176000000.0,4194000000.0,3.01,0.3854,0.1526,0.1443,0.1434,0.1277,5568000000.0,4464000000.0,2.9882,,3.0092,,3.0092,4207000000.0,,4207000000.0,0.1904,0.149,MDLZ
2021-12-31 00:00:00,28720000000.0,17466000000.0,11254000000.0,6263000000.0,4653000000.0,365000000.0,-284000000.0,447000000.0,4369000000.0,1190000000.0,3179000000.0,1135000000.0,4300000000.0,3.07,0.3919,0.162,0.1521,0.1497,0.1187,5766000000.0,4653000000.0,3.053,,3.0749,,3.0749,4314000000.0,,4314000000.0,0.2008,0.1442,MDLZ
2021-09-30 00:00:00,28360000000.0,17067000000.0,11293000000.0,6217000000.0,4598000000.0,376000000.0,-431000000.0,602000000.0,4167000000.0,1296000000.0,2871000000.0,1597000000.0,4453000000.0,3.16,0.3982,0.1621,0.1469,0.157,0.1286,5738000000.0,4598000000.0,3.1447,,3.1662,,3.1662,4468000000.0,,4468000000.0,0.2023,0.1541,MDLZ
2021-06-30 00:00:00,27843000000.0,16582000000.0,11261000000.0,6265000000.0,4439000000.0,393000000.0,-437000000.0,609000000.0,4002000000.0,1345000000.0,2657000000.0,1671000000.0,4314000000.0,3.04,0.4044,0.1594,0.1437,0.1549,0.1214,5591000000.0,4439000000.0,3.0265,,3.0476,,3.0476,4328000000.0,,4328000000.0,0.2008,0.1508,MDLZ
2021-03-31 00:00:00,27112000000.0,16151000000.0,10961000000.0,6125000000.0,4280000000.0,411000000.0,-487000000.0,636000000.0,3793000000.0,1288000000.0,2505000000.0,1289000000.0,3780000000.0,2.65,0.4043,0.1579,0.1399,0.1394,0.1317,5424000000.0,4280000000.0,2.6432,,2.6616,,2.6616,3794000000.0,,3794000000.0,0.2001,0.1695,MDLZ
2020-12-31 00:00:00,26581000000.0,16135000000.0,10446000000.0,6098000000.0,3853000000.0,423000000.0,-470000000.0,608000000.0,3383000000.0,1224000000.0,2159000000.0,1410000000.0,3555000000.0,2.5,0.393,0.145,0.1273,0.1337,0.117,4969000000.0,3853000000.0,2.4767,,2.4941,,2.4941,3569000000.0,,3569000000.0,0.1869,0.1491,MDLZ
2020-09-30 00:00:00,26196000000.0,15863000000.0,10333000000.0,6224000000.0,3610000000.0,435000000.0,-314000000.0,434000000.0,3296000000.0,1110000000.0,2186000000.0,1013000000.0,3185000000.0,2.19,0.3944,0.1377,0.1258,0.1216,0.1833,4693000000.0,3607000000.0,2.2134,,2.2303,,2.2303,3199000000.0,,3199000000.0,0.1791,0.1679,MDLZ
2020-06-30 00:00:00,25886000000.0,15829000000.0,10057000000.0,6206000000.0,3351000000.0,,-455000000.0,550000000.0,2896000000.0,86000000.0,2810000000.0,698000000.0,3492000000.0,2.39,0.3885,0.1295,0.1119,0.1349,0.1412,4412000000.0,3351000000.0,2.4168,,2.4371,,2.4371,3508000000.0,,3508000000.0,0.1704,0.173,MDLZ
