Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,73671000000.0,59136000000.0,14535000000.0,-610000000.0,2438000000.0,914000000.0,2438000000.0,15000000.0,2423000000.0,2216000000.0,2.66,0.1973,0.0331,0.0331,0.0301,0.2205,2438000000.0,2438000000.0,2.9127,,2.9369,,2.9369,2423000000.0,,2423000000.0,0.0331,0.2205,MET
2022-06-30 00:00:00,68306000000.0,51587000000.0,16719000000.0,-26000000.0,4061000000.0,915000000.0,4061000000.0,449000000.0,3612000000.0,3406000000.0,4.02,0.2448,0.0595,0.0595,0.0499,0.2265,4061000000.0,4061000000.0,4.2582,,4.293,,4.293,3612000000.0,,3612000000.0,0.0595,0.2265,MET
2022-03-31 00:00:00,71274000000.0,50268000000.0,21006000000.0,-125000000.0,8550000000.0,917000000.0,8550000000.0,1664000000.0,6886000000.0,6669000000.0,7.72,0.2947,0.12,0.12,0.0936,0.1864,8550000000.0,8550000000.0,7.9674,,8.0296,,8.0296,6886000000.0,,6886000000.0,0.12,0.1864,MET
2021-12-31 00:00:00,71080000000.0,50368000000.0,20712000000.0,-197000000.0,8126000000.0,920000000.0,8126000000.0,1551000000.0,6575000000.0,6353000000.0,7.32,0.2914,0.1143,0.1143,0.0894,0.1805,8126000000.0,8126000000.0,7.5627,,7.6214,,7.6214,6575000000.0,,6575000000.0,0.1143,0.1805,MET
2021-09-30 00:00:00,70409000000.0,50686000000.0,19723000000.0,-202000000.0,6984000000.0,926000000.0,6984000000.0,1462000000.0,5522000000.0,5301000000.0,6.07,0.2801,0.0992,0.0992,0.0753,0.1762,6984000000.0,6984000000.0,6.3396,,6.3841,,6.3841,5522000000.0,,5522000000.0,0.0992,0.1762,MET
2021-06-30 00:00:00,69519000000.0,50729000000.0,18790000000.0,-60000000.0,5865000000.0,915000000.0,5865000000.0,1223000000.0,4642000000.0,4413000000.0,4.99,0.2703,0.0844,0.0844,0.0635,0.1826,5865000000.0,5865000000.0,5.2705,,5.3056,,5.3056,4642000000.0,,4642000000.0,0.0844,0.1826,MET
2021-03-31 00:00:00,65094000000.0,50492000000.0,14602000000.0,-66000000.0,1575000000.0,919000000.0,1575000000.0,195000000.0,1380000000.0,1115000000.0,1.23,0.2243,0.0242,0.0242,0.0171,0.1734,1575000000.0,1575000000.0,1.5562,,1.5637,,1.5637,1380000000.0,,1380000000.0,0.0242,0.1734,MET
2020-12-31 00:00:00,67842000000.0,47765000000.0,20077000000.0,132000000.0,6927000000.0,913000000.0,6927000000.0,1509000000.0,5418000000.0,5191000000.0,5.65,0.2959,0.1021,0.1021,0.0765,0.1716,6927000000.0,6927000000.0,5.933,,5.9683,,5.9683,5418000000.0,,5418000000.0,0.1021,0.1716,MET
2020-09-30 00:00:00,65567000000.0,45484000000.0,20083000000.0,150000000.0,6726000000.0,907000000.0,6726000000.0,878000000.0,5848000000.0,5603000000.0,6.09,0.3063,0.1026,0.1026,0.0855,0.1779,6726000000.0,6726000000.0,6.3721,,6.413,,6.413,5848000000.0,,5848000000.0,0.1026,0.1779,MET
2020-06-30 00:00:00,68230000000.0,46306000000.0,21924000000.0,,8594000000.0,,8594000000.0,1265000000.0,7329000000.0,7122000000.0,7.71,0.3213,0.126,0.126,0.1044,0.1762,8594000000.0,8594000000.0,7.9348,,7.9887,,7.9887,7329000000.0,,7329000000.0,0.126,0.1762,MET
