Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,20691000000.0,6659000000.0,14032000000.0,2217000000.0,11834000000.0,1125000000.0,353000000.0,1125000000.0,6965000000.0,2267000000.0,4698000000.0,4686000000.0,2.57,0.6782,0.5719,0.3366,0.2265,0.3908,12183000000.0,11834000000.0,2.5847,2.5847,2.5847,4698000000.0,4686000000.0,0.5888,0.4011,MO
2022-06-30 00:00:00,20810000000.0,6802000000.0,14008000000.0,2255000000.0,11673000000.0,1114000000.0,569000000.0,1120000000.0,3256000000.0,1502000000.0,1754000000.0,1741000000.0,0.97,0.6731,0.5609,0.1565,0.0837,0.3887,12086000000.0,11673000000.0,0.9835,0.9835,0.9835,1754000000.0,1743000000.0,0.5808,0.3982,MO
2022-03-31 00:00:00,22372000000.0,8298000000.0,14074000000.0,2240000000.0,11754000000.0,1129000000.0,195000000.0,1135000000.0,4560000000.0,1547000000.0,3013000000.0,2998000000.0,1.64,0.6291,0.5254,0.2038,0.134,0.3689,12129000000.0,11754000000.0,1.6538,1.6538,1.6538,3013000000.0,3004000000.0,0.5422,0.3773,MO
2021-12-31 00:00:00,23589000000.0,9616000000.0,13973000000.0,2333000000.0,11560000000.0,1156000000.0,-626000000.0,1162000000.0,3824000000.0,1349000000.0,2475000000.0,2464000000.0,1.33,0.5924,0.4901,0.1621,0.1045,0.3491,11934000000.0,11560000000.0,1.3414,1.3414,1.3414,2475000000.0,2470000000.0,0.5059,0.3563,MO
2021-09-30 00:00:00,24807000000.0,10984000000.0,13823000000.0,2320000000.0,11408000000.0,1178000000.0,-767000000.0,1185000000.0,4085000000.0,1312000000.0,2773000000.0,2761000000.0,1.48,0.5572,0.4599,0.1647,0.1113,0.327,11762000000.0,11408000000.0,1.4847,1.4857,1.4857,2773000000.0,2771000000.0,0.4741,0.3339,MO
2021-06-30 00:00:00,26399000000.0,12532000000.0,13867000000.0,2254000000.0,11617000000.0,1228000000.0,-4554000000.0,1229000000.0,7063000000.0,2526000000.0,4537000000.0,4533000000.0,2.45,0.5253,0.4401,0.2675,0.1717,0.225,11872000000.0,11617000000.0,2.4471,2.4479,2.4479,4537000000.0,4537000000.0,0.4497,0.2318,MO
2021-03-31 00:00:00,25830000000.0,12408000000.0,13422000000.0,2199000000.0,11227000000.0,1240000000.0,-4508000000.0,1242000000.0,6719000000.0,2394000000.0,4325000000.0,4330000000.0,2.33,0.5196,0.4346,0.2601,0.1676,0.3132,11482000000.0,11227000000.0,2.3268,2.3282,2.3282,4325000000.0,4325000000.0,0.4445,0.3212,MO
2020-12-31 00:00:00,26153000000.0,13130000000.0,13023000000.0,2154000000.0,10873000000.0,1205000000.0,-3983000000.0,1209000000.0,6890000000.0,2436000000.0,4454000000.0,4459000000.0,2.39,0.498,0.4157,0.2634,0.1705,0.3118,11130000000.0,10873000000.0,2.3958,2.3972,2.3972,4454000000.0,4454000000.0,0.4256,0.3206,MO
2020-09-30 00:00:00,25856000000.0,12895000000.0,12961000000.0,2157000000.0,10719000000.0,1181000000.0,-7593000000.0,1184000000.0,3126000000.0,2408000000.0,718000000.0,728000000.0,0.36,0.5013,0.4146,0.1209,0.0282,0.3156,10974000000.0,10719000000.0,0.3947,0.3951,0.3951,718000000.0,718000000.0,0.4244,0.3251,MO
2020-06-30 00:00:00,25589000000.0,12848000000.0,12741000000.0,2152000000.0,10503000000.0,,-9181000000.0,1167000000.0,1322000000.0,2250000000.0,-928000000.0,-921000000.0,-0.52,0.4979,0.4104,0.0517,-0.036,0.3954,10753000000.0,10503000000.0,-0.4839,-0.4833,-0.4833,-928000000.0,-928000000.0,0.4202,0.4061,MO
