Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,7669000000.0,3383000000.0,4286000000.0,774000000.0,3942000000.0,187000000.0,-372000000.0,187000000.0,3772000000.0,36000000.0,3736000000.0,3736000000.0,5.21,0.5589,0.514,0.4919,0.4872,0.5138,5456000000.0,3942000000.0,5.1915,,5.2054,,5.2054,3736000000.0,,3736000000.0,0.7114,0.695,MRO
2022-06-30 00:00:00,7099000000.0,3393000000.0,3706000000.0,628000000.0,3185000000.0,187000000.0,-299000000.0,192000000.0,2903000000.0,-200000000.0,3103000000.0,3103000000.0,4.22,0.522,0.4487,0.4089,0.4371,0.472,4987000000.0,3185000000.0,4.2089,,4.2192,,4.2192,3103000000.0,,3103000000.0,0.7025,0.6466,MRO
2022-03-31 00:00:00,6185000000.0,2720000000.0,3465000000.0,562000000.0,1996000000.0,200000000.0,-282000000.0,197000000.0,1684000000.0,-469000000.0,2153000000.0,2153000000.0,2.87,0.5602,0.3227,0.2723,0.3481,0.3911,4020000000.0,1996000000.0,2.859,,2.8654,,2.8654,2153000000.0,,2153000000.0,0.65,0.5767,MRO
2021-12-31 00:00:00,5601000000.0,2070000000.0,3531000000.0,548000000.0,1308000000.0,230000000.0,-389000000.0,188000000.0,1004000000.0,58000000.0,946000000.0,946000000.0,1.21,0.6304,0.2335,0.1793,0.1689,0.3746,3390000000.0,1308000000.0,1.2005,,1.202,,1.202,946000000.0,,946000000.0,0.6052,0.5574,MRO
2021-09-30 00:00:00,4691000000.0,1319000000.0,3372000000.0,487000000.0,319000000.0,232000000.0,-185000000.0,190000000.0,-20000000.0,21000000.0,-41000000.0,-41000000.0,-0.06,0.7188,0.068,-0.0043,-0.0087,0.3249,2352000000.0,319000000.0,-0.0471,,-0.0471,,-0.0471,-41000000.0,,-41000000.0,0.5014,0.5353,MRO
2021-06-30 00:00:00,4014000000.0,513000000.0,3501000000.0,519000000.0,-270000000.0,242000000.0,-248000000.0,195000000.0,-518000000.0,24000000.0,-542000000.0,-542000000.0,-0.69,0.8722,-0.0673,-0.129,-0.135,0.298,1833000000.0,-270000000.0,-0.6816,,-0.6816,,-0.6816,-542000000.0,,-542000000.0,0.4567,0.5082,MRO
2021-03-31 00:00:00,3250000000.0,516000000.0,2734000000.0,495000000.0,-1078000000.0,244000000.0,-231000000.0,205000000.0,-1309000000.0,-1000000.0,-1308000000.0,-1308000000.0,-1.66,0.8412,-0.3317,-0.4028,-0.4025,0.1526,1091000000.0,-1078000000.0,-1.6513,,-1.6513,,-1.6513,-1308000000.0,,-1308000000.0,0.3357,0.4289,MRO
2020-12-31 00:00:00,3097000000.0,555000000.0,2542000000.0,474000000.0,-1180000000.0,256000000.0,-285000000.0,256000000.0,-1465000000.0,-14000000.0,-1451000000.0,-1451000000.0,-1.84,0.8208,-0.381,-0.473,-0.4685,0.0526,1136000000.0,-1180000000.0,-1.8321,,-1.8321,,-1.8321,-1451000000.0,,-1451000000.0,0.3668,0.4756,MRO
2020-09-30 00:00:00,3508000000.0,587000000.0,2921000000.0,534000000.0,-857000000.0,262000000.0,-270000000.0,262000000.0,-1127000000.0,6000000.0,-1133000000.0,-1133000000.0,-1.44,0.8327,-0.2443,-0.3213,-0.323,0.0217,1652000000.0,-857000000.0,-1.4315,,-1.4322,,-1.4322,-1133000000.0,,-1133000000.0,0.4709,0.5003,MRO
2020-06-30 00:00:00,3996000000.0,621000000.0,3375000000.0,595000000.0,-378000000.0,,-264000000.0,264000000.0,-642000000.0,9000000.0,-651000000.0,-651000000.0,-0.83,0.8446,-0.0946,-0.1607,-0.1629,-0.0566,2101000000.0,-378000000.0,-0.8247,,-0.8252,,-0.8252,-651000000.0,,-651000000.0,0.5258,0.5373,MRO
2020-03-31 00:00:00,4887000000.0,685000000.0,4202000000.0,643000000.0,580000000.0,,-264000000.0,259000000.0,316000000.0,56000000.0,260000000.0,260000000.0,0.32,0.8598,0.1187,0.0647,0.0532,0.0645,3067000000.0,580000000.0,0.3225,,0.3222,,0.3222,260000000.0,,260000000.0,0.6276,0.6006,MRO
