Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,7387132000.0,205054000.0,7182078000.0,4941669900.0,2200430100.0,2200430000.0,516170000.0,1684259900.0,1586546100.0,10.63,0.9722,0.0,0.2979,0.2148,0.5588,11.2523,11.2968,11.2968,1684259900.0,1684260000.0,0.0,0.5844,MTB
2022-06-30 00:00:00,6604612000.0,127928000.0,6476684000.0,4442396900.0,2009955400.0,2009955000.0,476831000.0,1533123900.0,1441955100.0,10.78,0.9806,0.0,0.3043,0.2183,0.526,11.4172,11.4438,11.4438,1533123900.0,1533124000.0,0.0,0.5551,MTB
2022-03-31 00:00:00,6052361000.0,102521000.0,5949840000.0,3603234900.0,2337920200.0,2337920000.0,564249000.0,1773670900.0,1688475100.0,13.11,0.9831,0.0,0.3863,0.279,0.4742,13.7524,13.7774,13.7774,1773670900.0,1773671000.0,0.0,0.4983,MTB
2021-12-31 00:00:00,6105778000.0,114006000.0,5991772000.0,3526455900.0,2455149100.0,2455149000.0,596403000.0,1858745900.0,1776977100.0,13.81,0.9813,0.0,0.4021,0.291,0.4202,14.4299,14.4482,14.4482,1858745900.0,1858746000.0,0.0,0.4447,MTB
2021-09-30 00:00:00,6158764000.0,138891000.0,6019873000.0,3532788800.0,2475741900.0,2475741000.0,603823000.0,1871918000.0,1794673000.0,13.96,0.9774,0.0,0.402,0.2914,0.4137,14.541,14.5559,14.5559,1871918000.0,1871918000.0,0.0,0.4355,MTB
2021-06-30 00:00:00,6118414000.0,171261000.0,5947153000.0,3629052800.0,2305581900.0,2305581000.0,556987000.0,1748594000.0,1672114000.0,13.01,0.972,0.0,0.3768,0.2733,0.3378,13.5949,13.6067,13.6067,1748594000.0,1748594000.0,0.0,0.3579,MTB
2021-03-31 00:00:00,6153938000.0,218348000.0,5935590000.0,3909573800.0,2012321900.0,2012321000.0,480742000.0,1531579000.0,1456456000.0,11.34,0.9645,0.0,0.327,0.2367,0.3293,11.9179,11.9259,11.9259,1531579000.0,1531579000.0,0.0,0.354,MTB
2020-12-31 00:00:00,6281157000.0,326395000.0,5954762000.0,4170370800.0,1769521800.0,1769521000.0,416369000.0,1353152000.0,1279066000.0,9.94,0.948,0.0,0.2817,0.2036,0.0982,10.5137,10.5191,10.5191,1353152000.0,1353152000.0,0.0,0.1256,MTB
2020-09-30 00:00:00,6397958000.0,453854000.0,5944104000.0,4126869900.0,1801188500.0,1801189000.0,426111000.0,1375077900.0,1300579000.0,10.02,0.9291,0.0,0.2815,0.2033,0.1675,10.5931,10.5976,10.5976,1375077900.0,1375078100.0,0.0,0.1963,MTB
2020-06-30 00:00:00,6633484000.0,595367000.0,6038117000.0,4071540900.0,1949356500.0,1949357000.0,466334000.0,1483022900.0,1408590000.0,10.74,0.9102,0.0,0.2939,0.2123,0.2743,11.3035,11.3073,11.3073,1483022900.0,1483023100.0,0.0,0.3028,MTB
2020-03-31 00:00:00,6863977000.0,716694000.0,6147283000.0,3866366900.0,2262532500.0,2262533000.0,547304000.0,1715228900.0,1638124000.0,12.34,0.8956,0.0,0.3296,0.2387,0.1968,12.9188,12.9225,12.9225,1715228900.0,1715229100.0,0.0,0.2258,MTB
2019-12-31 00:00:00,6941272000.0,749329000.0,6191943000.0,3625192000.0,2547260500.0,2547261000.0,618112000.0,1929148900.0,1849509000.0,13.76,0.892,0.0,0.367,0.2665,0.314,14.3472,14.3507,14.3507,1929148900.0,1929149100.0,0.0,0.3396,MTB
2019-09-30 00:00:00,6935207000.0,733581000.0,6201626000.0,3586617100.0,2594464600.0,2594464900.0,612163000.0,1982302000.0,1901446900.0,13.92,0.8942,0.0,0.3741,0.2742,0.2335,14.4608,14.4664,14.4664,1982302000.0,1982302000.0,0.0,0.2562,MTB
2019-06-30 00:00:00,6804628000.0,672339000.0,6132289000.0,3454922100.0,2655767500.0,2655767900.0,627456000.0,2028312100.0,1945399900.0,13.99,0.9012,0.0,0.3903,0.2859,0.28,14.5307,14.5393,14.5393,2028312100.0,2028312000.0,0.0,0.3011,MTB
2019-03-31 00:00:00,6640939000.0,596025000.0,6044914000.0,3337156100.0,2684847700.0,2684847900.0,636636000.0,2048212100.0,1965365900.0,13.91,0.9102,0.0,0.4043,0.2959,0.2861,14.4383,14.4501,14.4501,2048212100.0,2048212000.0,0.0,0.304,MTB
2018-12-31 00:00:00,6454711000.0,526409000.0,5928302000.0,3395540000.0,2508239800.0,2508239900.0,590160000.0,1918080100.0,1836027900.0,12.8,0.9184,0.0,0.3886,0.2844,0.3086,13.3061,13.3207,13.3207,1918080100.0,1918080000.0,0.0,0.3238,MTB
2018-09-30 00:00:00,6312026000.0,467777000.0,5844249000.0,3380525100.0,2437535700.0,2437536000.0,743272000.0,1694264200.0,1613191100.0,11.05,0.9259,0.0,0.3862,0.2556,0.3454,11.5962,11.6116,11.6116,1694264200.0,1694264100.0,0.0,0.3574,MTB
2018-06-30 00:00:00,6201996000.0,429516000.0,5772480000.0,3422906100.0,2321720800.0,2321721000.0,797625000.0,1524096100.0,1443629100.0,9.72,0.9307,0.0,0.3744,0.2328,0.2602,10.263,10.2798,10.2798,1524096100.0,1524096100.0,0.0,0.2709,MTB
2018-03-31 00:00:00,6106906000.0,401611000.0,5705295000.0,3412239100.0,2263477700.0,2263478000.0,851489000.0,1411989100.0,1331689100.0,8.81,0.9342,0.0,0.3706,0.2181,0.3133,9.3479,9.3675,9.3675,1411989100.0,1411989100.0,0.0,0.3243,MTB
2017-12-31 00:00:00,6018938000.0,386751000.0,5632187000.0,3276959100.0,2323861800.0,2323862000.0,915556000.0,1408306100.0,1327503100.0,8.7,0.9357,0.0,0.3861,0.2206,0.4491,9.2318,9.2555,9.2555,1408306100.0,1408306100.0,0.0,0.4622,MTB
2017-09-30 00:00:00,5909106000.0,391199000.0,5517907000.0,3279184900.0,2205292200.0,2205292000.0,788818000.0,1416474000.0,1332776000.0,8.67,0.9338,0.0,0.3732,0.2255,0.3507,9.204,9.2314,9.2314,1416474000.0,1416474000.0,0.0,0.3684,MTB
2017-06-30 00:00:00,5853332000.0,402298000.0,5451034000.0,3240572900.0,2175052200.0,2175052000.0,764517000.0,1410535000.0,1323967000.0,8.56,0.9313,0.0,0.3716,0.2262,0.3478,9.1007,9.1305,9.1305,1410535000.0,1410535000.0,0.0,0.3685,MTB
2017-03-31 00:00:00,5780978000.0,416887000.0,5364091000.0,3216527900.0,2108849200.0,2108849000.0,743336000.0,1365513000.0,1276277000.0,8.19,0.9279,0.0,0.3648,0.2208,0.3301,8.7368,8.767,8.767,1365513000.0,1365513000.0,0.0,0.3496,MTB
2016-12-31 00:00:00,5721867000.0,425984000.0,5295883000.0,3194871900.0,2058398000.0,2058398000.0,743284000.0,1315114000.0,1223459000.0,7.8,0.9256,0.0,0.3597,0.2138,0.188,8.3603,8.3882,8.3882,1315114000.0,1315114000.0,0.0,0.2068,MTB
2016-09-30 00:00:00,5623992000.0,414180000.0,5209812000.0,3207395200.0,1959316500.0,1959317100.0,703809000.0,1255508000.0,1163755000.0,7.47,0.9264,0.0,0.3484,0.2069,0.26,8.0151,8.0431,8.0431,1255508000.0,1255508000.0,0.0,0.2786,MTB
2016-06-30 00:00:00,5372852000.0,380204000.0,4992648000.0,3111516200.0,1843728500.0,1843729100.0,657804000.0,1185925000.0,1094100000.0,7.31,0.9292,0.0,0.3432,0.2036,0.3237,7.8743,7.9065,7.9065,1185925000.0,1185925000.0,0.0,0.3414,MTB
2016-03-31 00:00:00,5211358000.0,350628000.0,4860730000.0,3061702200.0,1767077500.0,1767078100.0,630496000.0,1136582000.0,1044603000.0,7.32,0.9327,0.0,0.3391,0.2004,0.3154,7.9058,7.9431,7.9431,1136582000.0,1136582000.0,0.0,0.3324,MTB
2015-12-31 00:00:00,4995881000.0,328257000.0,4667624000.0,2966508200.0,1674691600.0,1674692100.0,595025000.0,1079667000.0,987689000.0,7.24,0.9343,0.0,0.3352,0.1977,0.3324,7.8502,7.8921,7.8921,1079667000.0,1079667000.0,0.0,0.3488,MTB
2015-09-30 00:00:00,4853651000.0,307696000.0,4545955000.0,2824021900.0,1697915000.0,1697915000.0,611664000.0,1086251000.0,993864000.0,7.52,0.9366,0.0,0.3498,0.2048,0.3105,8.1756,8.223,8.223,1086251000.0,1086251000.0,0.0,0.324,MTB
